page,1
ಓ,"ಪ್ರೀತಿಸು (ಧರಾಭರಮನಶೇಷಮಂ ನಿಜತನೂಭರ್ಗೆ ಓವದೆ ಪಚ್ಚುಕೊಟ್ಟು: ೯. ೭೫); ಓ ಎಂದು ಉತ್ತರಿಸು; ಸಲಹು (ಆವ ಅಲರುಂ ಪಣ್ಣುಂ ಬೀತು ಓವುವು ಗಡ ಬೀಯವಲ್ಲಿ ಮಲ್ಲಿಗೆಗಳುಂ ಇಮ್ಮಾವುಗಳುಂ ಎಂದೊಡೆ ಇಂ ಪೆಱತಾವುದು ಸಂಸಾರಸಾರಸರ್ವಸ್ವಫಲಂ: ಪಂಪಭಾ, ೧. ೫೫); ಉಪಚರಿಸು (ವಿಕ್ರಾಂತತುಂಗಂ ಇರ್ಪನ್ನೆಗಂ ಇತ್ತಲ್ ಎರಡುಂ ಪಡೆಯ ನಾಯಕರ್ ಅೞಯೆ ನೊಂದ ತಮ್ಮ ಅಣುಗಾಳ್ಗಳ ಕೊಂಡಾಟದಾನೆಗಳ ನಚ್ಚಿನ ಕುದುರೆಗಳ ಪುಣ್ಗಳಂ ಉಡಿಯಲುಂ ಓವಲುಂ ಮರ್ದುಬೆಜ್ಜರುಮಂ ಅಟ್ಟುತ್ತುಂ: ಪಂಪಭಾ, ೧೧. ೨ ವ)"
ಓ ಓ,"ಕಾಪಾಡಿ ಕಾಪಾಡಿ (ಆವರಿಸಿತ್ತೊ ನಭೋಂತರ್ಭೂವಿವರಮಂ ಅಮರ್ದಿನೆಸಕಂ ಎನೆ ಬಿರಯಿಗಳ್ ಓ ಓ ಇದು ಮದನನ ಸೋದನದೀವಿಗೆಯೆನೆ ತೊಳಗಿ ಬೆಳಗಿದುದು ತುಹಿನಕರಂ: ಪಂಪಭಾ, ೪. ೫೨)"
ಓಕ,"ಆಶ್ರಯ, ಮನೆ (ಎಲೆ ವಿದ್ಯಾಧರನಾಥ ದೇವಿ ಪಡೆದಳ್ ಭೂಭಾನುವಂ ಸೂನುವಂ ಲಲಿತಾಗಣ್ಯವರೇಣ್ಯ ಲಕ್ಷಣಮಣಿವ್ರಾತ ಓಕನಂ ತೋಕನಂ: ಶಾಂತೀಶ್ವಪು, ೪. ೪೪); ಸ್ಥಾನ (ಓಕಂ ಸ್ಥಾನಮುಂ ಆಗರಮುಂ ತಾನಕ್ಕುಂ: ಅಭಿಧಾವ, ೩. ೧. ೨೦)"
ಓಕಃಪ್ರಾಂಗಣ,"ಮನೆಯ ಅಂಗಳ (ಮಣಿಹರ್ಮ್ಯಶ್ರೇಣಿ ಕೇಳೀವನವಿಳಸಿತ ಮಾನವ್ಯಪುಷ್ಪೋಹಾರೋಲ್ಬಣ ಓಕಃಪ್ರಾಂಗಣಂ ಸಸ್ಮಿತ ಸರಸಿಜ ಕಾಸಾರಂ: ಶಾಂತೀಶ್ವಪು, ೧೩. ೧೬೧)"
ಓಕರಿಸು,"ಕಾರು, ವಾಂತಿಮಾಡು (ಓ ಎಂದು ಓಕಱಸಿ ನರೇಂದ್ರನ ಮೇಲೆ ಕಾಱದನಾಗಳ್: ಧರ್ಮಾಮೃ, ೪. ೧೦೦)"
ಓಂಕಾರ,"ಪ್ರಣವಾಕ್ಷರ (ಕಾಲಾಂತಕಂ ಶಂಕರನೋಂಕಾರಂ: ರಾಜಶೇವಿ, ೧೪. ೧೫೩): ಆರಂಭಮಂಗಳ ಮತ್ತು ಅಂತ್ಯಸೂಚಕ (ಆರಂಭಮಂಗಳಾದಿಯೊಳ್ ಓರಂತೆ ಓಂಕಾರಂ: ಅಭಿಧಾವ, ೩. ೧. ೧೧೨)"
ಓಕುಳಿ,"ಬಣ್ಣದ ನೀರು (ಮುತ್ತಿನ ಪಚ್ಚೆ ಮಾಣಿಕದ ವಜ್ರದ ಕೇೞಯೊಳ್ ಒಂದಿ ಸಾಂದಿನೊಳ್ ಕತ್ತುರಿಯೊಂದು ಕೋೞ್ಗೆಸಱೊಳ್ ಓಕುಳಿ ಚಂದನ ಗಂಧವಾರಿಯೊಳ್ ಸುತ್ತಲುಂ ಅೞ್ಕಱಂ ಪಡೆವ ಗೇಯದ ಪೆಂಪಿನ ಅಲಂಪಂ ಆರ್ಗಂ ಆರ್ತಿತ್ತುದು ಪಟ್ಟಬಂಧ ಮಹೋತ್ಸವಂ ಆ ಪಡೆಮೆಚ್ಚೆ ಗಂಡನಾ: ಪಂಪಭಾ, ೧೪. ೨೦)"
ಓಗಡಿಸು,"ಹಾಳಾಗು (ಮೂರ್ಖಜಡಜನಾರಣ್ಯದೊಳ್ ಇಂಪು ಓಗಡಿಸಿದ ಕವಿಶಬ್ದಮದು ಏಗೆಯ್ದುದು ಅರಣ್ಯರುದಿತಂ ಬಗೆವಾಗಳ್: ಆದಿಪು, ೧. ೨೩); ಬೇಸರ ತೋರು (ಪೂಮಾಲೆಯಂ ಓಗಡಿಸದೆ ಕುಡುವಮರಿ ಕಲ್ಪಲತೆಯಂ ಪೀಲ್ತಳ್: ಆದಿಪು, ೭. ೧೧); ಹಿಂಜರಿ (ನಡೆಯೆ ಚಟುಳತೆಗೆ ಕಣೆಯಂ ಸಡಿಲ್ದೊಡೆ ಅದಂ ಎಡದ ಕೆಯ್ಯೊಳ್ ಓಸರಿಸುತ್ತುಂ ನಡೆದು ಗವಾಕ್ಷಂಬರಂ ಓಗಡಿಸದೆ ನವವರನಂ ಅಬಲೆ ನೋಡಿದಳೊರ್ವಳ್: ಶಾಂತಿಪು, ೬. ೯); ಅಸಹ್ಯಪಡು (ಬಿಡದೆ ಅೞಲ್ವ ಬಂಧುಜನದ ಒೞ್ಕುಡಿಯದ ಕಣ್ಣೀರ ಪೂರಂ ಆ ಪ್ರೇತಮಂ ಓಗಡಿಸದೆ ಸುಡುವುದು ಗಡಂ ಇನ್ನುಡುಗುವುದೀ ಶೋಕಮಂ ಸರೋಜದಳಾಯತಾಕ್ಷೀ: ಪಂಪಭಾ, ೨. ೨೮)"
ಓಗಂಬಾಡು,"ಸುಪ್ರಭಾತ ಹಾಡು (ನಿನಗೆ ಓಗಂಬಾಡುವ ಯುವತಿನಿಕಾಯದ ದನಿಗೆ ಸೆಣಸುವಂತೆವೊಲ್ .. .. ಮೊರೆವುವಳಿಗಳ ಬಳಗಂ: ಆದಿಪು, ೧೨. ೫೦)"
