page,1
ಔಂಕು,"ಅಮುಕು (ಚಕ್ರರತ್ನಮಂ ಮುಂದಿಟ್ಟು ಮಧ್ಯಮಖಂಡಮುಮಂ ಔಂಕಿ ಪೂೞೆ ಪೊಕ್ಕವಷ್ಟಂಭಿಸಿ ನಿಂದಾಗಳ್: ಆದಿಪು, ೧೩. ೫೬ ವ)"
ಔಘ,"ಗುಂಪು (ನೀರಂ ಕುಡಿದು ಪದ್ಮಪತ್ರೌಘಂಗಳಿಂ ತಮ್ಮಣ್ಣಂಗೆ ನೀರಂ ತೀವಿಕೊಂಡು ಸರೋವರದಿಂದ ಪೊಱಮಟ್ಟು: ಪಂಪಭಾ, ೮. ೩೯ ವ)"
ಔಡು,"ತುಟಿ (ಕರ್ಚಿದ ಓಡು ಉರ್ಚಿದ ಬಾಳ್ ಇಱಯಲನುಗೆಯ್ದ ಕೈ: ಗದಾಯು, ೪. ೨೭)"
ಔಂಡುಗರ್ಚು,"ಔಡು ಕಚ್ಚು, ತುಟಿ ಕಚ್ಚು (ಹುಂಕೃತಿಯಂ ಮಾಡುತುಂ ಔಂಡುಗರ್ಚಿ ಕಿಸುಗಣ್ಬಿಟ್ಟಚ್ಯುತಂ ರಂಜಿಕುಂ: ಜಗನ್ನಾವಿ, ೩. ೬೧)"
ಔಡೊತ್ತು,"ತುಟಿ ಕಚ್ಚು, ಹಲ್ಲುಮಡಿ ಕಚ್ಚು (ಸಂಗರಸಮುತ್ಸಾಹ ಫಲಮಂ ಆಸ್ವಾದಿಪಂತಿರೆ ಓಡೊತ್ತುವ ನಾಳೆ ಕಾಳೆಗದೊಳ್ ಎಮ್ಮ ಕಲಿತನಕ್ಕೆ ನೀನೆ ಸಕ್ಕಿ: ಆಚವರ್ಧ, ೭. ೪೧ ವ)"
ಔದಲೆಗಾಣ್,"ಅಡಗು, ಗುಪ್ತವಾಗು (ಕೂರಿಸಿ ಕೂರ್ತ ನಿನ್ನ ಮೆಯ್ ಕಸವರಂ ಎನ್ನಂ ಇನ್ನುಸಿರದೆ ಓದಲೆಗಾಣ್ಬಿನಂ: ಕಾವ್ಯಾವಲೋ, ೩೦೪)"
ಔದಾರಿಕತನು,"ಮನುಷ್ಯ ಮತ್ತು ತಿರ್ಯಕ್ ಶರೀರವೇ ತನು (ಔದಾರಿಕತನು ನೆೞಲಂತಿರೆ ನೆಲಕೆ ವಂದುದು ಅಘಟನವಿಘಟನದಿಂ: ಶಾಂತಿಪು, ೧೨. ೩೩)"
ಔದಾರಿಕವಪು,"ಸ್ಥೂಲದೇಹ (ಸಹಜಸುರಭಿಗಂಧಬಂಧುರ ಔದಾರಿಕವಪುವಂ: ಆದಿಪು, ೭. ೧೦೬ ವ)"
ಔದಾರಿಕಶರೀರ,"ಔದಾರಿಕವಪು (ಪಂಚಾಷ್ಟಧನುಃಪರಿಮಿತ ಉತ್ಸೇಧಮುಂ ದಶಶಾಳಲಕ್ಷಣೋಪಜೀವಿತಮುಂ.. ..ಔದಾರಿಕ ಶರೀರಮಂ ತಳೆದು ಶಾಂತಿಕುಮಾರಂ: ಶಾಂತೀಶ್ವಪು, ೧೫. ೧೭ ವ)"
ಔದುಂಬರ,"ಉದುಂಬರ ಮರದಿಂದ ಹುಟ್ಟಿದ್ದು; ಅತ್ತಿಯ ಮರ (ಪಾಲಾಶ ಅಶ್ವತ್ಥ ಅರ್ಕ ಔದುಂಬರ ನ್ಯಗ್ರೋಧ ಶಮಿ ಅಪಾಮಾರ್ಗ ಖದಿರ ಆದಿ ಶುಷ್ಕಸಮಿತ್ತುಗಳುಮಂ ಕುಶ ಅಶ್ವಲಾಯನ ವಿಶ್ವಾಮಿತ್ರಾದಿ ದೂರ್ವಾಂಕುರ ಪವಿತ್ರವಸ್ತುಗಳುಮಂ ಕೊಂಡು: ಪಂಚತಂತ್ರ, ೧೯೦ ವ)"
ಔದುಂಬರಕುಷ್ಠ,"ಮೈ ಹುಳಬೀಳುವ ಕುಷ್ಠರೋಗದ ಬಗೆ (ಔದುಂಬರಕುಷ್ಠಂ ನೆಗೆದೌದಾರ್ಯಕಳೇವರಂ ಪಳಾಳಂಬಿತಮಾದ ಔದುಂಬರಮೆನಿಪಂತೆವೊಲಾ ದೊರೆಯಂಗಾಯ್ತು ಖಳಕಳಂಕಾತಂಕಂ: ಸುಕುಮಾಚ, ೫. ೧೧)"
