page,1
ಕ,"ನಾನಾರ್ಥಗಳು (ಅವಸರ ಶರ ಕುತ್ಸಾ ವಾರ ವಾರ್ವಾಚಿ ಕಾಂಡಂ ಪವನಜಲಜಜಾತಾಂಭಃ ಶಿರೋಕ್ತಂ ಕಶಬ್ದಂ: ಅಭಿಧಾವ, ೩. ೧. ೧೦೫"
ಕಂ,"ನೀರು (ಅಂಸಂ ಕಂ ಅಮೃತಂ ಪಾನೀಯಂ ಎಂದಿಂತು .. .. ನೀರ್ಗೆ ಪೆಸರಂ ಪರ್ಯಾಯದಿಂ ವಾಗ್ವಿದರ್: ಅಭಿಧಾವ, ೧. ೪. ೧)"
ಕಃ ಕೇನಾರ್ಥಿ ಕೋ ದರಿದ್ರಃ,"ಯಾರು ಏನನ್ನು ಬೇಡುತ್ತಾನೆ, ಯಾರು ಬಡವ (ಆ ದೀನಾನಾಥರ್ಗೆ ವೃದ್ಧದ್ವಿಜಮುನಿನಿಕರಕ್ಕೆ ಅಂದು ಎಡಱು ಪೋಪಿನಂ ಕಃ ಕೇನಾರ್ಥೀ ಕೋ ದರಿದ್ರಃ ಎನುತುಂ ಅನಿತುಮಂ ಧರ್ಮಜಂ ಸೂಱೆಗೊಟ್ಟಂ: ಪಂಪಭಾ, ೬. ೪೦)"
ಕಂಕ,"ಚಿಮಟ, ಇಕ್ಕುಳ (ಮದಂಘ್ರಿಸಂಸ್ಪರ್ಶನಮುಂ ಸಂಗತಮಲ್ತು ಎನಲಿದೆ ಕಂಕಂಗೆ ಅರುವನೆ ಎನಲ್: ಉದ್ಭಟಕಾ, ೧೧. ೧೦೯); ಕರೀ ಹದ್ದು (ಚರಣಾಯುಧಂ ಶಕುನಿ ಕಂಕಂ ತೊಂಡಿಗಂ ಸೋರೆ ತಿತ್ತಿರೆ ಕೋಕಂ .. .. ರತ್ನಖಗಮಿರ್ಕುಂ ತದ್ವನಾಗೌಘದೊಳ್: ರಾಜಶೇವಿ, ೫. ೫೯)"
ಕಂಕಟ,"ಕವಚ (ಆಗಳ್ ಅತಿ ಮನೋಜವ ತುರಂಗಮಾರೂಢಂ ಉದ್ಗಾಢ ಕಂಕಟನುಂ ಉತ್ಥಿತ ನಿಶಾಹತಿಯುಂ ಉದೀಣ್ ಕ್ರೋಧಾನಳನುಂ ಆಗಿ: ವರ್ಧಮಾಪು, ೪. ೬೪ ವ)"
ಕಂಕಣ,"ಬಳೆ (ರತ್ನದ ಕಂಕಣಮೆಂಬಂತೆ ಕೈಗೆ ವಂದುದು ಚಕ್ರಂ: ಪಂಪರಾ, ೧೪. ೧೦೫)"
ಕಂಕಣವಾರ,"ಬಳೆಗಳ ಸಾಲು [ಕಂಕಣ+ಆರ=ಕಂಕಣ ಮತ್ತು ಹಾರ] (ಮೆಲ್ಲನೆ ವಕುಲ ಆಳವಾಳತಳದೊಳ್ ಸುರಿದ ಅಂಬುಜಸೂತ್ರದಿಂದೆ ಮತ್ತನಿತಱೊಳಂ ಮುಗುಳ್ಸರಿಗೆ ತೋಳ್ವಳೆ ಕಂಕಣವಾರಮೆಂದು ಬೇೞ್ಪನಿತನೆ ಮಾಡಿ: ಪಂಪಭಾ, ೨. ೧೬)"
ಕಂಕಪತ್ರ,"ಹದ್ದಿನ ಗರಿ[ಗಳುಳ್ಳ ಬಾಣ] (ಚಪಳ ಚಾಪನುಂ ಕರತಳಕಲಿತ ಕಂಕತ್ರನುಂ ಆಗಿ ಮೃಗಯಾವಿನೋದದಿಂ ತೊೞಲುತಿರ್ಪಾಗಳ್: ನೇಮಿನಾಪು, ೩. ೬೦ ವ)"
ಕಂಕರಿ,"ಒಂದು ವಾದ್ಯ (ಕಂಕರಿಯ ಸಿವಿಱ ಪೆಂಪಿನ ಝೆಂಕಟ ಬೊಂಬುೞಯ .. .. ಉಲಿ ನೆಗೞ್ದು ಕರ್ಣಾಮೃತಸಮುದ್ರಘೂರ್ಣನಮಾಯ್ತೋ: ಪುಷ್ಪದಂಪು, ೧೨. ೨೭)"
ಕಂಕಾಳಿ,"ಕೈಲಾಸದ ದಂಡಧಾರಿಯಾದ ಒಬ್ಬ ಸೇವಕ (ಪೊಂಬೆತ್ತಮನೆತ್ತಿ ಪೋ ಸಾರ್ ತೊಲಗು ಎಂದು ನಿವಾರಿಸಿ ಸಮುಚಿತಸ್ಥಾನದೊಳ್ ಇಂಬುಕಯ್ಸುವ ಭೀಮ ಕಂಕಾಳಿಗಳೆಂಬ ವೇತ್ರಧರರಿಂ; ಶಬರಶಂ, ೧. ೭೯ ವ)"
ಕಂಕಾಳಿಕೆ,"ಎಲುಬು ಗೂಡು (ಬರಿಯೆಲ್ ಬೇಱೆರ್ದ ಕಂಕಾಳಿಕೆ ಪೆಡತಲೆಯ ಪೊಕ್ಕ ಕಣ್ .. .. ಗಿಟಿಗಿಟಿಜಂತ್ರಂಬೊಲಾಗಿರ್ದ ಮೈ: ನೇಮಿನಾಪು, ೭. ೨)"
ಕಕುದ,"ಗೂಳಿಯ ಹಿಣಿಲು (ಧವಳಾತಪ ವಾರಣಕಕುದ ವಿಭೂತಿಯನುೞದು ನೆಗೞ್ವುಪಾಸಕನಾದಂ: ಆದಿಪು, ೬. ೬); ಶಿಖರ, ಶ್ರೇಷ್ಠ (ನೃಪಕಕುಧಮಂ ಸ್ಫೀತಚ್ಛತ್ರಾದಿ ಭೂತಿ ವಿಭೂತಿಯಂ: ವರ್ಧಮಾಪು, ೭. ೫೨)"
ಕಕುದ್ಮತ್,"ಎತ್ತು (ಕಕುಭಂ ಮುಂಗಾಲ್ ಕಕುದ್ಮತ್ ಅತಿ ವಿಷಮ ವಿಷಾಣಂ .. .. ಹರಿಗೆ ಮುನಿದು ಬರ್ಪಂತೆ ಬಂದತ್ತಿಭೇಂದ್ರಂ: ನೇಮಿನಾಪು, ೮. ೮೨)"
ಕಕುಭ,"ದಿಕ್ಕು (ಕಕುಭಾವಳಯಂ ಮುಸುಕಿದ ಮೇಘಂಗಳ ಮೊರ್ಬುಂ ಪರ್ಬಿದತ್ತು ಧರಣೀತಳಮಂ: ತ್ರಿಷಷ್ಟಿಪು, ೩೭. ೭); ಮತ್ತಿಯ ಗಿಡ (ಕಕುಭ ಅಶೋಕ ಕದಂಬ ಲುಂಗ ಲವಲೀ ಭೂರ್ಜ ಆರ್ಜುನ ಅನೋಕಹ ಪ್ರಕರಂ: ಪಂಪಭಾ, ೫. ೮೦); ವೀಣೆಯ ಬುರುಡೆ (ಶೃಂಗಾರಾರ್ದ್ರಂ ಕಕುಭಜನಿತಂ .. .. ಸರಿಗಮಪಧನ್ಯುತ್ತರಾಭೋಗವಧ್ನ್ಯಂಗಂ: ಲೀಲಾವತಿ, ೨. ೩೦)"
ಕಂಕೆಲ್ಲಿ,"ಅಶೋಕದ ಮರ (ಸಲ್ಲತಾಭವನಂಗಳೊಳಂ ಜಲಂಗಳೊಳಂ ಸಹಕಾರ ಕಂಕೆಲ್ಲಿ ಪಲ್ಲವರಾಜಿತ ಶೈತ್ಯಸ್ಥಾನದೊಳಂ: ಸುಕುಮಾಚ, ೨. ೪೬)"
ಕಂಕೇಲಿ,"ಕಂಕೆಲ್ಲಿ (ಪುಣ್ಯಾಂಬುಪೂರ್ಣಕುಂಭಾಗ್ರಮುಚಿತ ಕಂಕೇಲಿಪಲ್ಲವೋಲ್ಲಾಸರಚಿತ: ಆದಿಪು, ೪. ೩೦ ರಗಳೆ)"
ಕಕ್ಕಡವಂದಿ,"ದೊಡ್ಡ ಹಂದಿ (ಕೆಡೆದಿರ್ದ ಶಬರನಂ ಕ್ಕಡವಂದಿಯನೀಕ್ಷಿಸುತ್ತೆ ಶಬರಸಮೂಹಂ: ಗಿರಿಜಾಕ, ೧. ೧೧೦)"
ಕಕ್ಕಡೆ,"ಗರಗಸದಂತೆ ಬಾಯುಳ್ಳ ಒಂದು ಬಗೆಯ ಆಯುಧ (ನಡುವ ಸರಲ್ಗೆ ಮೆಯ್ಯೊಳ್ ಅಡಂಗುವ ಸಂಕುಗೆ ದಿಂಕುಗೊಳ್ವ ಕಕ್ಕಡೆಗೆ ಇದಿರ್ ಉರ್ಚುವ ಇಟ್ಟಿಗೆ .. .. ಪಂಪಭಾ, ೧೦. ೯೪)"
ಕಕ್ಕಂಬು,"ಒಂದು ಬಗೆಯ ಬಾಣ, ಮುಳ್ಳಿನ ಬಾಣ (ನೆಱನರಿವ ಕಣೆ ಗೆಲೆಯಂಬು ಕಕ್ಕಂಬು ಕೆಲ್ಲಂಬು ಮೊನೆಯಂಬು ತೀವೆ ಕಣ್ಣಂ: ಪಂಪಭಾ, ೧೩. ೩೯)"
ಕಕ್ಕರ,"ಒಂದು ಬಗೆಯ ಮದ್ಯ (ಈ ಕಕ್ಕರಕ್ಕಿಂತುಟಪ್ಪುದು ಕಳ್ಳಪ್ಪುದು ತಪ್ಪದೆಂದು ಕುಡಿದರ್ ಕಾಮಾಂಗಮಂ ಕಾಂತೆಯರ್: ಪಂಪಭಾ, ೪. ೮೮)"
page,2
ಕಕ್ಕರಗೆಯ್ತ,"ಕಕ್ಕರವೆಂಬ ಮದ್ಯದ ಪ್ರಭಾವ, ಅಮಲಿನಿಂದ ಮಾಡುವ ಚೇಷ್ಟೆ (ಅಂತು ಕುಡಿಯೆ ಕಕ್ಕರಗೆಯ್ತದಿಂ ತುದಿನಾಲಗೆಯೊಳ್ ತೊದಳ್ವೆರಸು ನುಡಿದ ನುಡಿಗಳುಂ: ಪಂಪಭಾ, ೪. ೮೮ ವ)"
ಕಕ್ಕರವೞಯಿಗೆ,"ಮಾಸಲು ಬಣ್ಣದ ಬಟ್ಟೆ (ಕಾರೋಹಣದ ಕಕ್ಕರವೞಯಿಗೆಯ ಚಿತ್ರಾವಳಿಯ: ಆದಿಪು, ೪. ೩೪ ವ)"
ಕಕ್ಕಸ,"ಕರ್ಕಶ, ಕಠಿಣ (ಆಗಳೆ ಪೂಣಿಸಿ ಪೋಗವೇೞ್ದು ಮಚ್ಚರದೊಳೆ ಮಾಣದೆ ಒಡ್ಡಿದಂ ಅಸುಂಗೊಳೆ ಕಕ್ಕಸರ್ ಅಂಜೆ ಸಂಜೆಯೊಳ್: ಪಂಪಭಾ, ೧೧. ೮೫)"
ಕಕ್ಕಸಂ: ಅರ್ಧಂ,"ಅದ್ದಂ, ಶಬ್ದಮದ, ೨೭೫ ವೃ)"
ಕಕ್ಕಸಜವ್ವನ,"ಕರ್ಕಶ ಯೌವನ, ಬಲಿತ ಯೌವನ (ಕರ್ಕಶಯೌನ ಕಕ್ಕಸಜವ್ವನ: ಶಬ್ದಮದ, ೩೦೪ ಪ್ರ)"
ಕಕ್ಕಸಂಬೆಱು,"ಚಡಪಡಿಸು (ಆ ರಕ್ಕಸಂ ಕಕ್ಕಸಂಬೆತ್ತು ಒಳಱುತ್ತುಂ ಬಿಳ್ದು: ಶಬರಶಂ, ೨. ೧೫)"
ಕಕ್ಕಳಗೞಲ್,"ಚೂರುಚೂರಾಗು (ಎನಿತಂ ಕುಕ್ಕುೞಗುದಿದಪೆ ಎನಿತಂ ಕಕ್ಕಳಗೞಲ್ದಪಯ್ ಜೀವನೆ ನೀನೆನಿತಂ ಮಲ್ಮಲ ಮಱುಗುವೆ ಎನಿತಂ ಸಂಸಾರದೊಳಗೆ ತಿಱ್ಱನೆ ತಿರಿವಯ್: ಅಜಿತಪು, ೨. ೬೧)"
ಕಕ್ಕು,"ವಾಂತಿಮಾಡಿಕೊ (ಕರೀಂದ್ರನೊಳ್ ಸುರೇಂದ್ರನ ಕರೀಂದ್ರಮಮಾದೊಡಂ ಕೈಯಿಕ್ಕಿದೊಡೆ ಕ್ಕಕಕ್ಕದಿರದು ಎಂದು: ಕುಸುಮಾಕಾ, ೧೪. ೧೪೪ ವ); ಗರಗಸದ ಹಲ್ಲು (ಕಕ್ಕಿನ ಪವಳದ ಮಣಿಗಳನಿಕ್ಕುವವರ್ಪಲರೊ ಮುತ್ತಿನೈಸರಮಂ ಕೇಳಿಕ್ಕುವರ್ಪಲರೊ: ಧರ್ಮಾಮೃ, ೧. ೧೫೦)"
ಕಕ್ಕುಂದಱ,"ಹಲ್ಲುಗಳಿರುವ ಆಯುಧ, ಗರಗಸ (ಬಾೞ್ವೇಲಿಯ ಕೇಸರದ ಕಕ್ಕುಂದಱಯ ಕಾಪಿನ ಕಂಪಿನ ಕೋಶಮಿರ್ಪಂತೆ: ಲೀಲಾವತಿ, ೮. ೫೧ ವ)"
ಕಕ್ಕುಂಬ,"? ಈ ಶಬ್ದವನ್ನು ಮುಳಿಯ ತಿಮ್ಮಪ್ಪಯ್ಯನವರು ಕುಕ್ಕಂಬ ಎಂದು ತಿದ್ದಿ ಅದಕ್ಕೆ ಡೇರೆಯ ಕಿರುಗಂಬಗಳೆಂಬ ಅರ್ಥ ಹೇಳುತ್ತಾರೆ (ಮೂಡಿಗೆ ಕಕ್ಕುಂಬ ಸುೞಸಿ ಜೊಂಪಂ ಬೀಡುಬಿಡುವಿಂಬು: ಪಂಪಭಾ, ೫. ೪೧)"
ಕಕ್ಖವಡ,"ಮಲ್ಲಯುದ್ಧದ ಒಂದು ವರಸೆ (ಎಸೆವ ಮುಹಗ್ಗಳಂ ಠಡಕಿ ಕಕ್ಖವಡಂ .. .. ಎನಿಪ್ಪ ಜೆಟ್ಟಿಗನ ಬಿನ್ನಣಮೊಪ್ಪೆ ಕಾದಿದರ್: ಚಂದ್ರಪ್ರಪು, ೫. ೭೮)"
ಕಕ್ಷ,"ಕಂಕುಳು (ನಿಚ್ಚಲಿ ಕಾರಿರುಳೊಳ್ ಪೊಱಪಚ್ಚಮಂ ಉಟ್ಟಿರ್ದು ಇಱುಂಕಿ ಕಕ್ಷದೊಳಾ ಪಾಟಚ್ಚರ ಭಯದಿಂದುಟ್ಟು ಪಟಚ್ಚರಮಂ ಮನೆಗೆ ವಂದು ನಿಂದು ಅಂಗಣದೊಳ್: ಶಾಂತಿಪು, ೬. ೬೫); ಪಕ್ಷ (ಆಗಳ್ ಮದಗಜಕಕ್ಷಧ್ವಜವಿರಾಜಿತಮಪ್ಪ ತನ್ನ ಪೊನ್ನ ರಥಮಂ ಮದ್ರರಾಜನಂ ಏಱಲ್ವೇೞ್ದು: ಪಂಪಭಾ, ೧೨. ೧೦೯)"
ಕಕ್ಷಪಾಳಿಕೆ,"ಬಗಲ ಚೀಲ (ಕಕ್ಷತಳದೊಳ್ ಇಱುಂಕಿದ ಪೊಂಬುಲಿಯ ಚರ್ಮದ ಕಕ್ಷಪಾಳಿಕೆಯೊಳ್ ಅಳವಟ್ಟ ನಿಗ್ಗವದ ಕರಂಡಕದೊಳಗೆ: ರಾಜಶೇವಿ, ೫. ೨೫ ವ)"
ಕಕ್ಷಪುಟ,"ಕಕ್ಷ (ಮಾೞ್ಪುದು ಕಂಪಿನ ಸೊಂಪಿನ ಪೊಗರಿಂದಂ ವನಿತೆಯ ಕಕಷ್ಪುಟಂ ಈಕ್ಷಣಂ ಆಕರ್ಷಣಂ: ಪುಷ್ಪದಂಪು, ೩. ೩೮)"
ಕಕ್ಷಮೂಲ,"ಕಕ್ಷ (ಕೌಂಕುಳೆಂದು ಕಕ್ಷಮೂಲಂ: ಶಬ್ದಮದ, ೩೩ ಒಂದರ್ಥಕ್ಕೆ, ೪೧)"
ಕಕ್ಷಾ,"ಅಂತಸ್ತು (ಧೃತದೇವೇಂದ್ರವಿಮಾನ ರುಂದ್ರಮಹಿಮಂ ಶ್ರೀಸಪ್ತಕಕ್ಷಾಸಮನ್ವಿತಂ: ಆದಿಪು, ೬. ೧೦೭)"
