page,1
ಖ,"ಆಕಾಶ (ಸುರಸರಣಿ ವಿಷ್ಣುಪದಂ ಅಂಬರಮ ವಿಯತ್ ಖ ವಿಹಾಯಸಂ ಗಗನಂ ಪುಷ್ಕರಂ ಆಕಾಶಂ ನಭಂ ಅಂತರಿಕ್ಷಂ ಅಂಭೋದಮಾರ್ಗಂ ಅಭ್ರಂ ವ್ಯೋಮಂ: ಅಭಿಧಾವ, ೧. ೧. ೫೭); ಇಂದ್ರಿಯ (ಖಂ ಇಂದ್ರಿಯ ಸ್ಪರ್ಶ ರೂಪ ರಸ ಗಂಧ ಶಬ್ದ ವಿಷಯಪ್ರವರಂ: ಅಭಿಧಾವ, ೧. ೧೨. ೨೩)"
ಖಗ,"ಆಗಸದಲ್ಲಿ ಚರಿಸುವುದು, ಪಕ್ಷಿ (ಖಗಂ ಅಂಡಜಂ ಪತತ್ರಿ ಪತಂಗಂ ವಿಕಿರಂ ಪಕ್ಷಿ: ಅಭಿಧಾವ, ೧. ೯. ೯); ಬಾಣ (ಶಿಳೀಮುಖ ಕಂಕಪತ್ರ ಮಾರ್ಗಣ ಖಗ ಬಾಣ ಶರೇಷು ಸಂಜ್ಞಮಱಗೆ ಅಂಬು: ಅಭಿಧಾವ, ೧. ೧೪. ೧೮); ಖೇಚರ (ಅಗಸೂದನನೆಚ್ಚ ಮಹೋರಗಶರಮಂ .. .. ಖಗರಚ್ಚರಿವಡೆ ತಱದಂ ಖಗಪತಿ ಖಗದಿಂ ಖಗೇಂದ್ರವಾಹನನೆಡೆಯೊಳ್: ಜಗನ್ನಾವಿ, ೧೩. ೧೦೩); ಸೂರ್ಯ (ರವಿ ಮಾರ್ತಂಡಂ ಪತಂಗಂ ತಪಿ ತಪಂ ಇನಂ ಪೂಷಂ ಸಹಸ್ರಾಂಶು ವಿಪಸ್ವಂತಂ ಖಗಂ ಭಾಸ್ಕರಂ ಅಹಿಮಕರಂ ಸೂರ್ಯಂ: ಅಭಿಧಾವ, ೧. ೧. ೬೮); ನಕ್ಷತ್ರ (ಪೆರ್ಬಳುವಂ ಕಾನನವಹ್ನಿ ನುಂಗೆ ಖಗಮಂ ಚಕ್ರಾಂಶುಗಳ್ ನುಂಗೆ ಕಣ್ಗೊಳಿಪ ಏಣಬ್ರಜಮಂ ಮಾರಕರಾಳೀ ನುಂಗೆ: ತ್ರಿಷಷ್ಟಿಪು, ೧೨. ೭)"
ಖಗಕುಳ,"ಪಕ್ಷಿಸಮೂಹ (ಭೂತಿಳಕನಂ ಆ ಖಗಕುಳಕಲಂಕೆ ವಿದ್ಯೆಯೊಳೆ ಮಾಡಿದಳ್ ಕುರವಕಮಂ: ಲೀಲಾವತಿ, ೧೪. ೧೧೭)"
ಖಗನಗ,"[ಜೈನ] ಖೇಚರರು ವಾಸಿಸುವ ಪರ್ವತ, ವಿಜಯಾರ್ಧಪರ್ವತ (ಕಲ್ಲೆನ್ನದೆ ಬೆಳೆದ ಪಸುರ್ವುಲ್ಲೆಂದು ಆಸೆಯೊಳ್ ಸಾರ್ದು ಮರಕತದ ಒಡ್ಡುಂಗಲ್ಲನೆ ಕಾರ್ದು ಮೃಗಂಗಳ್ ಕಲ್ಲನೆ ಕನಲುತ್ತುಮಿರ್ಪುವು ಆ ಖಗನಗದೊಳ್: ಅಜಿತಪು, ೯. ೨೩)"
ಖಗಪತಿಖಗ,"ಗರುಡಾಸ್ತ್ರ (ಮಹೋರಗಶರಮಂ .. .. ತಱದಂ ಖಗಪತಿಖಗದಿಂ ಖಗೇಂದ್ರವಾಹನನೆಡೆಯೊಳ್: ಜಗನ್ನಾವಿ, ೧೩. ೧೦೩)"
ಖಗಬಂಧ,"ಹಕ್ಕಿಗಳನ್ನು ಹಿಡಿಯುವ ಬಲೆ (ಜಾಳಂ ಖಗಬಂಧಂ: ಅಭಿಧಾವ, ೧. ೧೦. ೩೫)"
ಖಗರಾಜ,"ಗರುಡ (ಜಗದೊಳ್ ಪತಿಹಿತದೆಡೆಯೊಳ್ ನೆಗೞ್ದ ಇನಜನಿಂ ಏಕದಂತನಿಂ ಪವನಜನಿಂ ಖಗರಾಜನಿಂ ದುರ್ಗಂ ದ್ವಿಗುಣಂ ತ್ರಿಗುಣಂ ಚತುರ್ಗುಣಂ ಪಂಚಗುಣಂ: ಪಂಚತಂತ್ರ, ೫೫)"
ಖಗರಾಜಾಸ್ತ್ರ,"ಗರುಡಾಸ್ತ್ರ (ಅತಿವಿಷೋಗ್ರಾಸ್ತ್ರಮಂ ಖಗರಾಜಾಸ್ತ್ರನಿಪಾತದಿಂ ಕಿಡಿಸಿ: ಪಂಪರಾ, ೧೪. ೨೦)"
ಖಗರಾಜೇಂದ್ರ,"ಖೇಚರರ ಒಡೆಯ (ಖಗರಾಜೇಂದ್ರ ರುಂದ್ರ ಘಟೆಗಂದೆಚ್ಚಂಬುಗಳ್: ಶಾಂತಿಪು, ೪. ೨೧)"
ಖಗಾದ್ರಿ,"ಖಗನಗ (ನೆಗೞ್ದಮರನಗೇಂದ್ರನಾದಿಗಿಭೇಂದ್ರಂ ಪೊರ್ದಿದಲ್ಲಿ ಸುರತೂರ್‍ಯರವಂ ನೆಗೞನೆಗಂ ಕನಕಾದ್ರಿಗೆ ಖಗಾದ್ರಿ ಸಂತಸದೆ ಬಿರ್ದುವಂದಂತಿರ್ಕುಂ: ಅಜಿತಪು, ೪. ೨೬)"
ಖಗೇಂದ್ರವಾಹನ,"ಗರುಡನನ್ನು ವಾಹನವನ್ನಾಗಿ ಉಳ್ಳವನು, ವಿಷ್ಣು (ಖಗರಚ್ಚರಿವಡೆ ತಱದಂ ಖಗದಿಂ ಖಗೇಂದ್ರವಾಹನನೆಡೆಯೊಳ್: ಜಗನ್ನಾವಿ, ೧೩. ೧೦೩)"
ಖಚರ,"ಖೇಚರ (ಅವಯವಮೆ ನಾದಜೂದೆನೆ ದಿವಿಜೋರಗ ಖಚರವಧುಗಳಂ ಗೆಲ್ದೊಡೆ ಅವರರ್ಕಿವುಗೆಲ್ಲದ ರೇಖೆಗಳೆನೆ ಕುವಲಯನೇತ್ರೆಯ ವಳಿತ್ರಯಂ ಸೊಗಯಿಸುಗುಂ: ಮಲ್ಲಿನಾಪು, ೩. ೪೯)"
ಖಚರಿ,"ದೇವಾಂಗನೆ (ಲಸತ್ ಜಲಕಣಮಂ ಅಮಳಮುಕ್ತಾಫಳಮೆಂದು ಉಱೆ ಮುಗ್ಧ ಖಚರಿಯರ್ ಕೈಯಿಡುವರ್: ರಾಜಶೇವಿ, ೧. ೯೩)"
ಖಚಿಯಿಸು,"ಕುಂದಣಿಸು (ಮುಖಾಗ್ರಪ್ರಚುರ ಶ್ರೀಬಿಸಲತೆಯನೆ ಖಚಿಯಿಸಿದವೊಲಿಕ್ಕೆ ಹಾರಮೆಸೆದುದು ಕೊರಲೊಳ್: ಪುಷ್ಪದಂಪು, ೮. ೫೭)"
ಖಂಜ,"ಕುಂಟ (ಪ್ರವೃತ್ತ ಖಂಜ ಮೂಕ ಕುಬ್ಜ ವಾಮನ ಕಿರಾತಜನಪುರಸ್ಸರಮುಂ .. .. ಎನಿಸಿದ ರಾಜಪರಿವಾರಮುಂ .. .. ಬರೆವರೆ (ಕಾದಂಬ, ೨. ೧೧೫ ವ)"
ಖಜಕ,"ಕಡೆಗೋಲು (ಮಂಥಣಿ ಗರ್ಗರಿ ಕಡೆಗೋಲ್ ಮಂಥಾನ ಮಂತು ಅವಂತೆಲ್ಲಂ ಖಜಕಂ: ಅಭಿಧಾವ, ೧. ೧೦. ೩೧)"
ಖಂಜನ,"ಗೀಜುಗ ಪಕ್ಷಿ (ಸಲಕ್ಷಣಸಂದರ್ಯಸ್ತ್ರೀಜನ ನೇತ್ರಚಾಂಚಲ್ಯೋಪಮೆಗೆ ಬಣ್ಣಿಸಲ್ ಯೋಗ್ಯಮಪ್ಪ ಖಂಜನಪುಂಜಮುಂ: ಪಂಚತಂತ್ರ, ೩೨೦ ವ)"
ಖಜಿಕಾ[ಕೆ],"ಸೌಟು (ತದ್ರು ತಾಂ ದರ್ವಿ ದಾರುಹಸ್ತಕಮೆನಿಪ್ಪುದದು ಖಜಿಕಾಖ್ಯಂ: ಅಭಿಧಾವ, ೧. ೧೦. ೩೩)"
ಖಜ್ಜಯ,"ಕಜ್ಜಾಯ (ತಿಂಬರ್ ಖಜ್ಜಯಮಂ ಶೀತಾಂಬುಗಳಂ ಕುಡಿವರ್ ಅಱತಮಿಲ್ಲದ ಶೈವರ್: ಸಮಯಪ, ೧೪. ೯)"
ಖಟ್ವಾಂಗ,"ತುದಿಯಲ್ಲಿ ತಲೆಯುಳ್ಳ ಶಿವನ ಆಯುಧ (ಖಟ್ವಾಂಗ ಭಯಂಕರಶೂಲ ಶಕ್ತಿ ಡಮರುಗ ರುದ್ರಾಕ್ಷ .. .. ಉಳ್ಳವಂ ಸದಾಶಿವನಲ್ಲಂ: ಸಮಯಪ, ೮. ೨೨); ಶಿಂಶು ಎಂಬ ಮರ (ಶಿಂಶುವಾಭಿಖ್ಯಂ ಖಟ್ವಾಂಗಂ: ಅಭಿಧಾವ, ೧. ೧. ೮. ೧೭)"
page,2
ಖಟ್ವಾಂಗಧರ,"ಶಿವ (ಗಂಗಾಧರಂ ಕಪಾಳಧರಂ .. .. ಖಟ್ವಾಂಗಧರಂ: ಅಭಿಧಾವ, ೧. ೧. ೧೪)"
ಖಂಡ,"ತುಂಡು (ರತ್ನಕಂಬಳಮಗಳಂ ಕೊಂಡೋರ್ ಒಂದಱೊಳಂ ನಾಲ್ಕು ಖಂಡಮಾಗೆ ಮೂವತ್ತೆರಡು ಖಂಡಂಗಳಂ ಮಾಡಿ ಸೊಸೆವಿರ್ಗೆ ಪಚ್ಚುಗೊಟ್ಟೊಡೆ: ವಡ್ಡಾರಾ, ಪು ೨೫ ಸಾ ೨೮); ಗುಂಪು, ಸಮೂಹ (ನಾಗರ ಖಂಡಂಗಳಂ ಆ ನಾಗರ ಖಂಡದೊಳೆ ತೊಡರೆ ನರಂ ಇಸುವುದುಂ ನಾಗರ ಖಂಡಂಗಳುಮಂ ನಾಗರ ಖಂಡಮುಮಂ ಅಳುರ್ದುಕೊಂಡಂ ದಹನಂ: ಪಂಪಭಾ, ೮೯)"
ಖಂಡನೀಯ,"ಕತ್ತರಿಸಲು ಶಕ್ಯವಾದ; ಒಡೆಯುವುದು ಅಲ್ಪದಶನಮಾತ್ರಖಂಡನೀಯ ಮಂಡಕಮುಮಂ: ಆದಿಪು, ೧೧. ೨೬ ವ)"
ಖಂಡಪರಶು,"ಪರಮೇಶ್ವರ (ಎಲೆ ಖಂಡಪರಶುವೆ ಕೇಳ್ ಸದಾಚಾರ ನಿಯತಾಚಾರ ಗಣಾಚಾರಂ ಎಂದು ಆಚಾರತ್ರಯಂಗಳ್: ತ್ರಿಷಷ್ಟಿಪು, ೨೨. ೪ ವ)"
ಖಂಡಪ್ರಾಸ,"ಆದಿಪ್ರಾಸ (ದೇಸಿಯನೆ ನಿಱಸಿ ಖಂಡಪ್ರಾಸಮಂ ಅತಿಶಯಮಿದೆಂದು ಯತಿಯಂ ಮಿಕ್ಕರ್: ಕವಿರಾಮಾ, ೧. ೭೫)"
ಖಂಡಾತ್,"[ಭರತ] ಖಂಡದಿಂದ (ಆಸೇತೋ ರಾಮಚಾಪ ಅಟನಿತಟಯುಗ ಟಂಕ ಅಂಕಿತ ಆಖಂಡಖಂಡಾತ್: ಪಂಪಭಾ, ೧೪. ೨೭)"
ಖಂಡುಗ,"ಒಂದು ಅಳತೆ (ಪಿಂಡಿಯಂ ಬಿಡಿಸವೋದ ಮರುಳ್ ಖಂಡುಗ ಎಣ್ಣೆಯನಾಂತು ಬಂದುದು ಎಂಬ ನಾಣ್ಣುಡಿಯಂತೆ: ಧರ್ಮಾಮೃ, ೫. ೫೦ ವ)"
ಖಂಡೆಯ,"ಒಂದು ಆಯುಧ (ತನತೊಪ್ಪುವ ಖಂಡೆಯ ರಾಯನೆನಿಪ್ಪ ಅಭಿದಾನಮಂ ದಿಟಂ ಪ್ರಕಟಿಪವೋಲ್: ಕುಸುಮಾಕಾ, ೭. ೬೭)"
ಖಂಡೇಂದುಧರ,"ಅರ್ಧಚಂದ್ರನನ್ನು ಧರಿಸಿದವನು, ಶಿವ (ಖಂಡೇಂzದುಧರನನರ್ಚಿಸಿ ಇಂಡೆಗಳುಚ್ಚಳಿಸಿ ಕೆಯ್ಗೆ ಬಾರದೊಡೆ ಮಂಡೆಯನಱದೇಱಸುವಂ: ಸಮಯಪ, ೯. ೩೮)"
ಖಡ್ಗ,"ಕತ್ತಿ (ಅಸಿ ಖಡ್ಗ ಬಾಳ್: ಅಭಿಧಾವ, ೧. ೧೪. ೧೬)"
ಖಡ್ಗಧೇನುಕ,"ಕಿರುಗತ್ತಿ, ಸುರಗಿ (ಗುಪ್ತಗುಲ್ಮಾಂತರಪ್ರಾಪ್ತ ಖಡ್ಗಧೇನುಕಮಾಂಧ್ರದಾನುಷ್ಕಬಳಂ: ಆದಿಪು, ೧೩. ೪೫ ವ)"
ಖಡ್ಗಪಿಧಾನ,"ಕತ್ತಿಯ ಒರೆ (ಕೋಶಂ ಖಡ್ಗಪಿಧಾನಂ: ಅಭಿಧಾವ, ೩. ೧. ೧೦೦)"
