page,1
ಗಗನ,"ಆಕಾಶ (ನೀಲಾಭ್ರಘಟೆಯೆ ಗಗನಮನೆಡೆಗೊಂಡವೋಲಾಯ್ತು: ಜಗನ್ನಾವಿ, ೪. ೫೪)"
ಗಗನಕುಸುಮ,"ಆಕಾಶದ ಹೂ, ನೆರವೇರದ ಆಸೆ (ಗಗನಕುಸುಮನತ್ಯಂತಾಭಾವಮಂ ನಿಷೇಧಮಾತ್ರದಿಂದಂ ಉಂಟುಮಾಡಲಕ್ಕುಮೆ: ಶಾಂತಿಪು, ೮. ೧೩೮ ವ)"
ಗಗನಗಂ[ಗಾ]ಗೆ,"ಆಕಾಶಗಂಗೆ (ಘನವಹ್ನಿಜ್ವಾಲಧೂಮಾವಳಿ ಗಗನಗಂಗಾತಟೋದ್ಯುತ್ತಮಾಳೀವನಮೋ: ಚಂದ್ರಪ್ರಪು, ೪. ೩೧)"
ಗಗನಗಜ,"ಆಕಾಶದ ಆನೆ, ಐರಾವತ (ಗಗನಗಜಕ್ಕಿಕ್ಕಿದ ಪೊನ್ನ ಗಂಟೆಯೆರಡೆನಲು: ಆದಿಪು, ೬. ೫೨)"
ಗಗನಗತಿ,"ಆಕಾಶಗಮನ (ಗಗನಗತಿ ಶ್ರಮಮಂ ನೆಟ್ಟಗೆ ಕಳೆವರ್: ಕುಸುಮಾಕಾ, ೨. ೭೭)"
ಗಗನಗಮನಜನಿತಶ್ರಮ,"ಆಕಾಶಪ್ರಯಾಣದಿಂದಾದ ಆಯಾಸ (ಬಳ್ಳಿಗಾವಣಂಗಳೊಳಂ ನನೆಯ ಜೊಂಪಗಳೊಳಂ ಗಗನಗಮನಜನಿತಶ್ರಮಮಂ ಆಱಸಿ: ಪಂಪಭಾ, ೭. ೮೧ ವ)"
ಗಗನಗಾಮಿನೀವಿದ್ಯೆ,"ಆಕಾಶಗತಿಯ ವಿದ್ಯೆ, ಖೇಚರವಿದ್ಯೆ (ಕನಕಶ್ರೀಯಂ ಗಗನಗಾಮಿನೀವಿದ್ಯೆಯಿಂ ಒಯ್ದು: ಶಾಂತಿಪು, ೩. ೬೦ ವ)"
ಗಗನಚರ,"ಆಕಾಶದಲ್ಲಿ ಚರಿಸುವುದು, ಹಕ್ಕಿ (ಕಾಗೆ ಗೂಗೆ ಪರ್ದು ಚಕೋರಂ ಹಂಸೆ ಕುರ್ಕು ಗಿಳಿ ಪುರುಳಿ ಪೆಂಗುರು ಕಾರಂಡಂ ಆಂದೆ ಮೊದಲಾಗೊಡೆಯ ಗಗನಚರಂ: ವಡ್ಡಾರಾ, ಪು ೯೭, ಸಾ ೯); ಖೇಚರ ಗಗನಚರಂ ಲಕ್ಷ್ಮೀಧರನಗಣ್ಯಪುಣ್ಯಪ್ರಭಾವದಿಂ: ಪಂಪರಾ, ೧೪. ೪೬)"
ಗಗನಚರಭುಜಗ,"ಗ್ರಹಗಳನ್ನು ಹಿಡಿಯುವ ಹಾವು, ರಾಹು (ಭಾನುರಿಪು ಸಿಂಹಿಕಾಪ್ರಿಯಸೂನು ತಮಂ ರಾಹು ಗಗನಚರಭುಜಗಂ: ಅಭಿಧಾವ, ೧. ೧. ೭೫)"
ಗಗನಚರಾಧೀಶ,"ಖೇಚರರರಾಜ (ಇದಿರೆದ್ದು ಭಕ್ತಿಪುರಸ್ಸರಂ ಮನದೆಱಕದಿನೆಱಗಿದ ಗಗನಚರಾಧೀಶನಂ ಯತಿ ಪರಸಿ: ಶಾಂತಿಪು, ೨. ೨೧)"
ಗಗನಚರಿ,"ಆಕಾಶದಲ್ಲಿ ಸಂಚರಿಸುವವಳು, ಖೇಚರಿ (ಅದಂ ಕೇಳ್ದ ಗಗನಚರಿಯೊರ್ವಳ್ ಬಂದು ಅರಸಂಗೆಱಗಿ ಪೊಡೆವಟ್ಟು ಎನಗೆ ಭರ್ತೃಭೈಕ್ಷಮಂ ದೇವರ್ ಇಕ್ಕಲೆವೇೞ್ಕುಂ ಎಂಬುದುಂ: ಶಾಂತಿಪು, ೯. ೮೨ ವ)"
ಗಗನಚಾರಣ,"[ಜೈನ] ಆಕಾಶದಲ್ಲಿ ಸಂಚರಿಸುವ ಋಷಿದ್ವಯ (ಧರ್ಮವರ ಸಾಗರಸೇನರೆಂಬ ಗಗನಚಾರಣರ್ ಕಾಂತಾರಚರ್ಯಾ ಮಾರ್ಗದೊಳ್ ತಮ್ಮ ವಾಸಕ್ಕೆ ಬರ್ಪರಂ ಶ್ರೀಮತಿಯುಂ ತಾನುಂ ಕಂಡು: ಆದಿಪು, ೪. ೯೫ ವ)"
ಗಗನತಳ,"ಬಾಂದಳ, ಅಂತರಿಕ್ಷ (ಗಗನತಳಮೆ ಪಱದು ಬಿೞ್ದುದೆನಿಪ ಬಹುತಟಾಕದಿಂ ಕುಕಿಲ್ವ ನಲಿವ ಕೋಕದಿಂ: ಪಂಪಭಾ, ೧. ೫೮)"
