page,1
ಘಟ,"ಗಡಿಗೆ (ಆ ರತಿ ಪಾಪಮುಂ ಪಡಣಮುಂ ಪೋಪಂತೆ ಕಾಮಂಗೆ ಮಜ್ಜನಕೆ ಎಂದೆತ್ತಿದ ಚಂದ್ರಕಾಂತ ಘಟದೊಳ್ ತಂದು ಅೞಯಿಂ ಪುಷ್ಪವಾಸನೆಗೆಂದಿಕ್ಕಿದ ನೀಳನೀರರುಹಮಂ ಪೋಲ್ದತ್ತು ಕೞಂದುವಾ: ಪಂಪಭಾ ಪರಿಷತ್ತು, ೪. ೫೧)"
ಘಟಚೇಟಿಕೆ,"ನೀರು ತರುವ ದಾಸಿ (ಕಮಳೆಯಂ ಅಶ್ವತ್ಥಾಮಂ ಮುಂದಿಟ್ಟು ಕುರುಕುಟುಂಬ ಘಟಚೇಟಿಕೆಯಂ ತರ್ಪಂತೆ ತಂದು.. ..ಕೌರವೇಶ್ವರನಂ ಎಯ್ದೆ ಪೋಗಿ: ಪಂಪಭಾ, ೧೩. ೧೦೨ ವ)"
ಘಟಜಾತ,"ಗಡಿಗೆಯಲ್ಲಿ ಹುಟ್ಟಿದ ಅಗಸ್ತ್ಯ (ದಿಟದಿಂ ಪಯೋಧಿಯಂ ತಳತಟಮಂ ಸಾರ್ವಿನಂ ಅಮರಕುಳ ಕರಕಳಿತಂ ಘಟಜಾತಂ ಪೀರ್ದೊಡದು ಘಟಜಾತಂ ಪೀರ್ದನೆಂದು ನುಡಿವರ್: ಚಂದ್ರಪ್ರಪು, ೧೨. ೧೨೨)"
ಘಟಪ್ರೋದ್ಭೂತ,"ದ್ರೋಣ (ಶರಶಯ್ಯಾಗ್ರದೊಳ್ ಇಂತು ನೀಮಿರೆ ಘಟಪ್ರೋದ್ಭೂತಂ ಅಂತಾಗೆ ವಾಸರನಾಥಾತ್ಮಜಂ ಅಂತು ಸಾಯೆ: ಪಂಪಭಾ, ೧೩. ೬೯)"
ಘಟಸಂಭವ,"ದ್ರೋಣ (ಈ ಅೞವು ಇನ್ನೆನಗೆ ಆಜಿರಂಗದೊಳ್ ಗೞಯಿಸುಗೆ ಎಂಬಿದಂ ನುಡಿಯುತುಂ ಘಟಸಂಭವನೊಳ್ ಸುಯೋಧನಂ: ಪಂಪಭಾ, ೧೧. ೧೦೯)"
ಘಟಸಂಭೂತ,"ದ್ರೋಣ ಘಟಸಂಭೂತಂಗೆ ಕರ್ಣಂಗೆ ಅಸಾಧ್ಯನೊಳ್ ಆ ಗಾಂಡಿವಿಯೊಳ್ ಕಱುತ್ತಿಱವರಾರ್: ಪಂಪಭಾ, ೧೩. ೯)"
ಘಟಸರ್ಪ,"ಮಡಕೆಯಲ್ಲಿರುವ ನಾಗರಹಾವು (ತುಡುಕಿದ ದೋಷಿಯನಲ್ಲದೆ ಪಿಡಿಯದು ಘಟಸರ್ಪಂ: ಜಗನ್ನಾವಿ, ೧. ೧೨)"
ಘಟಾಘಟಿತ,"ಆನೆಯ ಸಮೂಹದಿಂದ ಕೂಡಿದ (ನಾಳೆ ವಿರೋಧಿಸಾಧನ ಘಟಾಘಟಿತ ಆಹವದಲ್ಲಿ ನಿನ್ನ ಕಟ್ಟಾಳಿರೆ ಮುಂಚಿ ತಾಗದೊಡಂ ಅಳ್ಕುಱೆ ತಾಗಿ ವಿರೋಧಿಸೈನ್ಯಭೂಪಾಳರಂ ಒಂದೆ ಪೊಯ್ಯದೊಡಂ: ಪಂಪಭಾ, ೧೦. ೩೯)"
ಘಂಟಾಜಾಲ,"ಗಂಟಗಳ ಸಮೂಹ (ಕನಕರಜತಮಣಿಮಯ ಘಂಟಾಜಾಲಪ್ರದೀಪಮಾಲೆಗಳಂ ನಿರ್ವರ್ತಿಸಿಯುಂ: ಅಜಿತಪು, ೧೨. ೪ ವ)"
ಘಟಾಂತಿಕೆ,"ಜೈನಯಕ್ಷಿ (ಸರ್ವ ಕಳಾವಿದೆ ಶೌಚ ಘಟಾಂತಿಕೆ ದಾನವಿನೋದೆಯೆಂಬ ಬಿರುದಿಂ ನೆಗೞ್ದಳ್: ಸಮಯಪ, ೧. ೪೦)"
ಘಂಟಾಪಥ,"(ಗಂಟೆ ಕಟ್ಟಿದ ಆನೆ ಮುಂತಾದವು ಸಾಗುವ) ಹೆದ್ದಾರಿ (ನೀಳ್ದು ಪರ್ಬಿದ ಘಂಟಾಪಥಂಗಳೊಳ್ ಅಲ್ಲಿಗಲ್ಲಿಗೆ ಪಾಂಥಜನದ ಜೀವನಕ್ಕೆ ಜೀವನವೆನಿಪ್ಪ ಪಾನೀಯಮಂಡಪದೊಳ್: ತ್ರಿಷಷ್ಟಿಪು, ೨. ೪೧ ವ)"
ಘಂಟಾರವ,"ಗಂಟೆಯ ಸದ್ದು (ದೇವಲೋಕದೊಳ್ ಶಂಖಪಟಹಕಂಠೀರವ ಘಂಟಾರವಂಗಳ್ ಒರ್ಮೊದಲೆಸೆವುದುಂ: ಶಾಂತಿಪು, ೧೦. ೧ ವ)"
ಘಂಟಾರುತಿ,"ಘಂಟಾರವ (ಕಂಠೀರವಸ್ವರ ಘಂಟಾರುತಿಗಳ್ ಯಥಾಕ್ರಮದಿನತ್ಯಾಶ್ಚರ್ಯಮೆಂಬನ್ನೆಗಂ: ಪುಷ್ಪದಂಪು, ೧೦. ೧೩)"
ಘಟಾವಣೆ,"ಹೊಂದಿಕೆ (ಯಕ್ಷರಾಕ್ಷಸರ ಕೈಯ ಘಟಾವಣೆ ದಿವ್ಯಯಾತ್ರೆಯೊಳ್ ಕೂಡೆ ಮಹೋತ್ಸವಂಬಡೆದುದಂದು ಸಹೇತುಕ ನಂದನಂಬರಂ: ಅನಂತಪು, ೯. ೬೭)"
ಘಟಾಳಿ,"ಆನೆಗಳ ಸಾಲು (ರಣದೊಳರಾತಿ ವಾರಣ ಘಟಾಳಿಯನೊರ್ವನೆ ಗೆಲ್ದಂ: ಗದಾಯು, ೧. ೧೭)"
ಘಂಟಿಕಾಜಾಲ,"ಕಿರುಗಂಟೆಗಳ ಸಮೂಹ (ಆಲಂಬಿತ ಘಂಟಿಕಾಜಾಲ ಕುಸುಮದಾಮ ಚಾಮರೋದ್ದಾಮ ಚೀನಾಂಬರಾಚ್ಛಾದಿತಂಗಳ್: ಚಂದ್ರಪ್ರಪು, ೮. ೪೫ ವ)"
ಘಟಿಕಾಭೇರಿ,"ಸಮಯವನ್ನು ಸೂಚಿಸಲು ಬಾರಿಸುವ ಭೇರಿ (ಉಣ್ಮಿತು ಮಧ್ಯಂದಿನಸೂಚ್ಯಮಪ್ಪ ಘಟಿಕಾಭೇರೀ ಗಭೀರಸ್ವರಂ: ಕುಸುಮಾಕಾ, ೧೦. ೧೦೪)"
ಘಟಿಕಾಸ್ಥಾನ,"ಧಾರ್ಮಿಕ ವಿಷಯಗಳ್ರುಚ್ಚ ಶಿಕ್ಷಣ ಕೇಂದ್ರ; ಸಿದ್ಧಿಕ್ಷೇತ್ರ (ಇವು ಘಟಿಕಾಸ್ಥಾನಂ ಮತ್ತಿವು ತೀರ್ಥಸ್ಥಾನಮೆಂಬ ರೂಢಿಯ ರೂಢೀಯ ಭಗವದ್ಭವನಕ್ಕೆ ಅಲಂಘ್ಯಮೞಲುಂ ತವೆ ಮುಕ್ಕೊಡೆಯನೆತ್ತಿ ಬಿಟ್ಟನಾ ವಸುಷೇಣಂ: ಅನಂತಪು, ೧೨. ೩೧)"
ಘಟಿತ,"ಕೂಡಿದ, ಸೇರಿಸಿದ (ಜಟಮಟಿಸಿಕೊಂಡು ನಿಮ್ಮೀ ಘಟಿಯಿಸುವ ಈ ಸಂಧಿ ಕೌರವರ್ಕಳೊಳ್ ಎನ್ನಿಂ ಘಟಿತ ಜರಾಸಂಧ ಉರಸ್ತಟ ಸಂಧಿವೊಲ್ ಒಂದೆ ಪೊೞ್ತಱೊಳ್ ವಿಘಟಿಸದೇ: ಪಂಪಭಾ, ೯. ೨೩)"
ಘಟಿಯಿಸು,"ಉಂಟಾಗಲಿರುವ (ಜಟಮಟಿಸಿಕೊಂಡು ನಿಮ್ಮೀ ಘಟಿಯಿಸುವ ಈ ಸಂಧಿ ಕೌರವರ್ಕಳೊಳ್ ಎನ್ನಿಂ ಘಟಿತ ಜರಾಸಂಧ ಉರಸ್ತಟ ಸಂಧಿವೊಲ್ ಒಂದೆ ಪೊೞ್ತಱೊಳ್ ವಿಘಟಿಸದೇ: ಪಂಪಭಾ, ೯. ೨೩);"
page,2
ಘಟಿಸು,"ಸಂಭವಿಸು (ತಾಯ ಬೞಯನುೞಯದ ಕಱುವಿನಂತೆ ನಾಮಪದಂಗಳ್ ಅರ್ಥದೊಳ್ ಅನುಗತಂಗಳಾಗೆ ಸಮಾಸಂ ಘಟಿಸುಗುಂ: ಶಬ್ದಮದ, ೧೭೩ ವೃತ್ತಿ)"
ಘಟೀಯಂತ್ರ,"ಬಾವಿಯಿಂದ ನೀರೆತ್ತುವ ರಾಟಣ (ಮದನರಾಜವಿಜಯತಂತ್ರಂಗಳೆನಿಪ ಘಟೀಯಂತ್ರಂಗಳುಂ: ಪುಷ್ಪದಂಪು, ೯. ೨೨ ವ)"
ಘಟೆ,"ಆನೆಗಳ ಗುಂಪು (ದುಷ್ಪ್ರೇಕ್ಷನುಂ ರಿಪುಘಟಾ ವಿಘಟನ ಮೃಗೇಂದ್ರನುಂ ಅಪ್ಪ ಪೂರ್ಣಚಂದ್ರನುಂ .. .. ಅಖಿಲ ಘೋೞಾಯಿಲರ್ .. .. ಕದನಕ್ಷೆಣಿಗೆ ನಡೆದರ್: ಪಂಪರಾ, ೧೩. ೨೯ ವ)"
ಘಂಟೆಯಲುಗು,"[ಸೂಳೆಯ] ಮನೆಯ ಮುಂದಿನ ಗಂಟೆಯನ್ನು ಶಬ್ದಮಾಡು (ಮತ್ತಮಲ್ಲಿ ಕೋಟಿ ಪೊಂಗೆ ಘಂಟೆಯಲುಗುವ ಕಿಱುಕುಳಬೊಜಂಗರುಮಂ ಸುಣ್ಣದೆಲೆಯಂ ಒತ್ತೆಯಿಟ್ಟು ಮದದಾನೆಯುಮಂ ಮಾಣಿಕಮುಮಂ ಒತ್ತೆಯಿಡಿಸಲಟ್ಟುವ ಚಿಕ್ಕ ಪೋರ್ಕುಳಿಬೊಜಂಗರುಂ: ಪಂಪಭಾ, ೪. ೮೭ ವ)"
ಘಟೋದ್ಭವ,"ದ್ರೋಣ (ಯಾದವವಂಶಜರುಂ ನಾನಾದೇಶ ನರೇಂದ್ರರುಂ ಘಟೋದ್ಭವನ ಧನುರ್ವೇದಮನೆ ಕಲಲ್ ಬಂದಾಳಾದರ್: ಪಂಪಭಾ, ೨. ೫೬)"
ಘಟೋಧ್ನಿ,ದೊಡ್ಡ ಕೆಚ್ಚಲುಳ್ಳ ಹಸು (ಕಾಡಿ ಕಱೆಯದ ಘಟೋಧ್ನಿಯ ಕೋಡಿಯನೋಡಿಸದ ಕೆಱೆಯ ಕೇಡಂ ಕಾಣರೆ: ಲೀಲಾವತಿ೧. ೪೮)
ಘಟ್ಟಣೆ,"ತಾಗುವಿಕೆ, ಘರ್ಷಣೆ (ಬಾಳ್ವಾಳ್ಗಳ ಘಟ್ಟಣೆಯೊಳ್ ಬಳ್ವಳ ಬಳೆದೊಗೆದು ನೆಗೆದ ಕಿಡಿಗಳ ಬಂಬಲ್ಗಳ್ವೆರಸು ಪೊಳೆದು ನೆಗೆದುದು ಬಾಳ್ವೊಗೆ: ಪಂಪಭಾ, ೧೦. ೮೪)"
ಘಟ್ಟನ,"ಹೊಡೆತ (ಚಟುಳಿತ ಚಕ್ರನೇಮಿ ಪರಿವರ್ತನ ಘಟ್ಟನಘಾತನಿರ್ಭರ ಸ್ಫುಟಿತ ಧರಾತಳಂ: ಪಂಪಭಾ, ೧೧. ೧೪೭)"
ಘಟ್ಟಾಘಟ್ಟಿ,"ಪರಸ್ಪರ ಹೊಡೆದಾಟ (ಇಲ್ಲಿ ಘಟ್ಟಾಘಟ್ಟಿಯಿಂ ಮಲ್ಲಾಮಲ್ಲಿಯಿಂ ಮಾೞ್ಪ ಯುದ್ಧಂಗಳ್ ಸಂಸ್ಕೃತ ಕರ್ಣಾಟಕದೊಳ್ ತತ್ಸಮಂಗಳ್: ಶಬ್ದಮದ, ೧೯೬ ಪ್ರ)"
ಘಟ್ಟಿ,"ಶ್ರೀಗಂಧ (ಮೌಕ್ತಿಕಕುಂಡಳಂ ಕುಚಂಗಳೊಳ್ ಒಲೆದಾಡೆ ಲೀಲೆಯೊಳೆ ಘಟ್ಟಿಮಗುೞ್ವುದು ಅಂಗನಾಜನಂ: ಆಚವರ್ಧ, ೧. ೬೫)"
ಘಟ್ಟಿಕೆ,"ಉಂಟಾಗುವಿಕೆ; ಗೊಂಚಲು (ಕುಸುಮ ಕುಟ್ಮಲಳದ ಘಟ್ಟಿಕೆಗಳಂ ಪಿಡಿದಿರ್ಪ ಪರಿಚಾರಿಕಾಜನಂಗಳುಮಂ: ತ್ರಿಷಷ್ಟಿಪು, ೩. ೧೦೫ ವ)"
ಘಟ್ಟಿಮಗುೞ್ಚು,"ಗಂಧ ತೇಯುವಾಗ ಮೇಲೆ ಕೆಳಗೆ ಮಾಡುವುದು (ಮನಂಬುಗೆ ನಳಿತೋಳ ಕೋಳೆಸೆಯೆ ಘಟ್ಟಿಮಗುೞ್ಚುವ ಘಟ್ಟಿವೞಯಂ ಭೋಂಕನೆ ಕಂಡು ಕೀಚಕಂ: ಪಂಪಭಾ, ೮. ೫೯ ಮತ್ತು ೫೯ ವ)"
