page,1
ಚಂಕನತ್,"ಹೊಳೆಯುವ (ಅಲ್ಲಿಗೆ ದಳನ್ನೀಲಾತಸೀ ಚಂಕನತ್ ತನು ತೋಯಾಹರಣಾರ್ಥಿ ಬಂದಂ ಅಭಯಂ ಸೌಮಿತ್ರಿ ಶತ್ರುಂಜಯಂ: ಪಂಪರಾ, ೭. ೧೦೪)"
ಚಕಾರಚತುಷ್ಕ,"ನಾಲ್ಕು ಚಕಾರಗಳು, ಚಕಾರ ಹೆಚ್ಚು ಬಳಸುವ ವ್ಯಾಸನ ವೈಶಿಷ್ಟ್ಯ (ಭಾರತಾದಿಯೊಳ್ ವಿರಚಿಸಿ ಪೇೞ್ವ ಪದ್ಯದ ಚಕಾರಚತುಷ್ಕ: ಸಮಯಪ, ೧೦. ೧೭೫)"
ಚಕಿತ,"ಭಯಗೊಂಡ (ಅಳುರ್ವ ಕೋಪಶಿಖಿಗಳ ನಡುವಿರ್ತಲೆವೊತ್ತಿದ ಪುಳ್ಳಿಯ ಪುೞುವೊಲಿರ್ದಂ ಅತಿಚಕಿತಚಿತ್ತಂ ಅಪರಾದಿತ್ಯಂ: ಗದಾಯು, ೧. ೨೩)"
ಚಕೋರ,"ಬೇಳುದಿಂಗಳನ್ನೇ ಕುಡಿಯುವುದೆಂದು ಹೇಳಲಾಗುವ ಒಂದು ಕಲ್ಪಿತ ಪಕ್ಷಿ (ಶುಕ ಕಾರಂಡ ಚಕೋರ ಸಾರಸ ಮಯೂರಾಕಾರದಿಂ ವ್ಯಾಘ್ರ ಸಿಂಹ ಕುರಂಗಾಂಬುಜ ವಕ್ರ ಮತ್ಸ್ಯ ಮಕರೇಭಾಕಾರದಿಂ ಚೆಲ್ವುವೆತ್ತು: ಸುಕುಮಾಚ, ೧೦. ೫೩)"
ಚಕ್ಕಣ,"[ಚಕ್ಷಣ] ನೋಟ (ಮೃಡನಂ ಜಾನಿಸುವೆಡೆಯೊಳ್ ಬಿಡೆ ಚಕ್ಕಣದಿಂದೆ ನಾಲ್ವೆರಲ್ ನೆಗೆದಿರ್ಪಂ ಗಡ ಯೋಗಿ: ಸಮಯಪ, ೧೨. ೨೪); ಚಾಕಣ, ಮದ್ಯಪಾನದಲ್ಲಿ ನಂಜಿಕೊಳ್ಳುವ [ಖಾರವಾದ] ತಿಂಡಿ (ಗೇಯದೊಳ್ ಈಕೆ ಸೊರ್ಕನಿಕ್ಕಿದಳೆನೆ ಕಳ್ಗೆ ಚಕ್ಕಣಮೆನಿಪ್ಪುದು: ಪಂಪಭಾ, ೭. ೯೦)"
ಚಕ್ಕವತ,"ಚಕ್ಕೋತ ಸೊಪ್ಪು (ಸುರುಚಿರ ಚಕ್ಕವತಂ ಚಿರಿಕೆ ರಾಜಗಿರಿ ಕೆಸವು ಕೀರೆ ದೊಗ್ಗಳೆಯೆಲೆ ವಾದುರವಂ ಬಡಿಸಿದರ್: ಧರ್ಮಪ, ೨. ೫೮)"
ಚಕ್ಕೞ,"ಚಪ್ಪಟೆಯಾದುದು (ಚಕ್ಕೞದ ಮೊಲೆಗಳುಂ .. .. ಇನಿಯನ ರೋಸಕ್ಕೆಡೆಯಾಯ್ತು: ಲೀಲಾವತಿ, ೧೩. ೯೨)"
ಚಕ್ಕುಚಕ್ಕನೆ,"ಚಕ್ ಚಕ್ ಎಂದು (ನಿಶಾತಶರಾಳಿಗಳ್ ಎಯ್ದೆ ಚಕ್ಕುಚಕ್ಕನೆ ಕೊಳೆ ಮೊಕ್ಕುಮೊಕ್ಕೆನೆ ಶಿರಂಗಳುರುಳ್ದುವು ವೈರಿಭೂಪರಾ: ಪಂಪಭಾ, ೧೨. ೧೧೯)"
ಚಕ್ಕುಮೊಕ್,"ಚಕ್ ಮೊಕ್ ಎಂದು (ಬೇವ ಶವಸಂಘಾತಂಗಳಂ ಚಕ್ಕುಮೊಕ್ಕೆಂದು ಆಗಳ್ ಕಡಿದು ಉಗ್ರಭೂತನಿಕರಂ ಕೆಯ್ ಬೇಯೆ ಬಾಯ್ ಬೇಯೆ ತಿಂಬಂದಂ: ಪಂಪಭಾ, ೧೩. ೭೧)"
