page,1
ಛಟಾ,"ಸಮೂಹ (ತಚ್ಚರಣಂಗಳಂ ವಿಮಲವಿಲೋಚನ ಮರೀಚಿಚ್ಛಟಾ ಚಂದನ ಚರ್ಚೆಗಳಿನರ್ಚಿಸುತ್ತುಂ: ನೇಮಿನಾಪು, ೧. ೯೦ ವ)"
ಛಟೆ,"ಕಾಂತಿ (ಪಾಂಡುರಲೋಲತ್ ಕಟಾಕ್ಷಮಾಲಾಚ್ಛಟೆಗಳ್ ಗಂಡಸ್ಥಳದೊಳ್: ಜಗನ್ನಾವಿ, ೧೦. ೧೨೦)"
ಛಟ್ಟ,ಚಾಂದ್ರಮಾನದ ಪ್ರಕಾರ ಷಷ್ಠಿ ತಿಥಿ (ಷತ್ವಕ್ಕೆ ಟತ್ವಂ: ಗೋಷ್ಠೀ
ಛತ್ರರತ್ನ,"[ಜೈನ] ಚಕ್ರವರ್ತಿಗೆ ತಾನಾಗಿ ದೊರಕುವ ಏಳು ರತ್ನಗಳಲ್ಲಿ ಒಂದು (ವರಚರ್ಮರತ್ನಮುಂ ಛತ್ರರತ್ನಮುಂ ತಮ್ಮ ತಮ್ಮ ಬೆಸಗಳನ್ ಉಱದಿರ್ಪಿರವಿಂದೆ: ಶಾಂತಿಪು, ೧೧. ೫೬)"
ಛಂದ,"ವೇದ (ವೇದಂ ಛಂದಂ ಶ್ರುತಿ: ಅಭಿಧಾವ, ೧. ೧. ೧೨)"
ಛದ,"ಎಲೆ (ನೋಡುತ್ತೆ ಅಸವಸದೆ ಜೀರ್ಣಾತ್ ಛದಂಗಳ್ ಮೇಳಂಗೊಡೊಪ್ಪೆ ಶಾಖಾಗ್ರದೊಳ್; ರಾಜಶೇವಿ, ೯. ೨೯)"
ಛದನ,"ಎಲೆ ಛದನಂ ಪತ್ರಂ ಪರ್ಣಕಂ ಛದಂ ಪಳಾಶಂ ದಳಮ ಸಮವೇಕಾರ್ಥಂ: ಅಭಿಧಾವ, ೧. ೭. ೫)"
ಛಂದೋವಿ[ದ್ಯಾ]ದ್ಯೆ,"ಛಂದಶ್ಶಾಸ್ತ್ರ (ಮತ್ತಂ ಅತಿಲಲಿತಂ ಅತಿವಳಭಿಚ್ಛಂದಂಳಿಂ ಛಂದೋವಿದ್ಯೆಯುಮಂ: ಸುಕುಮಾಚ, ೧೦.೫೦ ವ)"
ಛಂದೋವಿಚಿತಿ,"ಛಂದಶ್ಶಾಸ್ತ್ರ (ಸ್ವಯಂಭುವ ಭಿಧಾವಪದವಿದ್ಯಾ ಛಂದೋವಿಚಿತಿ ಅಲಂಕಾರಗಳೆಂಬ ಮೂಱ್ಱಂ ಪೆಸರ್ವಡೆದ ವಾಙ್ಮಯಮುಮಂ: ಆದಿಪು, ೮. ೬೦ ವ); ವೃತ್ತಭೇದಗನ್ನು ವಿವರಿಸುವ ಶಾಸ್ತ್ರ (ಅಂತು ಪಂಚಾಂಗವ್ಯಾಕರಣದೊಳಂ ವೃತ್ತಭೇದಮಪ್ಪ ಛಂದೋವಿಚಿತಿಯೊಳಂ ಶಬ್ದಾಲಂಕಾರ ನಿಷ್ಠಿತಮಪ್ಪ ಅಲಂಕಾರದೊಳಂ: ಪಂಪಭಾ, ೨. ೩೪ ವ)"
ಛದ್ಮಬಾಲಿಶ,"ಮಾರುವೇಷ ಹಾಕಿಕೊಂಡು ಆಟ ಆಡುವವನು (ಆರ್ ಗೆಲ್ವರ್ ಈ ಛದ್ಮಬಾಲಿಶನಂ ದೈವೀಸೂತ್ರಮಂ: ಜಗನ್ನಾವಿ, ೩. ೧೯)"
ಛದ್ಮಸ್ಥ,"[ಜೈನ] ಕೇವಲಜ್ಞಾನಿಯಾಗಲು ಹಿಂದಿನ ಅವಸ್ಥೆಯಲ್ಲಿರುವವನು (ಪ್ರಥಮಶುಕ್ಲಧ್ಯಾನಪರಿಣತಿಯಿಂ ಕ್ಷೀಣಕಷಾಯವೀತರಾಗ ಛದ್ಮಸ್ಥ ಗುಣಸ್ಥಾನ ವ್ಯವಸ್ಥಿತನಾಗಿ: ಸುಕುಮಾಚ, ೮. ೬೨ ವ)"
ಛದ್ಮಸ್ಥಕಾಲ,"[ಜೈನ] ಛದ್ಮಸ್ಥ ಅವಸ್ಥೆಯಲ್ಲಿರುವವನು (ತತ್ ನೇಮೀಶ್ವರನುಂ ಛದ್ಮಸ್ಥಕಾಲಂ ಅಯ್ವತ್ತಾಱುದಿನಂ ಪೋಗೆ: ಕರ್ಣನೇಮಿ, ೧೩. ೮೩ ವ)"
ಛದ್ಮಸ್ಥಗುಣಸ್ಥಾನ,"[ಜೈನ] ಜ್ಞಾನಾವರಣ ಮತ್ತು ದರ್ಶನಾವರಣಗಳು ಛದ್ಮ, ಅದರಲ್ಲಿರುವವರು ಛದ್ಮಸ್ಥ; ೪ ರಿಂದ ೧೦ ಗುಣಸ್ಥಾನವರೆಗಿನವರು ಸರಾಗಛದ್ಮಸ್ಥರು, ೧೦ ರಿಂದ ೧೨ ರವರೆಗಿನವರು ವೀತರಾಗಛದ್ಮಸ್ಥರು (ವೀತರಾಗಛದ್ಮಸ್ಥಗುಣಸ್ಥಾನಂ ಏಕತ್ವವಿತರ್ಕವಿಚಾರಾಭಿಧಾನ ಪರಿಣತಂ ಅಪರಿಮಿತಪ್ರದೇಶನಿರ್ಜರಾದಿ ಕ್ರಿಯಾಕಳಾಫಂ: ಆದಿಪು, ೧೦. ೧೪ ವ)"
