page,1
ಜಂಕರಿಸು,"ಹೆದರು (ಜಂಕರಿಸಂ ಕಾತರಿಸಂ ಮಾಂಕರಿಸಂ ಬೆಕ್ಕಸಂಬಡಂ ಬೆಕ್ಕರಿಸಂ ಹೂಂಕರಿಸಂ ನಿರ್ವಿನಿಸಂ ಜೀಂಕರಿಸಂ ಜಿನುಗಂ ಅವನಿಸಂ ಕೊಕ್ಕರಿಸಂ: ಅಜಿತಪು, ೫. ೮೯)"
ಜಂಕಿಸು,"ಗದರಿಸು, ಹೀಯಾಳಿಸು (ಬಿಸುಗದಿರನ ಕಡುಗಾಯ್ಪಂ ಮಸುಳಿಸಿದುವು ತುಱುಗಿ ನೆಗೆದು ನಾಲ್ಕುಂ ದೆಸೆಯಂ ಮುಸುಕಿದುವು ಮುಳಿದರಂ ಜಂಕಿಸಿದುವು ಬಿಡದಾರ್ದು ಕಾವನೆಚ್ಚಲರ್ಗಣೆಗಳ್: ಕಬ್ಬಿಗಕಾ, ೨೩೫)"
ಜಂಕೆ,"ಗದರಿಕೆ (ಪರಿವ ಗಾಲಿಯ ಕೋಳ್ಗೆ ಕೆಳರ್ತು ಬೆಟ್ಟುಗಳ್ ಕೂಡೆ ಸಡಿಲ್ವಿನಂ ಪೊಡೆವ ಬೀರರ ಜಂಕೆಗೆ ಗೊಂಟಿನಾನೆಗಳ್ ಕೋಡುವಿನಂ ಕಡಂಗಿ ಪರಿತಂದುವು ತೋರ್ಕೆಯ ತೇರ್ಗಳೋಳಿಯಿಂ: ಕಬ್ಬಿಗಕಾ, ೧೬೦)"
ಜಂಕೆ ಝಂಪಂ,"ಜಂಪಂ: ಶಬ್ದಮದ, ೨೬೯ ಪ್ರ)"
ಜಕ್ಕ,"ಯಕ್ಷ (ಕುಬೇರನಿಂ ಕಪ್ಪಂಗೊಂಡು ಪೊನ್ನಂ ಜಕ್ಕರೆಕ್ಕೆಯಿಂ ಪೊತ್ತು ಬರೆ: ಪಂಪಭಾ, ೬. ೩೨ ವ)"
ಜಕ್ಕಂಜಱ,"ಬಹಳ ನಿಂದನೆಮಾಡು (ಅಂತು ಜಕ್ಕಂಜಱವ ಕಜ್ಜಮಂ ಕೇಳ್ದು: ಅನಂತಪು, ೮. ೧೯ ವ)"
ಜಕ್ಕಂದೊೞ,"ಗುಂಡಗೆ ಸುತ್ತುವ ಉಯ್ಯಾಲೆ ಸುೞಗಾಳಿಯ ತೂಲದಂತೆ ಜಕ್ಕಂದೊೞದಂತೆಱಾಟಣದ ಗುಂಡಿಗೆಯಂತೆ: ಚಂದ್ರಪ್ರಪು, ೧೩. ೯೦)"
ಜಕ್ಕಂದೊೞಲಿ,"ಕೋಣ (ಹರಿ ಜಕ್ಕಂದೊೞಲಿಯಂ ಅನುಕರಿಸಿರ್ದಂ ಬಹಳ ಬಾಹುಚಾಳನ ಗತಿಯೊಳ್: ನೇಮಿನಾಪು, ೮. ೧೧೬)"
ಜಕ್ಕರೆಕ್ಕೆ,"[ಜಕ್ಕರ್+ಎಕ್ಕೆ} ಯಕ್ಷರು ಒಟ್ಟಾಗಿ (ಕೈಳಾಸದ ಮೇಗಣ್ಗೆ ವಂದು ಕುಬೇರನಿಂ ಕಪ್ಪಂಗೊಂಡು ಜಕ್ಕರ್ ಎಕ್ಕೆಯಿಂ ಪೊತ್ತು ಬರೆ: ಪಂಪಭಾ, ೬. ೪೨ ವ)"
ಜಕ್ಕವಕ್ಕಿ,"ಚಕ್ರವಾಕ ಪಕ್ಷಿ (ಬನಮಂ ಕೋಗಿಲೆ ಜಕ್ಕವಕ್ಕಿ ಪಗಲಂ ಪೂಗೊಂಚಲಂ ತುಂಬಿ ಚಂದ್ರನನಂಭೋನಿಧಿ: ಆದಿಪು, ೧೨. ೩೧)"
ಜಕ್ಕಿ,"ಯಕ್ಷಿ (ಜಕ್ಕಿಯರೂೞವೆ ಕೂಟದೇೞ್ಗೆಯೊಳ್ ಸುರುಕೆನಬಾರದೆಂಬ ಬೆಲೆವೆಣ್ಗಳ ಕೂಟಮಂ ಇಕ್ಕು ಕಿಚ್ಚಿನೊಳ್: ಅನಂತಪು, ೮. ೫೭)"
ಜಕ್ಕುಗೊಳ್,"ಚಿವುಟು, ಉಗುರ ಗುರುತು ಹೊಂದು (ಮರೆದೊಱಗಿದ ಎಡ್ಡ ಮಿಂಡಿಯರ ಮೇಲುದಂ ಸೆಳೆದು ಕುಸಿದು ಕೆಳಕ್ಕೆ ಎೞೆದು ಜಕ್ಕುಗೊಂಡು ತಕ್ಕೆಗೆ ತೋರವಾದ ಪೇರುರದ ಮೊಲೆಗಳೊಳಪೊಕ್ಕು: ಲೀಲಾವತಿ, ೩. ೨೦ ವ)"
ಜಕ್ಕುಲಿಸು,"ಮೋಹಗೊಳಿಸು (ಮುರಿದು ಸುತ್ತಿದ ಚಂಪಕಮಾಲೆ ಕಣ್ಗಳಂ ಜಕ್ಕುಲಿಸಿತ್ತು: ನೇಮಿನಾಪು, ೩. ೯೯); ಆವರಿಸು, ವ್ಯಾಪಿಸು (ಆಕೆಗಳ ಕಱಂಗಿದ ಕುಚ ಚೂಚುಕಂಗಳಿಂದೆಸೆದು ತೋಳ ಮೊದಲಿಂ ಜಕ್ಕುಲಿಸುವ ಪೆರ್ಮೊಲೆ: ಪಂಪರಾ, ೩. ೧೩೩ ವ); ಕಚಗುಳಿಯಿಡು; ಅಲ್ಲಾಡು (ಎತ್ತಿದ ಪೞಯಿಗೆ ಜಕ್ಕುಲಿಸುತ್ತಿರೆ ನಕ್ಕಪುದು ಗಗನಂ: ಆಚವರ್ಧ, ೮. ೩)"
ಜಗ,"ಜಗತ್ತು (ಜಗಮಂ ಮಾಡಿದ ಪದ್ಮಜಂ: ಪಂಪಭಾ, ೪. ೭೫)"
ಜಗಚ್ಚಕ್ರ,"ಭೂಮಂಡಲ (ಚಕ್ರಿಗೆ ಸುತ್ತಾಕ್ರಾಂತ ಸಮಸ್ತ ಜಗಚ್ಚಕ್ರಂ: ಕಾದಂಬ, ೧. ೯)"
ಜಗಜ್ಜನ,"ಜಗತ್ತಿನ ಜನ (ನೇತ್ರಾನಂದಕರಂ ಈ ಜಗಜ್ಜನಚೂಡಾಮಣಿ: ಮಲ್ಲಿನಾಪು, ೧೧. ೯೩)"
ಜಗಜ್ಜನಕ,"ಲೋಕದ ತಂದೆ ಜಗಜ್ಜನಕನೆಂಬುದು ಮೇದಿನಿ ಶಾಂತಿವರ್ಮನಂ: ಪುಷ್ಪದಂಪು, ೧. ೭೫)"
ಜಗಜ್ಜೀವನ,"ಜಗತ್ತನ್ನು ಬದುಕಿಸುವ (ನದನದೀಕುಳದೊಳ್ ಪರಿವರ್ಧಿಕುಂ ಜಗಜ್ಜೀವನಜೀವನಂ: ಜಗನ್ನಾವಿ, ೪. ೭೭)"
ಜಗಜ್ಜೈತ್ರ,"ಜಗತ್ತನ್ನು ಗೆಲ್ಲುವ (ಮಧುಮಿತ್ರ ಜಗಜ್ಜೈತ್ರಾಯುಧಗೃಹಮೆನೆ ವಿಕಚ ವಿಚಕಿಳಂ ಸೊಗಯಿಸುಗುಂ: ಚಂದ್ರಪ್ರಪು, ೭. ೫೦)"
ಜಗತಿ,"ಜಗಲಿ (ಎಸೆವ ಕಪ್ಪುರದ ಱೊಬ್ಬಿನುರ್ವಿದ ಜಗತಿಯೊಳ್ ಅಸುಕೆಯ ಪೊಸದಳಿರ ಪಾಸಿನೊಳ್: ಕರ್ಣನೇಮಿ, ೧೩. ೨೦ ವ); ಜಗತ್ತು (ವಸುಂಧರೆ ಕು ಮಹಿ ಜಗತಿ ವಿಶ್ವಂಭರೆ: ಅಭಿಧಾವ, ೧. ೫. ೧)"
page,2
ಜಗತೀಜನ,"ಜಗತ್ತಿನ ಜನ (ಕಡೆಯೊಳ್ ತೀರ್ಥಂಕರಂ.. ..ಉರ್ವಿಗಿೞತಂದಂ ಬಂಧುರಾನಂದಮಂ ಪಡೆಯುತ್ತುಂ ಜಗತೀಜನಕ್ಕೆ: ಶಾಂತೀಶ್ವಪು, ೨. ೧೨೦)"
ಜಗತೀತಲ,"ಭೂಮಿತಳ (ಜಹತೀತಳಮಂ ಪ್ರಭು ಮೇಘರಥಂಗಿತ್ತಂ: ಶಾಂತಿಪು, ೯. ೬೨)"
ಜಗತೀತಳ,"ಜಗಲಿ (ಷೋಡಶಸೋಪಾನೋಪಶೋಭಿತ ಜಗತೀತಳಮಧ್ಯದೊಳ್ ಅನುಕ್ರಮದೊಳ್ ಎಂಟು ನಾಲ್ಕುನಾಲ್ಕುಂ ಬಿಲ್ನಿಡಿಯವಾಗಿ: ಆದಿಪು, ೧೦. ೨೩ ವ)"
ಜಗತೀತ್ರಯ,"ಮೂರು ಲೋಕಗಳು (ಬಸಿಱೊಳ್ ಜಗತೀತ್ರಯಮಂ ಒಸೆದಿಟ್ಟು ಓರಂತೆ ಕಾದ ಪೆಂಪಿನ ನಿಮ್ಮೀ ಬಸಿಱಂ ಪೊಕ್ಕ ಅಯ್ವರಂ ಅಸುರಕುಳಾಂತಕ ಕಡಂಗಿ ಕಾವುದು ಪಿರಿದೇ: ಪಂಪಭಾ, ೯. ೧೬)"
