page,1
ಝಂಕರಣ,"ಝೇಂಕಾರ (ಸರಸಿಜವನಂಗಳಲರ್ವಿನಂ ಇರಲಾಱದೆ ಬೇಗಮೆಱಗುವಳಿನೀನಿವಹದ ಝಂಕರಣಕ್ಕೆ ಕಾಯ್ಪುಗೊಂಡು: ಆದಿಪು, ೧೨. ೫೧)"
ಝಂಕಾರ,"ದುಂಬಿಗಳ ಮೊರೆತ (ದರದಳಿತಾಂಭೋರುಹದಳಪರೀತ ಪಟ್ಟದ ನಿಬದ್ಧ ಝಂಕಾರೈಕಾಕ್ಷರ ದಿವ್ಯಮಂತ್ರದಿಂದಂ: ಮಲ್ಲಿನಾಪು, ೫. ೪)"
ಝಣಝಣಾಯಮಾನ,"ಝಣಝಣ ಎನ್ನುವ (ಆತ್ಮೀಯ ಘನಜಘನದ ನುಣ್ಪಿನೊಳ್ ನುಣ್ಪುಮೆಗೆತ್ತು ಝಣಝಣಾಯಮಾನ ಮಣಿಕಿಂಕಿಣೀವಿರಾಜಿತ: ಆದಿಪು, ೪. ೪೧ ವ)"
ಝಣಂಬ,"ಮೇಲುಹೊದಿಕೆ (ಇಂದ್ರಜಾಲಿಗರ ಪಾಪೆಗಳುಂ ಸೀರೆಗಳುಂ ಝಣಂಬಮುಮಂ ತೊಟ್ಟು ಶ್ಮಶಾನದೊಳುರಿವ ಕಿಚ್ಚಿನ ಪಕ್ಕದೆ ನಿಂದಿರ್ದಳ್: ವಡ್ಡಾರಾ, ಪು ೧೯, ಸಾ ೧೨)"
ಝಂಪಾಣ,"ಮುಸುಕು (ಬಾಸಣಿಸಿದ ಮದನನ ಬಾಣಾಸನದವೊಲೆಸೆವ ಚಾರುಝಂಪಾಣದೊಳು: ಪುಷ್ಪದಂಪು, ೫. ೨೦)"
ಝಂಪಾಳ,"ಮೇಲ್ಮುಸುಕು (ದಾಡಿಮೀಫಲಂಗಳ ಮೇಲೆ ಮುತ್ತಿ ಝಂಪಾಳಂಗಳಂ ಕವಿಯಲುಂ .. .. ಪೋಗೆವೋಗೆ: ಕಾದಂಬ, ೬. ೨೫ ವ)"
ಝಲ್ಲರಿ,"ಒಂದು ಚರ್ಮವಾದ್ಯ (ಆಗಳ್ ಕುರುಧ್ವಜಿನಿಯುಂ ಅನೇಕ ಶಂಖ ಕಾಹಳ ಭೇರೀ ಪಣವ ಝಲ್ಲರೀ ಮೃದಂಗ ತೂರ್ಯಂಗಳ್ ಅಂತ ಕಾಲಾಂತಕ ವಿಕಟಾಟ್ಟಹಾಸಂಗಳ್ ಎಂಬಂತೆ ಮೊೞಗೆ: ಪಂಪಭಾ, ೧೧. ೩೩ ವ); ಕಂಚಿನ ತಾಳ (ಪಟುಪಟಹ ತುಣವ ಭಂಭಾ ಮರ್ದಳೆ ಝಲ್ಲರಿ ಮುಕುಂದ ತಾಳ ಕಾಹಳ ಶಂಖ ವಂಶ ವೀಣಾಸ್ವರಂಗಳೆಸೆಯೆ: ವಡ್ಡಾರಾ, ಪು ೮೪, ಸಾ ೨೮); ಜರಡಿ (ಝಲ್ಲರಿವೋಲ್ ಝಲ್ಲೆನೆ ಸೂಸಿ ನಿರ್ಝರಂ ಬೀೞ್ತರ್ಪಿನಂ: ನೇಮಿನಾಪು, ೮. ೧೧)"
ಝಲ್ಲಿಸು,"ದ್ರವಿಸು (ಕಲ್ಲಲ್ತೇ ಶಶಿಕಾಂತಂ ಝಲ್ಲಿಸುವುದು ಚಂದ್ರಕಿರಣಮಂ ತಗಲೊಡಂ: ಅನುಭವ, ೯೦)"
ಝಷ,"ಮೀನು (ಚಳತ್ಕದಳಿಕಾಮಾಳಂ ಝಷಾನೀಕಂ ಅಚ್ಚರಿಯಂ ಬಾಹುಬಲೀಶ್ವರಂಗೆ ಪಡೆದತ್ತು ಆತ್ಮೀಯಸೈನ್ಯಾರ್ಣವಂ: ಆದಿಪು, ೧೪. ೯೧ ವ)"
ಝಷಕೇತನ,"ಮೀನಿನ ಗುರುತುಳ್ಳ ಧ್ವಜವುಳ್ಳವನು, ಮನ್ಮಥ (ಪಾರ್ವತಿಯ ನವಯೌವನಂ .. .. ಝಷಕೇತನ ನಿಕೇತನ ತೋರಣ ರತ್ನಸ್ತಂಭಗಳಂತೆ: ಗಿರಿಜಾಕ, ೪. ೧೨ ವ)"
ಝಷಕೇತು,"ಝಷಕೇತನ (ಸೀರ್ಪನಿಗಳ್.. .. ಅರರೆ ತುಫಾಕದಿಂ ನೆಗೆವ ಗುಂಡಿನವೋಲ್ ಝಷಕೇತುವೀರನಾ: ರಾಜಶೇವಿ, ೫. ೬೯)"
ಝಳಂಬಂ,"ಮೇಲು ಮುಸುಕು, ಹೊದಿಕೆ (ಬಣ್ಣದ ಸೀರೆ ಮೇಘವಂಣಿಗೆಯ ಝಳಂಬಂ ಎಂಬಿವು ಅಳವಟ್ಟಿರೆ .. .. ನಡೆತಂದಂ .. .. ಅಪೂರ್ವಚಿತ್ರಿಕಂ: ಮಲ್ಲಿನಾಪು, ೫. ೨೭)"
ಝಾಳೆಯಂಗೊಳ್,"ತೆಗೆದುಕೊ, ಕಿತ್ತುಕೊ (ಅರಸರ ಕಾಪಿನ ಪೊಲನಂ ಪೊಕ್ಕುವೆಂದು ಉಂಡಿಗೆಯೊತ್ತಿಕೊಳುತ್ತುಂ ಊೞಗವಾದೆಡೆಗಳೊಳ್ ಝಾಳೆಯಂಗೊಳುತ್ತುಂ: ಸುಕುಮಾಚ, ೭. ೩೫ ವ)"
ಝಿಲ್ಲಿಕಾ,"ಜೀರುಂಡೆ (ಚೀರೀ ಝಿಲ್ಲಿಕಾ ಭೃಂಗಾರೀ ಶಬ್ದಂ ಸಮಾನವಾಚ್ಯಂ: ಅಭಿಧಾವ, ೯. ೨೩)"
ಝೆಂಕಟ,"ವಾದ್ಯವಿಶೇಷ (ಕಂಕರಿಯ ಸಿವಿಱ ಪೆಂಪಿನ ಝೆಂಕಟ ಬೊಂಬುೞಯ .. .. ಉಲಿ ನೆಗೞ್ದು ಕರ್ಣಾಮೃತ ಸಮುದ್ರಘೂರ್ಣನಮಾಯ್ತೋ: ಪುಷ್ಪದಂಪು, ೧೨. ೨೭)"
ಝೇಂಕರಿಸು,"ಶಬ್ದ ಮಾಡು, ಆರ್ಭಟಿಸು (ಓರಂತು ತಗುಳ್ದು ಝೇಂಕರಿಸಿದೊಡೆ ಎಲ್ವಡಗಾಗೆ ಮೋದಲೆಂದಿರ್ದ ಎಡೆಯೊಳ್ ಗುರು ತನ್ನ ಮಗನಂ ಎಡೆವುಗವೇೞ್ದಂ: ಪಂಪಭಾ, ೨. ೭೩); ಹೊಗಳು (ಶಂಕರನಾರಾಯಣನ ಕರಂ ಕಿಡುವುದು ಯುಗದ ಕಡೆಯೊಳ್ ಎಂದೆನುತುಂ ಝೇಂಕರಿಸಿ: ಸಮಯಪ, ೯. ೯)"
ಝೋಂಪಿಸು,"ತೂಕಡಿಸು, ಮೈಮರೆ (ಇರುಳೋರಂತಿರೆ ಕಾದಂಬರಿಯನೆ ನೋಡುತ್ತುಮಿರ್ದು ಝೋಂಪಿಸೆ ನಿದ್ರಾತುರನಾಗಿ ಪೞ್ಕೆ ಸಾರ್ವಂತಿರೆ ಸಾರ್ದಂ ಚಂದ್ರಂ ಅಪರವೇಲಾವನಮಂ; ಕಾದಂಸಂ, ೫. ೬೪);"
page,2
page,3
page,4
page,5
page,6
page,7
page,8
page,9
page,10
page,11
page,12
page,13
page,14
page,15
page,16
page,17
page,18
page,19
page,20
