page,1
ಟಂಕ,"; ಕುದುರೆ ಲಾಳ; ಕಲ್ಲು ಕೆತ್ತುವ ಚಾಣ, ಉಳಿ (ಆಕರ್ಣಾಕೃಷ್ಟ ಉತ್ಸೃಷ್ಟನಿಜವಿಕೀರ್ಣ ಟಂಕಂಗಳಿಂದಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ); ಕಲ್ಲು ಕೆತ್ತುವ ಚಾಣ, ಉಳಿ (ಆಕರ್ಣಾಕೃಷ್ಟ ಉತ್ಸೃಷ್ಟ ನಿಜ ವಿಕೀರ್ಣಟಂಕಂಗಳಿಂದಂ ತತ್ಪತಾಕಿನೀಕುಂಜರ ಶಿರಶ್ಶಿಳಾ ಪಟ್ಟಕಂಗಳಂ ಇರ್ಬಗಿಮಾಡಲ್ಪಡದೆಯುಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ); ಬೆಟ್ಟದ ಇಳಿಜಾರು (ಮಾದ್ಯತ್ ಗಜಗಂಡಕಷಣಪ್ರೋದ್ಭೇದದಿಂ ಸಾರ್ದು ಬಂದು ಇದಿರೊಳ್ ಕೂಡುವುದಿಲ್ಲಿ ಚಂದನರಸಂ ಕೆಂಬೊನ್ನ ಟಂಕಂಗಳೊಳ್: ಪಂಪಭಾ, ೪. ೨೨)"
ಟಂಕಾರ,"ಬಿಲ್ಲಿನ ಠೇಂಕಾರ (ಬಿಲ್ಲನೇಱಸಿ ಟಂಕಾರವಗುರ್ವುವಡೆಯೆ ಜೇವೊಡೆದು: ಪಂಪರಾ, ೯. ೫೭)"
ಟಕಾರಿ,"ತೋರಣ ಸಾರಮಂ ಕಿಱುಮಿಡಿಗೆತ್ತು ಸಾರಿಕೆ ಟಕಾರಿಯ ಮಾಣಿಕವಟ್ಟೆಯಂ ಪಿಕಂನಿಱದಳಿರ್ಗೆತ್ತು ಲಂಬಣದ ಮುತ್ತುಗಳಂ ಮೞೆಗೆತ್ತು ಚಾತಕಂ: ಅನಂತಪು, ೬. ೪೩)"
ಟಂಕಾಹತಿ,"ಚಾಣದ ಪೆಟ್ಟು (ಕರಿಸೇನಾಕರಲೂನವೈರಿ ವನದುರ್ಗವ್ರಾತನಶ್ವಾವಳೀಖುರ ಟಂಕಾಹತಿ ಪಾತಿತಾರಿಗಿರದುರ್ಗವ್ರಾತಂ: ಚಂದ್ರಪ್ರಪು, ೪. ೨೭)"
ಟಂಕಿತ,"ಮುದ್ರಿಸಿದ (ಅನೇಕ ಮಣಿ ಕೂಟಕೋಟಿ ವಿಟಂಕ ಟಂಕಿತ ವಿಯತ್ತಳಂಗಳುಂ: ಪುಷ್ಪದಂಪು, ೨. ೭೫ ವ)"
ಟಂಕೃತಿ,"ಟಂಕಾರ ಅಅತಿಮೃದುಪುಷ್ಪಚಾಪದಳಿನೀಗುಣ ಟಂಕೃತಿರಾವಂ ಆಗಮಾಮೃತ ಪರಿಪೂರ್ಣಕರ್ಣಯುಗನಂ ಸಲೆ ಕೇಳಿಸದೆ: ಚಂದ್ರಪ್ರಪು, ೧. ೨೬)"
ಟಂಕೋತ್ಕೀರ್ಣ,"ಚಾಣದಿಂದ ಕೆತ್ತಿದುದು (ಅಪ್ರತಿಹತದಿಗ್ವಿಜಯಪ್ರಶಸ್ತಿಯಂ ಟಂಕೋತ್ಕೀರ್ಣಂ ಮಾಡಿ: ಆದಿಪು, ೧೪. ೫೯ ವ)"
ಟಕ್ಕ,"ಠಕ್ಕ, ಮೋಸಗಾರ (ನೀನಿಂದೆನ್ನ ಮನೆಗೆ ಬಾರದಂದು ನಿನ್ನ ಕೆಳೆ ಟಕ್ಕರ ಕೆಳೆಯಂತಕ್ಕುಮಲ್ಲದೆ ತಕ್ಕರ ಕೆಳೆಯಂತೊಪ್ಪಲಱಯದು: ಪಂಚತಂತ್ರ, ೧೯೬ ವ)"
ಟಕ್ಕನಿಕ್ಕು,ಎಚ್ಚರ ತಪ್ಪಿಸುವ ಮದ್ದನ್ನಿಡು (ಅವರ ಕಪಟವೃತ್ತಿಯನಱಯದೆ ಉಂಡು ಸೊಕ್ಕಿ ಮೆಯ್ಯಱಯದೆ ಟಕ್ಕನಿಕ್ಕಿದಂತು ಕೆಡೆದು ನಿರೆಗೆಯ್ದುದುಂ: ಧರ್ಮಾಮೃ: ೧೧. ೮೭ ವ)
