page,1
ಠಕ್ಕವಿದ್ಯೆ,"ಮೋಸದ ಸ್ವಭಾವ (ಠಕ್ಕವಿದ್ಯೆಯೊಳ್ತೊಡರದು ಕೂಡೆ ಪುಂಜಿಸಿದ ವಾಙ್ಮಯರತ್ನಚಯಂ ಜಿನೇಶನಾ: ಸಮಯಪ, ೨. ೨೧)"
ಠಕ್ಕಸಮಯ,"ಮಿಥ್ಯಾಧರ್ಮ (ಪಸರಿಸುವ ಠಕ್ಕಸಮಯದ ದೆಸೆವೋಗರ್ ಅದೆಂತುಂ ಆವ ತೆಱದಿಂ ಜೈನರ್: ಸಮಯಪ, ೬. ೭೫)"
ಠಕ್ಕಿಕ್ಕು,"ಮೋಸಗೊಳಿಸು (ಮಾಯಮನೆ ಬೀಸಿ ಪೆಱರನುಪಾಯದೆ ಠಕ್ಕಿಕ್ಕಿದೇವವಕಾರ್‍ಯದೊಳಿನಿಸುಂ ನೋಯದೆ: ಧರ್ಮಾಮೃ, ೧. ೯೫)"
ಠಕ್ಕುಗಾರ್ತಿ,"ಮೋಸಗಾತಿ (ಮತ್ತಮೊರ್ವಂ ಇದಿರೊಳೈತರ್ಪ ಠಕ್ಕುಗಾರ್ತಿಯಂ ಕರಸಂಜ್ಞೆಯಿಂ ಕೆಳೆಯಂಗೆ ತೋಱ: ರಾಜಶೇವಿ, ೧೧. ೧೫೪ ವ)"
ಠಕ್ಕುಗೊಳ್,"ಮೋಸಕ್ಕೊಳಗಾಗು, ಮರುಳಾಗು (ಮಾರಿದತ್ತಂ ಲಲಿತಾಕಾರರ ಧೀರರ ಬಂದ ಕುಮಾರರ ರೂಪಿಂಗೆ ಠಕ್ಕುಗೊಂಡಂತಿರ್ದಂ: ಯಶೋಧಚ, ೧. ೫೮)"
ಠಕ್ಕುಮತ,"ಮೋಸದ ಮತ (ಕುಲಹೀನಂಗೊಂದು ತೆಱಂ ಕುಲಜಂಗೊಂದು ತೆಱಂ .. .. ಪೇೞ್ವುದು ನಿರ್ಮಲಧರ್ಮಮದಲ್ತು ಠಕ್ಕುಮತಂ: ಸಮಯಪ, ೩. ೮)"
ಠಕ್ಕುವೀೞ್,"ಮಂಕುಬಡಿ, ಮೋಸಕ್ಕೊಳಗಾಗು (ಒಡನಾಡಿಗಳೊಳ್ ನುಡಿಯಲ್ಕುಂ ಒಲ್ಲಳ್ ಆ ಸೌಂದರಿ ಠಕ್ಕುವಿೞ್ದ ತೆಱದಿನಿರ್ದಳ್: ಚಂದ್ರಪ್ರಪು, ೫. ೧೨೩)"
ಠಣತ್ಕಾರ,"ಠಣ್ ಎಂಬ ಗಂಟೆಯ ಶಬ್ದ (ಕಿವಿ ಶಬ್ದಂಗಿಡೆ ಘಂಟಿಕಾ ಘನಠಣತ್ಕಾರಂಗಳಿಂದೆ: ಚಂದ್ರಪ್ರಪು, ೬. ೧೪)"
ಠವಣಿಸು,"ಸೇರಿಸು (ಕವಿಮಾರ್ಗದೊಳ್ ಒಖ್ಖಾಣಿಪ ಠವಣಿಪ ಕಮ್ಮೈಸುವ ಎಡೆಯೊಳ್ ವಖ್ಖಾಣಿಸಲುಂ ಠವಣಿಸಲುಂ ಕಮ್ಮೈಸಲುಂ ಇವನಂತಾರ್ ಬಲ್ಲರ್ ಎನಿಸಿದಂ ಕವಿರತ್ನಂ: ಅಜಿತಪು, ೧. ೮೨)"
ಠವಣೆ,"ವೀಣಾವಾದನದ ಒಂದು ಕ್ರಮ (ನುಡಿಸಿದ ಆಕಾರಮಂ ಪೊಯ್ದು ಠವಣೆಯೊಳ್ ಪವಣಱದು .. .. ನಾನಾ ಶಬ್ದಂಗಳಂ ಬಾರಿಸಿ: ಧರ್ಮಪ, ೨. ೨೩ ವ)"
ಠಾಣಾಂತರ,"ತಾಣಾಂತರ, ಪಾಳೆಯ (ತಂತಮ್ಮ ಠಾಣಾಂತರಂಗಳೊಳಿರ್ದಂಗಜತಂತ್ರದಂತೆಸೆವಿನಂ ಚೆಲ್ವಾದುವಿಮ್ಮಾವುಗಳ್: ಆದಿಪು, ೧೧. ೯೬)"
ಠಾಯೆ,"ಆಲಾಪನೆಯಲ್ಲಿನ ಮಧ್ಯಲಯ ಗಮಕಂ ತಳ್ತಿರೆ ಠಾಯೆ ಮಿಂಚಿರೆ ಚಮತ್ಕಾರಂ ಕರಂ ಪೊಣ್ಮೆ .. .. ಬಾಜಿಸಿದಳ್ .. .. ವೀಣೆಯಂ: ರಾಜಶೇವಿ, ೧೦. ೩೨)"
ಠಾವು,"ಸ್ಥಳ (ಮಾವಿನ ಹೂವಿನ ಕಾವಿನ ಠಾವಿನ ಮೊದಲಿಂದೆ ತೀವಿದಳಿಗಳ ಬಳಗಂ: ಗಿರಿಜಾಕ, ೨. ೩೭)"
ಠೀವಿ,ಗತ್ತು (ಹಾವದ ಭಾವದ ಮುಱುಕದ ಠೀವಿಯ ಗರಗರಿಕೆವಡೆದ ಚೆನ್ನೆಯರಂ ತಂದಾ ವಿಭುಗೆ ತೋಱೆ: ಪುಣ್ಯಾಸ್ರ: ೪. ೪೮)
page,2
page,3
page,4
