page,1
ಡಂಕೆ,"ಸರಳು, ಸಲಾಕೆ (ಬೇಗಂ ಮಂಡೆಯನಿರ್ಪೋೞಾಗಿರೆ ಕರ್ಬುನದ ಡಂಕೆಯಿಂ ಪೊಯ್ವುದುಂ: ಧರ್ಮಾಮೃ, ೭. ೬೩)"
ಡಕ್ಕೆ,"ಒಂದು ವಾದ್ಯ (ತನ್ನ ತೊಡಂಕದು ಎಯ್ದೆ ನೂರ್ಮಡಿ ಮನದೊಳ್ ಪಳಂಚಲೆಯೆ ಡಕ್ಕೆಯೊಳ್ ಅೞ್ಜಜವಾಗೆ ಆಡಿದಳ್: ಪಂಪಭಾ, ೪. ೯೦)"
ಡಕ್ಕೆವಾಜಿಸು,"ಡಕ್ಕೆಯನ್ನು ಹೊಡೆ (ಆಡುವ ಡಕ್ಕೆವಾಜಿಸುವ ನೋಡುವ ಸಂಗಡಮೊಪ್ಪೆ: ಸೂಕ್ತಿಸುಧಾ, ೪. ೧೪೯); [ಎದೆ] ಡವಡವ ಹೊಡೆದುಕೊ (ನೋಡುವರೆರ್ದೆ ಡಕ್ಕೆವಾಜಿಸುತ್ತಿರ್ಪಿನೆಗಂ: ಆಚವರ್ಧ, ೨. ೨೨)"
ಡಕ್ಕೆವಾಯ್,"[ಎದೆ] ಡಕ್ಕೆಯಂತೆ ಡವಡವ ಹೊಡೆದುಕೊ (ಕಣ್ಗೆಟ್ಟು ಕೋಟಳೆಗೊಂಡು ಅಳ್ಳೆರ್ದೆ ಡಕ್ಕೆವಾಯ್ದು ಸತಿ ನಿಂದು ಔತ್ಸುಕ್ಯಮಂ ತಾಳ್ದಿದಳ್: ಅನಂತಪು, ೧೧. ೫೬)"
ಡಕ್ಕೆವಾಱು,"ಡವಡವಗುಟ್ಟು (ಲವಧೃತಿಯಿಲ್ಲದೆ ಒರ್ಮೆಯುಂ ಅರಾತಿಭಯಕ್ಕೆ ಬಿಗುರ್ತು ಡಕ್ಕೆವಾಱುವ ನೃಪಯೂಧವಕ್ಷದೊಳಿರಲ್ಕೆ ಅಣಂ ಒಲ್ಲದೆ .. .. ಅತುಳಲಕ್ಷ್ಮಿ: ಶಾಂತೀಶ್ವಪು, ೪. ೭೯)"
ಡಂಗ,"ಸುಂಕವಸೂಲಿಗಾಗಿರುವ ಕಾವಲು ಕಟ್ಟೆ (ಪೊಂಗುವ ಮಲೆಪರ ಮಲೆಗಳ ಡಂಗಂಗಳ್ ಮಲೆವ ಮಂಡಲಂಗಳ್ ಪ್ರತ್ಯಂತಗಳ್ ಎನಲ್ ಒಳವೆ ಪಾಂಡವರಂ ಗೆಡೆಗೊಳೆ ನಿನಗೆ ಕುರುಕುಳಾಂಬರಭಾನೂ: ಪಂಪಭಾ, ೯. ೩೯)"
ಡಂಗುರಂಬೊಯ್ಲು,"ಡಂಗುರ ಸಾರಿಸು (ಕುಮಾರನನೆತ್ತಿದಂಗೆ ಬೇಡಿತ್ತಂ ಕುಡುವೆನೆಂದು ಡಂಗುರಂಬೊಯ್ಸಲೊಡಂ: ಪಂಚತಂತ್ರ, ೧೮೫ ವ)"
ಡಂಗೆ,"ದೊಣ್ಣೆ, ಕೋಲು (ಕಬ್ಬುನದ ದಬ್ಬಣಂUಳಂ ದಬ್ಬುಕದ ಡಂಗೆಗಳಿಂ ಬೆರಲ್ಗಳೊಳಡಂಗೆ ಬೆಟ್ಟುವುದುಂ ಪಲ್ಗಳಂ ನುರ್ಗ್ಗುಗಟ್ಟುವುದುಂ: ಸುಕುಮಾಚ, ೧೧. ೪೭ ವ)"
ಡಗೆ,"ಮೋಸ (ಬೀೞ್ವ ಏೞ್ವ ಸುೞವ ಸುತ್ತುವ ಡಗೆಯಂ ತರಹರಿಪ ಸಾರ್ವ ಪಾರ್ವ ಅಬ್ಬರಿಪ ಎಸಕಂ ಮೀಱ ಕಾದಿದರ್ ಕಡುಗಲಿಗಳ್: ಶಬರಶಂ, ೪. ೭೬)"
ಡಂಗೆಗೊಳ್,"ಹಟಹಿಡಿ (ಪರಮಾರ್ಥಮಪ್ಪುದಂ ಮಚ್ಚರಿಸದೆ ಕೋಪಿಸದೆ ಡಂಗೆಗೊಳ್ಳದೆ: ಧರ್ಮಾಮೃ, ೧. ೧೩೭); ಬಡಿಗೆಯನ್ನು ತೆಗೆದುಕೊ (ಡಂಗೆಗೊಂಡು ಬಡಿಯಲ್ ಚಲದಿಂದೆನಸುಂ ದುರಾಗ್ರಹಂ ಚಿತ್ತದೊಳಾಗೆ: ಕಾವ್ಯಾವಲೋ, ೪೫೧)"
ಡಂಗೆಯಂಗೊಳ್,"ಬಡಿಗೆಯನ್ನು ತೆಗೆದುಕೊ (ಡಂಗೆಯಂಗೊಂಡು ಕೆಂಗಲ್ಮಸಗಿ ಪರಿವ ಮರುಳ್ಗಲಿಗಳುಂ: ಲೀಲಾವತಿ, ೫. ೧೧೪ ವ)"
ಡಂಬ,"ತೋರಿಕೆ, ಮೋಸ (ಸತ್ತನೆ ಮತ್ತೆ ಪುಟ್ಟುವಂ ಗಡ ಪುಸಿ ಕಾಣ ಡಂಬವಿದು ಖೇಚರ ನೀನಿದನೆಂತು ನಂಬಿದೋ: ಆದಿಪು, ೨. ೮)"
ಡಂಬಕ,"ಮೋಸಗಾರ (ತಮತಮಗೆ ಡಂಬಕರ್ ಬಲ್ಲೆವೆಂದು ಛಿದ್ರಿಸಲೆ ವಾಜವಶ್ಯವಯಸ್ತಂಭಮಂ: ಸಮಯಪ, ೧೨. ೪೦)"
ಡಂಬನ,"ಮೋಸ, ವಂಚನೆ (ಅನಂಗವಿಕಾರಂ ಉಬ್ಬೆಗಂ ಕಲುಷತೆ ಡಂಬನಂ ಕುಟಿಲವೃತ್ತಿ ಅಸೂಯೆ .. .. ದುರ್ಜನ ಗುಣಂಗಳೆ ನಲ್ಮೆಗೆ ಕೆಡ ತಪ್ಪುದು: ಅನುಭವ, ೮೬)"
ಡಂಬರ,"ಚೆಲುವು (ಚಿತ್ತಜನ ಡಂಬರಮಂ ತಳೆದು ಆ ಕುಮಾರಕಂಗೆ ಅಳಿಕುಳ ಕುಂತಳಂ ಪೊಳೆಯೆ: ಕರ್ಣನೇಮಿ, ೩. ೧೮೧)"
ಡಂಬಲ,"ಹುಚ್ಚಾಟ (ತರುಣಿ ಪೋಗದಿರೆನುತುಂ ಬೆಂಬತ್ತಿ ನಡೆದು ಕಾಣದೆ ಡಂಬಲನಂ ನೋಡಿ ಮುಗ್ದೆ ನಗಿಸಿದಳಾಗಳ್: ಗಿರಿಜಾಕ, ೪. ೨೯)"
ಡಂಬಿಸು,"ಮೋಸಮಾಡು (ಚಿತ್ರಕಥೆಗಳಂ ಪಟದೊಳ್ ತೋಱ ಪೇೞ್ದು ಲೋಗರಂ ಡಂಬಿಸಿ ಮಾಱುಗೊಳ್ವ ಬತ್ತಮಂ ಕಳ್ವೊಂ: ವಡ್ಡಾರಾ, ಪು ೧೪, ಸಾ ೧೯)"
ಡಂಭತನ,"ಸೋಗು (ಗೋವನಂ ಪಿಡಿದು ಸುರತಕ್ರೀಡೆಯಾಡುವುದಂ ನಾರಾಯಣಭಟ್ಟಂ ಕಂಡಾ ಪಾಣ್ಬೆಯ ಡಂಭತನಕ್ಕೆ ಬೆಱಗಾಗಿ: ಪಂಚತಂತ್ರ, ೩೨೩ ವ)"
ಡಮರುಗ,"ಒಂದು ಚರ್ಮವಾದ್ಯ (ಮಕಾರಕ್ಕೆ ವತ್ವಂ: ಡಮರುಕಂಡವರುಗಂ: ಶಬ್ದಮದ, ೨೭೭ ಪ್ರ)"
