page,1
ತಕ್ಕಂ,"ಉಳ್ಳವನು (ಇಳೇಯಂ ಘಾತಿಸಿ ತಕ್ಕರಂ ಕವರ್ದುಕೊಂಡು ಅರ್ಥಮಂ ಪೂೞ್ದು ನೋಡುತ್ತುಂ ಉಗ್ರಲೋಭವಶದಿಂ: ಆದಿಪು, ೨. ೧೫); ದಾನಾರ್ಹ (ಜಿನಪೂಜೋತ್ಸವಮಂ ಮಹಾಮಹಮುಮಂ ತಾಂ ಮಾಡಿ ಸಲ್ವನ್ನೆಗಂ ಧನಮಂ ತಕ್ಕವರ್ಗೀಯವೇೞ್ಪುದು: ಆದಿಪು, ೧೫. ೬); ಗುಣಶಾಲಿ (ಕಲಿಯನೆ ಪಂದೆ ಮಾೞ್ಪ ಒಳ್ಗಲಿಯಂ ಕಡುವಂದೆ ಮಾೞ್ಪ ತಕ್ಕನಂ ಪೊಲೆಯನೆ ಮಾೞ್ಪ ಮುಂ ಪೊಲೆಯನಂ ನೆಱೆ ತಕ್ಕನೆ ಮಾೞ್ಪ: ಪಂಪಭಾ, ೧೨. ೯೨); ಯೋಗ್ಯನಾದ (ಒಕ್ಕಲಿಗನನೋಲಗಿಸಿದ ತಕ್ಕಂ ಮೊದಲಾಗಿ ಮುಡಿದ ಪೂವಂ ಮುಡಿವರ್: ಸಮಯಪ, ೮. ೧೫)"
ತಕ್ಕರ್,"ವಂಚಕರು, ಠಕ್ಕರು (ಪೆಣನಂ ಎತ್ತಲ್ ಸಲ್ಲೆಂದು ಆಪತ್ತುವಡಿಸಿ ಪುತ್ರನಂ ಈ ಪೊನ್ನಂ ಸಂಗತಿಗುಡುವೆವೆಂಬರ್ ತಕ್ಕರ್: ಸಮಯಪ, ೧೪. ೧೫೫)"
ತಕ್ಕೞ,"ಯೋಗ್ಯತೆ ಕುಂದು (ತಕ್ಕೞದೆನಗೆ ಸಪತ್ನಿಯರಿಕ್ಕುಗೂೞಂಗೆ ಬಯಸಿ ಪಾರ್ದಿರ್ಪ ವಿಷಾದಕ್ಕೆ ಗುರಿಯಪ್ಪ ದುರ್ಯಶಮಕ್ಕುಂ: ಪಂಪರಾ, ೬. ೯೧); ಧೈರ್ಯಗುಂದು (ಇಭರಿಪುವಂ ತಕ್ಕೞವಿನೆಗಂ ನೊಂದು ನಿಂದು ಕೊಂದುದಿಭೇಂದ್ರಂ: ಶಾಂತಿಪು, ೨. ೧೦೬)"
ತಕ್ಕಿಸು,"ಬಯಸು (ತಕ್ಕಿಸಲೆ ತಕ್ಕ ಶೋಭೆಗೆ ಪಕ್ಕಾದೊಡಂ: ಲೀಲಾವತಿ, ೮. ೪೦)"
ತಕ್ಕು,"ಧೈರ್ಯ; ಸಾಮರ್ಥ್ಯ (ದರ್ಪಿತದುರಿತಮಲ್ಲನುಮಂ ಉಡಿವ ತಕ್ಕಿನಿಂ ಸಭೆಗೆ ನಡೆದಂ: ಆದಿಪು, ೧೪. ೧೩೪); ಶ್ರೇಷ್ಠ (ಮದಮಂ ಮುಕ್ಕುಳಿಸಿರ್ದ ಇಭಂಗಳಂ ಉದಗ್ರಾಶ್ವಂಗಳಂ ತಕ್ಕಿನಗ್ಗದ ಬಾಡಂಗಳಂ ಆಯ್ದು ಕೊಟ್ಟು: ಪಂಪಭಾ, ೨. ೫೩); ಆಧಿಕ್ಯ, ಹೆಚ್ಚಿಕೆ (ಎರಡುಂ ಬಲಂ ಎನ್ನೆ ನೋಡೆ ತಕ್ಕಿನ ಎನ್ನ ಅದಟುಮಂ ಎನ್ನ ವೀರಮುಮಂ ಆಜಿಯೊಳ್ ಎನ್ನರಸಂಗೆ ತೋಱುವೆಂ: ಪಂಪಭಾ ಪರಿಷತ್ತು, ೧೦. ೪೧)"
ತಕ್ಕುಗುಡು,"ಬೆಂಬಲ ಕೊಡು (ಮುಗುಳ್ನಗೆಯ ಮುಗುಳ್ವೆಳಗಿಂಗೆ ತಕ್ಕುಗುಡುವಂತೆಯುಂ: ಅನಂತಪು, ೮. ೭ ವ)"
ತಕ್ಕುಗೆಡು,"ಧೈರ್ಯಗೆಡು (ಇಂತು ತಕ್ಕುಗೆಡದೆ ಮಿಕ್ಕು ಪೊಕ್ಕು ಪೊಣರ್ವ ಸಗರ್ವಗಂಧರ್ವವಾಹಕಸಮೂಹದ: ರಾಜಶೇವಿ, ೬. ೬೫ ವ)"
ತಕ್ಕುಗೊಡು,"ಠಕ್ಕುಗೊಡು, ವಂಚಿಸು (ಚಿಂತಾಗತಿಯುಂ ತನ್ನ ಪೆಸರಂ ನನ್ನಿಮಾಡಿ ತರುಣಿಗೆ ತಕ್ಕುಗೊಟ್ಟು ಪೆಱಗೆ ಪಾಱ ಪೋಗಿ: ನೇಮಿನಾಪು, ೩. ೧೮ ವ)"
ತಕ್ಕುದೆ,"ಯೋಗ್ಯವಾದುದೇ (ಮಧ್ಯಸ್ಥಂಗಳಾಗಿರ್ದುವರ್ಕಲೆಯಲ್ ತಕ್ಕುದೆ ಕೆನ್ನಂ ಆ ತ್ರಿವಳಿಗಳ್ಗೆನ್ನಂ ಸರೋಜಾಕ್ಷಿಯಾ: ಪಂಪಭಾ, ೪. ೭೪)"
