page,1
ದಕ್ಕಣ,"ಸಾಹಸ, ಛಲ (ಸಮಕಟ್ಟಿಕೊಂಡು ಸಾಧಿಸುವ ದಕ್ಕಣಂ ಸರಿಗೆವಾಳಮೆನಿಪ್ಪ ನೆಗರ್ತೆ ಕೂಡೆ ಮಾಡಿಸಿದಂ ಅದೊಂದು ನಂದನಮಂ: ವರ್ಧಮಾಪು, ೨. ೧೩)"
ದಕ್ಕಾಲಿ,"ನೋಡಲಾರದ ಕಣ್ಣು (ವಿಪ್ರಳಾಪಂಗೆಯ್ಯುತ್ತಂ ಮುಂದೆಲ್ಲಮಿರ್ದು ಕಣ್ಗಳ್ ದಕ್ಕಾಲಿಬಿರ್ದು: ಹರಿವಂಶ, ೧೪. ೪೭ ವ)"
ದಕ್ಕು,"ದಸಿ, ಮುಳ್ಳಿನಂಥ ಕತ್ತಿ (ಪುಸಿ ನಸುವಂಚನೆ ನೋರ್ಪು ಅಸಿದು ಅಗಲಿತು ತಕ್ಕು ದಕ್ಕು ಪಗೆ ಕೆಯ್ಬಗೆ ಕೆಯ್ ಕುಸುರಿ ನುಸುಳೆಂಬ ಕೇಣದ ಕುಸುರಿಯಂ ಅಱದು ಇಱದು ಮೆಱೆದು ಉಱೆದೆ ಅರೆಬರ್: ಪಂಪಭಾ, ೧೦. ೮೧)"
ದಕ್ಕುಂದಲೆ,"ಶೂಲದ ಮೇಲಣ ತಲೆ (ಅಲ್ಲಿ ಗುಡಿಗಟ್ಟಿದ ಸೀರೆಯಂತೆ ದಕ್ಕುಂದಲೆಗೆ ವಂದರುಂ ಮೆಚ್ಚುಕಯ್ವರಂತೆ ತೂಗುವ ತೂಗುಂದಲೆಗಳುಮಂನಱಸಿ ಕಾಣದೆ: ಹರಿವಂಶ, ೨. ೧೧ ವ)"
ದಕ್ಕುಂದಲೆವರಿ,"ಗರ್ವದಿಂದ ಮುಂದೆ ನುಗ್ಗು (ಉರ್ಕಿಂ ಸೊಕ್ಕಿ ದಕ್ಕುಂದಲೆವರಿದಪ್ಪರ್ ಕರಂ ನಂದಿದಪ್ಪರ್: ಅನಂತಪು, ೧೩. ೧೬)"
ದಕ್ಷ,"ಸಮರ್ಥ (ಶ್ರೀರಮಣೀ ರಮಣಾಂಗರಿನಾರೀ ವೈಧವ್ಯದಿವ್ಯದೀಕ್ಷಾದಕ್ಷಂಗಾರೆಣೆ: ಪಂಪರಾ, ೭. ೧)"
ದಕ್ಷತೆ,"ಸಾಮರ್ಥ್ಯ (ಪ್ರವಚನ ಪರಿಪಠನಕ್ಷಮತೆ ವಾಣಿಯಂ ತೀರ್ಥಯಾನ ದಕ್ಷತೆ ಪದಮಂ ಕಿವಿಯಂ ಜಿನವರ ಚರಿತಶ್ರವಣಪಟುತೆ ಪಿಂಗದನ್ನಂ ಆರ್ಜಿಪೆನಱನಂ: ಚಂದ್ರಪ್ರಪು, ೪. ೧೭)"
ದಕ್ಷಾಧ್ವರಧ್ವಂಸಕ,"ದಕ್ಷನ ಯಜ್ಞವನ್ನು ಹಾಳುಮಾಡಿದವನು, ಶಿವ (ಇದು ಕೈಲಾಸಂ ಭವಾನೀಧವನ ನೆಲೆ ಮನೋಜಾತನಂ ಬೂದಿಮಾಡಿತ್ತಿದಱೊಳ್ ದಕ್ಷಾಧ್ವರಧ್ವಂಸಕನ ನೊಸಲ ಕಣ್: ಪಂಪಭಾ, ೭. ೭೪)"
ದಕ್ಷಿಣ,"ಬಲಗಡೆ (ಉನ್ನಮಿತ ದಕ್ಷಿಣಚರಣನುಂ ಅತಿಸ್ಪಷ್ಟ ವರ್ಣಸಂಸ್ಕಾರಮಪ್ಪ ಕೃತಜಯಶಬ್ದನುಂ ಆಗಿ: ಕಾದಂಸಂ, ೧. ೨೦ ವ)"
ದಕ್ಷಿಣದಿಕ್ಪಾಲ,"ದಕ್ಷಿಣದ ಅಧಿಪತಿ, ಯಮ (ಅನ್ಯದುರ್ಧರ ನಿಜಧನುರ್ದಂಡಮಂ ತದ್ಧ್ವಜಿನಿಗೆ ಕೋಪಕುಟಿಲ ದಕ್ಷಿಣದಿಕ್ಪಾಲ ಭ್ರುಕುಟೀವಿಭ್ರಮಮಂ ಮಾಡಲ್ಪಡದೆಯುಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ)"
ದಕ್ಷಿಣವರ್ತನ,"ಬಲಕ್ಕೆ ತಿರುಗುವುದು (ದಕ್ಷಿಣವರ್ತನದಿಂದೆ ಪಜ್ಜಳಿಸುತಿರ್ದುದು ವಹ್ನಿಸಮಸ್ತಂ: ಚಂದ್ರಪ್ರಪು, ೩. ೯೪)"
ದಕ್ಷಿಣವಿಷಾಣ,"ಬಲಭಾಗದ ದಂತ (ನಿಜಭುಜವಿಜಯಲಕ್ಷ್ಮೀ ಪರಿರಂಭಣಪ್ರಕಟನದಕ್ಷದಕ್ಷಿಣವಿಷಾಣವಿನ್ಯಸ್ತಹಸ್ತನುಂ: ಆದಿಪು, ೧೪. ೯೦ ವ)"
ದಕ್ಷಿಣಹಸ್ತ,"ಬಲಗೈ (ಅಂತಕಾರಾದಿ ಹಕಾರಾಂತ ಸ್ವರವ್ಯಂಜನ ಭೇದಭಿನ್ನ ಶುದ್ಧಾಕ್ಷರಂಗಳುಮಂ ಆಯೋಗವಾಹಕ ಚತುಷ್ಕಮುಮಂ ಸಂಯೋಗಾಕ್ಷರಂಗಳುಮಂ ಬ್ರಹ್ಮಿಗೆ ದಕ್ಷಿಣಹಸ್ತದೊಳ್ ಉಪದೇಶಂಗೆಯ್ದು: ಆದಿಪು, ೮. ೫೯ ವ)"
ದಕ್ಷಿಣಾಕಾಲ,"ದಾನ ಕೊಡುವ ವೇಳೆ (ಮೂವತ್ತೆರಡು ದಿವಸದೊಳ್ ಕ್ರತುವಂ ನಿರ್ವರ್ತಿಸಿ ಮಹಾದಾನಂಗೆಯ್ದು ದಕ್ಷಿಣಾಕಾಲದೊಳ್: ಪಂಪಭಾ, ೬. ೩೮ ವ)"
ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದ,"ಬಲಗಣ್ಣ ಅದುರುವಿಕೆ (ಅರಿಮಕುಟರತ್ನಮಂ ನಿಜಚರಣಕ್ಕರ್ಘ್ಯಪ್ರದೀಪಮಾಗಿರ್ಪುದನಾ ಭರತೇಶ್ವರಂಗೆ ಸೂಚಿಸಿದತ್ತು ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದಂ: ಆದಿಪು, ೧೧. ೧೨)"
