page,1
ಧಗಂ,"ಧಸಕ್ ಎನ್ನುವಂತೆ ಅನುಕರಣ ಪದ (ನಿನ್ನನೊರ್ವನಂ ಪಗೆವಡೆಯೊಡ್ಡುಗಳಂ ಒಡೆಯಲ್ಕೆ ಪೇೞ್ದು ಎರ್ದೆ ಧಗಂ ಎನೆ ಸೈರಿಸುವ ಉಪಾಯಮಾವುದು ಕಱುವೇ: ಪಂಪಭಾ, ೧೧. ೯೧)"
ಧಗದ್ಧಗಿತರವ,"ಧಗಧಗ ಎಂಬ ಶಬ್ದ (ಧೃತಧಗದ್ಧಗಿತರವನಿರ್ಮಳಶಿಖಾಳಿಯಂ ಸತತಗತಿ ಪಥಮನಡರ್ವುಜ್ಜ್ವಳಜ್ವಾಳೆಯಂ: ಆದಿಪು, ೭. ೨೭ ವ)"
ಧನ,"ಹಣ (ದ್ರವಿಣಂ ದ್ರವ್ಯಂ ವಸು ಅರ್ಥ ವಿತ್ತ ರೈ ರಿಕ್ಥ ಸಾರ ಧನವೇಕಾರ್ಥಂ: ಅಭಿಧಾವ, ೧. ೬. ೧೨)"
ಧನಕೋಶ,"ಕೋಶಾಗಾರ (ಧನಕೋಶಂ ನವಹೇಮತಾಮರಸಕೋಶಂ ದೇಶಮಾಸೈಕತಾವನಿದೇಶಂ ಸಹಕಾರಿ ಸಾರಸಹಕಾರಂಮಂತ್ರಿ ಮಂದಾನಿಳಂ; ಚಂದ್ರಪ್ರಪು, ೧೧. ೫೯)"
ಧನಂಜಯ,"ಅರ್ಜುನ (ಅನ್ನೆಗಂ ತನ್ನ ಮಯ್ದುನನಪ್ಪ ಅಮೋಘಾಸ್ತ್ರಧನಂಜಯನ ಬರವಿನ ಸಂತಸದೊಸಗೆ ಪಡೆಮಾತಂ ಮುಂದುವರಿದಱಪುವಂತೆ: ಪಂಪಭಾ, ೪. ೩೨ ವ); ಅಗ್ನಿ (ಕೆಂಜೆಡೆ ಬಾಂದೊಱೆಯಿಂದೆ ಧನಂಜಯಂ ಅಹಿಪಂ ವಿಷಂ ವಿಭೂತಿ ಕಪಾಲಂ .. .. ರಂಜಿಸಲ್ ಅಭವಂ ಸ್ವರೂಪದಿಂದೆಸೆದಂ: ತ್ರಿಷಷ್ಟಿಪು, ೫೩. ೧೪); ಬೆಂಕಿ (ಯಾಮಿನೀವ್ಯೋಮದಂತೆ ಸಿತರುಚಿದಾಳ್ದು ಧನಂಜಯನಂತೆ ರುದ್ರಾಕ್ಷದಿಂ ರಂಜಿಸಿ: ರಾಜಶೇವಿ, ೧೦. ೫೭ ವ)"
ಧನಂಜಯಾಂಬಕ,"ಉರಿಗಣ್ಣ, ಶಿವ (ಪಾಂಡುಪುತ್ರನಾತಂ ಜಡಿದೊತ್ತೆ ಜಾಱ ಪೆಱಸಾರ್ವನೆ ಧೀರ ಧನಂಜಯಾಂಬಕಂ: ಶಬರಶಂ, ೪. ೪೪)"
ಧನದ,"ಕುಬೇರ (ಧನದಂ ಕಾಂಚನಪಂಚರತ್ನಮಯಂ ರಯವಷ್ಟಿಯಂ ಮಡುವಲ್ಲಿ: ಆದಿಪು, ೭. ೨೪); ಹಣ ನೀಡುವವನು (ಧನದರಲ್ಲದ ಧನದರಿಲ್ಲ ತಕ್ಕರಲ್ಲದೆ ಟಕ್ಕರಿಲ್ಲ ಜನ್ನಮಲ್ಲದೆ ಬನ್ನಮಿಲ್ಲ: ಅಜಿತಪು, ೧. ೨೦ ವ)"
ಧನದನಿವಾಸ,"ಕುಬೇರನ ಆವಾಸ, ಶ್ರೀಮಂತನ ಮನೆ (ಧನದನಿವಾಸದಿಂ ಮಣಿಮಯೋಜ್ವಳದೇವಕುಲಳಗಳಿಂದೆ ನಂದನವನದಿಂ: ಪಾರ್ಶ್ವನಾಪು, ೧. ೧೧೧)"
ಧನದಪತಿ,"ಕುಬೇರ (ಅದಱ ವಿಶಾಳತೆವೆತ್ತಿರ್ಪ ತತ್ಪ್ರಥಮಶಾಳದೊಳಗ್ರ ಸುರಪತಿ ಪಿತೃಪತಿ ಶರಧಿಪತಿ ಧನದಪತಿಗಳ ಕೇಳೀವಿಲಾಸಶೋಭಿತಂಗಳಪ್ಪ ನಾಲ್ಕುಂ ದೆಸೆಗಳ ಮಣಿರತ್ನಹರ್ಮ್ಯಂಗಳುಮಂ: ಶಾಂತೀಶ್ವಪು, ೧೬. ೩೧ ವ)"
ಧನದಮಿತ್ರ,"ಕುಬೇರನ ಸ್ನೇಹಿತ, ಶಿವ (ಕಲ್ಯಾಣಭೂಭೃತ್ ಸದನ ಧನದಮಿತ್ರಂ .. .. ನಂದಿಕೇಶಂ ಮಹೇಶಂ: ರಾಜಶೇವಿ, ೧. ೧ )"
ಧನದಾದ್ರಿ,"ಕುಬೇರನು ವಾಸಿಸುವ ಬೆಟ್ಟ, ಕೈಲಾಸಪರ್ವತ (ಧನದಾದ್ರಿಯೊಳ್ ಸುಖಂ ವಸಿಯಿಸುವಂತೆ ಅನಂತವನಿಪನಾ ಮಾಡದೊಳ್ ಉದ್ಭವಾಂಬುನಿಧಿ ವಿಶ್ವಸೇನನುದಿನಮಿರ್ಕುಂ: ಶಾಂತಿಪು, ೯. ೧೪೯)"
ಧನದಾನುಚರ,"ಕುಬೇರನ ಹಿಂಬಾಲಕ (ಅಱುವತ್ತುಕೋಟಿ ಧನದಾನುಚರರಂ ಅತಿರೌದ್ರಭಯಾನಕಮಾಗೆ ಕೊಂದು ಸೌಗಂಧಿಕ ಕಾಂಚನಕಮಳಹರಣಪರಿಣತನಾದಂ: ಪಂಪಭಾ, ೮. ೩೧)"
ಧನಶೌಂಡ,"ಹಣದ ಅಮಲಿನವನು ಧನಿಕ (ಜಗಲಿಸುತ್ತುಮಿರ್ದ ಕಾಂಚನರತ್ನ ಸಂಚಯಮಂ ಕಂಡು ಕೊಂಡು ಶೌಂಡಿಕಂ ಧನಶೌಂಡನಾಗಿ ಪೋದಂ: ನೇಮಿನಾಪು, ೪. ೧೧೪ ವ)"
ಧನಸಂಕುಲ,"ಸಂಪತ್ತೆಲ್ಲ (ಧರ್ಮಪುತ್ರನುಂ ಕುಲಧನಸಂಕುಲಗಳನೆ ತಂದಿಡೆ ಇಟ್ಟು ಅವನಾಡಿ ಸೋಲ್ತಂ ಆಕುಲಮತಿ ಮುಂದೆ ಭಾರತದೊಳೊಡ್ಡುವುದಂ ಕಡುನನ್ನಿ ಮಾೞ್ಪವೊಲ್: ಪಂಪಭಾ, ೬. ೭೨)"
ಧನು,"[ಜೈನ] ಬಿಲ್ಲು, ಎತ್ತರದ ಒಂದು ಅಳತೆ (ಏೞೆ ಧನು ಮೂಱು ಮೊೞನಿಂ ಪೇೞೆ ಷಡಂಗುಲಮೆ ಮೊದಲ ನಾರಕರ ಒಡಲ್: ಆದಿಪು, ೫. ೯೨)"
ಧನುರಾಗಮ,"ಬಿಲ್ವಿದ್ಯೆ, ಅಸ್ತ್ರಶಾಸ್ತ್ರ (ಆ ಗಗನೇಚರನುಂ ಧನುರಾಗಮವಿದ್ಯಾಗಮೈಕನಿಧಿ ವಿದ್ಯೆಗಳಿಂ ಪೋಗದೆ ಕಾದುತ್ತಿರೆ: ಶಾಂತಿಪು, ೪. ೨೫)"
