page,1
ನಃ,ನಮ್ಮನ್ನು (ಸ ಸರ್ವಜಗತಾಂ ಗುರುರ್ಗಿರಿಸುತಾಪತಿಃ ಪಾತು ನಃ: ೪. ೨೭)
ನ ದೇವಚರಿತಂ ಚರೇತ್,"ದೇವರ ನಡೆಯಂತೆ ನಡೆದುಕೊಳ್ಳಲಾಗದು (ನ ದೇವಚರಿತಂ ಚರೇತ್ ಎನಿಸಿದೈ ತ್ರಿಲೋಕೇಶ್ವರಾ: ಆದಿಪು, ೧೩. ೮೪)"
ನ ಹಿಂಸ್ಯಾತ್ ಸರ್ವಭೂತಾನಿ,"ಎಲ್ಲ ಪ್ರಾಣಿಗಳಲ್ಲಿಯೂ ಹಿಂಸೆ ಕೂಡದು (ನ ಹಿಂಸ್ಯಾತ್ ಸರ್ವಭೂತಾನಿ ಎಂದು ಅಕಳಂಕತರ್ಕಪ್ರತಿಷ್ಠಾನಿಶ್ಚಯ ಜೈನಸಿದ್ಧಾಂತವಾದಿಗಳುಂ: ಪಂಚತಂತ್ರ, ೧೧೭ ವ)"
ನಕುಲ,"ಮುಂಗುಸಿ (ತನ್ನ ಮನೆಯೊಳ್ ಮಾರ್ಮನುಷ್ಯರಿಲ್ಲದ ಕಾರಣದಿಂ ತಾಂ ನಡಪಿದೊಂದು ನಕುಲನಂ ತೊಟಿಲ ಸಮೀಪದೊಳ್ .. .. ಕಟ್ಟಿ ಪೋದಂ: ಪಂಚತಂತ್ರ, ೨೫೭ ವ); ಪಂಚಪಾಂಡವರಲ್ಲೊಬ್ಬ (ನಕುಲಂ ಕುಂತಶಸ್ತ್ರದೊಳತಿಪ್ರವೀಣನುಮಾಗಿ: ಪಂಪಭಾ, ೨. ೩೬ ವ)"
ನಕುಳ,"ನಕುಲ, ಮುಂಗುಸಿ (ಶಾರ್ದೂಲ ವರಾಹ ಗೋಲಾಂಗೂಲ ನಕುಳಂಗಳಂ ನೋಡುತ್ತಮವರ್ಕೆ ಭಕ್ಷ್ಯಾಪೂಪಗಳಂ ತಿರಿಸಿ ನೀಡುತ್ತಮಿರ್ದ: ಆದಿಪು, ೫. ೨ ವ) ನಕ್ಕಿಸು ನೆಕ್ಕಿಸು (ಸುರಭಿಯಿಂ ನಕ್ಕಿಸೆ ದೇಹಮನೆಲ್ವಂ ಉರ್ಚಿ ಕುಡೆ ಕಯ್ದುವಾದವು ಆ ಗೊರವನೆಲ್ವು ಗಡ: ಸಮಯಪ, ೧೦. ೧೪೨)"
ನಕ್ಕು,"ನೆಕ್ಕು, ನಾಲಗೆಯಿಂದ ರುಚಿನೋಡು (ಎನಿತಾನುಂ ಅಂಬುನಿಧಿಗಳಂ ಅನೇಕ ನಾಕಂಗಳಲ್ಲಿ ಕುಡಿದುಂ ಪೋಯ್ತಿಲ್ಲೆನಗೆ ನರಭೋಗಮೆಂಬೀ ಪನಿಪುಲ್ಲಂ ನಕ್ಕೆ ತೃಷ್ಣೆ ಪೇೞ್ ಪೋದಪುದೇ: ಆದಿಪು, ೯. ೫೭)"
ನಕ್ತಂಚರ,"ರಾತ್ರಿಯಲ್ಲಿ ಚರಿಸುವುದು, ರಾಕ್ಷಸ (ಆ ಪುರವರೇಣ್ಯಂ ಧಿಷ್ಣ್ಯಮಾಗಿಯುಂ ನಕ್ತಂಚರಯುಕ್ತಮಲ್ತು ಅಗಣ್ಯ ಪುಣ್ಯಜನಮಯಮಾಗಿಯುಂ ವಿಬುಧರಹಿತಮಲ್ತು: ಶಾಂತೀಶ್ವಪು, ೧. ೧೩೨ ವ)"
ನಕ್ತಂಚರಿ,"ರಾಕ್ಷಸಿ (ನಕ್ತಂಚರೀಮುಖದೊಳ್ ತೂಂತುವುದು ಆಂತರಂ ದಶಮುಖೋತ್ಖಾತಾಸಿ ಧಾರಾಮುಖಂ: ಪಂಪರಾ, ೧೦. ೨೨೩)"
ನಕ್ತಮಾಲ,"ಹುಲಿಗಿಲು ಮರ (ನಾಗ ನಕ್ತಮಾಲವನದ ಪೂಗವನ ತಮಾಲವನದ ಲೀಲೆ ಕರಮೆ ಕಣ್ಗೆವರ್ಕು: ಅಜಿತಪು, ೧. ೮)"
