page,1
ಪಂಕ,"ಕೆಸರು (ಕುಂಕುಮ ಪಂಕ ಪಂಕಿಳಸಾರ ಘನಸಾರ ಸಾರೀಭೂತ ಶಾರದೇಂದು: ಪಾರ್ಶ್ವನಾಪು, ೩. ೩೨ ವ); ಲೇಪನದ್ರವ್ಯ"
ಪಂಕಜ,"ಕೆಸರಿನಲ್ಲಿ ಹುಟ್ಟಿದುದು, ತಾವರೆ (ಪಂಕಜಮುಂ ಸುಹೃದ್ವನಪಂಕಜಮುಂ ಮುಗಿವನ್ನಂ .. .. ಕುರುಕುಲಾರ್ಕನುಂ ಅರ್ಕನುಂ ಅಸ್ತಮೆಯ್ದಿದರ್: ಗದಾಯು, ೯. ೩೫)"
ಪಂಕಜನೇತ್ರೆ,"ಕಮಲದಂತೆ ಕಣ್ಣುಳ್ಳವಳು (ಪಂಕಜನೇತ್ರೆ ಹಂಸಗಮನಾನ್ವಿತೆ .. .. ಭ್ರಮರಜಾಳಮನೇೞಸಿ ಪೋಗಲೀಗುಮೇ: ಪಾರ್ಶ್ವನಾಪು, ೧೦. ೫೧)"
ಪಂಕಜವಕ್ತ್ರ,"ತಾವರೆಯಂತಹ ಮುಖ[ವುಳ್ಳವನು] (ಸಾಲಪ್ರಾಂಶು ವಿಶಾಲ ಲೋಲನಯನಂ ಪ್ರೋದ್ಯತ್ ವೃಷಸ್ಕಂಧಂ ಉನ್ಮೀಲತ್ ಪಂಕಜವಕ್ತ್ರಂ ಆಯತ ಸಮಗ್ರ ಉರಸ್ಸ್ಥಳಂ: ಪಂಪಭಾ, ೧. ೬೮)"
ಪಂಕಜವಿಷ್ಟರ,"ಕಮಲದ ಆಸನವುಳ್ಳವನು, ಬ್ರಹ್ಮ (ಪಂಕಜವಿಷ್ಟರಂ .. .. ಹರಂ ಭವಹರಂ ಮಾಣಿಕ್ಯದೇವಂ ದೇವನಾಗಿರೆ ಜಯಂ ಭದ್ರಂ ಶುಭಂ ಮಂಗಳಂ: ಆದಿಪು, ೧೬. ೬)"
ಪಂಕಜಾಕರ,"ಕಮಲಗಳ ಆವಾಸ, ಕೊಳ (ಮರುತ್ಪಥದಲ್ಲಿ ಪಂಕಜಾಕರದೆಡೆಯಲ್ಲಿ ತಳ್ತ ತಿಳಿಜೊನ್ನಮಂ ಅಂಚೆಗಳ್ .. .. ಒಸೆದು ಈಂಟಲ್: ರಾಜಶೇವಿ, ೧೩. ೪೩)"
ಪಂಕಪ್ರಭೆ,"[ಜೈನ] ಏಳರಲ್ಲಿ ನಾಲ್ಕನೆಯ ನರಕ, (ಪಂಕಪ್ರಭೆಯೊಳ್ ದಶಬ್ಧ್ಯುಪಮೆಯಿಂ ದುಃಖಾಗ್ನಿಯೊಳ್ ಬೆಂದು: ಆದಿಪು, ೫. ೪)"
ಪಂಕಭಾಗ,"[ಜೈನ] ರತ್ನಪ್ರಭೆ ಎಂಬ ನರಕದ ಮೂರು ಭಾಗಗಳಲ್ಲಿ ಒಂದು (ರತ್ನಪ್ರಭೆಯೆಂಬ ಪೃಥ್ವಿ .. .. ಪೃಥ್ವಿ ವಜ್ರಖರ ಪಂಕಜಲಬಹುಳಭಗದಿಂ ತ್ರಿವಿಧಮಕ್ಕುಂ .. .. ಪಂಕಭಾಗಂ ಎಣ್ಬತ್ತನಾಲ್ಕುಸಾಸಿರ ಯೋಜನಂ: ಸುಕುಮಾಚ, ೧೧. ೪೧ ವ)"
ಪಂಕರುಹ,"ಪಂಕಜ (ತಂದಳ್ ಇಂತಿದಂ ದೇವರ ಪಾದಪಂಕರುಹದಲ್ಲಿಗೆ ಕನ್ಯೆಯದೊಂದು ಭಕ್ತಿಯಿಂ: ಕಾದಂಬ, ೧. ೫೨)"
