page,1
ಫಣ,"ಹಾವಿನ ಹೆಡೆ (ಶೇಷಂ ಫಣಂ ಬಳ್ಕಿಸುರ್ಕಿದಪಂ ಸೀರೆಯ ಸಿಂಬಿವೊಲ್ ಖಳನೃಪಾಲಾಕ್ಷೌಹಿಣೀ ಭರದಿಂ: ಜಗನ್ನಾವಿ, ೧. ೩೦)"
ಫಣಭೃತ್,"(ಉರಗಂ ಭೋಗಿ ಸರಿಸರಪಂ ಫಣಿ .. . ಫಣಭೃತ್ .. .. ಸರ್ಪಂ: ಅಭಿಧಾವ, ೧. ೩. ೭)"
ಫಣಮಣಿ,"ಹಾವಿನ ಹೆಡೆಯ ಮಣಿ (ಚೂಡಾಮಣಿಗೆಱಗೆ ಚಕ್ರಿಪದದೊಳ್ ಫಣಮಣಿ ಪುನರುಕ್ತಿ ಪಾಂಡ್ಯಪತಿಗಾಯ್ತಾಗಳ್: ಶಾಂತಿಪು, ೧೧. ೪)"
ಫಣಾಗಣಮಣಿಕಿರಣ,"ಹೆಡೆಗಳ ಸಮೂಹದ ರತ್ನದ ಕಾಂತಿ (ಆಗಳ್ ಅನಂತಂ ಅನಂತ ಫಣಾಗಣಮಣಿಕಿರಣಮೆಸೆಯೆ ದುಗ್ಧಾರ್ಣವದೊಳ್ ರಾಗದಿನಿರ್ಪಂತಿರ್ದಂ ಭೋಗಿ ತೞತ್ತೞಸಿ ಬೆಳಗೆ ಕೆಯ್ದೀವಿಗೆಗಳ್: ಪಂಪಭಾ, ೪. ೫೩)"
ಫಣಾಪತಿ,"ಆದಿಶೇಷ (ಅದು .. .. ಮಹತ್ವದಿಂದ ಇೞವುದು ಧನಪತಿ ದಿವಿಜಪತಿ ಫಣಾಪತಿಇಉರಮಂ: ಪುಷ್ಪದಂಪು, ೨. ೩೩)"
ಫಣಾಮಣಿ,"ಫಣಮಣಿ (ಸಮಸ್ತ ಉರ್ವೀಧರ ಅಶೇಷ ಶೇಷ ಮಹಾನಾಗ ಫಣಾಮಣಿ ದ್ಯುತಿಯನೇಂ ಖದ್ಯೋತದೊಳ್ ಕಾಣ್ಬರೇ: ಪಂಪಭಾ, ೫. ೭೬)"
ಫಣಾರತ್ನ,"ಫಣಾಮಣಿ (ದೀಪದೊಳ್ ಪನ್ನಗಪತಿಯ ಫಣಾರತ್ನದೀಪಂ ವಿತಾನಾವಳಿಯೊಳ್ ದಿವ್ಯಂ ವಿತಾನಂ ತುಱುಗಿದುವು: ಆದಿಪು, ೧೬. ೨)"
ಫಣಿ,"ಹೆಡಯುಳ್ಳುದು, ಹಾವು (ಉರಗಂ ಭೋಗಿ ಸರಿಸರಪಂ ಫಣಿ .. . ಫಣಭೃತ್ .. .. ಸರ್ಪಂ: ಅಭಿಧಾವ, ೧. ೩. ೭)"
ಫಣಿಕಟಕ,"ಶಿವ (ಫಣಿಕಟಕನ ಕೆೞಗೆ ಬಯ್ಕೆಯಿರ್ದಪುವೆಂಬರ್: ಸಮಯಪ, ೨. ೬೫)"
