page,1
ಬಂಕ,"ಮೂಲೆ (ಅದರ ಬಂಕದೊಳ್ ಒಪ್ಪುಗುಂ ಉಜ್ವಳಾಂಗನನ್ವಿತ ಬಹುಸಂಖ್ಯರುದ್ರಗಣ ಸೇವಿತಂ ಅಗ್ಗದ ನೀಲರೋಹಿತಂ: ಶಬರಶಂ, ೧. ೬೭)"
ಬಕ,"ಬಕಪಕ್ಷಿ (ಬಕ ಕಲಹಂಸ ಬಲಾಕ ಪ್ರಕರ ಮೃದುಕ್ವಣಿತರಮ್ಯಮಿದಿರೊಳ್ ತೋಱೆತ್ತು ಕೊಳಂ ಪರಿವಿಕಸಿತ ಕನಕ ಕಂಜಕಿಂಜಲ್ಕಪುಂಜಪಿಂಜರಿತಜಳಂ: ಪಂಪಭಾ, ೮. ೩೮); ಒಬ್ಬ ರಾಕ್ಷಸ (ಅಯ್ವರೊಳಂ ನಾಮ್ಮಾಣದೆ ಬಕನ ಬಾರಿಗೊರ್ವನನೀವೆಂ: ಪಂಪಭಾ, ೩. ೨೬)"
ಬಕವೇಷ,"ಬಕಪಕ್ಷಿಯ ರೂಪ (ಬಕಂ ಬಕವೇಷದಿಂ ಪೆಱಗಣ ದೆಸೆಗೆ ಮೆಲ್ಲನೋಸರಿಸಿ ಬಂದು: ಪಂಪಭಾ, ೩. ೨೯ ವ)"
ಬಕವೇಷಿ,"ಬಕನ ವೇಷ ಧರಿಸಿದವನು, ಕಪಟಿ (ಅಱದು ಶರಣಾಗತಜಳನಿಧಿಯಂ ಎಯ್ದೆವಂಂ ಈ ಬಕವೇಷಿ ನಿನ್ನನೇನಂ ಬೇಡಿದಂ ನೀನೀತಂಗೇನಿತ್ತೆ: ಪಂಪಭಾ, ೫. ೭೧ ವ)"
ಬಕವೇಸಿತನ,"ಮೋಸದ ಹಾದರ (ಇಂತು ಬಕವೇಸಿತನದಿಂ ಮಾಯಾನಿಸ್ಪೃಹನಾಗಿ: ಧರ್ಮಾಮೃ, ೬. ೩೭ ವ)"
ಬಕಾರಿ,"ಬಕನನ್ನು ಕೊಂದವನು, ಭೀಮ (ವನಜಾತಪ್ರಿಯಬಂಧುಗೆ ಅಂಗಪತಿಯಂ ಧರ್ಮಂಗೆ ನಿನ್ನಂ ಹುತಾಶನಮಿತ್ರಂಗೆ ಬಕಾರಿಯಂ ಕುಲಿಶಿಗಂ ಗಾಂಡೀವಿಯಂ ಪೆತ್ತೆಂ: ಗದಾಯು, ೧೦. ೨೧)"
ಬಂಕು,"ಬಾಗು, ವಕ್ರವಾಗು (ಬಂಕು ಕೌಟಿಲ್ಯೇ: ಶಬ್ದಮದ, ಧಾ ೬೦)"
ಬಕುಳ,"ನಾಗಕೇಸರ ಎಂಬ ಮರ (ಬಕುಳದ ಪೂವಿನಕ್ಷವಳಯಕ್ಕೆ ದುಕೂಲದ ಚೆಲ್ವನಪ್ಪ ಸುಳಿಗೆಗೆ .. .. ಮಿಕ್ಕಗುರುವ ಬೂದಿಗೊಡ್ಡೆ ತನುವಂ: ಶಾಂತಿಪು, ೮. ೯೦)"
ಬಕೋಟ,"ಬಕಪಕ್ಷಿ (ಒಂದು ಬಕೋಟಂ ಆಟಂದು ಮೀಂಗಳಂ ಮುೞುಂಗಿಸೆ ಮುಳಿದ ಅರಸಂ ಇಂತೆಂದಂ: ಲೀಲಾವತಿ, ೧೪. ೮೧ ವ)"
