page,1
ಭಕ್ತಿ,"ಪೂಜ್ಯಭಾವನೆ (ದೇವರೊಳಂ ಗುರುಗಳೊಳಂ ಆಗಮದೊಳಂ ನಂಬುಗೆಯುಂ ನಲ್ಮೆಯುಂ ಭಕ್ತಿಯುಂ ಅನೂನಮಾಗೆ: ಸುಕುಮಾಚ, ೩. ೪೬ ವ); ಸೇವೆ (ಉಪಚಾರಂ ಸೇವನೆ ಪರ್‍ಯುಪಾಸ್ಯೆ ವರಿವಸ್ಯೆ ಭಕ್ತಿ ಶುಶ್ರೂಷಾರ್ಥಂ: ಅಭಿಧಾವ, ೧. ೩. ೧೪)"
ಭಕ್ಷ,"ಆಹಾರ (ನಿಡಿಯರ್ ಬಲ್ಲಾಯದ ಬಲ್ದಡಿಗರ್ ವಂದಿರ್ದರಯ್ವರಾಲವ ಕೆೞಗಿಂ ತೊಡರ್ದರ್ ನಮ್ಮಯ ಭಕ್ಷದೊಳ್: ಪಂಪಭಾ, ೩. ೧೨)"
ಭಕ್ಷಣ,"ಊಟ (ಉಣಿಸು ಅಭ್ಯವಹರಣಂ ಭಕ್ಷನ ಅಶನಂ ಜಿಗ್ಧಿ ಜೇಮನಂ ಭುಕ್ತಿ: ಅಭಿಧಾವ, ೧. ೧೫. ೭)"
ಭಕ್ಷ್ಯ,"ಆಹಾರ (ನಿಡಿಯರ್ ಬಲ್ಲಾಯದ ಬಲ್ದಡಿಗರ್ ವಂದಿರ್ದರಯ್ವರಾಲವ ಕೆೞಗಿಂ ತೊಡರ್ದರ್ ನಮ್ಮಯ ಭಕ್ಷ್ಯದೊಳ್: ಪಂಪಭಾ, ೩. ೧೨)"
ಭಂಗ,"ಮುರಿಯುವುದು (ತುಂಗವನ್ಯಮತಂಗಜದಂತಾಘಾತ ನಿಪಾತಿತಸಲ್ಲಕೀಭಂಗಮಂ .. .. ನೃಪನೆಯ್ದಿದಂ ಉದ್ಯತ್ಛೃಂಗಮನಾ ಶತಶೃಮಗಮಂ: ಪಂಪಭಾ, ೧. ೧೧೫); ಸೋಲು (ಭಂಗಮಾಗಿಯುಂ ಪರಾಜಿತಸಂಯುಗಮಲ್ತು: ತ್ರಿಷಷ್ಟಿಪು, ೨. ೨೫ ವ); ಅವಮಾನ (ಈ ದೊರೆಯಮುಂ ಅಳವೞಯೆ ವಸುಂಧರೆಯೊಳ್ ತಂದಿಕ್ಕಿ ಭಂಗಮಂ ಮಾಡುವೆನೇ: ಆದಿಪು, ೧೪. ೧೧೨); ಅಲೆ (ಭಂಗಕ್ಕೆ ಪಕ್ಕಾದೆನೆಂದು ಆತ್ಮಗತೌರ್ವಾಗ್ನಿಚ್ಛಲಂಬೆತ್ತ ಅೞಲುರಿಯೊಳಕೊಂಡಂತೆ ತೋರ್ಕುಂ ಸಮುದ್ರಂ: ಶಬರಶಂ, ೧. ೩೨); ದೋಷ (ಕಾವ್ಯಮೆನಿಸಿರ್ದು ವಿಬುಧಸೇವ್ಯಂ .. .. ಭಂಗವಿರಹಿತಂ .. .. ಎನಿಸಿ ಕುಜನಾಭವ್ಯಂ ಮತ್ಕೃತಿ ಚಮತ್ಕೃತಿಪ್ರದಮಲ್ತೇ: ರಾಜಶೇವಿ, ೧. ೮೧); ಚಲನೆ (ಭಂಗಮನಂತುಂ ತಳೆದ ಲತಾಮಗಮನಿಂ ನಿನ್ನ ಕೋಮಳಾಂಗದ ಚೆಲ್ವಿಂ ಗೆಲ್ದು: ಚಂದ್ರಪ್ರಪು, ೭. ೭೫)"
ಭಗ,"ಕೀರ್ತಿ, ಯಶಸ್ಸು (ಪೊಗೞೆ ಜಗತೀಚಕ್ರಂ ದಿಕ್ಷಕ್ರದೊಳ್ ಭಗಮವಗಂ ನೆಗೞೆ ವಿಜಯೋದ್ಯೋಗವ್ಯಾಭಾಸಮಾನ ಮಹೋದಯಂ: ವರ್ಧಮಾಪು, ೨. ೩೧); ಸೂರ್ಯ (ಭಗನ ಪಲ್ಕಂಗಳಂ ಕಿತ್ತು ದೇವರ್ ಮತಿಗೆಟ್ಟಿರ್ದೋಡಲ್ ಆ ದಕ್ಷನ ತಲೆಗಡಿದು: ತ್ರಿಷಷ್ಟಿಪು, ೩೦. ೩೧); ಸ್ತ್ರೀಯೋನಿ (ಸ್ಮರಸದನಂ ಉಪಸ್ಥಂ ಭಗಂ ಯೋನಿನಾಮಂ: ಅಭಿಧಾವ, ೧. ೧೨. ೪)"
ಭಗಣ,"ನಕ್ಷತ್ರಸಮೂಹ (ಗಗನತಳದೊಳ್ ಪಲವುಂ ಬೆಳಕಂಡಿಗಳಂ ಸಮೆದಂ ಜಳಜಜನೆನೆ ತೊಳಗಿ ಬೆಳಗಿದುವು ಭಗಣಂಗಳ್: ಧರ್ಮಪ, ೨. ೧೧)"
ಭಗಣೇಶ,"ನಕ್ಷತ್ರಸಮೂಹದ ಒಡೆಯ, ಚಂದ್ರ (ಚಿದಾಕಾಶಾಂಗಣೋನ್ಮಧ್ಯದೊಳ್ ಭಗಣೇಶಂಬೊಲ್ ಅಜಸ್ರಂ ಒಪ್ಪುವ ಭವಂ ರಕ್ಷಿಕ್ಕೆ ಭಕ್ತಾಳಿಯಂ: ಉದ್ಭಟಕಾ, ೧. ೩)"
ಭಗಂದರ,"ಒಂದು ಗುಹ್ಯರೋಗ (ಪಿಟಕಂ ಶೂಲ ಭಗಂಧರಂ ಕುಷ್ಠ .. .. ಮೊದಲಾಗೊಡೆಯ ಏೞುನೂಱು ವ್ಯಾಧಿಗಳ್: ವಡ್ಡಾರಾ, ಪು. ೬೯, ಸಾ. ೧೧)"
ಭಂಗಂಬಡು,"ಅವಮಾನಕ್ಕೊಳಗಾಗು ವನತರು ವಿಹಾರಜಜರೀಕೃತತನುಗಳ್ ಭಂಗಂಬಟ್ಟು ಪೊೞಲಂ ಪುಗೆ : ಚಾವುಂಡಪುಚಂದ್ರ, ಪು. ೨೬೮ ಸಾ. ೫)"
ಭಂಗಂಬೆಱು,"ಅಲುಗಾಡು, ಅಸ್ಥಿರಗೊಳ್ಳು (ಪಿರಿದುಮೆರ್ದೆ ಡವಕೆ ವಾಜಿಸುತಿರೆ ಭಂಗಂಬೆತ್ತು ಹಾರಲತೆ ಘನಕುಚದೊಳ್ ಕರವಿಕ್ಷೇಪದೆ ನರ್ತಿಸೆ ನರೇಂದ್ರನಂದನನನೊಲ್ದು ನೋಡಿದಳೊರ್ವಳ್: ಕಾದಂಬ, ೩. ೨೮)"
ಭಗವ,"ವೈಷ್ಣವ ಸನ್ಯಾಸಿ (ಕರವತಿಗೆಯ ಕೊೞೆನೀರ್ ಪಾರ್ವರಿಗಂ ಭಗವರಿಗಂ ಅಂತೆ ವ್ಯಾಧರಿಗಂ ತಾಂ ಪರಮಂ ಪವಿತ್ರಂ: ಸಮಯಪ, ೬. ೧೩)"
ಭಗವಂತ ವೇಷ,"ಸನ್ಯಾಸಿಯ ಸೋಗು (ಮಹಾಪದ್ಮನಂ ಕಿಡಿಸಿದಲ್ಲದೆ ಕಾಸೆಗಳಂ ಕಳೆಯೆನೆಂದು ಜಾದಿನ ಸೇಲೆಗಳನ್ನುಟ್ಟು ಭಗವಂತ ವೇಷಮಂ ಕೈಕೊಂಡು: ವಡ್ಡಾರಾ, ಪು ೧೮೬, ಸಾ ೬)"
ಭಗವತಿ,"ದೇವತೆ, ದುರ್ಗೆ (ಭಗವತಿಯಂ ಸ್ತುತಿಯಿಸಲ್ .. .. ತಾಂ ಗಡ ಮಗುೞತ್ತಳ್ ಕಳೆದ ಕಣ್ಣನೆಂಬರ್: ಸಮಯಪ, ೯. ೨೨)"
ಭಗವತಿಯೇಱು,"ದೇವಿಯ ಯುದ್ಧ, ದೇವಿ ಮೈಮೇಲೆ ಬಂದಾಗ ಉಂಟಾಗುವ ಉರುಬು (ಭಗವತಿಯೇಱುವೆರ್ವ ತೆಱದಿನಾಯ್ತಿವರೇಱು: ಪಂಪಭಾ, ೧೦. ೧೩)"
