page,1
ಮಕರ,"ಮೊಸಳೆ, ಮೀನು (ನನೆಯಂಬಂ ಮಿಗೆ ಕಣ್ಮಲರ್ ಮಕರಮಂ ಕ್ರೋಡಧ್ವಜಂ ಪೋಲೆ ಕರ್ಬಿನ ಬಿಲ್ಲಂ ಗೆಲೆ ಪುರ್ಬು.. .. ನೂತನಕಂದರ್ಪಂ: ಗದಾಯು, ೧. ೬); ತಿಮಿಂಗಿಲ (ಕರಿಮಕರಾಹತಿಯಿಂ ಬಿರಿದಳಱುವ ಭೈತ್ರದಂತೆ ವಿವಿಧಾಯುಧ ದಂತುರಿತಂಗಂಳೞದುವಾ ಸಂಗರಜಳನಿಧಿಯೊಳ್ ವರೂಥ ಕರಿ ನಿಕರಂಗಳ್: ಪಂಪಭಾ, ೧೩. ೩೫)"
ಮಕರಕುಂಡಲ,"ಕಿವಿಯ ಕಡಕು (ಮಕರಕುಂಡಲ ಮಣಿಪ್ರಭಾ ರಕ್ತಗಂಡಮಂಡಲನುಂ .. .. ಮಹಾನುಭಾವಂ: ಕಾದಂಬ, ೫. ೧೮೩ ವ)"
ಮಕರಕೇತು,"ಮೀನಧ್ವಜ, ಮನ್ಮಥ (ಸಕಲ ಜಗಜ್ಜನಂ ಮಕರಕೇತು ಗೆಲೆ ಮದನನೃಪನ ನಾಟಕ ವಿಜಯಾನಕರವದಂತೆಸೆಗುಂ ಕ್ಷೀಬಕೀರ ಮತ್ತಾಳಿ ಪರಭೃತಪ್ರಭವರಂ: ಅಜಿತಪು, ೬. ೧೦)"
ಮಕರತೋರಣ,"ಮೀನಿನ ಆಕಾರದ ತೊರಣ (ರಂಜಿಕುಂ ಮಕರತೋರಣಮೀಕ್ಷಣ ಸೌಖ್ಯಕಾರಣಂ: ಪುಷ್ಪದಂಪು, ೨. ೯೧)"
ಮಕರಂದ,"ಹೂವಿನ ಬಂಡು (ನಂದನನಾ ಪ್ರಸವಪ್ರಭೂತಮಕರಂದಾಮೋದಮಂ ತಂದು: ಸುಕುಮಾಚ, ೪. ೪೫)"
ಮಕರಧ್ವಜ,"ಮಕರಕೇತು (ಅಂತಾ ಬಾಲೆ ಕಾಯ್ದ ಪುಡಿಯೊಳಗೆ ಬಿಸುಟ್ಟ ಎಳವಾಳೆಯಂತೆ ಸುರತ ಮಕರಧ್ವಜನೊಳಾದ ಬೇಟದೊಳ್ ಮಮ್ಮಲ ಮಱುಗುತಿರ್ದಳ್: ಪಂಪಭಾ, ೫. ೧೦ ವ)"
ಮಕರಪತ್ರ,"ದೇಹದ ಮೇಲೆ ಬರದುಕೊಳ್ಳುವ ಅಲಂಕಾರ ಚಿತ್ರ (ಸುರುಚಿರ ಮೌಕ್ತಿಕ ಹಾರಾಂದೋಳ ಮಕರಪತ್ರಾಂಕಿತ ಪೀನಪಯೋಧರಮುಂ: ತ್ರಿಷಷ್ಟಿಪು, ೧೮. ೫೪ ವ)"
ಮಕರಮಸ್ತಕಭೂಮಿ,"ಮಕರವ್ಯೂಹದ ತಲೆಬದಿಯ ಜಾಗ (ಕೌರವಬಲದ ಒಡ್ಡಣದ ನಾಯಕರಿವರಾರೆಂದು ಬೆಸಗೊಳೆ ಮಕರಮಸ್ತಕಭೂಮಿಯೊಳ್ ಯುದ್ಧಸನ್ನದ್ಧನಾಗಿ: ಪಂಪಭಾ, ೧೦. ೫೩ ವ)"
ಮಕರವ್ಯೂಹ,"ಮೊಸಳೆಯಾಕಾರದ ಸೈನ್ಯವ್ಯೂಹ (ಮಕರವ್ಯೂಹಮನೊಡ್ಡಿ ನಿಂದನಸುರಂ .. .. ತದ್ವೈಹಮಂ ನೋಡಿ ಸಮ್ಮುಖದೊಳ್ತಾಂ ಮೊನೆಯಾಗೆ ಭೆದಿಸುವ ಸೂಚೀವ್ಯೂಹದೊಳ್ ದಾನವಾಂತಕನಾಂತಂ: ಅನಂತಪು, ೧೩. ೯೪)"
