page,1
ಯಃ ಪಲಾಯಃ ಸ ಜೀವತಿ,"ಯಾವನು ಪಲಾಯನ ಮಾಡುತ್ತಾನೋ ಅವನು ಬದುಕುತ್ತಾನೆ (ಯಃ ಪಲಾಯಃ ಸ ಜೀವತಿ ಎಂದೋಡುವ ತನ್ನ ಮೆಯ್ದುನೆನಿಪ್ಪಾ ರುಕ್ಮಿಗಂ .. .. ಶ್ರುತಿಪೂರಮಾಯ್ತು ಜಯಭೆರಿನಾದವಾ ಕೃಷ್ಣನಾ: ಜಗನ್ನಾವಿ, ೧೭. ೫೭)"
ಯಕ್ಷ,"ಒಂದು ದೇವಯೋನಿ (ಖೇಚರ ಕಿನ್ನರ ಯಕ್ಷ ಪಿಶಾಚರ್ ಗಂಧರ್ವರ್ ಅಪ್ಸರಪ್ರಕರಂ ದೊಷಾಚರರ್ ಎಂದು ಅದ್ಭುತಗುಣಗೋಚರರವರ್ ಎಯ್ದೆ ದೇವಯೋನಿಗಳೆನಿಪರ್: ಅಭಿಧಾವ, ೧. ೧. ೫೪) ಯಕ್ಷಮುಖ್ಯ, ಕುಬೇರ (ಧನಪತಿ ಯಕ್ಷಂ ಶ್ರೀದಂ .. .. ಧನದಂ ಕುಬೇರಂ ಅಳಕಾಧಿನಾಯಕಂ: ಅಭಿಧಾವ, ೧. ೧. ೪೬); [ಜೈನ] ವ್ಯಂತರ ದೇವತೆಗಳ ಒಂದು ವರ್ಗ (ಆನೀ ವಟವೃಕ್ಷ ನಿವಾಸಿಯೆಂ ಮನೋಹರನೆಂಬ ಯಕ್ಷನೆಂ: ವಡ್ಡಾರಾ, ಪು. ೫೬, ಸಾ. ೧೬)"
ಯಕ್ಷಕರ್ದಮ,"ಪರಿಮಳ, ಲೇಪನ ದ್ರವ್ಯ (ಕಾಳಾಗರುಕಾಶ್ಮೀರ ಕಸ್ತೂರಿ ಕರ್ಪೂರ ಯಕ್ಷಕರ್ದಮಕ್ಷೆದದೊಳಂ ನದೀತರಂಗಘಗಳಂ ವಿಚಿತ್ರವರ್ಣಂ ಮಾಡಿ: ಆದಿಪು, ೧೧. ೧೩೯ ವ)"
ಯಕ್ಷಿ,"[ಜೈನ] ಪ್ರತಿಯೊಬ್ಬ ತೀರ್ಥಂಕರನ ಬಳಿ ಇರುವ ಶಾಸನ ದೇವತೆ (ಯಕ್ಷಿ ಬರೆ ಕಂಡು ತಾಂ ಪ್ರತ್ಯಕ್ಷಂ ಕರೆದೆನ್ನಂ ಇತ್ತಳೀ ಪುತ್ರನಂ: ಕರ್ಣನೇಮಿ, ೬. ೪೦)"
ಯಕ್ಷೆಂದ್ರ,"ಯಕ್ಷರ ಒಡೆಯ, ಕುಬೇರ (ಕುಂದದ ಶರನಿಧಿ ಯಕ್ಷೇಂದ್ರನಿಧಿಯಿದೆನೆ ಸೊಗಯಿಸುಗುಂ: ರಾಜಶೇವಿ, ೬. ೧೧೩)"
ಯಜನ,"ಯಾಗ ಮಾಡುವಿಕೆ (ಅಂತು ಭವಿಷ್ಯದ್ ದ್ವಿಜವರ್ಣಕೆ ಅಧ್ಯಯನ ಅಧ್ಯಾಪನ ದಾನ ಪ್ರತಿಗ್ರಹ ಯಜನ ಯಾಜನವಿಶಿಷ್ಟವೃತ್ತಿಯುಮಂ: ಆದಿಪು, ೮. ೭೩ ವ)"
ಯಜಮಾನ,"ಎಂಟು ಮೂರ್ತಿಗಳ ಶಿವನ ಒಂದು ಮೂರ್ತಿ (ಗೋಕರ್ಣನಾಥನಂ ಗೌರೀನಾಥನಂ ಅವನಿ ಪವನ ಗಗನ ದಹನ ತರಣಿ ಸಲಿಲ ತುಹಿನಕರ ಯಜಮಾನ ಮೂರ್ತಿಯಂ ತ್ರೈಲೋಕ್ಯಸಂಗೀತಕೀರ್ತಿಯಂ ಕಂಡು ಕೆಯ್ಗಳಂ ಮುಗಿದು: ಪಂಪಭಾ, ೪. ೨೬ ವ); ಯಾಗಕರ್ತ (ಧರ್ಮಪುತ್ರಂ ಸಪತ್ನಿ ಯಜಮಾನನಾಗಿರ್ದಾಗಳ್: ಪಂಪಭಾ, ೬. ೩೩ ವ)"
ಯಜ್ಞ,"ಯಾಗ ಕ್ರತು ಯಾಗಂ ಅಧ್ವರಮ ಸಪ್ತತಂತು ಸತ್ರಂ ಮಖಂ ಸವಂ ಯಜ್ಞಂ: ಅಭಿಧಾವ, ೧. ೧೧. ೪೧)"
ಯಜ್ಞದ್ರವ್ಯ,"ಯಜ್ಞ ಮಾಡಲು ಬೇಕಾದ ಸಾಮಗ್ರಿ (ಬ್ರಹ್ಮೃಷಿಯರುಮಂ ಅರಸುಮಕ್ಕಳಂ ಎಡೆಯೆಱದಿರಿಸಿ ಯಜ್ಞದ್ರವ್ಯಂಗಳೆಲ್ಲಮಂ ನೆರಪಿ: ಪಂಪಭಾ, ೬. ೩೩ ವ)"
