page,1
ರಂಕು,"ಮಚ್ಚೆಗಳಿರುವ ಜಿಂಕೆ (ಪರಿಣತ ರಂಕು ರೋಮತತಿ ಪಾಂಡುರಂ ಅಂದು ಶಶಾಂಕಮಂಡಲಂ: ಕಾದಂಬ, ೧. ೧೧೪)"
ರಕ್ಕಸಪಾರ್ವ,"ಬ್ರಹ್ಮರಾಕ್ಷಸ (ಪಿಶಾಚಾನಿವಹಮನಡಗುಣಿಮೆಂದು ನವವೇದಮಂ ಪೇೞ್ವರಲ್ಲಿರಕ್ಕಸಪಾರ್ವರ್: ಗದಾಯು, ೪. ೪೦)"
ರಕ್ಕಸವಡೆ,"[ರಕ್ಕಸ + ಪಡೆ] ರಾಕ್ಷಸ ಸೈನ್ಯ (ಮೂಱುಂ ಯೋಜನದಳವಿಯ ಸಭಾಮಂಟಪಮನೊಂದು ಲಕ್ಕ ರಕ್ಕಸವಡೆಯಿಂ ಪೊತ್ತು ತರಿ: ಪಂಪಭಾ, ೬. ೨ ವ)"
ರಕ್ಕಸಿ,"ರಾಕ್ಷಸಿ (ರಕ್ಕಸಿಯರ ಕಂಡು ಕುಂಬಳದ ಮಾರ್ೞಕೆವೊಲಾಗಿರೆ ಮಾಡದಿರ್ಪಿರೇ: ಪಂಪಭಾ, ೯. ೪೮)"
ರಕ್ಕಸಿಯರ ಕಂಡ ಕುಂಬಳ,"ರಾಕ್ಷಸಿಯರ ದೃಷ್ಟಿ ಬಿದ್ದ ಕುಂಬಳ, ಹೊರಗೆ ಸರಿಯಾಗಿ ಕಾಣಿಸಿದರೂ ರಾಕ್ಷಸಿಯ ದೃಷ್ಟಿ ಬಿದ್ದು ತಿರುಳು ಕೊಳೆತಿರುವ ಹಾಗೆ (ಪೊಱಗಣ್ಗೆ ಸಯ್ದರೆನೆ ತಾವೊಳಗಂ ತವೆ ತೋಡಿ ತಿಂದು ರಕ್ಕಸಿಯರ ಕಂಡ ಕುಂಬಳದವೊಲಾಗಿರೆ: ಪಂಪಭಾ, ೯. ೪೮)"
ರಕ್ಕೆ,"[ರಕ್ಷೆ] ಭಯನಿವಾರಣೆಯ ಯಂತ್ರ (ವಿಭೂತಿಗೊಂಡು .. .. ರಾಜ್ಯದ ವಿಭೂತಿಗೆ ನೆಟ್ಟನೆ ರಕ್ಕೆಗಟ್ಟುವಂತಿರೆ ಫಣೆಯಲ್ಲಿ ಪೂಸಿ: ತ್ರಿಷಷ್ಟಿಪು, ೧೭. ೧೭೯)"
ರಕ್ಕೆವಣಿ,[ರಕ್ಷಾಮಣಿ] ಕ್ಷೇಮಕ್ಕಾಗಿ ಕಟ್ಟುವ ಮಣಿ (ರಂಜಿಪ ನೂಲ ರಕ್ಕೆವಣಿಗಳ್ ಚೆಲ್ವಾಗೆ .. .. ವಕ್ತ್ರೆಂದುವಂ ಅಂಜನಾಂಕಿತಮಂ ನಾನಿನ್ನೆಂದು ಪೇೞ್ ಕಾಣ್ಬೆನೋ: ಕಾದಂಬ. ೨. ೫೬)
ರಕ್ಕೆವೊಟ್ಟು,"ದೃಷ್ಟಿಬೊಟ್ಟು (ಲೋಕಲೋಚನಪರಿಪಾತದೋಷ ಕಾರಣದಿಂದ ಅವಳಿಟ್ಟ ರಕ್ಕೆವೊಟ್ಟೆನೆ ನಸುಗರ್ಪು ಕಣ್ಗೊಳಿಸಿದತ್ತು ಕುಚಚೂಚುಕಂಗಳೊಳ್: ಶಾಂತೀಶ್ವಪು, ೪. ೨೬)"
ರಕ್ತ,"ಕೆಂಪು ಬಣ್ಣ (ಅರುಣಂ ಶೋಣಂ ಕೋಕನದ ರುಚಿ ರಕ್ತಂ ದು ಲೋಹಿತಂ ಸಂಧ್ಯಾಭಂ: ಅಭಿಧಾವ, ೨. ೧. ೬೪); ನೆತ್ತರು (ಕ್ಷತಜಂ ರುದಿರಂ ಅಸೃಕ್ ಲೋಹಿತಂ ಅಸ್ರಂ ಶೋಣಿತಾಖ್ಯಮೆಂಬುದು ರಕ್ತಂ: ಅಭಿಧಾವ, ೧. ೧೨. ೨೭); ಅನುರಾಗವುಳ್ಳವನು (ಕೆಂಪೇಱೆ ನೈಜಾಂಶುರಕ್ತಂ ಣಗಣಂ ತತ್ಸೀಕರಂಬೊಲ್ ಮೆಱೆಯೆ: ರಾಜಶೇವಿ, ೬. ೨೮)"
