page,1
ಱಕ್ಕಟ,"ವ್ಯರ್ಥವಾದ (ಪೊಸಮಲ್ಲಿಗೆಗಳ ತಿಳಕಪ್ರಸರದ ಕಂಪಿಂಗೆ ಬಸನಿಗಂ ನೀನೆಂದಾ ದೆಸೆಯನಣಂ ನೋಡಲ್ಸಂಕಿಸುವೆನಗೆ ಮದಾಳಿ ಱಕ್ಕಟಂ ಪಲ್ಮೊರೆವಾ: ಮಲ್ಲಿನಾಪು, ೩. ೩೩)"
ಱಕ್ಕಟಂ,"ವ್ಯರ್ಥವಾಗಿ (ಮರುಳಾಗಿ ಕೆಮ್ಮನೀತನ ನರಿಯಂ ಕಾಣ್ಬಂತೆ ಕಂಡು ಱಕ್ಕಟ ಮುನಿಸಿಂ ಹರಿಯಿಸುವೆನೆಂದು ಪಾಪದ ಭರದಿಂ ನರಕಕ್ಕೆ ಜಗೞ್ದನೆನ್ನಾತ್ಮೇಶಂ: ಧರ್ಮಾಮೃ, ೧೦. ೧೪೫)"
ಱಚ್ಚೆ,"ಕೆಸರು (ತಿರಿದುಂಡು ಕಚ್ಚುಟಮನುಟ್ಟು ಱಚ್ಚೆಯೊಳ್ಪಟ್ಟು ಮುಟ್ಟುಗೆಟು ಉಬ್ಬೆಗಂ ಉಬ್ಬರಿಸಿ ನಮೆದುದದನದಂ ಮಱೆದಿರೆ: ಸುಕುಮಾಚ, ೪. ೩೦)"
ಱಂಡೆ,"ವಿಧವೆ (ವ್ಯಾಸಮುನೀಶಂ ಪೇಸದೆ ಱಂಡೆಗೆ ಗರ್ಭಮನೆ ಮಾಡೆ: ಸಮಯಪ, ೧೦. ೧೫೪)"
ಱೞ,"ೞ ಎಂಬ ಅಕ್ಷರ (ಅತಿಪೀಡನದಿಂ ರೇಫಾಶ್ರಿತಮಾದ ಱಕಾರಮುಂ ಸಮಂತು ಡಕಾರಾಶ್ರಿತಮಾದ ಱೞನುಂ ಅಂಗೀಕೃತಪದಲತ್ವಕ್ಕೆ ಸಮನೆ ಸಲ್ಲದ ಕುಳನುಂ: ಶಬ್ದಮದ, ೨೮)"
ಱಾಟಣ,"ಬಾವಿಯಿಂದ ನೀರೆತ್ತುವ ಗಾಲಿ (ಅತತ್ವದೊಳ್ ನಿಲಿಸದ ಭಾವಂ ಅೞಸದ ಪುದ್ಗಳಂ ಇಲ್ಲೆನೆ ಕರ್ಮಬಂಧದಿಂ ಬಲವರುತಿರ್ಪ ಱಾಟಣದ ಗುಂಡಿಗೆಯಂತಿರೆ: ಸುಕುಮಾಚ, ೫. ೩೨)"
ಱಾಟಳ,"ಱಾಟಣ (ಮಲಜಯವಾರಿಯಿಂ ಕುಳಿರ್ವ ಬಾವಿಗಳಲ್ಲಿ ಮೃಣಾಳದಂಡಮಂಡಲಿಗಳ ದಂಡತೋರಣಕದಿಂ .. .. ಸಮೆದಾಡುವ ಱಾಟಳಂಗಳಂ: ಕಾದಂಬ, ೭. ೨೧)"
ಱುಂಜೆ,"ಒಂದು ಚರ್ಮವಾದ್ಯ (ಪೊಯ್ವ ಎಕ್ಕವದ್ದಳೆಯ ದನಿಯುಂ ಉದ್ದುವ ಱುಂಜೆಯು ರವಮುಂ .. .. ನೆರಪೆ .. .. ನರಕಮಥನಂ ಬರ್ಪಂ: ನೇಮಿನಾಪು, ೮. ೭೫ ವ)"
ಱುಂಜೆವಾರಿಸು,"ಱುಂಜೆಯನ್ನು ಬಾರಿಸಿದಂತೆ ಹೊಡೆ (ಅವಂದಿರ್ .. .. ಆ ಮುನಿಯ ತಲೆಯನಂಜದೆ ಱೆಂಚೆವಾರಿಸಿ ಪೋಪುದುಂ: ಕರ್ಣನೇಮಿ, ೧೪. ೭೦ ವ)"
ಱೆಂಚೆ,"ಅಂಬಾರಿ (ಸಿಂಧುರದೊಳ್ ಱೆಂಚೆಯುಮಂ ಮಲಂಗಿ ಜಿನನಾಥಂಗಿಕ್ಕಿದರ್ ಚಾರುಚಾಮರಮಂ ನಿಂದು ಸತನ್ಕುಮಾರನುಂ ಅತರ್ಕ್ಯೋತ್ಸಾಹಿ ಮಾಹೇಂದ್ರನುಂ: ಅನಂತಪು, ೫. ೩೫)"
ಱೆಂಚೆಯ,"ಆನೆಕುದುರೆಗಳ ಪಕ್ಕರಕ್ಕೆ (ಹಮ್ಮಿದ ಗುಳದ ಹೂಡಿದ ಱೆಂಚೆಯದ .. .. ನಿಂದ ಗಜಘಟಾಪಟಲದೊಳಂ: ಗಿರಿಜಾಕ, ೬. ೫೫ ವ)"
ಱೆಪ್ಪು,"ಏಟುಕೊಡು (ಱೆಪ್ಪು ಪ್ರಹರಣೇ: ಶಬ್ದಮದ, ಧಾ ೪೭೦)"
