page,1
ವಂಕ,"ವಕ್ರ (ಕಲಿಗಳ ಕಾಪಿನ ವಂಕದ ಪುಲಿಮೊಗದತಿ ಲಸಿತ ವಾಕವಾಟಂಗಳ: ತ್ರಿಷಷ್ಟಿಪು, ೧೭. ೨೧)"
ವಂಕದರ,"ಕೋಟೆಯ ಪಕ್ಕದ ಚಿಕ್ಕ ಬಾಗಿಲು, ವಕ್ರದ್ವಾರ (ಕೋಟೆಗಾವಗಂ ಕೆಡಪುವ ಗಗ್ಗೆ ವಂಕದರದಿಂ ಪೊಱಮಟ್ಟುೞವ ಆಳ್ಗಂ: ಚಂದ್ರಪ್ರಪು, ೫. ೧೦೬)"
ವಂಕದಾರ,"ಕೋಟೆಯ ಪಕ್ಕದ ಚಿಕ್ಕ ಬಾಗಿಲು (ಆ ಕುಮಾರನ ಲಕ್ಷ್ಮೀಮಂದಿರಕ್ಕೆ ವಂದು ವಂಕದಾರದೊಳ್ ನಿಂದು: ಸುಕುಮಾಚ, ೧೦. ೧೧೭ ವ)"
ವಕಾರತ್ರಯ,"ವೈದಿಕರ ದೇವಕಾರ್ಯ, ಪಿತೃಕಾರ್ಯ ಮತ್ತು ಮಾನುಷಕಾರ್ಯಗಳಲ್ಲಿ ಕ್ರಮವಾಗಿ ಬಳಸುವ ಸ್ವಾಹಾಕಾರ, ಸ್ವಧಾಕಾರ ಮತ್ತು ವಷಟ್ಕಾರಗಳಲ್ಲಿನ ಮೂರು ವಕಾರಗಳು (ಕ್ರಿಯೆಯಿಂ ನೆಗೞ್ದ ವಕಾರತ್ರಯಮಂ ನೆಱೆ ಬಲ್ಲೆನೆಂಬ .. .. ಮಾಯಾವಿಯ ಮಾತಂ ನಂಬಲಾಗದು: ಸಮಯಪ, ೧೨. ೩೪)"
ವಂಕಿ,"ಚಂದ್ರಾಯುಧ (ಪಾಶದ ಅಂಕುಶದ ವಂಕಿಯ ಲೌಡಿಯ ಜವದಾಡೆಯ .. .. ಮೆಱೆದು ನೆರೆದ ಪದಾತಿವ್ಯೂಹದಿಂ: ರಾಜಶೇವಿ, ೬. ೧೧ ವ)"
ವಕುಳ,"ನಾಗಕೇಸರ, ಪಗಡೆ ಗಿಡ (ಮತ್ತೊರ್ವಳ್ ವಕುಳ ಲುಕುಳಾಸವವದನಪರಿಮಳೆ: ಆದಿಪು, ೧೧. ೧೨೩ ವ)"
ವಕ್ಖಾಣಿಸು,"[ವ್ಯಾಖ್ಯಾನಿಸು] ವಿವರಿಸು (ಮಾಯಾತಪಸ್ವಿ ಜೋಯಿಸಮಂ ವಕ್ಖಾಣಿಸಿಂ ಎಂದು ಕಯ್ಗಳಂ ಮುಗಿದು ಮುಂದೆ ಕುಳ್ಳಿರ್ಪುದುಂ: ಸುಕುಮಾಚ, ೩. ೩೫ ವ)"
ವಕ್ತ್ರ,"ಬಾಯಿ, ಮುಖ (ಪವನಜನ ಆಸ್ಯಮಲ್ತಿದು ಅವನ ಆನನಮಪ್ಪೊಡೆ ಮಟ್ಟಮಿರ್ದು ನೋಡುವುದೆ ಮದೀಯವಕ್ತ್ರಮನೆ ಕೆಮ್ಮನೆ: ಗದಾಯು, ೯. ೩೩)"
ವಕ್ತ್ರಪದ್ಮ,"ಮುಖಕಮಲ (ಅರಸಿಯ ವಕ್ತ್ರಪದ್ಮಮಿದೇಕೆಯೊ ಮಾಗಿಯ ಪದ್ಮದಂದದಿಂ ಕೊರಗಿದುದು: ನೇಮಿನಾಪು, ೧. ೧೧೪)"
ವಕ್ತ್ರಮಂಡನ,"ಮುಖಾಲಂಕಾರ (ಜಲಲವಮಂಜರಿಯಂ ಉಟುಮಾಡಿದುವು ದಿಶಾಲಲನೆಯರ ವಕ್ತ್ರಮಂಡನ ವಿಲಾಸದೊಳ್ ನೆಗೞ್ವ ಕರ್ಣಪೂರಶ್ರೀಯಂ: ಆದಿಪು, ೭. ೯೫)"
ವಕ್ರ,"ತಡೆ (ಜವನಾಣೆಗಂ ಆಜ್ಞೆಗಂ ಉಂಟೆ ವಕ್ರಂ ಆ ಖಳನ ತುೞವುಮಂ ಸೋಂಕುಮಂ ಆರವಧರಿಪರ್: ಆದಿಪು, ೪. ೬೭); ಅಡ್ಡಿ, ತೊಂದರೆ (ಚಕ್ರದೊಳೇಂ ಮತ್ತೇಜಶ್ಚಕ್ರಮೆ ಮುಂದಕ್ಕೆ ದಂಡರತ್ನಂಬರಂ ಆರ್ ವಕ್ರಮೆನಗೆ ಅಖಿಳ ಧರಣೀಚಕ್ರದೊಳ್: ಆದಿಪು, ೧೨. ೭೨)"
ವಕ್ರಗತಿ,"ಅಂಕುಡೊಂಕು ಚಲನೆ, ಕೆಟ್ಟ ನಡತೆ (ವಕ್ರಗತಿ ಫಣಿಯೊಳ್ .. .. ಪದವಿರ್ಪುದಲ್ಲದಿಲ್ಲಾ ನಾಡೊಳ್: ಕುಉಸುಮಾಕಾ, ೨. ೩೮)"
ವಕ್ರಗ್ರೀವ,"ಬಾಗಿದ ಕೊರಳುಳ್ಳವನು, ಒಂಟೆ (ಅಪಸ್ಮಾರಗ್ರಹಗೃಹೀತರಂತೆ ವಕ್ರಗ್ರೀವರಾಗಿಯುಂ, ಉಗ್ರಗ್ರಹಂ ಸೋಂಕಿದಂತೆ ಮರುಳಾಗಿಯುಂ ನೆಱುಗಿವುಡರಂತೆ ಕಿವುಂಡಗೇಳ್ದುಂ: ಪಂಚತಂತ್ರ, ೭೦ ವ)"
