page,1
ಶಕಟ,"ಬಂಡಿ, ರಥ (ಅನೇಕಶರಭರಿತ ಶಕಟಸಹಸ್ರಮನೊಂದು ಮಾಡಿ ಗಾಂಗೇಯನ ಪೆಱಗೆ ನಿಲಿಸಿದಾಗಳ್: ಪಂಪಭಾ, ೧೧. ೧೬ ವ); ಒಬ್ಬ ರಾಕ್ಷಸ (ತದಂಘ್ರಿತಳಂ ಮುಟ್ಟೆ ಸಿಡಿಲ್ ಪೊಡೆದ ತೆಱದೆಕೆಡೆದಂ ಸಕಟಂ: ಜಗನ್ನಾವಿ, ೩. ೨೮)"
ಶಕಟಪ್ರಸಂಹಾರ,"ಶಕಟನನ್ನು ಕೊಂದವನು, ಶ್ರೀಕೃಷ್ಣ (ಶಕಟಪ್ರಸಂಹಾರನಾಡಿದಂ ಯಮಳಾರ್ಜುನ ದ್ರುಮಘಾತಿಯೆಂಬೀ ರವಂ ನೆಗೞಲ್ಕೆ .. .. ಮುರಾರಿ ಕೈಪಱೆಗಾಡಿದಂ: ಜಗನ್ನಾವಿ, ೩. ೫೫)"
ಶಕಟವ್ಯೂಹ,"ರಥದ ಆಕಾರದಲ್ಲಿ ಸೇನೆಯನ್ನು ನಿಲ್ಲಿಸುವ ಒಂದು ರಚನೆ (ಶಕಟವ್ಯೂಹದ ಪೆಱಗೆ .. .. ಅಧಿಕಬಲರಪ್ಪ ಸೌಬಲ ದುಶ್ಶಾಸನಾದಿ ಪ್ರಧಾನ ವೀರಭಟಕೋಟಿಯ ನಡುವೆ ಸಿಂದುರಾಜನಂ ನಿರಿಸಿ: ಪಂಪಭಾ, ೧೧. ೧೩೨ ವ)"
ಶಂಕರ,"ಶುಭಕರ (ಪ್ರೀತಿಂಕರ ಶಂಕರ ವಿದ್ಯಾತಿಶಯನಿಧಾನ ನಿನ್ನ ದಯೆವೆರಸಿದತಿಪ್ರೀತಿಯೊಳ್ ಆಂ ಅತ್ಯುತ್ತಮ ಜಾತಿಗಳೊಳ್ ಪುಟ್ಟಿ ಸುಖಮನುಣುತುಂ ಬಂದೆಂ: ಆದಿಪು, ೫. ೭೩)"
ಶಕಲ,"ಚೂರು, ತುಂಡು (ಇಭಕುಂಭೋನ್ಮುಕ್ತ ಮುಕ್ತಾಶಕಲ ಸಿಕತಿಲಾಶ್ರಾಂತ ಮಜ್ಜತ್ ಪುಳಿಂದೀ ಸುಭಗ ಆಸ್ಯಾಂಭೋಜಭೂಷಂ: ಲೀಲಾವತಿ, ೭. ೧೦೩); ತಲೆಯ ಚಿಪ್ಪು (ಅರುಣೋಜ್ಜೃಂಭಿತ ಚರ್ಮ ಅಸ್ತಿ ಶಕಲಂ ವಾಲಂ ವಿಷಾಣ: ತ್ರಿಷಷ್ಟಿಪು, ೨೭. ೩೩)"
ಶಕಳ,"ಚೂರು, ತುಂಡು (ಅನೇಕ ನೃಪ ಶಿರಃ ಕಪಾಳ ಶಕಳ ಜರ್ಜರಿತಮುಂ ಪರಸ್ಪರ ಸಮರ ರಭಸಸಮುತ್ಸಾರಿತಮುಂ: ಪಂಪಭಾ, ೧೩. ೫೧ ವ)"
ಶಂಕಾಕುಳಿತ,"ಸಂಶಯದಿಂದ ಪೀಡಿತವಾದ (ಆ ಶಿಶುವಿನೞ ತೆಕ್ಕನೆ ತೀವಿತ್ತನಿತುಂ ದಿಕ್ತಟಮಂ ಭೋರೆನೆ ಶಂಕಾಕುಳಿತಮಪ್ಪಿನಂ ಭುವನಜನಂ: ಜಗನ್ನಾವಿ, ೩. ೧೨)"
ಶಂಕಾಕುಳಿತಚಿತ್ತ,"[ಶಂಕಾ+ಆಕುಳಿತಚಿತ್ತ] ಆತಂಕದಿಂದ ವಿಕಲಗೊಂಡ ಮನಸ್ಸು (ಯಮನಂದನನಿರ್ವರ ಬರವುಮಂ ಕಾಣದೆ ಶಂಕಾಕುಳಿತಚಿತ್ತನಾಗಿ: ಪಂಪಭಾ, ೮. ೪೦ ವ)"
ಶಂಕಾಂತರ,"ಸಂದೇಹ (ಲತೆಗಳ್ ಜಂಗಮರೂಪದಿಂದೆ ನೆರದುವೋ ದಿವ್ಯಾಪ್ಸರೋವೃಂದಂ ಈ ಕ್ಷಿತಿಗೇಂ ಇಂದ್ರನ ಶಾಪದಿಂದ ಇೞದುವೋ ಪೇೞೆಂಬ ಶಂಕಾಂತರಂ ಮತಿಗಂ ಪುಟ್ಟುವಿನೆಗಂ: ಪಂಪಭಾ, ೪. ೩೯)"
