page,1
ಷಟ್ಕರ್ಮ,"ವೈದಿಕ ಬ್ರಾಹ್ಮಣನ ಆರು ಕೆಲಸಗಳು: ಅಧ್ಯಯನ, ಅಧ್ಯಾಪನ, ಯಜನ, ಯಾಜನ, ದಾನ, ಪ್ರತಿಗ್ರಹ; (ಭವಿಷ್ಯದ್ವಿಜನ್ಮವರ್ಣಕ್ಕೆ ಅಧ್ಯಯನ ಅಧ್ಯಾಪನ ದಾನ ಪ್ರತಿಗ್ರಹ ಯಜನ ಯಾಜನ ವಿಶಿಷ್ಟವೃತ್ತಿಯುಮಂ: ಆದಿಪು, ೪. ೭೬ ವ);"
ಷಟ್ಕರ್ಮ,"ವೈದಿಕ ಬ್ರಾಹ್ಮಣನ ಆರು ಕೆಲಸಗಳು: ಅಧ್ಯಯನ, ಅಧ್ಯಾಪನ, ಯಜನ, ಯಾಜನ, ದಾನ, ಪ್ರತಿಗ್ರಹ; (ಭವಿಷ್ಯದ್ವಿಜನ್ಮವರ್ಣಕ್ಕೆ ಅಧ್ಯಯನ ಅಧ್ಯಾಪನ ದಾನ ಪ್ರತಿಗ್ರಹ ಯಜನ ಯಾಜನ ವಿಶಿಷ್ಟವೃತ್ತಿಯುಮಂ: ಆದಿಪು, ೪. ೭೬ ವ); ಪ್ರಜೆಗಳು ಅನುಸರಿಸಬಹುದಾದ ಆರು ವರ್ಗಗಳ ವೃತ್ತಿಗಳು: ಅಸಿ, ಮಷಿ, ಕೃಷಿ, ವಾಣಿಜ್ಯ, ವಿದ್ಯೆ ಮತ್ತು ಶಿಲ್ಪ (ಪೂರ್ವಾಪರವಿದೇಹಸ್ಥಿತಿ ಸಮಾನಮಾಗೆ ಷಟ್ಕರ್ಮಂಗಳುಮಂ ವರ್ಣಾಶ್ರಮವಿಭಾಗಂಗಳುಮಂ ಗ್ರಾಮಗೃಹಾದಿಭೇದಂಗಳುಮಂ: ಆದಿಪು, ೮. ೬೨ ವ); [ಜೈನ] ಹೊಸತಾಗಿ ತಾನು ಸೃಷ್ಟಿಸಿದ ಬ್ರಾಹ್ಮಣರಿಗೆ ಭರತನು ನಿಗದಿಗೊಳಿಸಿದ ಆರು ಕರ್ಮಗಳು: ಪೂಜೆ, ವಾರ್ತೆ, ದತ್ತಿ, ಸ್ವಾಧ್ಯಾಯ, ಸಂಯಮ, ತಪಸ್ಸುಗಳು (ಆರ್ಯ ಷಟ್ಕರ್ಮಂಗಳಂ ನಿಮಗಿವು ಕುಲಾಚಾರಂಗಳೆಂದು ಅಱಯೆ ಪೇೞ್ದು ಕೈಕೊಳಿಸಿ: ಆದಿಪು, ೧೫. ೧೩ ವ)"
ಷಟ್ಕಷಾಯ,"[ಜೈನ] ಹಾಸ್ಯ, ರತಿ, ಶೋಕ, ಭಯ, ಅರತಿ, ಜುಗುಪ್ಸೆ ಎಂಬ ಆರು ದೋಷಗಳು (ಚಿರಂತನ ಷಟ್ಕರ್ಮಂಬೆರಸು ಹಾಸ್ಯ ರತಿ ಶೋಕ ಭಯ ಜುಗುಪ್ಸಾ ಅಭಿಧಾನ ಷಟ್ಕಷಾಯಮುಮಂ ಕಿಡಿಸಿ: ಶಾಂತಿಪು, ೧೧. ೧೧೧ ವ)"
ಷಟ್ಖಂಡ,"ಜೈನ] ಆರು ಭೂಭಾಗಗಳು, ಹಿಮವತ್ಪರ್ವತದ ದಕ್ಷಿಣದಲ್ಲಿ ಲವಣಸಮುದ್ರದವರೆಗೂ ವ್ಯಾಪಿಸಿರುವುದು ಭರತಕ್ಷೇತ್ರ. ಇದರ ನಡುವೆ ವಿಜಯಾರ್ಧಪರ್ವತದ ಪೂರ್ವಪಶ್ಚಿಮವಾಗಿ ಹಬ್ಬಿ ಈ ಕ್ಷೇತ್ರವನ್ನು ಉತ್ತರ ಭರತ, ದಕ್ಷಿಣ ಭರತ ಎಂದು ಎರಡಾಗಿ ಒಡೆಯುತ್ತದೆ. ಹಿಮವತ್ಪರ್ವತದಲ್ಲಿ ಹುಟ್ಟಿದ ಮಹಾಸಿಂಧು ಮಹಾಗಂಗಾ ಎಂಬೆರಡು ನದಿಗಳು ಉತ್ತರದಿಂದ ದಕ್ಷಿಣಕ್ಕೆ ಹರಿದು ಲವಣ ಸಮುದ್ರವನ್ನು ಸೇರುತ್ತವೆ, ವಿಜಯಾರ್ಧಪರ್ವತ ಮತ್ತು ಗಂಗಾಸಿಂಧೂ ನದಿಗಳಿಂದ ಭರತಕ್ಷೇತ್ರ ಆರು ಖಂಡಗಳಾಗಿ ಭಾಗವಾಗಿದೆ. ಉತ್ತರ ಭರತಕ್ಷೇತ್ರದ ಮೂರು ಖಂಡಗಳ ನಡುವೆ ಆರ್ಯಖಂಡವಿವೆ, ಈ ಎರಡೂ ಕ್ಷೇತ್ರದ ಖಂಡಗಳು ಕೂಡಿ ಷಟ್ಖಂಡವೆನಿಸಿವೆ (ಮಹಿಭರತಂ ಷಟ್ಖಂಡಾವಹಂ : ಸುಕುಮಾಚ, ೧. ೬೮)"
ಷಟ್ಚರಣ,"ದುಂಬಿ (ದಾನಪ್ರಮೋದ ವಾಚಾಳಷಟ್ಚರಣ ಚಾರಣ ಗಣೋಚ್ಚಾರ ಝಂಕಾರಜಯಾಶೀರ್ಘೋಷ ಮುಮಪ್ಪ ವಿಜಯಗಜದ ಬೆಂಗೆ ವಂದು: ಆದಿಪು, ೧೪. ೯೦ ವ)"
ಷಟ್ಛತ,"[ಷಟ್+ಶತ] ಆರುನೂರು (ಅನೇಕವರ್ಷಸಹಸ್ರಂ ಸಲೆ ಷಟ್ಛತಕಾಂಡಾಸನೋತ್ಸೇಧಶರೀರನುಂ: ಆದಿಪು, ೬. ೬೦ ವ)"
ಷಟ್ತರ್ಕ,"ನ್ಯಾಯ, ವೈಶೇಷಿಕ, ಸಾಂಖ್ಯ, ಯೋಗ, ವೇದಾಂತ, ಪೂರ್ವ ಮೀಮಾಂಸೆ ಎಂಬ ಆರು ದರ್ಶನಗಳು (ಅಹಿಂಸಾಲಕ್ಷಣೋ ಧರ್ಮಃ ಎಂಬ ವೈಶೇಷಿಕ ನೈಯಾಯಿಕ ಸಾಂಖ್ಯ ಮೀಮಾಂಸ ಷಟ್ತರ್ಕಸಿದ್ಧಾಂತವಾದಿಗಳುಂ: ಪಂಚತಂತ್ರ, ೧೧೭ ವ)"
ಷಟ್ತ್ರಿಂಶದ್ಗುಣ,"[ಜೈನ] ಮುನಿಗಳಲ್ಲಿರಬೇಕಾದ ಮೂವತ್ತಾರು ಮೂಲೋತ್ತರಗುಣಗಳು, ದ್ವಾದಶ ತಪಸ್ಸುಗಳು, ದಶಧರ್ಮಗಳು, ಪಂಚಾಚಾರಗಳು, ತ್ರಿಗುಪ್ತಿಗಳು; ಅವುಗಳನ್ನು ಪಡೆದವನು (ನುತ ಷಟ್ತ್ರಿಂಶಸದ್ಗುಣಂಗಳ್ ನೆಱೆಯೆ ನಿರುತಂ .. .. ನಿಱಸುಗೆ ಸದ್ಧರ್ಮದೊಳ್: ಕರ್ಣನೇಮಿ, ೧. ೩)"
ಷಟ್ಪದ,"ದುಂಬಿ (ತಾನಿದು ಮುನ್ನಿನ ಆರ್ಯರ ಅಗ್ಗದ ನಿಧಿ ನೋಳ್ಪೊಡಿಂತಿದು ಮಹಾಮುನಿಚಿತ್ತಸರೋಜಷಟ್ಪದಂ: ರಾಜಶೇವಿ, ೪. ೮೪)"
