page,1
ಸ ಸರ್ವಜಗತಾಂ ಗುರುರ್ಗಿರಿಸುತಾಪತಿಃ ಪಾತು ನಃ,"ಸಮಸ್ತ ಜಗತ್ತಿಗೂ ಒಡೆಯನೂ ಗುರುವೂ ಪಾರ್ವತೀಪತಿಯೂ ಶಿವನೂ ಆದ ಅವನು ನಮ್ಮನ್ನು ಕಾಪಾಡಲಿ (ಪಂಪಭಾ, ೪. ೨೭)"
ಸಂಕಟ,"ಇಕ್ಕಟ್ಟಾದ, ದುರ್ಗಮವಾದ (ಜಾನುಭಂಜನೀ ಶೂಲಪ್ರಕರ ಪರಿವೃತಂಗಳುಂ ಕೂಪಕೂಟಾವಪಾತ ಲೋಹಕಂಟಕಸಂಕಟಂಗಳುಂ .. .. ಅಪ್ಪ ದುರ್ಗಂಗಳೊಳ್: ಆದಿಪು, ೧೩. ೫೭ ವ); ವ್ಯಥೆ (ನಲ್ಲರಗಲ್ಕೆಗೆ ಕಣ್ಣ ನೀರ್ಗಳಮ ಮಿಡಿವ ಬಹುಪ್ರಕಾಸಂಕಟಮೊಪ್ಪಿದುದಾ ಪ್ರಯಾಣದೊಳ್: ಆದಿಪು, ೪. ೫೭); ತೊಂದರೆ (ಒರ್ವರಂ ಒರ್ವರ್ ಎಚ್ಚು ನಿಜಪೀಠಾಂಭೋಜದಿಂ ಬ್ರಹ್ಮನುಚ್ಚಳಿಪನ್ನಂ ಪಿರಿದೊಂದು ಸಂಕಟಮನೀ ತ್ರೈಲೋಕ್ಯದೊಳ್ ಮಾಡಿದರ್: ಪಂಪಭಾ, ೧. ೭೯)"
ಸಂಕಡಿ,"ಇಕ್ಕಟ್ಟು; ದುಃಖ; ರಿಕಾಪು (ಪತಿಗಲ್ಲದೆ ಪೆಱರ್ಗೆಡೆಗುಡದ ತೆಱದೆ ನಡೆವಿಡಿದ ಬೆನ್ನ ಸಂಕಡಿ: ಕುಸುಮಾಕಾ, ೮. ೫೩); ಗೊಂಚಲು (ಚಂದನದ ವಂದನಮಾಲೆಗಳಿಂ ಗೊಜ್ಜೆಯ ಸಂಕಡಿಗಳಿಂ: ಕುಸುಮಾಕಾ, ೧೨. ೧೫೭ ವ)"
ಸಂಕಡಿಗೊಳ್,"ದುಃಖಪಡು (ಮಾನಹಾನಿಯಿಂದಾದ ಬರ್ದುಂಕದೇವುದೆನುತುಂ ಸಲೆ ಸಂಕಡಿಗೊಂಡರಾ ನೃಪರ್: ಶಾಂತೀಶ್ವಪು, ೭. ೧೩೧)"
ಸಂಕಂಪಿತ,"ಚಂಚಲವಾದ, ನಡುಗುವ (ಶಂಕಂಪಿತಂ ಮಿದಿಱೊಳ್ ಮಧ್ಯಮಂ ಮಂದ್ರಮೆಂಬೀ ಪಾಂಗಿಂ .. .. ಪ್ರೌಢೇ ಪಾಡುತ್ತುಮಿರ್ದಳ್: ಲೀಲಾವತಿ, ೨. ೩೦)"
ಸಂಕರ,"ಮನೆಯ ಕಸ (ಸಂಕರಾಖ್ಯಮದು ಮನೆಯ ಕಸಂ: ಅಭಿಧಾವ, ೧. ೧೦. ೨೧)"
ಸಂಕರ್ಷಣ,"ಬಲರಾಮ (ಹರಿಯುಂ ಸಂಕರ್ಷಣನುಂ ಪರಮಾನಂದಪರರ್: ಕರ್ಣನೇಮಿ, ೬. ೧೩೪)"
ಸಕಲ,"ಸಮಗ್ರ (ದೋಷಂಗಳಿಂತು ಮಿಗೆ ಸಂಶ್ಲೇಷದೊಳಾದಂದು ಸಕಲವಿದ್ವತ್‌ಸಭೆಯೊಳ್ ದೂಷಿಸುಗುಂ ಕೃತಿವಧುವಂ: ಕವಿರಾಮಾ, ೧. ೧೦೦)"
ಸಕಲಂಕತೆ,"ಕಲೆಗಳನ್ನು ಹೊಂದಿರುವುದು, ದೋಷಪೂರ್ಣತೆ (ಸಕಲಂಕತೆ ಚಂದ್ರಮನೊಳ್ ವಿಕಲಧ್ವನಿ ವಿಹಗದಲ್ಲಿ ಭಂಗಂ ನದಿಯೊಳ್ .. .. ಅಲ್ಲದಿಲ್ಲಾ ನಾಡೊಳ್: ಗಿರಿಜಾಕ, ೨. ೬)"
