page,1
ಹಕ್ಕರಿಕ್ಕೆ,"ಪಕ್ಷರಕ್ಷೆ (ಉರು ಬಾಹುರಕ್ಷೆ ಘನಸೋಳಹಖಂಡದ ಹಕ್ಕರಿಕ್ಕೆ .. .. ಒಪ್ಪುವ ಗಂಧಸಿಂಧುರೋತ್ಕರಮನಡರ್ದು: ತ್ರಿಷಷ್ಟಿಪು, ೨೪. ೨೯೩)"
ಹಂಗ,"ಶಕುನದ ಹಕ್ಕಿ (ಗಂಡಾದ ಅಕಾರಾಂತ ನಪುಂಸಕಕ್ಕೆ: ಕೋಣಂ ಹಂಗಂ ಹಸುಬಂ ಸರ್ಪಂ ಗರುಡಂ: ಶಬ್ದಮದ, ೧೩೨ ಪ್ರ)"
ಹಗರಣ,"ನಾಟಕ ಪ್ರಕಾರ (ನಮ್ಮರಸಂ ಪಾಱುವ ಬಹುರೂಪವಿಕೃತಮಂ ಪಲತೆಱದಿಂ ತೋಱುವ ಹಗರಣಂ ಇವರೊಳ್ ಮಾಱಾಂತೊಡನೊಡನಾಡೆ ನಗೆಗೆಡೆಯಕ್ಕುಂ: ಆಚವರ್ಧ, ೭. ೫೭)"
ಹಟತ್,"ಹೊಳೆಯುವ (ಘಟಾಘಟಿತ ಹಟತ್ ವಿರೋಧಿರುಧಿರಪ್ಲವಲಂಪಟ ಸಂಕಟೋತ್ಕಟಂ: ಪಂಪಭಾ, ೧೧. ೧೪೬)"
ಹಟತ್ಕಾರ,"ಗರ್ವ (ಕಲಿಯುಂ ಬಲ್ಲಾಳುಂ ಎನ್ನಿಂದೊಳರೆ ಪೆಱರುಂ ಎಮಬೀ ಹಟತ್ಕಾರದಿಂದಂ: ಹರಿವಂಶ, ೧೨. ೪)"
ಹಟತ್ಕಿರೀಟ,"ಹೊಳೆಯುವ ಕಿರೀಟ (ಕಟಕ ಕಟಿಸೂತ್ರ ಕುಂಡಲ ಹಟತ್ಕಿರೀಟ ಅಂಗದಾದಿ ಮಣಿಭೂಷಣ ಭಾಜಟಿಳಿತ ಮೂರ್ತ್ಯುತ್ಕರ್ಷಂ ಸ್ಫುಟಹರ್ಷಂ ತನ್ನ ವರ್ಷವರ್ಧನ ದಿನದೊಳ್: ಆದಿಪು, ೨. ೨)"
ಹಟದ್ರತ್ನ,"[ಹಟತ್+ರತ್ನ] ಹೊಳೆಯುವ ಮಣಿ (ವೈದೇಹಿಗೆ ಮಕುಟಹಟದ್ರತ್ನ ದಿಂದರ್ಘ್ಯಮಿತ್ತಂ: ಪಂಪರಾ, ೯. ೮೪)"
ಹಟನ್ನೀರೇಜ,"ಕಾಂತಿಮಯವಾದ ತಾವರೆ (ಇರ್ದತ್ತು ಹಟನ್ನೀರೇಜನಾಳಂ ನಿಮಿರ್ದುದನಿದಿರೊಳ್ ಪೊತ್ತು ತೋರ್ಪಂದದಿಂದಂ: ಸುಕುಮಾಚ, ೩. ೧೫)"
ಹಟ್ಟಿಕಾಳಗ,"ಮನೆ ಜಗಳ (ನಾರಕರಂ ಅನ್ಯಜನ್ಮದ ವೈರಮ ಎೞ್ಚಱಸಿದ ಹಟ್ಟಿಕಾಳಗಮಂ ಕಣ್ಣಾರೆ ನಿರೀಕ್ಷಿಪ ತೆಱದಿಂ: ಪಾರ್ಶ್ವನಾಪು, ೧೩. ೭೩)"
