#haḷagannaḍa pada sampada, a dictionary of Old Kannada. Data as scraped from Bharatavani.in

ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಅಂಕ ,ಗುರುತು; ಪ್ರಸಿದ್ಧ; ತೊಡೆ; ಸನ್ನೆಕೋಲು; ಯುದ್ಧ
ಅಂಕಕಾ(ಗಾ)ಱ ,ಅಂಕವೆಂಬ ದ್ವಂದ್ವಯುದ್ಧ ಮಾಡುವವನು; ವೃತ್ತಿ ವೀರ
ಅಂಕಕಾರ್ತಿ ,"ಅಂಕಕಾತಿ, ವೀರನಾರಿ"
ಅಂಕಂಗುಡು ,ಓಡಲು ಕುದುರೆಗೆ ಸೂಚನೆ ಕೊಡು
ಅಂಕಂಗೊಳ್ ,ಅಂಕಂಗುಡು
ಅಂಕಣಿ ,ಸಂಜ್ಞೆ
ಅಂಕತಳ ,ತೊಡೆಯ ಮೇಲ್ಭಾಗ
ಅಂಕತ್ರಿಣೇತ್ರ ,ರುದ್ರನಂತೆ ಯುದ್ಧ ಮಾಡುವವನು
ಅಂಕದಂಬು ,ಹೆಸರುವಾಸಿಯಾದ ಬಾಣ
ಅಂಕದೌಷಧ ,"ಬಳಮರ್ದು, ಪ್ರಸಿದ್ಧವಾದ ಔಷಧ"
ಅಕಂಪಿತಶರೀರ ,ನಡುಗದ ಮೈಯುಳ್ಳ
ಅಂಕಮಾಲೆ ,ಬಿರುದಾವಳಿ
ಅಕರಣ ,"ಗಣಕ, ಲೆಕ್ಕಪತ್ರದ ಅಧಿಕಾರಿ"
ಅಕರ್ಣಹೃದಯ ,ಕಿವಿ ಮತ್ತು ಹೃದಯಗಳಿಲ್ಲದ; ಹಾವಿನ ಹೃದಯವುಳ್ಳ
ಅಕರ್ತೃಕ ,"ಕರ್ತೃವಿಲ್ಲದ, ಸೃಷ್ಟಿಸಿದವನಿಲ್ಲದ"
ಅಂಕವಣಿ(ಣೆ) ,ಕುದುರೆಯ ರಿಕಾಪು; ರಣಹಲಗೆ
ಅಂಕವಾತು ,ಯುದ್ಧದ ಮಾತು
ಅಕಾಂಡ ,ಅಕಾಲ
ಅಕಾಂಡಜಳದ ,ಅನಿರೀಕ್ಷಿತ ಮೋಡ
ಅಕಾಂಡತಾಂಡವ ,ಪಾಂಡಿತ್ಯದ ಅನವಶ್ಯಕ ಪ್ರದರ್ಶನ
ಅಕಾಮಿಕ ,ಇಚ್ಛೆಯಿಲ್ಲದ ವ್ಯಕ್ತಿ
ಅಕಾರಣಂ ,ಕಾರಣವಿಲ್ಲದೆ
ಅಕಿಂಚನ ,ಬಡವ
ಅಕಿಂಚಿತ್ಕರ ,ಏನನ್ನೂ ಮಾಡದ
ಅಂಕಿತ ,ಕುದುರೆಯ ಓಟದ ಒಂದು ಬಗೆ; ಗುರುತು
ಅಂಕಿಸು ,ಅಧೀನ ಮಾಡಿಕೊ
ಅಕೀರ್ತಿ ,ಕೆಟ್ಟ ಹೆಸರು
ಅಂಕು ,ಸೊಟ್ಟಗಿರುವುದು; ಸೊಟ್ಟಾಗು
ಅಕುಂಠತರ ,ಅತ್ಯಧಿಕವಾದ
ಅಂಕುರ ,"ಮೊಳಕೆ, ಚಿಗುರು; ರೋಮ; ರಕ್ತ"
ಅಂಕುರಿಸು ,ಮೊಳಕೆಯೊಡೆ; ಉಂಟಾಗು; ನವಿರೇಳಿಸು
ಅಕುಲ ,ಹೀನವಂಶ
ಅಕುಲೀನೆ ,ಹೀನಕುಲದಲ್ಲಿ ಜನಿಸಿದವಳು
ಅಂಕುಶ ,"ಆನೆಯನ್ನು ನಿಯಂತ್ರಿಸುವ ಆಯುಧ, ಸೃಣಿ"
ಅಂಕುಶಚಾರಣ ,ಅಂಕುಶದಿಂದ ಆನೆಯನ್ನು ನಡೆಸು
ಅಂಕುಸ ,ಅಂಕುಶ; ನಿಯಾಮಕ
ಅಂಕುಸವಿಡು ,ಅಡ್ಡಿಮಾಡು
ಅಂಕುಸಸಾರಣೆ ,ಅಂಕುಶಚಾರಣ
ಅಕೂಪಾ(ಬಾ)ರ ,ಸಮುದ್ರ; ದೊಡ್ಡ ಆಮೆ; ಸೂರ್ಯ; ಬಂಡೆ
ಅಕೃತಕ ,ಸಹಜ
ಅಕೃತ್ಯ ,ಕೆಟ್ಟ ಕೆಲಸ
ಅಕೃಷ್ಟಕರ್ಮ ,ಕಳಂಕವಿಲ್ಲದ ಕೆಲಸ; ಕೆಟ್ಟ ಕೆಲಸವನ್ನು ಮಾಡದವನು
ಅಕೃಷ್ಟಪಚ್ಯ ,ಬೇಸಾಯವಿಲ್ಲದೆ ಬೆಳೆ ಕೊಡುವ ಭೂಮಿ
ಅಂಕೆಗೆಯ್ ,ಗುರುತುಮಾಡು; ಲೇಪಿಸು
ಅಂಕೆಗೊಳ್ ,"ಕೈವಶವಾಗು, ಹತೋಟಿಗೆ ಬರು"
ಅಕ್ಕ ,ಹಿರಿಯ ಸಹೋದರಿ; ಒಂದು ಮರ
ಅಕ್ಕಜ ,"ಬೆರಗು, ವಿಸ್ಮಯ; ಪ್ರೀತಿ"
ಅಕ್ಕಜ ,ಒಂದು ವಿಧದ ಹಕ್ಕಿ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಕ್ಕಜಂಬೊರೆ ,ಆಶ್ಚರ್ಯದಿಂದ ಕೂಡು
ಅಕ್ಕಟಿಕೆ ,ಉತ್ಕಟವಾದ ಆಸೆ
ಅಕ್ಕರ ,ವಿದ್ಯೆ; ಬರವಣಿಗೆ
ಅಕ್ಕರಗೊಟ್ಟಿ ,ವಿದ್ವಾಂಸರ ಮೇಳ
ಅಕ್ಕರಜಾಣ ,ವಿದ್ವಾಂಸ
ಅಕ್ಕರಿಗ ,ವಿದ್ವಾಂಸ; ಸಾಕ್ಷರ
ಅಕ್ಕಱುಗಂಪು ,ಹಿತಕರವಾದ ಸುಗಂಧ
ಅಕ್ಕಸಾಲೆ ,ಚಿನ್ನ ಬೆಳ್ಳಿ ಕೆಲಸ ಮಾಡುವವನು
ಅಕ್ಕಿಸು ,ಜೀರ್ಣಿಸು
ಅಕ್ಕು ,ಲಾಭ; ಸಂಪತ್ತು
ಅಕ್ಕು(ಲಿ)ಳಿಸು ,ಹೊಟ್ಟೆಯನ್ನು ಕುಗ್ಗಿಸು; ಹೆದರು
ಅಕ್ಕುಂದಲೆ ,ರಭಸದಿಂದ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಅಕ್ಕುಳಿಸು ,ಒಳಕ್ಕೆ ಎಳೆದುಕೊ
ಅಕ್ಕೆ ,"ಅೞ್ಕೆ, ದುಃಖ"
ಅಕ್ಖಡ ,"ಕುಸ್ತಿ ಮಾಡುವ ಸ್ಥಳ, ಅಖಾಡ"
ಅಕ್ಷ ,ಪಗಡೆ ಆಟದ ದಾಳ; ರಥದ ಅಚ್ಚು; ಜೂಜು; ರಥ; ಜಪಮಣಿ; ಇಂದ್ರಿಯ
ಅಕ್ಷಕ್ರೀಡೆ ,ಪಗಡೆ ಆಟ
ಅಕ್ಷಜ ,ಸಿಡಿಲು; ವಜ್ರ; ವಿಷ್ಣು
ಅಕ್ಷತ ,ಕೊರತೆಯಿಲ್ಲದ
ಅಕ್ಷತರೂಸಂಪನ್ನೆ ,ಕುಂದಿಲ್ಲದ ರೂಪವಂತೆ
ಅಕ್ಷದ್ಯೂತಕೇಳಿ ,ಪಗಡೆ ಜೂಜಿನಾಟ
ಅಕ್ಷಧೂರ್ತ ,ಜೂಜಿನಲ್ಲಿ ಮೋಸಮಾಡುವವನು
ಅಕ್ಷಫಲ ,ತಾರೆಯ ಕಾಯಿ
ಅಕ್ಷಮ ,ಕ್ಷಮೆಯಿಲ್ಲದ; ಅಸಮರ್ಥ
ಅಕ್ಷಮಣಿ ,ಜಪಸರದ ಮಣಿ
ಅಕ್ಷಮಾಲಿಕೆ ,ಜಪಸರ
ಅಕ್ಷಮಾಲೆ ,ಜಪಸರ
ಅಕ್ಷಯತೃತೀಯೆ ,ಅಕ್ಕತದಿಗೆ; (ಜೈನ) ಶ್ರೇಯಾಂಸನು ಆದಿ ತೀರ್ಥಂಕರನಿಗೆ ಅಹಾರದಾನ ಮಾಡಿದ ಪುಣ್ಯದಿನ
ಅಕ್ಷಯಬೋಧ ,ನಾಶವಿಲ್ಲದ ಜ್ಞಾನ; ತೀರ್ಥಂಕರ
ಅಕ್ಷಯಸಮಯ ,ನಿರಂತರ ಕಾಲ
ಅಕ್ಷಯಸೌಖ್ಯ ,ನಿರಂತರ ಸುಖ
ಅಕ್ಷರ ,ನಾಶವಿಲ್ಲದ
ಅಕ್ಷರಕೇವ(ಲಿ)ಳಿ ,ಒಂದು ವಿದ್ಯೆ
ಅಕ್ಷರರೇಖೆ ,ಬರಹ
ಅಕ್ಷರವೃತ್ತಿ ,ಪದದಲ್ಲಿರುವ ಅಕ್ಷರಗಳ ಸಂಖ್ಯೆ
ಅಕ್ಷರಾತ್ಮಕ ,ಅಕ್ಷರಗಳಿಂದ ಕೂಡಿದ
ಅಕ್ಷವಲ(ಳ)ಯ ,ಜಪಸರ
ಅಕ್ಷಸೂತ್ರ ,ಜಪಸರ
ಅಕ್ಷಾವಲಿ(ಳಿ) ,ಜಪಸರ
ಅಕ್ಷಿಕರ್ಣ ,"ಕಣ್ಣೇ ಕಿವಿಯಾಗಿರುವ ಪ್ರಾಣಿ, ಹಾವು"
ಅಕ್ಷಿತಾರಕ ,ಕಣ್ಣಿನ ಪಾಪೆ
ಅಕ್ಷಿಪಕ್ಷ್ಮ ,ಕಣ್ಣ ರೆಪ್ಪೆ
ಅಕ್ಷಿಶ್ರುತಿ ,ಹಾವು
ಅಕ್ಷೀಣ ,ಶುಭ
ಅಕ್ಷುಣ ,ಕಡಿಮೆಯಿಲ್ಲದ; ಬಲಿಷ್ಠ
ಅಕ್ಷುಣ್ಣ ,ತುಳಿಯದ; ಮುರಿಯದ
ಅಕ್ಷೋಹಿಣಿ ,"ಅಕ್ಷೌಹಿಣಿ; ೨೧೮೭೦ ಆನೆ, ೨೧೮೭೦ ರಥ, ೬೫೬೧೦ ಕುದುರೆ ಮತ್ತು ೧೦೯೩೫೦ ಪದಾತಿಯಿರುವ ಸೈನ್ಯ; ಪಂಪಭಾರತದಲ್ಲಿ ಹೇಳಿರುವ ಸಂಖ್ಯೆ ಹೀಗಿದೆ: ೯೦೦೦ ಆನೆ, ೯೦೦೦೧೦೦ ರಥ, ೯೦೦೦೧೦೦೧೦೦ ಕುದುರೆ ಮತ್ತು ೯೦೦೦೧೦೦೧೦೦೧೦೦ ಕಾಲಾಳುಗಳ ಸೈನ್ಯ"
ಅಖಂಡಸುಖ ,ನಿರಂತರ ಸುಖ
ಅಖಂಡಳತನಯ ,"ಇಂದ್ರನ ಮಗ; ಅರ್ಜುನ, ವಾಲಿ"
ಅಖಂಡಿತಂ ,"ಕತ್ತರಿಸದ, ಪೂರ್ಣವಾದ"
ಅಖರ್ವ ,ಕುಳ್ಳಲ್ಲದ; ಮಹತ್ತಾದ
ಅಖಲ್ಯ ,ಹೇಡಿ; ಅಪ್ರಯೋಜಕ
ಅಖ್ಖ(ಕ್ಖ)ಡ ,"ಮುಕ್ಕಾಗದ, ಪೂರ್ಣ"
ಅಂಗ ,ಅವಯವ; ಪ್ರಕಾರ; ಯೋಗ್ಯ; ಒಂದು ದೇಶದ ಹೆಸರು; (ಜೈನ) ಜೈನಾಗಮದ ಒಂದು ವಿಭಾಗ
ಅಗ ,ಬೆಟ್ಟ
ಅಂಗಕಲ್ಪಕುಜ ,"(ಜೈನ) ಕೇಳಿದ್ದನ್ನು ಕೊಡುವ ಹತ್ತು ಬಗೆಯ ಕಲ್ಪವೃಕ್ಷಗಳು; ಮದ್ಯ, ಭೂಷಣ, ವಸ್ತ್ರ, ತೂರ್ಯ, ಮಾಲ್ಯ, ಗೃಹ, ಭಾಜನ, ಭೋಜನ, ದೀಪ, ಜ್ಯೋತಿ"
ಅಂಗಘಟನ ,ಮೈಕಟ್ಟು
ಅಂಗಚಿತ್ತ ,ಪಾರಿತೋಷಕ
ಅಗಚೂಡ ,ಬೆಟ್ಟದ ಶಿಖರ
ಅಂಗಜ ,ಮನ್ಮಥ
ಅಂಗಜ ಮಹೀಷ ,ಮನ್ಮಥ ರಾಜ
ಅಂಗಜನ್ಮ ,ಅಂಗಜ
ಅಂಗಜಾಗಮ ,ಕಾಮಶಾಸ್ತ್ರ
ಅಂಗಜಾತ ,ಮನ್ಮಥ
ಅಂಗಜಾವ ,ಪಹರೆ; ಸರದಿ ಕಾವಲು
ಅಂಗಡಿ ,ವ್ಯಾಪಾರದ ಸ್ಥಳ
ಅಂಗಡಿಯಲವಡ ,ಅಂಗಡಿಬೀದಿಯಲ್ಲಿ ಅಲೆಯುವವನು
ಅಂಗಡಿಸೂಱೆ ,ಅಂಗಡಿಯನ್ನು ಸೂರೆಮಾಡುವುದು
ಅಗಡು ,ತುಂಟತನ; ದುಷ್ಟತನ
ಅಂಗಣ ,"ಅಂಗಳ, ಮನೆಗೆ ಸೇರಿದ ಬಯಲು"
ಅಂಗಣವಲಯ ,"ಅಂಗಳದ ಸುತ್ತು, ಆವರಣ"
ಅಂಗಣವಾವಿ ,ಅಂಗಣದಲ್ಲಿನ ಬಾವಿ
ಅಂಗಣವೆಟ್ಟು ,ಅಂಗಳದಲ್ಲಿನ ಆಟದ ಬೆಟ್ಟ
ಅಂಗದ ,ಭುಜಕೀರ್ತಿ; ತೋಳುಬಳೆ
ಅಗಧರ ,"ಬೆಟ್ಟವನ್ನು ಎತ್ತಿದವನು, ಕೃಷ್ಣ, ವಿಷ್ಣು"
ಅಗಪಡು ,ಒಳಗೆ ಸಿಗು; ಸಿಕ್ಕಿಹಾಕಿಕೊ
ಅಂಗಪತಿ ,"ಅಂಗರಾಜ್ಯದ ಒಡೆಯ, ಕರ್ಣ"
ಅಂಗಂಬಡೆ ,ಆಕಾರ ಧರಿಸು
ಅಂಗಯಷ್ಟಿ ,ಯಷ್ಟಿ(ಹಾರ)ಯಂತೆ ತೆಳ್ಳಗಿರುವ ದೇಹ
ಅಂಗಯ್ಸು ,ಘೋಷಿಸು; ಒಪ್ಪುವಂತೆ ಮಾಡು
ಅಂಗರ ,ಕೆಂಡ
ಅಂಗರಕ್ಕೆ ,(ಅಂಗರಕ್ಷಾ) ಮೈಗಾವಲ ಭಟ; ಮೈಯ ರಕ್ಷಣೆಯ ವಸ್ತು; ಕವಚ
ಅಂಗರವೋಳಿಗೆ ,(ಅಂಗಾರಸ್ಫೋಟಿಕೆ) ಕೆಂಡದ ಮೇಲೆ ಸುಟ್ಟ ರೊಟ್ಟಿ
ಅಂಗರಾಗ ,ಮೈಗೆ ಹಚ್ಚಿಕೊಳ್ಳುವ ಪರಿಮಳದ್ರವ್ಯ
ಅಗರು ,ಸುಗಂಧದ ಮರ
ಅಗರ್ಹಿತ ,ನಿಂದ್ಯವಲ್ಲದ
ಅಗಲ ,ಒಂದು ವಸ್ತುವಿನ ಅಡ್ಡಳತೆ
ಅಗಲಂಬೆಱು ,"ಹರಹನ್ನು ಪಡೆ, ವಿಶಾಲವಾಗು"
ಅಗಲಿ(ತು)ತ್ತು ,ಅಗಲವಾದ
ಅಗಲಿಸು ,ಬೇರೆ ಮಾಡು
ಅಗಲು ,ಹರವಾಗಿ
ಅಗಲುರ ,ಹರವಾದ ಎದೆ
ಅಗಲೆ ,ಅಗಲವಾಗುವಂತೆ; ದೂರಾಗುವಂತೆ
ಅಗಲೆತ್ತು ,ಊಟದ ತಟ್ಟೆಯನ್ನು ಎತ್ತಿಕೊ
ಅಗಲೊಗೆ ,ಹರಡಿಕೊಳ್ಳುವಂತೆ ಎಸೆ
ಅಗಲೊತ್ತು ,ಹರವಾಗಿ ಒತ್ತು
ಅಗಲ್ ,"ಬಿಟ್ಟು ಹೋಗು, ತೊರೆದುಹೋಗು; ಊಟದ ತಟ್ಟೆ; ತಳಿಗೆ"
ಅಗಲ್ಕೆ ,"ಅಗಲಿಕೆ, ಬೇರ್ಪಡುವಿಕೆ, ವಿಯೋಗ"
ಅಗಲ್ಕೆಗಿಚ್ಚು ,ವಿಯೋಗದ ಬೆಂಕಿ; ವಿರಹಜ್ವಾಲೆ
ಅಗಲ್ಕೆವೆಱು ,ವಿಯೋಗ ಹೊಂದು
ಅಗಲ್ಚು ,"ಅಗಲಿಸು, ನಿವಾರಿಸು; ಅಗಲಗೊಳಿಸು; ಅಗಲಿಕೆ"
ಅಗಲ್ತರ್ ,"ದೂರ ಹೋಗು, ಅಗಲು"
ಅಗವಡು ,"(ಅಗಂ+ಪಡು) ಒಳಗೆ ಬೀಳು, ಸೆರೆಸಿಕ್ಕು; ನೋವನ್ನು ಪಡೆ"
ಅಗಸೆ ,ಒಂದು ಮರ; ಒಂದು ಬಗೆಯ ಗಿಡ
ಅಗಸೆವೂಗೊಂಬು ,ಅಗಸೆಯ ಹೂವಿನಂತಹ ಕೊಂಬು
ಅಂಗಹಾರ ,"ನೃತ್ಯ, ನಟನೆ"
ಅಗೞ್ ,ಕಂದಕ
ಅಗೞ್ತೆ ,"ತೋಡುವುದು, ಅಗೆತ; ಕಂದಕ"
ಅಂಗಾರ ,ಕೆಂಡ
ಅಂಗಾಲ್(ಲು) ,"ಕಾಲ ಅಡಿ, ಪಾದದ ಕೆಳಭಾಗ"
ಅಗಾಹಿತರತ್ನ ,(ಅಗ+ಅಹಿತ=ಇಂದ್ರ) ಇಂದ್ರನೀಲಮಣಿ
ಅಂಗಿ ,"ಅಂಗಗಳುಳ್ಳುದು, ದೇಹ; ಶರೀರ"
ಅಗಿ ,ಹೆದರು; ಕುಗ್ಗು; ಹಲ್ಲಿನಿಂದ ಅರೆ; ಅಲುಗಾಡು; ನಡುಕ
ಅಂಗಿ(ಕೆ)ಗೆ ,"ಅಂಗಿ, ಕವಚ"
ಅಗಿನಿ ,(ಅಗ್ನಿ) ಕಿಚ್ಚು
ಅಗಿಬಿಗಿ ,"ಸಡಗರ, ಸಂಭ್ರಮ"
ಅಗಿಲ್ ,ಸುಗಂಧದ ಮರ; ಸುಗಂಧದ್ರವ್ಯ
ಅಂಗೀಕರಿಸು ,ತನ್ನದಾಗಿ ಮಾಡಿಕೊ
ಅಗು(ಗ)ೞ್ ,"ಅಗೆ, ತೋಡು, ಖನನ"
ಅಂಗುಟ ,ಕಾಲಿನ ಹೆಬ್ಬೆರಳು
ಅಗುಂತಿ ,"ಆಧಿಕ್ಯ, ಅತಿಶಯತೆ"
ಅಗುಂದಲೆ ,ಅತಿಶಯ; ಶ್ರೇಷ್ಠ
ಅಗುಂದಲೆಮಾಡು ,ಹೆಚ್ಚಿಸು
ಅಗುಂದಲೆವಡೆ ,ಅಧಿಕವಾಗು
ಅಗುಂದಲೆವೋಗು ,ಅಧಿಕವಾಗಿ ಹೋಗು
ಅಗುಂಬಿಸು ,ರಾಶಿ ಮಾಡು
ಅಗುರು ,ಅಗೆಲ್; ಹಗುರವಾದ
ಅಗುರ್ ,ಸಾಹಸ ತೋರು; ಆಕ್ರಮಣ ಮಾಡು
ಅಗುರ್ಚು ,"ಸೇರಿಸು, ಒತ್ತು"
ಅಗುರ್ಬು(ರ್ವು) ,ಭಯ; ಉಗ್ರತೆ; ಅದ್ಭುತ; ಬೆರಗು
ಅಗುರ್ವಿಸು ,ಭಯಪಡಿಸು; ಹೆದರು; ನಡುಗು; ಅತಿಶಯವಾಗು
ಅಗುರ್ವುಗಿಡು ,ಸತ್ವಗುಂದು
ಅಗುರ್ವುಗೊಳ್ ,ಹೆದರು
ಅಗುರ್ವುವಡೆ ,ಅತಿಶಯಗೊಳ್ಳು
ಅಗುರ್ವುವೆಱು ,ಅಗುರ್ವುವಡೆ
ಅಗುರ್ವೆಱು ,ಬೆರಗಾಗು
"ಅಂಗುಲಿ(ಯ)(ಕ) , ಅಂಗುಲೀಯ)(ಕ) ",ಉಂಗುರ
ಅಂಗುಲಿಕ್ರಿಯೆ ,ಬೆರಳಿನಿಂದ ಮಾಡುವ ಕೆಲಸ
ಅಂಗುಲಿತ್ರಾಣ ,ಬಿಲ್ಲಾಳು ಬೆರಳಿಗೆ ಕಟ್ಟುವ ರಕ್ಷೆ
ಅಂಗುಲಿಪ್ರಹರಣ ,ಬೆರಳಿಂದ ಹೊಡೆಯುವುದು
ಅಗುಸೆ ,"ಹೆಬ್ಬಾಗಿಲು, ಅಗಸೆ ಬಾಗಿಲು"
ಅಂಗುಳ್ ,ಕಿರುನಾಲಗೆಯ ಪ್ರದೇಶ
ಅಗುೞಿ ,ಚಿಲಕ; ತಮಟೆ ಬಡಿಯುವ ಕೋಲು
ಅಗುೞೀಸು ,"ಅಗೆಯಿಸು, ತೋಡಿಸು"
ಅಗುೞೂಟ ,ಅನ್ನಪ್ರಾಶನ
ಅಗುೞೂಡು ,ಅನ್ನ ತಿನ್ನಿಸು
ಅಗುೞ್ ,ಮುಳುಗು; ಕಂದಕ; ಬೆಂದ ಅಕ್ಕಿ ಕಾಳು
ಅಗುೞ್ಚು ,"ಮುಳುಗಿಸು, ಅದ್ದು"
ಅಗೆ ,"ಮೊಳಕೆ, ಅಂಕುರ; ತೋಡು"
ಅಗೆಯೆತ್ತು ,ಮೊಳಕೆ ಕೀಳು; ಮೂಲೋತ್ಪಾಟನೆ ಮಾಡು
ಅಗೆಯೇೞ್ ,ಮೊಳಕೆಯಾಗು
ಅಂಗೆಯ್ ,"ಅಂಗೈ, ಕರತಲ"
ಅಗೆವೊಯ್ ,(ನಾಟಿಗಾಗಿ) ಬೀಜ ಬಿತ್ತು
ಅಗೆವೋಗು ,ಮೊಳಕೆ ಒಡೆ
