page,1
ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಅಂಕ ,ಗುರುತು; ಪ್ರಸಿದ್ಧ; ತೊಡೆ; ಸನ್ನೆಕೋಲು; ಯುದ್ಧ
ಅಂಕಕಾ(ಗಾ)ಱ ,ಅಂಕವೆಂಬ ದ್ವಂದ್ವಯುದ್ಧ ಮಾಡುವವನು; ವೃತ್ತಿ ವೀರ
ಅಂಕಕಾರ್ತಿ ,"ಅಂಕಕಾತಿ, ವೀರನಾರಿ"
ಅಂಕಂಗುಡು ,ಓಡಲು ಕುದುರೆಗೆ ಸೂಚನೆ ಕೊಡು
ಅಂಕಂಗೊಳ್ ,ಅಂಕಂಗುಡು
ಅಂಕಣಿ ,ಸಂಜ್ಞೆ
ಅಂಕತಳ ,ತೊಡೆಯ ಮೇಲ್ಭಾಗ
ಅಂಕತ್ರಿಣೇತ್ರ ,ರುದ್ರನಂತೆ ಯುದ್ಧ ಮಾಡುವವನು
ಅಂಕದಂಬು ,ಹೆಸರುವಾಸಿಯಾದ ಬಾಣ
ಅಂಕದೌಷಧ ,"ಬಳಮರ್ದು, ಪ್ರಸಿದ್ಧವಾದ ಔಷಧ"
ಅಕಂಪಿತಶರೀರ ,ನಡುಗದ ಮೈಯುಳ್ಳ
ಅಂಕಮಾಲೆ ,ಬಿರುದಾವಳಿ
ಅಕರಣ ,"ಗಣಕ, ಲೆಕ್ಕಪತ್ರದ ಅಧಿಕಾರಿ"
ಅಕರ್ಣಹೃದಯ ,ಕಿವಿ ಮತ್ತು ಹೃದಯಗಳಿಲ್ಲದ; ಹಾವಿನ ಹೃದಯವುಳ್ಳ
ಅಕರ್ತೃಕ ,"ಕರ್ತೃವಿಲ್ಲದ, ಸೃಷ್ಟಿಸಿದವನಿಲ್ಲದ"
ಅಂಕವಣಿ(ಣೆ) ,ಕುದುರೆಯ ರಿಕಾಪು; ರಣಹಲಗೆ
ಅಂಕವಾತು ,ಯುದ್ಧದ ಮಾತು
ಅಕಾಂಡ ,ಅಕಾಲ
ಅಕಾಂಡಜಳದ ,ಅನಿರೀಕ್ಷಿತ ಮೋಡ
page,2
ಅಕಾಂಡತಾಂಡವ ,ಪಾಂಡಿತ್ಯದ ಅನವಶ್ಯಕ ಪ್ರದರ್ಶನ
ಅಕಾಮಿಕ ,ಇಚ್ಛೆಯಿಲ್ಲದ ವ್ಯಕ್ತಿ
ಅಕಾರಣಂ ,ಕಾರಣವಿಲ್ಲದೆ
ಅಕಿಂಚನ ,ಬಡವ
ಅಕಿಂಚಿತ್ಕರ ,ಏನನ್ನೂ ಮಾಡದ
