page,1
ಆಕಂಠಪ್ರಮಾಣ ,ಕಂಠದವರೆಗೂ
ಆಕಂಠೋಷ್ಠಂಬರಂ ,ಗಂಟಲು ಮತ್ತು ತುಟಿಯವರೆಗೆ
ಆಕಂಪನಗೊಳ್ ,ನಡುಗು
ಆಕಂಪಿಸು ,ನಡುಗು
ಆಕಪ್ಪು ,"ಗುಳಿ, ಖೆಡ್ಡ"
ಆಕಬಳ, (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಆಕರಿಸು ,ಸ್ವೀಕರಿಸು; ಹೊಂದು; ಭಯಗೊಳ್ಳು
ಆಕರ್ಣಕೃಷ್ಟ ,ಕಿವಿಯವರೆಗೆ ಸೆಳೆಯಲ್ಪಟ್ಟ
ಆಕರ್ಣನ ,ಆಲಿಸುವುದು
ಆಕರ್ಣನೀಯ ,ಆಲಿಸಲು ಯೋಗ್ಯವಾದ
ಆಕರ್ಣಾಂತ ,ಬಿಲ್ಲಿನ ಹೆದೆಯನ್ನು ಕಿವಿಯವರೆಗೂ ಎಳೆಯುವುದು
ಆಕರ್ಣಾಂತಂಬರಂ ,ಆಕರ್ಣಾಂತಂ
ಆಕರ್ಣಿಸು ,ಆಲಿಸು
ಆಕಲಿ(ಳಿ)ತ ,"ಕೂಡಿದ, ಸೇರಿದ"
ಆಕಲಿ(ಳಿ)ಸು ,ಗ್ರಹಿಸು; ಹಿಡಿ
ಆಕಲ್ಪ ,ಕಲ್ಪದವರೆಗೆ; ಒಡವೆ; ಅಲಂಕಾರ
ಆಕಸ್ಮಿಕ ,ಅನಿರೀಕ್ಷಿತ
ಆಕಳಿಸು ,ಆವರಿಸು; ಹಿಡಿದುಕೊ
ಆಕಳ್ ,ಹಸು
ಆಕಾರಂಗಿಡು ,ರೂಪಗೆಡು
page,2
ಆಕಾರವಂತ ,"ರೂಪವಂತ, ಸುಂದರ"
ಆಕಾರಸಂವರಣೆ ,"ಆಕಾರಗುಪ್ತಿ, ರೂಪವನ್ನು ಮರೆಮಾಚಿಕೊಳ್ಳುವುದು"
ಆಕಾಲಿ(ಳಿ)ಕಿ ,ಕ್ಷಣಿಕವಾದದ್ದು; ಮಿಂಚು
ಆಕಾಶಗಾಮಿ ,ಅಂತರಿಕ್ಷದಲ್ಲಿ ಸಂಚರಿಸುವವನು
ಆಕಾಶಗಾಮಿನಿ(ವಿದ್ಯೆ) ,ಅಂತರಿಕ್ಷದಲ್ಲಿ ಸಂಚರಿಸುವ ವಿದ್ಯೆ
