page,1
ಇಂ ,ಇನ್ನು; ಇನ್ನು ಮುಂದೆ
ಇಂ(ಈಂ)ಚರ ,"ಇಂಪಾದ ಧ್ವನಿ; ಇನಿದಾದ ಸರ(ಬಾಣ) ಉಳ್ಳವನು, ಮನ್ಮಥ"
ಇ(ಈ)ೞ್ಕುೞಿಗೊಳ್ ,ಸೆಳೆದುಕೊ; ಆಕರ್ಷಿಸು
ಇಂಕೆವರ್ ,"ಬತ್ತು, ಇಂಗಿಹೋಗು"
ಇಕ್ಕಿಕೊಳ್ ,ಇರಿಸಿಕೊ; ಧರಿಸು; ಆಚೆಗೆ ತಳ್ಳು; ಹೊಡೆದು ತುಳಿ
ಇಕ್ಕಿಸು ,ಇರಿಸು; ಸ್ಥಾಪಿಸು; ಊಟಕಾಕಿಸು
ಇಕ್ಕು ,"ಇಡು; ಧರಿಸು; ಲೇಪಿಸು; ಮುಡಿಸು, ತೊಡಿಸು; ಚೆಲ್ಲು; ಬಿಟ್ಟುಹೋಗು; ಬಿಸಾಕು; ಪ್ರಯೋಗಿಸು; ನಿಕ್ಷೇಪಮಾಡು; ನೀಡು; ಹೊಡೆ, ಹನನಗೈ"
ಇಕ್ಕುಂಗೂಳ್(ೞ್),ಇತರರು ನೀಡುವ ಅನ್ನ; ಭಿಕ್ಷೆ
ಇಕ್ಕುವಡು ,ಸೋಲು ಅನುಭವಿಸು; ಹೊಡೆಯಲ್ಪಡು
ಇಕ್ಕುೞ್ ,ಒಂದು ರೋಗ; ಪಟಿಕಾರ
ಇಕ್ಕೆ ,ಇರುವ ಜಾಗ
ಇಕ್ಕೆದಾಣ ,"ಬಿಡದಿ, ಬಿಡಾರ"
ಇಕ್ಷುಕಾಂಡ ,ಕಬ್ಬಿನ ಜಲ್ಲೆ
ಇಕ್ಷುಚಾಪ ,"ಕಬ್ಬಿನ ಬಿಲ್ಲು, ಕಬ್ಬುವಿಲ್ಲ, ಮನ್ಮಥ"
ಇಕ್ಷುದಂಡಫಣಿತ ,ಕಬ್ಬು ಕತ್ತರಿಸುವ ಪಣ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಇಕ್ಷುಪುಷ್ಪ ,"ಕಬ್ಬಿನ ಹೂ, ಸೂಲಂಗಿ"
ಇಕ್ಷುಯಂತ್ರ ,ಕಬ್ಬಿನ ರಸ ತೆಗೆಯುವ ಯಂತ್ರ
ಇಕ್ಷುರಸ ,ಕಬ್ಬಿನ ರಸ
ಇಕ್ಷುವಾಟ(ಟಿ) ,ಕಬ್ಬಿನ ಗದ್ದೆ
ಇಕ್ಷ್ವಾಕು ,ಸೂರ್ಯವಂಶದ ಮೂಲಪುರುಷ
page,2
ಇಂಗಡಲಕುವರ ,"ಹಾಲ್ಗಡಲಲ್ಲಿ ಹುಟ್ಟಿದವನು, ಚಂದ್ರ"
ಇಂಗಡಲಣುಗಿ ,ಲಕ್ಷ್ಮೀ
ಇಂಗಡಲ್ ,ಹಾಲ್ಗಡಲು
ಇಂಗದಿರ ,ಚಂದ್ರ
ಇಂಗದಿರ್ ,ಬೆಳುದಿಂಗಳು
