page,1
ಈ ,ಕೊಡು; ದಾನಮಾಡು; ಎಡೆಗೊಡು
ಈಕ್ಷಣ ,ಕಣ್ಣು; ನೋಟ
ಈಕ್ಷಣಭದ್ರ ,ನೋಡಲು ಶುಭಪ್ರದವಾದ
ಈಕ್ಷಣಾಕರ್ಷಣ ,ನೋಟವನ್ನು ಸೆಳೆಯುವ; ಆಕರ್ಷಕವಾದ
ಈಕ್ಷಿಸು ,ನೋಡಿ
ಈಗಡು ,"ಈಗ, ಈ ಸಮಯದಲ್ಲಿ"
ಈಗಡೆ ,ಈಗಲೇ
ಈಗಳ್ ,ಈಗ
ಈಂಚಿಲ್ ,ಈಚಲುಮರ
ಈಂಚುವೋಗು ,ಇಂಚೆವೋಗು; ಬತ್ತಿಹೋಗು; ತೊಲಗು
ಈಜ್ಯೆ ,ಪೂಜೆ
ಈಂಟಿಸು ,ಕುಡಿಸು
ಈಂಟು ,"ಕುಡಿ, ಪಾನಗೈ"
ಈಂಟುಜಳಧಿ ,ಕುಡಿಯುವ ನೀರಿನ ಸಮುದ್ರ(?) (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಈಡಾಡು ,"ಚೆಲ್ಲಾಡು, ಬಿಸಾಡು"
ಈಡಿತ ,ಹೊಗಳಲ್ಪಟ್ಟ
ಈಡಿಱಿ ,ಕೊಂಬಿನಿಂದ ತಿವಿ; ಕಿಕ್ಕಿರಿ
ಈಡು ,ಬಾಣದ ಗುರಿ; ಎಸೆತ
ಈಡೊರಸು ,"ಕೊಂಬಿನಿಂದ ತಿಕ್ಕು, ಉಜ್ಜು"
ಈಂತ ,ಹೆರುವುದು; ಮರಿ ಹಾಕುವುದು
page,2
ಈಂದನಿ ,ಇನಿದನಿ
ಈದಲೆ ,"ಇತ್ತ, ಈ ಕಡೆ"
ಈದೊರೆತು ,ಇಂತಹ; ಈ ರೀತಿಯ
ಈಂದೋಳ್ ,ಸುಂದರವಾದ ತೋಳು
ಈನ್ ,"ಮರಿ ಹಾಕು, ಹೆರು"
ಈಪೊೞ್ತು ,ಈ ಹೊತ್ತು; ಇಂದು
ಈಪ್ಸಿತಾರ್ಥ ,ಬಯಸಿದ; ಬಯಕೆ
ಈರಣ ,"ಚಲನೆ, ಅಲುಗಾಟ"
ಈರಯ್ದು ,"ಎರಡು ಬಾರಿ ಐದು, ಹತ್ತು"
ಈರಳ್ಳೆ ,ಎರಡು ಕಡೆಯ ಪಕ್ಕೆ
ಈರಾಱು ,"ಎರಡುಸಲ ಆರು, ಹನ್ನೆರಡು"
ಈರಿತ ,ಹೇರಲಾದ; ಎಸೆಯಲಾದ; ಹೇಳಿದ ಮಾತು
ಈರೆಂಟು ,"ಎರಡು ಸಲ ಎಂಟು, ಹದಿನಾರು"
ಈರೆರಡು ,"ಎರಡು ಸಲ ಎರಡು, ನಾಲ್ಕು"
ಈರೆಲೆವೋಗು ,ಬೀಜ ಮೊಳೆತು ಎರಡು ಎಲೆ ಬಿಡು; ಚಿಗುರು; ಏಳಿಗೆಯಾಗು
ಈರೇೞ್ ,"ಎರಡು ಸಲ ಏಳು, ಹದಿನಾಲ್ಕು"
ಈರೊಡಲ್ ,ಎರಡು ದೇಹ
ಈರೊಡ್ಡು ,ಎರಡು (ಕಡೆಯ) ಸೈನ್ಯ
ಈರೊಂಬದಿಂಬರ್ ,ಹದಿನೆಂಟು ಮಂದಿ
ಈರ್ಪು ,ತೃಪ್ತಿ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
page,3
ಈರ್ಮ ,ಗಾಯ
ಈರ್ಯಾಪಥ(ರಿ)ಶುದ್ಧಿ ,(ಜೈನ) ನೆಲವನ್ನು ನಾಲ್ಕು ಮೊಳಗಳಷ್ಟು ಮುಂದೆ ನೋಡಿತ್ತ ನಡೆಯುತ್ತ ಆಗಬಹುದಾದ ಜೀವಹಿಂಸೆಯನ್ನು ತಡೆಯುವುದು
ಈರ್ಯಾಮಾರ್ಗ ,ಪರ್ಯಟಣದ ದಾರಿ
ಈರ್ಯಾಶುದ್ಧಿ ,ಈರ್ಯಾಪಥಶುದ್ಧಿ
ಈರ್ಯೆ ,(ಜೈನ) ಸನ್ಯಾಸಿಗಳ ಸಂಚಾರ
