page,1
ಉಂಕೆ ,ಒಂದು ಜಾತಿಯ ಹಕ್ಕಿ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಉಕ್ಕಡ ,ನಗರದ ಗಡಿ; ಪಹರೆಯ ನೆಲೆ
ಉಕ್ಕಂದ ,ತುಂಬಿ ತುಳುಕುವ; ಉತ್ಸಾಹ
ಉಕ್ಕೆವ ,"ಠಕ್ಕು, ಮೋಸ; ಉತ್ಸಾಹ; ಉತ್ಸವ"
ಉಕ್ಕೆವ ,"ಠಕ್ಕು, ಮೋಸ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)"
ಉಕ್ಕೆವಗುದುರೆ ,ಮೋಸದ ಕುದುರೆ
ಉಕ್ಕೆವಚಾಮರ ,ಉತ್ಸವಕಾಲದ ಚಾಮರ
ಉಕ್ಕೆವತನ ,ವಂಚಕತನ
ಉಕ್ಕೆವತಪ ,ಕಪಟ ತಪಸ್ಸು
ಉಕ್ತಿಪ್ರೌಢ ,ಮಾತಿನ ನಿಪುಣ
ಉಕ್ತಿವಕ್ರಿಮ ,ಮಾತಿನ ಕೊಂಕು
ಉಕ್ಷ ,ಎತ್ತು
ಉಗಿ ,ಹೊರಗೆಳೆ; ಸಡಿಲವಾಗು; ಉಗುಳು; ಕುಗ್ಗಿಸು; ಹೆದರು; ಸೀಳಿಹೋಗಿರುವುದು; ಕೀಳು
ಉಗಿಗೊಳ್ ,ತಿವಿಯಲ್ಪಡು; ಉಗುರಿನಿಂದ ಗಾಯಹೊಂದು
ಉಗಿಪಟಂಗೊಳ್ ,ಸೆಳೆದುಕೊ; ಹೋಗಲಾಡಿಸು
ಉಗಿಪದ ,ಸುಲಿಗೆ
ಉಗಿಬಗಿ ,ಸೀಳು; ಚೂರಾಗಿರುವುದು
ಉಗಿಬಗಿಮಾಡು ,ಚೂರುಮಾಡು; ಕಲಕು; ಪರವಶಗೊಳಿಸು; ಉಗುರಿನಿಂದ ಪರಚಿ ಗಾಯಮಾಡು
ಉಗಿಬಗಿಯಾಗು ,ಹೊಯ್ದಾಡು; ಆತುರಪಡು
ಉಗಿವಡೆ ,ಗಾಯಹೊಂದು
page,2
ಉಗಿಸು ,ಚೆಲ್ಲಿಸು; ಚಿಮುಕಿಸು; ಹೊರಬೀಳಿಸು
ಉಗು ,ಚೆಲ್ಲು; ಹೊರಬೀಳಿಸು; ಸುರಿ
ಉಂಗುಟ ,ಕಾಲಿನ ಹೆಬ್ಬೆರಳು
ಉಗುತರ್ ,ಉಕ್ಕಿಬರು; ಸುರಿ; ಸ್ರವಿಸು
ಉಂಗುರವಿಡು ,ಮದುವೆ ನಿಶ್ಚಿತಾರ್ಥದಲ್ಲಿ ಉಂಗುರ ತೊಡಿಸು
ಉಗುರಿಸು ,"ಉಗುರಿನಿಂದ ಕೆರೆ, ಗೀಚು"
ಉಗುರ್ವಿಸಿ ,ಉಗುರು ಬಿಸಿ
ಉಗುರ್ವೆಚ್ಚನೆ ,ಉಗುರುಬೆಚ್ಚಗೆ
ಉಗುರ್ವೊಯ್ಲು ,ಉಗುರಿನ ಹೊಡೆತ
ಉಗುೞಿಸು ,ಕಕ್ಕಿಸು
ಉಗುೞ್ ,ಮುಕ್ಕುಳಿಸು; ಉಗುಳು; ಜೊಲ್ಲು; ಎಂಜಲು ನೀರು
ಉಗುೞ್ತರ್ ,ಹೊಮ್ಮಿಸು
ಉಗ್ಗಡ ,(ಉತ್ಕಟ) ಆಧಿಕ್ಯ
ಉಗ್ಗಡರಾವಿತ ,ಶೂರನಾದ ಸವಾರ
ಉಗ್ಗಡಿ(ಳಿ)ಸು ,(ಉದ್ಘೋಷಿಸು) ಕೂಗಿ ಹೇಳು; ಕೊಂಡಾಡು
ಉಗ್ಗು ,ತೊದಲುವಿಕೆ
ಉಗ್ರ ,ಭಯಂಕರವಾದ
ಉಗ್ರಕರ ,"ತೀಕ್ಷ್ಣ ಕಿರಣಗಳನ್ನುಳ್ಳವನು, ಸೂರ್ಯ"
ಉಗ್ರಘೋಷ ,ಭಯಂಕರ ಧ್ವನಿ
ಉಗ್ರತಿಮಿ ,ಭಯಂಕರ ಮೀನು
page,3
ಉಗ್ರತೇಜ ,ಕೋರೈಸುವ ಕಾಂತಿ
ಉಗ್ರನಖ ,ಹರಿತವಾದ ಉಗುರು
ಉಗ್ರಪಾಣಿ ,ಭಯಂಕರ ಕೈಯುಳ್ಳವನು
ಉಗ್ರಬಲ ,ಭಯಂಕರ ಬಲಿಷ್ಠ
ಉಗ್ರಸತ್ವ ,ಬಹಳ ಬಲಶಾಲಿ
ಉಘೇ ,ಜಯಘೋಷ
ಉಂಚ ,ಎತ್ತರ; ಉದ್ದವಾದ
ಉಚಿತ ,"ತಕ್ಕ, ಸರಿಯಾದ"
ಉಚಿತಜ್ಞ ,ಯೋಗ್ಯವಾದುದನ್ನು ತಿಳಿದವನು
ಉಚಿತವಿಧಿ ,ಯೋಗ್ಯ ಕ್ರಮ
ಉಚಿತೋಕ್ತಿ ,ಯೋಗ್ಯವಾದ ಮಾತು
ಉಚ್ಚ ,ಉನ್ನತವಾದ; ಮುಖವೆತ್ತಿ ನಡೆವವನು; ಉನ್ನತಿ
ಉಚ್ಚಂಡ ,ಹರಿತವಾದ; ಉಗ್ರವಾದ
ಉಚ್ಚಂಡಕರ ,ಕೊರೈಸುವ ಕಾಂತಿ; ಬಲಿಷ್ಠ ಕೈ
ಉಚ್ಚಂಬರಿ ,ಮೇಲೆ ಹಾರು
ಉಚ್ಚರಿಸು ,ಉಚ್ಚಾರಮಾಡು; ಹೇಳು
ಉಚ್ಚಲಿ(ಳಿ)ತ ,ಮೇಲಕ್ಕೆ ಎದ್ದ
ಉಚ್ಚಲಿ(ಳಿ)ಸು ,ಮೇಲಕ್ಕೆ ಚಿಮ್ಮು; ಎಲ್ಲೆ ಮೀರು
ಉಚ್ಚವ ,ಸಡಗರ; ಉತ್ಸವ
ಉಚ್ಚವಿಗ್ರಹ ,ಬಲಿಷ್ಠರೊಡನೆ ಮಾಡುವ ಯುದ್ಧ
page,4
ಉಚ್ಚಸ್ತನಿ ,ಉನ್ನತವಾದ ಮೊಲೆಯುಳ್ಳವಳು
ಉಚ್ಚಾಟನಂಗೆಯ್ ,ಓಡಿಸು
ಉಚ್ಚಾಟಿತ ,ಓಡಿಸಿದ
ಉಚ್ಚಾಟಿಸು ,ಓಡಿಸು
ಉಚ್ಚಾರಿತ ,ಹೇಳಿದ
ಉಚ್ಚಾರಿಸು ,"ನುಡಿ, ಹೇಳು"
ಉಚ್ಚಾವಚ ,ಮೇಲು ಮತ್ತು ಕೀಳು; ವಿವಿಧ
ಉಚ್ಚಾಸನ ,ಉನ್ನತ ಪೀಠ
ಉಚ್ಚಿತ್ತಿ ,ಕತ್ತರಿಸುವುದು
ಉಚ್ಚಿಷ್ಟಪಕ್ವ ,ತಿಂದು ಬಿಟ್ಟ ಹಣ್ಣು
ಉಚ್ಚೈರ್ಗೋತ್ರ ,(ಜೈನ) ಉತ್ಕೃಷ್ಟ ವಂಶ
ಉಚ್ಚೈರ್ಧ್ವಾನ ,ಗಟ್ಟಿ ಕೂಗು
ಉಚ್ಚೈಶ್ರವತ್ವ ,ನೆಟ್ಟಗಿರುವ ಕಿವಿಗಳನ್ನು ಪಡೆದಿರುವಿಕೆ
ಉಚ್ಚೈಶ್ರವಸ್ಸು ,ಇಂದ್ರನ ಕುದುರೆ
ಉಚ್ಛೃಂಖಲ(ಳ) ,ಸಂಕೋಲೆಗೊಳಪಡದ; ಕಟ್ಟುಪಾಡುಗಳಿಲ್ಲದ
ಉಚ್ಛೃಂಖಲೆ ,ಹಿಡಿತಕ್ಕೆ ಸಿಕ್ಕದವಳು
ಉಚ್ಛೇದನ ,ತುಂಡರಿಸುವುದು; ನಾಶಮಾಡುವುದು
ಉಚ್ಛೇದ್ಯಶತ್ರು ,ನಾಶಮಾಡಬಹುದಾದ ಶತ್ರು
ಉಚ್ಛ್ರಿತ ,ಮೇಲೆತ್ತಿದ
ಉಚ್ಛ್ವಾಸ ,ಉಸಿರನ್ನು ಹೊರಕ್ಕೆ ಬಿಡು; ಮರಣ; (ಜೈನ) ಕಾಳವನ್ನು ಅಳೆಯುವ ಒಂದು  ಪ್ರಮಾಣ
page,5
ಉಜ್ಜನ ,ತ್ಯಾಗ; ರಾಹಿತ್ಯ
ಉಜ್ಜವಣೆ ,(ಉದ್ಯಾಪನಾ) ವ್ರತಸಮಾಪ್ತಿ; ನೆರವೇರುವಿಕೆ
ಉಜ್ಜವಣೆವಡೆ ,"ಮುಗಿಸು, ಪೂರ್ಣಗೊಳಿಸು"
ಉಜ್ಜಳ ,(ಉಜ್ಜ್ವಲ) ಪ್ರಕಾಶಿಸುವ
ಉಜ್ಜಳಿಕೆ ,ಪ್ರಕಾಶ
ಉಜ್ಜಳಿಸು ,ಪ್ರಕಾಶಿಸು
ಉಜ್ಜುಗ ,(ಉದ್ಯೋಗ) ಪ್ರಯತ್ನ; ಉದ್ದೇಶ
