page,1
ಎ(ಏ)ಣಗೋಣ ,ಗರ್ವವಕ್ರತೆ; ಕೊಂಕು; ಬಿಂಕ
ಎಂ(ಚ)ಲ್ ,ತಿಂದ ಮೇಲು ಉಳಿಯುವುದು; ಇತರರು ತಿಂದು ಮಿಕ್ಕದ್ದು
ಎಕ್ಕಛಾಯ ,ಒಂದೇ ಬಣ್ಣ; ಇಂದ್ರನೀಲ
ಎಕ್ಕಟಗಲಿ ,ಏಕಾಂಗವೀರ
ಎಕ್ಕಟಿ ,"ಗುಪ್ತವಾಗಿ, ಗುಟ್ಟಾಗಿ; ಏಕಾಂತ"
ಎಕ್ಕಟಿಗಾಳೆಗ ,ದ್ವಂದ್ವಯುದ್ಧ
ಎಕ್ಕಡಿ ,ಪಗಡೆಯಾಟ
ಎಕ್ಕತಕ್ಕು ,"ಸಮಾನಯೋಗ್ಯತೆ, ಅರ್ಹತೆ"
ಎಕ್ಕತಳ ,ನಿಯಮಿತ ಜಾಗ
ಎಕ್ಕತುಳ ,(ಏಕತುಲ) ಒಂದೇ ತೂಕ; ಸಮಾನ; ದ್ವಂದ್ವಯುದ್ಧ
ಎಕ್ಕತುಳಂ ,ಅತಿಶಯವಾಗಿ
ಎಕ್ಕಬಾಗೆ ,"ಒಂದೇ ಪಾಲು, ಭಾಗ"
ಎಕ್ಕಮ(ವ)ದ್ದಳೆ ,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ
ಎಕ್ಕರ ,"ಸೂಕರ, ಕಾಡುಹಂದಿ; ಒಂಟಿ ಸಲಗ"
ಎಕ್ಕಲಗಾಣ ,ಒಂಟಿ ಹಾಡುಗಾರ
ಎಕ್ಕಲದುಂಬಿ ,ಒಂಟಿದುಂಬಿ
ಎಕ್ಕಲವಂದಿ ,ಒಂಟಿ ಹಂದಿ
ಎಕ್ಕಲವಿರಿ ,"ಎಲ್ಲಮ್ಮ, ರೇಣುಕಾದೇವಿ"
ಎಕ್ಕಲಾವಣ ,ಏಕ ನೆಲೆ. ಒಂಟಿ ಅಂಗಡಿ
ಎಕ್ಕವಡ ,"ಎಕ್ಕಡ, ಪಾದರಕ್ಷೆ"
page,2
ಎಕ್ಕವತ್ತ ,ಒಂಟಿ ಎಲೆಯಿರುವ
ಎಕ್ಕಸ ,"ರಭಸ, ವೇಗ"
ಎಕ್ಕಸಕ್ಕ ,"ಹರಟುವಿಕೆ, ಅಸಂಬದ್ಧ ನುಡಿ; ಅಸಂಬದ್ಧಪ್ರಲಾಪಿ"
ಎಕ್ಕಸಕ್ಕತನ ,ಅಸಂಬದ್ಧತೆ; ಕರುಬುತನ; ನಿಂದೆ ಎಕ್ಕಸರ ಒಂಟಿ ಎಳೆಯ ಸರ; ಒಂದೇ ಬಾಣ; ಒಂದೇ ಧ್ವನಿ; ನಿರಂತರತೆ
ಎಕ್ಕಸರ ,ಕತ್ತಿವರಸೆಯ ಒಂದು ಬಗೆ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಎಕ್ಕಸಿಕ್ಕ ,ಎಕ್ಕಸಕ್ಕ
ಎಕ್ಕಳವಟ್ಟ ,ಏಕವಸ್ತ್ರ; ಉಡುವ ಒಂದೇ ಬಟ್ಟೆ
ಎಕ್ಕಾವಳಿ ,"ಏಕಾವಳಿ, ಒಂದೆಳೆಯ ಸರ"
ಎಕ್ಕು ,"ಹಿಂಜು, ಬಿಡಿಸು, ಬೇರ್ಪಡಿಸು; ಭೇದಿಯಾಗು"
ಎಕ್ಕೆ ,ಒಟ್ಟಿಗೆ; ಸಂಗಡ; ಒಂದು ಜಾತಿಯ ಗಿಡ; ಮಂಚದ ಚೌಕಟ್ಟು; ಮನೆ
ಎಕ್ಕೆಕ್ಕೆ ,ಮೇಲೆ ಮೇಲೆ; ಒಟ್ಟಾಗಿ
ಎಕ್ಕೆಗುಟ್ಟು ,ಗೊಳಗುಟ್ಟಿಕೊ
ಎಕ್ಕೆವಾಱು ,ಒಂದೇ ಹಾರು; ಒಂದೇ ಸಮನೆ ಮಿಡಿಯುತ್ತಿರು
ಎಗ್ಗ ,"ಮೂಢ, ಗಾಂಪ"
ಎಗ್ಗತನ ,ಹೆಡ್ಡತನ
ಎಗ್ಗಿಕೆ ,ಹೆಡ್ಡತನ
ಎಗ್ಗು ,ದಡ್ಡತನ; ಬಿಕ್ಕಳಿಸು; ನಾಚಿಕೆ
ಎಚ್ಚಿಕೊಳ್ ,"ಬಳಿದುಕೊ, ಲೇಪಿಸಿಕೊ"
ಎಚ್ಚು ,"ಬಳಿ, ಲೇಪಿಸು"
