page,1
ಒಕ್ಕಣ ,ಒಕ್ಕುವ ಕೆಲಸ
ಒಕ್ಕಲಗಿತ್ತಿ ,ಬೇಸಾಯಗಿತ್ತಿ
ಒಕ್ಕಲಾಗು ,"ಬಾಳು, ಜೀವಿಸು"
ಒಕ್ಕಲಿಕ್ಕು ,"ಒಕ್ಕಣ ಮಾಡು, ಬಡಿ, ಕೆದರು"
ಒಕ್ಕಲಿಗ ,ಬೇಸಾಯ ಮಾಡುವವನು
ಒಕ್ಕಲಿಸು ,ವ್ಯಾಪಿಸು
ಒಕ್ಕಲುವೋಗಿಸು ,ಗುಳೇ ಹೋಗುವ ಹಾಗೆ ಮಾಡು; ಸಂಸಾರಸಹಿತವಾಗಿ ಕೊಲ್ಲು
ಒಕ್ಕಲ್ ,ಗುಂಪು; ಮನೆತನ; ಬೇಸಾಯಗಾರ
ಒಕ್ಕಳ ,"ಒರ್+ಕಳ, ಒಂದು ಕೊಳಗ"
ಒಕ್ಕು ,"ಹೊರಕ್ಕೆ ಸುರಿ; ಕಾಳು ಬೇರ್ಪಡಿಸು, ಒಕ್ಕಣ ಮಾಡು; ಶಕುನ"
ಒಕ್ಕೈಸು ,"ಸೇರು, ಒಂದುಗೂಡು"
ಒಗಂಟು(ವೇೞ್) ,ಒಗಟು ಹೇಳು; ಅರ್ಥ ತಿಳಿಯದಂತೆ ಹೇಳು
ಒಗರಡಕೆ ,ಒಗರಾದ ಅಡಕೆ; ಹಸಿ (ಸಂಸ್ಕರಿಸದ) ಅಡಕೆ
ಒಗಸು ,ಇಷ್ಟವಾಗು
ಒಗಸುಗಂ ,ಅತಿಶಯವಾಗು
ಒಗು ,ಹೊರಸೂಸು; ಹೊಮ್ಮುವಿಕೆ
ಒಗುಮಿಗು ,ಆಧಿಕ್ಯ
ಒಗೆ ,"ಹುಟ್ಟು, ಕಾಣಿಸಿಕೊ; ವಸ್ತ್ರಪ್ರಕ್ಷಾಲನ, ಬಟ್ಟೆಯನ್ನು ಶುದ್ಧಗೊಳಿಸು"
ಒಗೆತರ್ ,ಕಾಣಿಸಿಕೊ; ಉಂಟಾಗು
ಒಗೆಯಿಸು ,ಉಂಟುಮಾಡು
page,2
ಒಗ್ಗಡಿಸು ,ಒಂದಾಗು
ಒಗ್ಗುಗೆಡು ,ಬೇರೆಯಾಗು
ಒಚ್ಚತ ,ಸೇರಿದ; ಸೀಮಿತವಾದುದು
ಒಚ್ಚತಂ ,ಒಂದೇ ಸಮನೆ; ಹೆಚ್ಚಾಗಿ; ಗಾಢವಾಗಿ
ಒಚ್ಚತಂಗೊಳ್ ,ಪಡೆದುಕೊ
ಒಜ್ಜರ ,"ಝರಿ, ಬೆಟ್ಟದಿಂದ ಹರಿಯುವ ನದಿ; ರಾಜಲಾಂಛನ"
ಒಜ್ಜರಂರಿ ,ಝರಿಯಂತೆ ರಭಸದಿಂದ ಹರಿ
ಒಜ್ಜರಿಸು ,ಸುರಿಸು
ಒಟ್ಟ ,(ಓಷ್ಠ) ತುಟಿ
ಒಟ್ಟಜ ,"ಕಪ್ಪ, ಕಾಣಿಕೆ"
ಒಟ್ಟಜೆ ,ಅತಿಶಯ; ಸಮೂಹ; ಪರಾಕ್ರಮ
ಒಟ್ಟಜೆಕಾಱ ,ಪರಾಕ್ರಮಿ
ಒಟ್ಟಜೆಗೆ(ಗಿ)ಡು ,ಗುಂಪು ಚೆದುರು
ಒಟ್ಟಳ ,ಗಲಿಬಿಲಿ; ಕೋಲಾಹಲ
ಒಟ್ಟಿಲ್ ,ರಾಶಿ
ಒಟ್ಟಿಸು ,"ಒಟ್ಟಯಿಸು, ರಾಶಿಮಾಡು, ಪುಂಜೀಕರಣ"
ಒಟ್ಟು ,ರಾಶಿಮಾಡು; ರಾಶಿ; ಶಪಥ; ಆಣೆಮಾಡು
ಒಟ್ಟೆ ,(ಉಷ್ಟ್ರ) ಒಂಟೆ
ಒಟ್ಟೆಗುತ್ತ ,ಅಡವಿಟ್ಟ ವಸ್ತು
ಒಟ್ಟೈಸು ,ಜಾರು; ಆಕ್ರಮಿಸು
page,3
ಒಟ್ಟೊಟ್ಟಿಗ ,(ಕೆಟ್ಟ) ಸಹವಾಸದಲ್ಲಿರುವವನು
ಒಡಂ ,ಸಹಿತವಾಗಿ; ಜೊತೆಯಾಗಿ
ಒಡಗಚ್ಚು ,ಪ್ರತಿಯಾಗಿ ಕಚ್ಚು
ಒಡಗಲಸು ,ಸೇರು; ಸೇರಿಸು
ಒಡಗಳೆ ,ಜೊತೆಯಲ್ಲಿ ಬಿಡು
ಒಡಗಾಣ್ ,ಜೊತೆಜೊತೆಗೆ ಕಾಣು
ಒಡಗೂಡು ,ಜೊತೆಯಲ್ಲಿ ಸೇರು
ಒಡಂಗೊಳ್ ,ಜೊತೆಯಲ್ಲಿ ಸೇರಿಸಿಕೊ
ಒಡನಡಪು ,ಜೊತೆಯಾಗಿ ನಡೆಸು
ಒಡನಲಿ ,ಜೊತೆಯಲ್ಲಿ ಸಂತೋಷಿಸು
ಒಡನಾಟ ,"ಸಹವಾಸ, ಸ್ನೇಹ"
ಒಡನಾಡಿ ,ಜೊತೆಗಾರ
ಒಡನಾಡಿಗ ,ಒಡನಾಡಿ
ಒಡನಾಡು ,ಜೊತೆಯಲ್ಲಿ ಆಡು; ಸ್ನೇಹಮಾಡು
ಒಡನಿರ್ ,ಜೊತೆಯಲ್ಲಿರು
ಒಡನುಡಿ ,ಜೊತೆಗೆ ಮಾತಾಡು
ಒಡನೆ ,ಜೊತೆಗೆ; ತಕ್ಷಣ
ಒಡನೋಡಿ ,ಜೊತೆಯಲ್ಲಿ ನೋಡಿ
ಒಡನೋದು ,ಜೊತೆಯಲ್ಲಿ ವಿದ್ಯಾಭ್ಯಾಸ ಮಾಡುವವನು
ಒಡಂಬಡು ,ಒಪ್ಪಿಗೆ ಕೊಡು; ಅನುಮತಿ ನೀಡು; ಒಡಂಬಡಿಕೆ
page,4
ಒಡಂಬಿ ,ಶರೀರ
ಒಡಮೆ ,ಧನ; ಒಡವೆ
ಒಡಮೆವಡೆ ,ಆಸ್ತಿಯನ್ನು ಪಡೆ
ಒಡರಿಸು ,ಮಾಡು; ನೆರವೇರಿಸು; ಒಟ್ಟುಗೂಡಿಸು
ಒಡರ್ಚು ,ತೊಡಗು; ಆರಂಭಿಸು; ನೆರವೇರಿಸು
ಒಡಱಿಸು ,ಒಡರ್ಚು
ಒಡಲ್ ,ಶರೀರ; ಹೊಟ್ಟೆ
ಒಡವರಿ ,ಜೊತೆಯಾಗಿ ಹರಿ
ಒಡವರೆಯ ,"ಒಂದೇ ಪ್ರಾಯ, ಸಮ ವಯಸ್ಸು"
ಒಡವಳೆ ,ಜೊತೆಯಾಗಿ ಬೆಳೆ
ಒಡವಾರ ,ಒಂದು ಮರ
ಒಡವಾಱು ,ಜೊತೆಗೆ ಹಾರು
ಒಡವಾೞ್ ,ಕೂಡಿ ಬಾಳು
