page,1
ಓ ,ಪ್ರೀತಿಸು; ಓ ಎಂದು ಉತ್ತರಿಸು; ಸಲಹು
ಓಕಃಪ್ರಾಂಗಣ ,ಮನೆಯ ಅಂಗಳ
ಓಕರಿಸು ,"ಕಾರು, ವಾಂತಿಮಾಡು"
ಓಕರಿಸು ,ವಾಂತಿ ಮಾಡು; ಅಸಹ್ಯಪಡು
ಓಂಕಾರ ,ಪ್ರಣವಾಕ್ಷರ
ಓಕುಳಿ ,ಬಣ್ಣದ ನೀರು
ಓಕುಳಿಯಾಡು ,ಬಣ್ಣದ ನೀರನ್ನು ಪರಸ್ಪರ ಎರಚು
ಓಗಟೆ ,"ಒಗಟು, ಒಡಪು"
ಓಗಡಿಸು ,ಓಕರಿಸು; ಆಲಸ್ಯ ತೋರು; ಹಿಂಜರಿ
ಓಗಂಬಾ(ಪಾ)ಡು ,ಸುಪ್ರಭಾತ ಹಾಡು; ದ್ರುತಗತಿಯಿಂದ ಹಾಡು
ಓಗರ ,ಪಕ್ವವಾದ; ಅನ್ನ
ಓಗರಗಂಪು ,ಬೆರಕೆ ಗಂಧ ; ಸಮ್ಮಿಶ್ರಗಂಧ
ಓಗರವೂ ,ಬೆರಕೆ ಹೂ
ಓಘ ,ಧಾರೆ; ಗುಂಪು; ಪ್ರವಾಹ
ಓಘಮೇಘ ,ಧಾರಾಕಾರ ಮಳೆ
ಓಜ ,ಒವಜ (ಉಪಾಧ್ಯಾಯ) ಗುರು
ಓಜಾಯಿತ ,ಶ್ರೇಷ್ಠ ಶಿಲ್ಪಿ
ಓಜಾಯಿಲ ,ಮೋಸಗಾರ
ಓಜೆ ,ಕ್ರಮ; ಶ್ರೇಣಿ; ತಾಳ
ಓಜೆಗೆಯ್ಸು ,ಕ್ರಮಗೊಳಿಸು
page,2
ಓಜೆಗೊಳ್ ,ಕ್ರಮ ಅನುಸರಿಸು
ಓಜೆದಪ್ಪು ,ಕ್ರಮ ತಪ್ಪು
ಓಜೆವಿಡಿ ,"ಓಜೆ+ಪಿಡಿ, ಪಳಗಿಸಿದ ಹೆಣ್ಣಾನೆ"
ಓಜೆವೆರಸು ,ಕ್ರಮದ ಅನುಸರಣೆ ಮಾಡು
ಓಜೆವೆಱು ,ಅಂದಗೊಳ್ಳು
ಓಟ ,ಓಡುವಿಕೆ
ಓಡ ,"ತೆಪ್ಪ, ದೋಣಿ"
ಓಡಾಡು ,ತಿರುಗಾಡು
ಓಡಿಸು ,ಓಡುವಂತೆ ಮಾಡು
ಓಡು ,ವೇಗವಾಗಿ ಹೋಗು; ಬೋಕಿಬಿಂಚು; ಮಡಕೆ; ತಲೆಯ ಚಿಪ್ಪು
ಓಣಿಯೋಗು ,ಕೊರಕಲಾಗು
ಓತ ,ಓದು; ಒಲಿದ
ಓಂತಿ ,ಓತಿಕೇತ
ಓದನ ,"ಓಗರ, ಅನ್ನ"
ಓದಾಳಿ ,ಓದುಗಾರ
ಓದಿಸು ,"ಕಲಿಸು, ಶಿಕ್ಷಣ ನೀಡು"
ಓದು ,ಪಠಿಸು; ವಿದ್ಯೆ ಕಲಿ; ಜ್ಞಾನ
ಓದುಕುಳಿ ,ಓದಿನಲ್ಲಿ ಆಸಕ್ತನಾದವನು
ಓದುಗಲಿ ,ವಿದ್ಯೆ ಕಲಿ
ಓದುಂಗಾಱ ,"ಓದುವವನು, ವಿದ್ಯಾರ್ಥಿ"
page,3
ಓದುವೇೞ್ ,ಓದಿಸು
ಓದುಳ್ಳ ,ಓದಿದವನು; ವಿದ್ವಾಂಸ
ಓದೊಡೆಯ ,ಓದುಳ್ಳ
ಓಪ ,ಪ್ರಿಯಕರ
ಓಪರ್ ,ಪ್ರಿಯ ಪ್ರೇಯಸಿಯರು
ಓಪಳ್ ,ನಲ್ಲೆ
ಓಪಾದಿ ,ಹಾಗೆ
ಓಪು ,ಪ್ರೀತಿ
ಓರಂ(ತು)ತೆ ,ಒಂದೇ ಸಮನಾಗಿ
ಓರಗೆ ,ಸಮವಯಸ್ಕ
ಓರಗೆಗೊಳ್ ,ಜೊತೆಯಾಗು
ಓರಗೆಯೆನಿಸು ,ಸಮನಾಗು
ಓರಗೆವೂ ,ಬಗೆಬಗೆಯಾದ ಹೂ
ಓರಂಡಲ ,ಬೆಂಬಲ
ಓರಡಿ ,"ಒಂದು ಅಡಿ, ಒಂದು ಹೆಜ್ಜೆ"
ಓರಣ ,"ಸಾಲು, ಪಂಕ್ತಿ; ಅಚ್ಚುಕಟ್ಟು"
ಓರಣಂಗೊಳಿಸು ,ಚೆನ್ನಾಗಿ ಜೋಡಿಸು
ಓರಣಂಗೊಳ್ ,ಒಪ್ಪವಾಗು
ಓರಣಂಬಿಡಿ ,ಓರಣಂಗೊಳ್
ಓರಣಿಕೆ ,ಓರಣವಾಗಿರುವಿಕೆ
page,4
ಓರಣಿಸು ,ಓರಣವಾಗಿರು
ಓರಂದ ,"ಒಂದೇ ಕ್ರಮ, ಏಕಪ್ರಕಾರ"
ಓರನ್ನ ,ಒಂದೇ ತೆರ; ಸರಿ ಸಾಟಿ
ಓರನ್ನ ,ಒಂದೇ ರೀತಿ; ಸಮಾನ
ಓರನ್ನರ್ ,ಒಂದೇ ಬಗೆಯವರು
ಓರನ್ನೆ ,ಸಮಾನೆ
ಓರಾಯ ,ಪಂಕ್ತಿ; ಒಂದೇ ಅಳತೆ
ಓರೆ ,ಓರಗೆ
ಓರೆಂಜಲ್ ,ಜೊತೆಗೆ ಊಟಮಾಡುವವರು
ಓರೆಡೆ ,ಒಂದು ಎಡೆ
ಓರೆವೋಗು ,ಒಂದು ಕಡೆಗೆ ಓಲು
ಓರೊಂದು ,ಒಂದೊಂದು; ಪರಸ್ಪರ
ಓರೊರ್ಮೆ ,ಒಂದೊಂದು ಬಾರಿ
ಓರೊರ್ವ ,ಒಬ್ಬೊಬ್ಬ
ಓರ್ಗುಡಿಸು ,ಕುಪ್ಪೆಹಾಕು
ಓಱೆಯಾವು ,"ಕರಾವು, ಕರೆಯುವ ಹಸು"
ಓಲಗ ,ರಾಜಸಭೆ; ರಾಜಸೇವೆ
ಓಲಗಂಗುಡು ,ರಾಜಸಭೆ ನಡೆಸು
ಓಲಗವುರುಡು ,ರಾಜಸಭೆಯಲ್ಲಿ ನಡೆಯುವ ಸ್ಪರ್ಧೆ
ಓಲಗಶಾಲೆ ,ರಾಜನ ಸಭಾಮಂಟಪ
page,5
ಓಲಗಿಗ ,ಸೇವಕ
