page,1
ಗ ,ಚಲಿಸುವ
ಗಗನ ,ಆಕಾಶ
ಗಗನಕುಸುಮ ,ಆಕಾಶದ ಹೂ; ನೆರವೇರದ ಆಸೆ
ಗಗನಗಂಗೆ ,ಆಕಾಶಗಂಗೆ
ಗಗನಗಜ ,ಆಕಾಶದ ಆನೆ; ಐರಾವತ
ಗಗನಗತಿ ,ಆಕಾಶಗಮನ
ಗಗನಗಮನ ,ಗಗನಗತಿ
ಗಗನಗಾಮಿ ,ಗಗನಗತಿಯವನು
ಗಗನಗಾಮಿನೀವಿದ್ಯೆ ,ಆಕಾಶಗತಿಯ ವಿದ್ಯೆ; ಖೇಚರವಿದ್ಯೆ
ಗಗನಚರ ,ಆಕಾಶದಲ್ಲಿ ಚರಿಸುವುದು; ಹಕ್ಕಿ; ಖೇಚರ; ಸೂರ್ಯ ಮುಂತಾದ ಆಕಾಶಕಾಯಗಳು
ಗಗನಚರಭುಜಗ ,"ಗ್ರಹಗಳನ್ನು ಹಿಡಿಯುವ ಹಾವು, ರಾಹು"
ಗಗನಚರಾಧೀಶ ,ಖೇಚರರರಾಜ
ಗಗನಚರಿ ,ಆಕಾಸದಲ್ಲಿ ಸಂಚರಿಸುವವಳು; ಖೇಚರಿ
ಗಗನಚರೇಂದ್ರ ,ಗಗನಚರಾಧೀಶ
ಗಗನತಲ(ಳ) ,"ಬಾಂದಳ, ಅಂತರಿಕ್ಷ"
ಗಗನವಿವರ ,ಆಕಾಶದ ವಿಸ್ತಾರ
ಗಗನವಿಹಾರ ,ಆಕಾಶಯಾನ
ಗಗನಸ್ಥಳಿ ,ಗಗನಮಂಡಲ
ಗಗನಸ್ಥಾನ ,ಗಗನಮಂಡಲ
ಗಗನಾಂಗಣ ,ಗಗನಮಂಡಲ
page,2
ಗಗನಾಧ್ವ ,ಆಕಾಶಮಾರ್ಗ; ದೇವತೆ
ಗಗನಾಭೋಗ ,ಆಕಾಶದ ವಿಸ್ತಾರ
ಗಗನೇಚರ ,ಗಗನಗಾಮಿ
ಗಗನೇಚರಿ ,ಗಗನಚರಿ
ಗಂಗಾತೀರ ,ಗಂಗಾನದಿಯ ದಡ
ಗಂಗಾಧೀಶ ,"ಗಂಗೆಯ ಒಡೆಯ, ಶಿವ"
ಗಂಗಾವಾರ್ಧಿ ,ಗಂಗಾನದಿ
ಗಂಗಾಸುತ ,"ಗಂಗೆಯ ಮಗ, ಭೀಷ್ಮ"
ಗಂಗಾಳ ,ತಟ್ಟೆ
ಗಂಗೆ ,ಗಂಗಾ ನದಿ
ಗಂಗೆದೊವಲ್ ,ಪಶುಗಳ ಕತ್ತಿ ಪ್ರದೇಶದಲ್ಲಿ ಇಳಿ ಬಿದ್ದ ತೊಗಲು
ಗಗ್ಗರ ,ಕಾಲುಬಳೆ
ಗಗ್ಗರಿಕೆ ,ಗದ್ಗದ ಸ್ವರ
ಗಗ್ಗರಿಕೆಗೊಳ್ ,ಗದ್ಗದಗೊಳ್ಳು
ಗಗ್ಗರಿಸು ,ಗಗ್ಗರಿಕೆಗೊಳ್
ಗಜ ,ಆನೆ; ಒಬ್ಬ ರಾಕ್ಷಸನ ಹೆಸರು
ಗಜಗಮನ ,"ಆನೆಯಂತೆ ನಿಧಾನ ನಡಿಗೆ; ಆನೆಯ ಮೇಲೆ ಕುಳಿತು ಹೋಗುವವನು, ಇಂದ್ರ"
ಗಜಗಮನೆ ,ಮಂದಗಾಮಿನಿ
ಗಜಗಲಿಸು ,ಪ್ರಕಾಶಿಸು
ಗಜಘಂಟಾರವ ,ಆನೆಗೆ ಕಟ್ಟಿದ ಗಂಟೆಯ ಶಬ್ದ
page,3
