page,1
ಚಕಚಕಿತ ,ಹೊಳೆಯುವ
ಚಕಚಕಿಸು ,ಹೊಳಪಿನಿಂದ ಕೂಡಿರು
ಚಂಕನತ್ ,ಹೊಳೆಯುವ
ಚಕಿತ ,ಸ್ಥಿರವಲ್ಲದ; ಆಶ್ಚರ್ಯಗೊಂಡ
ಚಕಿತಲೋಚನೆ ,ಚಂಚಲವಾದ ಕಣ್ಣುಳ್ಳವಳು
ಚಕಿತಾಕ್ಷಿ ,ಚಕಿತಲೋಚನೆ
ಚಕೋರ ,ಬೇಳುದಿಂಗಳನ್ನೇ ಕುಡಿಯುವುದೆಂದು ಹೇಳಲಾಗುವ ಒಂದು ಕಲ್ಪಿ ಪಕ್ಷಿ
ಚಕೋರಾಕ್ಷಿ ,ಹೊಳಪುಗಣ್ಣುಳ್ಳವಳು
ಚಕೋರಿ(ಕೆ) ,ಹೆಣ್ಣು ಚಕೋರ
ಚಕೋರೇಕ್ಷಣ ,ಚಕೋರದ ಕಣ್ಣು; ಹೊಳಪುಗಣ್ಣು
ಚಕ್ಕಣ ,"ಚಾಕಣ, ಮದ್ಯಪಾನದಲ್ಲಿ ನಂಜಿಕೊಳ್ಳುವ (ಖಾರವಾದ) ತಿಂಡಿ"
ಚಕ್ಕವಕ್ಕಿ ,ಚಕ್ರವಾಕ
ಚಕ್ಕಳ ,ಚಾಪೆ
ಚಕ್ಕೞಿ ,ಚಪ್ಪಟೆಯಾದುದು
ಚಕ್ಕುಮೊಕ್ಕು ,ಒಂದು ಅನುರಣ ಶಬ್ದ
ಚಕ್ರ ,ಗಾಲಿ; ಸುದರ್ಶನಚಕ್ರ; ಭೂಮಿ; ಒಂದು ವ್ಯೂಹ; ಚಕ್ರವಾಕ
ಚಕ್ರಂಗೊಳ್ ,ಚಕ್ರಾಯುಧವನ್ನು ಕೈಗೆತ್ತಿಕೊ
ಚಕ್ರಧರ ,ಚಕ್ರವನ್ನು ಧರಿಸಿದವನು; ಚಕ್ರವರ್ತಿ
ಚಕ್ರಧರತ್ವ ,ಚಕ್ರವನ್ನು ಧರಿಸಿರುವುದು
ಚಕ್ರನಾಥ ,ಚಕ್ರವರ್ತಿ
page,2
