page,1
ಛಟಾ ,ಸಮೂಹ
ಛಟೆ ,ಕಾಂತಿ
ಛಟ್ಟ ,ಚಾಂದ್ರಮಾನದ ಪ್ರಕಾರ ಷಷ್ಠಿ ತಿಥಿ
ಛತ್ರಪ್ರಸರ ,ರಾಜಛತ್ರಿಗಳ ಸಮೂಹ
ಛತ್ರರತ್ನ ,(ಜೈನ) ಚಕ್ರವರ್ತಿಗೆ ತಾನಾಗಿ ದೊರಕುವ ಏಳು ರತ್ನಗಳಲ್ಲಿ ಒಂದು
ಛತ್ರಾಕಾರ ,ಗುಂಡನೆಯ ಅಕಾರ
ಛಂದ ,ಸುಂದರವಾದುದು
ಛದ(ನ) ,ಮುಸುಕು; ಹೊದಿಕೆ
ಛಂದೋವಿದ್ಯೆ ,ಛಂದಶ್ಶಾಸ್ತ್ರ
ಛದ್ಮಬಾಲಿಶ ,ಮಾರುವೇಷ ಹಾಕಿಕೊಂಡು ಆಟ ಆಡುವವನು
ಛದ್ಮಸ್ಥ ,ಮರೆಮಾಚಿಕೊಂಡಿರುವವನು; (ಜೈನ) ಕೇವಲಜ್ಞಾನಕ್ಕೆ ಹಿಂದಿನ ಅವಸ್ಥೆಯಲ್ಲಿರುವವನು
ಛದ್ಮಸ್ಥಕಾಲ ,(ಜೈನ) ಛದ್ಮಸ್ಥ ಅವಸ್ಥೆಯಲ್ಲಿರುವವನು
ಛನ್ನ ,ಆವರಿಸಿದ
ಛಪ್ಪಿಸು ,ಆಕ್ರಮಣ ಮಾಡು
ಛಮ್ ,ಒಂದು ಅನುಕರಣ ಶಬ್ದ
ಛರ್ದಿ ,ವಾಂತಿಮಾಡಿಕೊಳ್ಳುವುದು
ಛರ್ದಿಗೆಯ್ ,ವಾಂತಿಮಾಡಿಕೊ
ಛರ್ದಿಸು ,ಛರ್ದಿಗೆಯ್
ಛಲ(ಳ) ,ನೆಪ
ಛವಿ ,ಕಾಂತಿ
page,2
ಛಾಗಲ ,ಹೋತ
ಛಾತ್ರ ,ವಿದ್ಯಾರ್ಥಿ
ಛಾಂದಸ ,ವೇದಾಧ್ಯಯನ ಪ್ರವೀಣ
ಛಾಂದಸಿಕ್ಕೆ ,ದಡ್ಡತನ
ಛಾಂದಸಿಗ ,ಛಾಂದಸ
ಛಾದ್ಯ ,"ಮರೆಮಾಡುವ; ಮೇಲ್ಕಟ್ಟು, ವಿತಾನ"
ಛಾಯಾಗ್ರಹಣಂಗೆಯ್ ,ವ್ಯಕ್ತಿಯ ಚಲನವಲನವನ್ನು ನಿರೋಧಿಸಲು ಅವನ ನೆರಳನ್ನು ತಡೆಹಿಡಿ
ಛಾಯಾಲಕ್ಷ್ಯ ,ಪ್ರತಿಬಿಂಬವನ್ನು ನೋಡಿ ಹೊಡೆಯಬಾಕಾದ ಗುರಿ
ಛಿಂದಕ ,ಅಮರದವಳ್ಳಿ
ಛಿದ್ರಕದ್ವಾರ ,ನೀರು ಹೋಗಲು ಮಾಡಿರುವ ತೂತು
ಛಿದ್ರನಿವಾಸ ,"ಬಿಲದಲ್ಲಿ ವಾಸಿಸುವ, ಹಾವು"
ಛಿದ್ರಾನ್ವೇಷಿ ,ರಂಧ್ರವನ್ನು ಹುಡುಕುವವನು; ಇತರರಲ್ಲಿ ತಪ್ಪನ್ನೇ ಹುಡುಕುವವನು
ಛಿದ್ರಿಸು ,"ಭೇದಿಸು, ನಾಶಮಡು"
ಛಿಮರ ,ಛಿದ್ರಗೊಳ್ಳುವ
ಛುರಣ ,ಹರಡುವಿಕೆ
ಛುರಿಕೆ ,ಸುರಿಗೆ
ಛುರಿದ ,ಬೆರೆತುಕೊಂಡಿರುವ
ಛುಱ್ ,ಒಂದು ಅನುಕರಣ ಶಬ್ದ
ಛೇದ ,ಕತ್ತರಿಸುವುದು; ತುಂಡು
ಛೇದಿಸು ,ಕತ್ತರಿಸು
page,3
page,4
page,5
page,6
page,7
page,8
page,9
page,10
page,11
page,12
page,13
page,14
page,15
page,16
page,17
page,18
page,19
page,20
page,21
