page,1
ಜಂಕಿಸು ,ಗದರಿಸು; ಹೀಯಾಳಿಸು
ಜಂಕೆ ,ಗದರಿಕೆ
ಜಂಕೆ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಜಕ್ಕ ,ಯಕ್ಷ
ಜಕ್ಕಂಜಱಿ ,ಬಹಳ ನಿಂದನೆಮಾಡು
ಜಕ್ಕಂದೊೞ ,ಗುಂಡಗೆ ಸುತ್ತುವ ಉಯ್ಯಾಲೆ
ಜಕ್ಕಂದೊೞಲಿ ,ಕೋಣ
ಜಕ್ಕವಕ್ಕಿ ,ಚಕ್ರವಾಕ ಪಕ್ಷಿ
ಜಕ್ಕಿ ,ಯಕ್ಷಿ
ಜಕ್ಕುಗೊಳ್ ,ಚಿವುಲು ಉಗುರಗುರುತು ಹೊಂದು
ಜಕ್ಕುಲಿ(ಳಿ)ಸು ,ಮೋಹಗೊಳಿಸು; ಆವರಿಸು; ವ್ಯಾಪಿಸು; ಕಚಗುಳಿಯಿಡು
ಜಗ ,ಜಗತ್ತು
ಜಗಚ್ಚಕ್ರ ,ಭೂಮಂಡಲ
ಜಗಜ್ಜನ ,ಜಗತ್ತಿನ ಜನ
ಜಗಜ್ಜನಕ ,ಲೋಕದ ತಂದೆ
ಜಗಜ್ಜಯ ,ಲೋಕವನ್ನು ಗೆಲ್ಲುವುದು
ಜಗಜ್ಜೀವನ ,ಜಗತ್ತನ್ನು ಬದುಕಿಸುವ
ಜಗಜ್ಜೈತ್ರ ,ಜಗತ್ತನ್ನು ಗೆಲ್ಲುವ
ಜಗತಿ ,ಜಗಲಿ
ಜಗತೀತಲ ,ಭೂಮಿತಳ
page,2
ಜಗತೀಧರ ,ಬೆಟ್ಟ
ಜಗತೀನಾಥ ,ರಾಜ
ಜಗತೀಪಾಲ ,ರಾಜ
ಜಗತ್ತ್ರಯ ,"ಮೂರು ಲೋಕಗಳು: ಸ್ವರ್ಗ, ಮರ್ತ್ಯ, ಪಾತಾಳ"
ಜಗತ್ತ್ರಿತಯ ,ಜಗತ್ತ್ರಯ
ಜಗತ್ಪತಿ ,ಜಗತ್ತಿನ ಒಡೆಯ
ಜಗತ್ಪರ್ಯಷ್ಟಿ ,ಲೋಕಪೂಜೆ
ಜಗತ್ಪ್ರಕಟ ,ಜಗತ್ತಿನಲ್ಲಿ ಪ್ರಸಿದ್ಧವಾದ
ಜಗತ್ಪ್ರತೀತ ,ಜಗತ್ಪ್ರಸಿದ್ಧ
ಜಗತ್ಪ್ರಥಿತ ,ಜಗತ್ಪ್ರಕಟ
ಜಗತ್ಪ್ರಭು ,ಜಗತ್ತಿನ ಒಡೆಯ
ಜಗತ್ಪ್ರಾಣ ,ಜಗತ್ತಿಗೆ ಪಾಣಸ್ವರೂಪಿಯಾದವನು
ಜಗತ್ಪ್ರಿಯ ,ಜಗತ್ತಿಗೇ ಪ್ರಯನಾದವನು
ಜಗತ್ಸ್ತುತ್ಯ ,ಜಗತ್ತಿನ ಹೊಗಳಿಕೆಗೆ ಪಾತ್ರನಾದವನು
ಜಗದಾಧಾರಕ ,ಲೋಕಕ್ಕೆ ಆಧಾರದಂತಿರುವವನು
ಜಗದೀಶ,ಜಗತ್ಪತಿ
ಜಗದೇಕದೇವ ,ಲೋಕದ ಒಬ್ಬನೇ ಆದ ಒಡೆಯ
ಜಗದೇಕಬಂಧು ,ಲೋಕದ ಒಬ್ಬನೇ ಆದ ಬಂಧು
ಜಗದೇಕವೀರ ,ಜಗತ್ತಿನ ಮಹಾ ಪರಾಕ್ರಮ
ಜಗದ್ಗುರು ,ಜಗತ್ತಿಗೇ ಗುರುವಾದವನು
page,3
ಜಗದ್ಧರೆ ,ಲೋಕವನ್ನು ಎತ್ತಿ ಹಿಡಿಯುವವಳು
ಜಗದ್ಬಂಧು ,ಜಗತ್ತಿನ ಬಂಧು
ಜಗದ್ರಕ್ಷಕ ,ಜಗತ್ತನ್ನೆಲ್ಲ ಕಾಪಾಡುವವನು
ಜಗದ್ವಂದಿತ ,ಜಗತ್ತನಿಂದ ನಮಸ್ಕರಿಸಿಕೊಳ್ಳುವವನು
ಜಗದ್ವಳಯ ,ಭೂಮಂಡಲ
ಜಗದ್ವಿಖ್ಯಾತ ,ಜಗತ್ತಿನಲ್ಲಿ ಪ್ರಸಿದ್ಧನಾದವನು
ಜಗದ್ವಿದಿತ ,ಜಗದ್ವಿಖ್ಯಾತ
ಜಗದ್ವಿಶ್ರುತ ,ಜಗದ್ವಿಖ್ಯಾತ
ಜಗನ ,ಜಘನ
ಜಗನ್ನಾಥ ,ಜಗತ್ತಿನ ಒಡೆಯ
ಜಗನ್ನುತ ,ಜಗತ್ತನ ಸ್ತುತಿಗೆ ಪಾತ್ರನಾದವನು
ಜಗನ್ಮಂಡನ ,ಜಗತ್ತಿಗೆ ಆಭರಣವಾಗಿರುವವನು
ಜಗನ್ಮಾನ್ಯ ,ಜಗತ್ತಿನಿಂದ ಮಾನ್ಯನಾದವನು
ಜಂಗಮ ,ಸಂಚರಿಸುವ
ಜಗಲಿ ,ಕಟ್ಟೆ
ಜಗಲಿಗಟ್ಟು ,ಜಗುಲಿಯನ್ನು ಕಟ್ಟು; ಜಗುಲಿಯ ಕಟ್ಟು
ಜಗಳೆ ,ಕಂಸಾಳೆ
ಜಗೞ ,ಕಲಹ
ಜಗೞಗಂಟ ,ಜಗಳ ಮಾಡುವ ಸ್ವಭಾವದವನು
ಜಗೞಂಬೊಗು ,ಜಗಳ ತೆಗೆ
page,4
ಜಗುನೆ ,ಯಮುನಾನದಿ
ಜಂಗುಳಿ ,ಗುಂಪು
ಜಂಗುಳಿದೇವರು ,ಜನಜಂಗುಳಿಯ ದೇವತೆಗಳು
ಜಗುೞ್ ,ಜಾರು; ಹೊರಟುಹೋಗು
ಜಗುೞ್ತರ್ ,ಜಾರಿಹೋಗು
ಜಂಘಚಾರಣ ,(ಜೈನ) ಎಂಟು ಬಗೆಯ ಚಾರಣಶಕ್ತಿಯಿರುವವರಲ್ಲಿ ಒಬ್ಬ; ನೆಲಕ್ಕೆ ಕಾಲೂರದೆ ನಡೆಯಬಲ್ಲವನು
ಜಘಣಸ್ಥಲ ,ನಿತಂಬಪ್ರದೇಶ
ಜಘನ ,ನಿತಂಬ
ಜಘನ್ಯ ,ಹಿಂಬದಿಯ; ಕೀಳಾದ
