page,1
ಡಂಕಿಸು , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಡಂಕಿಸು , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಡಕ್ಕೆ ,ಒಂದು ವಾದ್ಯ
ಡಕ್ಕೆವಾಜಿಸು ,ಡಕ್ಕೆಯನ್ನು ಹೊಡೆ
ಡಕ್ಕೆವಾಯ್ ,ಡಕ್ಕೆಯಂತೆ ಶಬ್ದಮಾಡು
ಡಂಗ ,ಸುಂಕವಸೂಲಿಗಾಗಿರುವ ಕಾವಲು ಕಟ್ಟೆ
ಡಂಗುರಂಬೊಯ್(ಹೊಯ್) ,ತಮಟೆಯ ಶಬ್ದದೊಂದಿಗೆ ಪ್ರಕಟಪಡಿಸು
ಡಂಗುರಂಬೊಯ್ಲು ,ಡಂಗುರ ಸಾರಿಸು
ಡಂಗುರಿಸು ,ಡಂಗುರಂಬೊಯ್
ಡಂಗೆ ,ದೊಣ್ಣೆ
ಡಗೆ ,ಮೋಸ
ಡಂಗೆಗೂಳ್ ,ಹಟಹಿಡಿ
ಡಂಗೆಯಂಗೊಳ್ ,ಡಂಗೆಗೂಳ್
ಡಂಬ ,ತೋರಿಕೆ; ಮೋಸ
ಡಂಬರ ,ಚೆಲುವು
ಡಂಬಿಸು ,ಮೋಸಮಾಡು
ಡಂಭತನ ,ಸೋಗು
ಡಮ(ವ)ರುಕ(ಗ) ,ಒಂದು ಚರ್ಮವಾದ್ಯ
ಡಮರುಧ್ವಾನ ,ಡಮರುಗದ ಸದ್ದು
ಡವಕೆ ,"ಪೀಕದಾನಿ, ಕಾಳಾಂಜಿ; ಡಮರುಗ ಎಂಬ ಒಂದು ವಾದ್ಯ"
page,2
ಡವಕೆವಾಜಿಸು ,ಡವಕೆಯನ್ನು ಹೊಡೆ
ಡವಕೆವಿಡಿ ,ಪೀಕದಾನಿಯನ್ನು ಒಡ್ಡು
ಡಾಕಿಣಿ(ನಿ) ,ರಕ್ಕಸಿ; ರಕ್ಕಸಿಯ ಕತ್ತಿ
ಡಾಣೆ ,"ದೊಣ್ಣೆ; ಒಂದು ಆಯುಧ, ಗದೆ"
ಡಾಮರ ,ಕ್ಷಾಮ; ಪೀಡೆ
ಡಾವರ ,"ಪೀಡೆ, ಗಲಭೆ"
ಡಾವರಿಗ ,ಸೂರೆಗಾರ
ಡಾಹ ,(ದಾಹ) ಸುಡುವಿಕೆ
ಡಾಳ ,ಕಾಂತಿ
ಡಾಳ ,ಪಗಡೆ ದಾಳ; ದಾಯ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಡಾಳಿಸು ,ಚಾಮರ ಬೀಸು; ಪಗಡೆಯ ದಾಳ ಹಾಕು
