page,1
ತಕ್ಕ ,ಯೋಗ್ಯನಾದ
ತಕ್ಕಂದ ,ಯೋಗ್ಯವಾದ ರೀತಿ
ತಕ್ಕೞಿ ,ಯೋಗ್ಯತೆ ಕುಂದು
ತಕ್ಕಿಸು ,ಬಯಸು
ತಕ್ಕು ,ಯೋಗ್ಯತೆ; ಸಾಮರ್ಥ್ಯ
ತಕ್ಕುಗುಡು ,ಬೆಂಬಲ ಕೊಡು
ತಕ್ಕುಗೆಡಿಸು ,ಯೋಗ್ಯತೆ ಕೆಡಿಸು
ತಕ್ಕುಂಗೆಡು ,ಯೋಗ್ಯತೆ ಕುಂದು
ತಕ್ಕುಗೊಡು ,"ಠಕ್ಕುಗೊಡು, ವಂಚಿಸು"
ತಕ್ಕುಮೆ ,ಯೋಗ್ಯತೆ
ತಕ್ಕೂರ್ಮೆ ,"ಯೋಗ್ಯತೆ; ತತ್+ಕೂರ್ಮೆ, ಅಂತಹ ಪ್ರೀತಿ; ಕೃತಜ್ಞತೆ"
ತಕ್ಕೆ ,ತಕ್ಕವಳು
ತಕ್ಕೆವರ್ ,ಹತ್ತಿರ ಬರು
ತಕ್ರ ,ಮಜ್ಜಿಗೆ
ತಕ್ಷ(ಕ) ,ಬಡಗಿ; ರಥಕಾರ
ತಕ್ಷಕಪತಿ ,ಮಹಾ ಶಿಲ್ಪಿ
ತಕ್ಷಕರತ್ನ ,"(ಜೈನ) ಜೀವರತ್ನಗಳಲ್ಲಿ ಒಂದಾದ ಸ್ಥಪತಿ, ವಾಸ್ತುಶಿಲ್ಪಿ"
ತಗಡು ,ಲೋಹದ ಫಲಕ
ತಂಗದಿರ್ಗಲ್ ,ಚಂದ್ರಕಾಂತಶಿಲೆ
ತಗರ್ ,ಟಗರು; ಅಡ್ಡಗಟ್ಟು
page,2
ತಗರ್ತಲೆ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ತಗರ್ತಲೆಯ ,ಒಂದು ಬಾಣ
ತಗವೆ ,ಅಡೆತಡೆ
ತಗು ,ತಕ್ಕನಾಗು
ತಗುಣಬಿಗುಣಂಬರಿ ,ಅಲೆದಾಡು
ತಗುಣೆಗಾಟಂಗುಡು ,ತಿಗಣೆಯಂತೆ ಕಾಟಕೊಡು
ತಗುಳ ,ಗೊಂಚಲು
ತಗುಳಿಸು ,ಜೋಡಿಸು
ತಗುಳ್ ,ಸೇರು; ಅನುಸರಿಸು; ಅಟ್ಟು; ದುಡುಕು
ತಗುಳ್ಚು ,"ತಗುಲಿಸು, ಜೋಡಿಸು"
ತಗುಳ್ಪು ,ಜೋಡಣೆ
ತಂಗುೞ್ದಿರಿಕ ,ತಂಗಳನ್ನು ಬೇಡುವವನು
ತಗೆ ,ನಿಲ್ಲಿಸು; ಅಡ್ಡಿ
