page,1
ದಕ್ಕಣ ,ನೋಡಲು ಚೆಂದವಾದ
ದಕ್ಕು ,ದಸಿ
ದಕ್ಕುಂದಲೆವರಿ ,ಗರ್ವದಿಂದ ಮುಂದೆ ನುಗ್ಗು
ದಕ್ಷ ,ಸಮರ್ಥ
ದಕ್ಷಣಾಕ್ಷಿಸ್ಪಂದ ,ಬಲಗಣ್ಣ ಅದುರುವಿಕೆ
ದಕ್ಷಣಾಂಘ್ರಿ ,ಬಲಗಾಲು
ದಕ್ಷತೆ ,ಸಾಮರ್ಥ್ಯ
ದಕ್ಷಿಣ ,ಬಲಗಡೆ
ದಕ್ಷಿಣಖುರ ,ಬಲಗಾಲಿನ ಗೊರಸು
ದಕ್ಷಿಣಚರಣ ,ಬಲಗಾಲು
ದಕ್ಷಿಣಪಕ್ಷ ,ಬಲಪಕ್ಕ
ದಕ್ಷಿಣಬಾಹು ,ಬಲತೋಳು
ದಕ್ಷಿಣಭುಜ ,ದಕ್ಷಿಣಬಾಹು
ದಕ್ಷಿಣಮುಷ್ಟಿ ,ಬಲ ಮುಷ್ಟಿ
ದಕ್ಷಿಣವರ್ತನ ,ಬಲಕ್ಕೆ ತಿರುಗುವುದು
ದಕ್ಷಿಣಶ್ರೇಣಿ ,ದಕ್ಷಿಣರಾಜ್ಯಗಳ ಸಾಲು
ದಕ್ಷಿಣಹಸ್ತ ,ಬಲಗೈ
ದಕ್ಷಿಣಾಗ್ನಿ ,ದಕ್ಷಿಣ ದಿಕ್ಕು; ಅಗ್ನಿತ್ರಯದಲ್ಲಿ ಒಂದು
ದಕ್ಷಿಣಾಪಥ ,ವಿಂಧ್ಯಪರ್ವತದ ದಕ್ಷಿಣಕ್ಕಿರುವ ಭೂಭಾಗ
ದಕ್ಷಿಣಾಭಿಮುಖ ,ದಕ್ಷಿಣಕ್ಕೆ ಎದುರಾದ
page,2
ದಕ್ಷಿಣಾಮೂರ್ತಿ ,ಶಿವನ ಇಪ್ಪತ್ತೈದು ಲೀಲಾಮೂರ್ತಿಗಳಲ್ಲಿ ಒಂದು
ದಕ್ಷಿಣಾವರ್ತ ,"ಬಲಭಾಗವಾಗಿ ಸುತ್ತು, ಪ್ರದಕ್ಷಿಣೆ"
ದಕ್ಷಿಣಾವರ್ತನಾಭಿ ,ಬಲಸುಳಿ
ದಕ್ಷಿಣಾವೃತ್ತಿ ,ಸಂಗೀತದಲ್ಲಿ ಗೀತ ಹಾಗೂ ವಾದ್ಯಗಳ ಪ್ರಾಧಾನ್ಯ
ದಕ್ಷಿಣಾಂಸ ,ಬಲಭುಜ
ದಕ್ಷಿಣೆಗೊಡು ,ಗುರುಹಿರಿಯರಿಗೆ ದಾನ ನೀಡು
ದಕ್ಷಿಣೇಂದ್ರ ,"ದಕ್ಷಿಣ ದಿಕ್ಪತಿ; (ಜೈನ) ಆರು ಮಂದಿ ದಕ್ಷಿಣೇಂದ್ರರು: ಸೌಧರ್ಮ, ಸನತ್ಕುಮಾರ, ಬ್ರಹ್ಮ, ಶುಕ, ಅನತ, ಅರಣ್ಯ"
ದಗುಂತಿ ,ಆಧಿಕ್ಯ
ದಗ್ಧವಾರಿ ,ಉರಿಯುವ ನೀರು
ದಂಟು ,ತಾವರೆ ಮುಂತಾದುದರ ನಾಳ
ದಟ್ಟ ,ಒತ್ತಾದ
ದಟ್ಟಡಿ ,ಮಕ್ಕಳಿಡುವ ತಪ್ಪು ಹೆಜ್ಜೆ
ದಟ್ಟಡಿಯಿಡು ,ನಡೆಯಲು ತೊಡಗು
ದಟ್ಟವಬಳ್ಳಿ ,ದಟ್ಟವಾಗಿ ಹಬ್ಬಿರುವ ಬಳ್ಳಿ
ದಟ್ಟಿತು(ತ್ತು) ,ದಪ್ಪನಾದ
ದಂಡ ,ದಂಡನೆ; ಕೋಲು
ದಂಡಖಂಡ ,ಚಿಕ್ಕ ಕೋಲು
ದಂಡಂಗೊಳ್ ,ದಂಡನೆಯನ್ನು ಪಡೆ
ದಂಡತೋರಣಕ ,ನೀರೆತ್ತುವ ರಾಟೆಯ ಅರೆಕಾಲುಗಳ ಪಂಕ್ತಿ
ದಂಡತ್ರಯ ,"(ಜೈನ) ಮನಸ್ಸು, ದೇಹ, ಮಾತುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮೂರು ಬಗೆಯ ದೋಷಗಳು"
page,3
ದಡದಡಿಸು ,ಜೋರಾಗಿ ನಡುಗು
ದಂಡಧರ ,ದಂಡವನ್ನು ಹಿಡಿದಿರುವವನು; ಅಧಿಕಾರ ಹಿಡಿದವನು; ಯಮ
ದಂಡಧಾರ ,ಅಧಿಕಾರದಂಡ ಹಿಡಿದವನು
ದಂಡನಮಸ್ಕಾರ ,ಸಾಷ್ಟಾಂಗ ನಮಸ್ಕಾರ
ದಂಡನಾಯಕ ,ಸೇನಾಧಿಪತಿ
ದಂಡನೀತಿ ,ರಾಜನೀತಿ
ದಂಡಪಾಣಿ ,"ಗದೆ ಹಿಡಿದವನು, ಯಮ"
ದಂಡಭ್ರಮ ,ತಪ್ಪು ತಿಳಿವಳಿಕೆಯಿಂದ ಮುಗ್ಧನನ್ನು ದಂಡಿಸುವುದು
