page,1
ಧಗದ್ಧಗಿತ ,ಧಗಧಗ ಎಂದು ಸದ್ದುಮಾಡುವ
ಧಗಧಗ ,ಉರಿಯುವ ಬೆಂಕಿಯ ಅನುಕರಣ ಶಬ್ದ
ಧಗಮನೆ ,ಧಗ್ ಎಂದು ಉರಿ
ಧನ ,ಹಣ
ಧನಕೋಶ ,ಕೋಶಾಗಾರ
ಧನಂಜಯ ,ಅಗ್ನಿ; ಅರ್ಜುನ
ಧನಂಜಯ ,ಬೆಂಕಿ
ಧನಂಜಯಾಂಬಕ ,"ಉರಿಗಣ್ಣ, ಶಿವ"
ಧನದ ,ಕುಬೇರ; ಹಣ ನೀಡುವವನು
ಧನದನಿವಾಸ ,ಕುಬೇರನ ಆವಾಸ
ಧನದಭವನ ,ಕುಬೇರನ ಅರಮನೆ
ಧನದಮಿತ್ರ ,"ಕುಬೇರನ ಸ್ನೇಹಿತ, ಶಿವ"
ಧನದಾಚಲ ,"ಕುಬೇರನು ವಾಸಿಸುವ ಬೆಟ್ಟ, ಕೈಲಾಸಪರ್ವತ"
ಧನದಾದ್ರಿ ,ಧನದಾಚಲ
ಧನದಾನ ,ಹಣರೂಪದ ದಾನ
ಧನದಾಪ್ತ ,"ಧನದನಿಗೆ ಆಪ್ತನಾದವನು, ಶಿವ"
ಧನನಾಥ ,ಕುಬೇರ
ಧನಪತಿ ,ಧನನಾಥ
ಧನಪತಿಮಿತ್ರ ,ಧನದಮಿತ್ರ
ಧನಂಬಡೆ ,ಹಣವನ್ನು ಗಳಿಸು
page,2
ಧನಮುಳ್ಳನ್ ,ಹಣವಂತ
ಧನರಕ್ಷಕ ,"ಹಣವನ್ನು ಕಾಪಾಡುವವನು, ಕುಬೇರ"
ಧನರಕ್ಷೆ ,ಐಶ್ವರ್ಯದ ರಕ್ಷಣೆ
ಧನಲಾಭ ,ಹಣಸಂಪಾದನೆ
ಧನಹೀನ ,ಹಣವಿಲ್ಲದವನು
ಧನಾಢ್ಯ ,ಶ್ರೀಮಂತ
ಧನಾಧಿಪ ,ಶ್ರೀಮಂತ
ಧನಾಧ್ಯಕ್ಷ ,ಕುಬೇರ
ಧನಾರ್ಥಿ ,ಹಣವನ್ನು ಬೇಡುವವನು
ಧನಿಕ ,ಶ್ರೀಮಂತ
ಧನು ,ಬಿಲ್ಲು; ಉದ್ದದ ಒಂದು ಅಳತೆ
ಧನುಗೊಳ್ ,ಬಿಲ್ಲನ್ನು ಧರಿಸು
ಧನುರಾಗಮ ,ಬಿಲ್ವಿದ್ಯೆ; ಅಸ್ತ್ರಶಾಸ್ತ್ರ
ಧನುರಿ ,ಬಿಲ್ಲಿನಂತೆ ಬಾಗಿದ ರಚನೆ; ಒಂದು ಶಿಲ್ಪಪ್ರಬೇಧ
ಧನುರ್ಗುಣ ,ಬಿಲ್ಲಿನ ಹೆದೆ
ಧನುರ್ಗುಣಕ್ವಣಿತ ,ಬಿಲ್ಲಿನ ಹೆದೆಮಿಡಿತದ ಧ್ವನಿ
ಧನುರ್ಜ್ಯಾರವ ,ಧನುರ್ಗುಣಕ್ವಣಿತ
ಧನುರ್ದಂಡ ,ಬಿಲ್ಲು
ಧನುರ್ಧರ ,ಬಿಲ್ಲನ್ನು ಹಿಡಿದವನು
ಧನುರ್ಧರಪ್ರಾಯ ,ಅನೇಕ ಬಿಲ್ಗಾರರಿಂದ ಕೂಡಿದ
page,3
ಧನುರ್ಬಲ ,ಬಿಲ್ಗಾರಪಡೆ
ಧನುರ್ಲತೆ ,ಬಿಲ್ಲೆಂಬ ಬಳ್ಳಿ
ಧನುರ್ವಂಶ ,ಬಿಲ್ಲಂತೆ ಬಾಗಿದ ಬೆನ್ನುಮೂಳೆಯುಳ್ಳುದು
ಧನುರ್ವಳ ,ಧನುರ್ಬಲ
ಧನುರ್ವಿದ್ಯೆ ,ಬಿಲ್ವಿದ್ಯೆ
ಧನುರ್ವೇದ ,"ಅಸ್ತ್ರಶಾಸ್ತ್ರ; ಒಂದು ಉಪವೇದ, ನೋಡಿ `ಉಪವೇದ`"
ಧನುಶ್ಶಲಾಕೆ ,ಬಿಲ್ಲು
ಧನುಷ್ಟಂಕೃತ ,ಬಿಲ್ಲಿನ ಹೆದೆಮಿಡಿತದ ಧ್ವನಿ
ಧನೇಶ್ವರ ,ಕುಬೇರ
ಧನ್ಯ ,ಧನವನ್ನು ಕೊಡುವ; ಅದೃಷ್ಟವಂತ
ಧನ್ವಿ ,ಬಿಲ್ಲುಗಾರ
ಧಮ್ಮ ,ಧರ್ಮ
ಧಮ್ಮಿಲ್ಲ ,ತುರುಬು
ಧಮ್ಮಿಲ್ಲದ್ಯುತಿ ,ತುರುಬಿನ ಹೊಳಪು
ಧರಣಿ ,ಭೂಮಿ
ಧರಣಿಜೆ ,"ಭೂಮಿಯ ಮಗಳು, ಸೀತೆ"
ಧರಣಿಪ(ತಿ) ,"ಭೂಮಿಯ ಒಡೆಯ, ರಾಜ"
ಧರಣಿಭೃತ್ ,ಬೆಟ್ಟ
ಧರಣಿಸುರ ,"ಭೂಸುರ, ಬ್ರಾಹ್ಮಣ"
ಧರಣೀಚಕ್ರ ,"ಭೂಚಕ್ರ, ಭೂಮಂಡಲ"
page,4
ಧರಣೀಜ ,"ಭೂಮಿಯಲ್ಲಿ ಹುಟ್ಟಿದ್ದು, ಮರಗಿಡ"
ಧರಣೀಜಾತ ,ಧರಣೀಜ
ಧರಣೀತಲ ,ಭೂತಳ
ಧರಣೀಂದ್ರ ,(ಜೈನ) ಪಾರ್ಶ್ವನಾತ ತೀರ್ಥಂಕರನ ಯಕ್ಷ
ಧರಣೀಧರ ,ಬೆಟ್ಟ
ಧರಣೀಧವ ,ಧರಣಿಪ(ತಿ)
ಧರಣೀಧ್ರ ,ಬೆಟ್ಟ
ಧರಣೀನಾಥ ,ಧರಣೀಧವ
ಧರಣೀಪತಿ ,ಧರಣೀಧವ
ಧರಣೀಪಾಲ ,ಧರಣೀಧವ
ಧರಣೀಪಾಳಕ ,ಧರಣೀಧವ
ಧರಣೀಪೂಜ್ಯ ,ಲೋಕಪೂಜ್ಯ
ಧರಣೀಭ(ಭಾ)ರ ,"ಭೂಮಿಯ ಜವಾಬ್ದಾರಿ, ರಾಜ್ಯಭಾರ"
ಧರಣೀಭರ್ತೃ ,ಧರಣೀಧವ
ಧರಣೀಭೃತ್ಪತಿ ,ರಾಜಶ್ರೇಷ್ಠ; ಪರ್ವತಶ್ರೇಷ್ಠ
ಧರಣೀಮಂಡನ ,ಭೂಮಿಗೆ ಅಲಂಕಾರಪ್ರಾಯ
ಧರಣೀಮಾರ್ಗ ,ಭೂತಳ
ಧರಣೀರಕ್ಷಣ ,ಭೂಮಿಯ ರಕ್ಷಣೆ
ಧರಣೀವಲಯ ,ಭೂವಲಯ
ಧರಣೀವಲ್ಲಭ ,ಧರಣೀಧವ
page,5
ಧರಣೀಶ ,ಧರಣೀಧವ
ಧರಣೀಶಾವಾಸ ,"ಧರಣೀಶ+ಆವಾಸ, ಅರಮನೆ"
ಧರಣೀಸುತ ,ಅಂಗಾರಕ; ಭಗದತ್ತ
ಧರಣೀಸುರ ,ಭೂಸುರ
ಧರಣೀಹಾರ ,ಭೂಮಿಗೆ ಹಾರದಂತೆ ಶೋಭೆ ತರುವಂಥದು
ಧರಣೇಂದ್ರ ,(ಜೈನ) ಧರಣೀಂದ್ರ
ಧರಾಗ್ರ ,ಧರಣೀತಳ
ಧರಾಚಕ್ರ ,ಭೂಮಂಡಲ
ಧರಾತಳ ,ಭೂತಳ
ಧರಾಧರ ,ಪರ್ವತ
ಧರಾಧರಧನ್ವ ,"ಮೇರುವನ್ನು ಬಿಲ್ಲಾಗಿ ಪಡೆದವನು, ಶಿವ"
ಧರಾಧರಧರ ,"ಬೆಟ್ಟವನ್ನು ಎತ್ತಿದವನು, ಕೃಷ್ಣ"
ಧರಾಧರಧೈರ್ಯ ,ಬೆಟ್ಟದಂತಹ ಧೈರ್ಯವುಳ್ಳವನು
ಧರಾಧರಸುತ ,ರಾಜಪುತ್ರ
ಧರಾಧಾರ ,ರಾಜ; ಬೆಟ್ಟ
ಧರಾಧಾರಧರ್ಮ ,ಧರಾಧರಧನ್ವ
ಧರಾಧಿಪ(ತಿ) ,ರಾಜ
ಧರಾಧಿಪತ್ಯ ,ಭೂಮಿಯ ಆಳ್ವಿಕೆ
ಧರಾಧೀಶ ,ರಾಜ
ಧರಾಧೀಶ್ವರ ,ಧರಾಧೀಶ
page,6
ಧರಾಭಾಗ ,ಭೂಭಾಗ
ಧರಾಭಾರ ,ರಾಜ್ಯಭಾರ
ಧರಾಮರ ,ಭೂಸುರ
ಧರಾಮರತ್ವ ,ಬ್ರಾಹ್ಮಣಿಕೆ
ಧರಾಮರಪತಿ ,"ಭೂಮಿಗೆ ಇಂದ್ರನಂತಿರುವವನು, ಚಕ್ರವರ್ತಿ"
ಧರಾರುಹ ,ಮರಗಿಡ
ಧರಾವರ ,ಧರಾಧೀಶ
ಧರಾವಲ(ಳ)ಯ ,ಭೂಮಂಡಲ
ಧರಾವಿಭಾಗ ,"ಭೂಭಾಗ, ರಾಜ್ಯ"
ಧರಿತ್ರಿ ,ಭೂಮಿ
ಧರಿತ್ರೀತಳ ,ಭೂತಳ
ಧರಿತ್ರೀತಿಳಕ ,ಭೂಮಿಗೆ ತಿಲಕಪ್ರಾಯನಾದವನು
ಧರಿತ್ರೀನಾಥ ,ಧರಾಧೀಶ
ಧರಿತ್ರೀಪಾಳ ,"ಭೂಮಿಯನ್ನು ರಕ್ಷಿಸುವವನು, ರಾಜ"
ಧರಿತ್ರೀಮಿತ್ರ ,ಇಡೀ ಭೂಮಿಯ ಸ್ನೇಹಿತ
ಧರಿತ್ರೀವಲ್ಲಭ ,ಧರಾಧೀಶ
ಧರಿತ್ರೀಸ್ತುತ್ಯ ,ಎಲ್ಲರ ಹೊಗಳಿಕೆಗೆ ಪಾತ್ರನಾದವನು
ಧರಿಸು ,ತೊಟ್ಟುಕೊ; ಹಿಡಿ
ಧರೆ ,ಭೂಮಿ
ಧರ್ಮ ,"ನಂಬಿಕೆ ಆಚರಣೆಗಳ ಕಟ್ಟಳೆ; ಪುಣ್ಯ; ಕರ್ತವ್ಯ; ಯಮ; ಯುಧಿಷ್ಠಿರ; (ಜೈನ)  ದ್ವಾದಶಾನುಪ್ರೇಕ್ಷೆಗಳಲ್ಲಿ ಒಂದು, ಧರ್ಮಚಿಂತನೆ; ಧನುಸ್ಸು"
page,7
ಧರ್ಮಕಥನ ,ಧರ್ಮಬೋಧನೆ ಮಾಡುವುದು
ಧರ್ಮಕಥೆ ,"ಧರ್ಮದ ಬಗ್ಗೆ ಹೇಳುವ ಕತೆ; (ಜೈನ) ಇದರಲ್ಲಿ ಆಕ್ಷೇಪಣಿ, ವಿಕ್ಷೇಪಣಿ, ಸಂವೇದನಿ, ನಿರ್ವೇದನಿ ಎಂದು ನಾಲ್ಕು ಬಗೆ"
ಧರ್ಮಕರ ,ಧರ್ಮವನ್ನು ಮಾಡುವವನು; ಬಿಲ್ಲು ಹಿಡಿದವನು
ಧರ್ಮಕಾರ್ಯ ,ಪುಣ್ಯದ ಕೆಲಸ
ಧರ್ಮಕ್ಷೇತ್ರ ,ಪುಣ್ಯಕ್ಷೇತ್ರ
ಧರ್ಮಗಳ್ ,"ಧರ್ಮ+ಕಳ್, ಪುಕ್ಕಟೆ ಕೊಡುವ ಕಳ್ಳು, ಹೆಂಡ"
ಧರ್ಮಗಳ್ಗುಡಿ ,ಧರ್ಮಗಳ್ಳನ್ನು ಕುಡಿಯುವುದು
ಧರ್ಮಂಗೆಯ್ ,ಪುಣ್ಯಕೆಲಸಮಾಡು
ಧರ್ಮಗೇಹ ,ಧರ್ಮಕ್ಕೆ ಮನೆಯಂತಿರುವುದು; ನಂದಿ
ಧರ್ಮಚಕ್ರ ,"ಧರ್ಮದ ರಾಜ್ಯ; ಧರ್ಮರಕ್ಷಣೆಗೆ ಚಕ್ರ ಹಿಡಿದವನು, ವಿಷ್ಣು"
ಧರ್ಮಚಿಂತಾಯಕ ,ಧರ್ಮಚಿಂತನೆ ನಡೆಸುವವನು
ಧರ್ಮಚಿಂತೆ ,ಧರ್ಮದ ಬಗೆಗಿನ ಆಲೋಚನೆ
ಧರ್ಮಚ್ಯುತಿ ,ಧರ್ಮವನ್ನು ಬಿಡುವುದು
ಧರ್ಮಜ ,"ಯಮನ ಮಗ; ಯುಧಿಷ್ಠಿರ; ಪಾಂಡವ, ಬಿಳಿ ಹಕ್ಕಿ"
ಧರ್ಮಜ್ಞ ,ಧರ್ಮವನ್ನು ತಿಳಿದವನು
ಧರ್ಮತನಯ ,ಧರ್ಮಜ
ಧರ್ಮದ ,ಧರ್ಮವಂತ
ಧರ್ಮದ್ರವ್ಯ ,(ಜೈನ) ಷಡ್ದ್ರವ್ಯಗಳಲ್ಲಿ ಒಂದು
ಧರ್ಮದ್ರೋಹ ,ಧರ್ಮದ ಉಲ್ಲಂಘನೆ
ಧರ್ಮದ್ರೋಹಿ ,ಧರ್ಮದ ಉಲ್ಲಂಘನೆ ಮಾಡುವವನು
page,8
ಧರ್ಮಧ್ಯಕ್ಷ ,ನ್ಯಾಯಾಧೀಶ
ಧರ್ಮಧ್ಯಾನ ,"(ಜೈನ) ಧರ್ಮದ ವಿಷಯಗಳನ್ನು ಕುರಿತು ಸದಾ ಚಿಂತಿಸುವುದು; ಧ್ಯಾನಚತುಷ್ಟಯಗಳಲ್ಲಿ ಒಂದು, ನೋಡಿ, `ಧ್ಯಾನಚತುಷ್ಟಯ’"
ಧರ್ಮನಂದನ ,"ಯುಮನ ಮಗ, ಯುಧಿಷ್ಠಿರ"
ಧರ್ಮಪತ್ನಿ ,ವಿಧಿವತ್ತಾಗಿ ಮದುವೆಯಾದ ಹೆಂಡತಿ
