page,1
ನಃ ,ನಮ್ಮನ್ನು
ನ ಹನ್ಯಾತ್ ,ಕೊಲ್ಲುವುದಿಲ್ಲವೋ
ನಕುಲ ,ಮುಂಗುಸಿ; ಪಂಚಪಾಂಡವರಲ್ಲೊಬ್ಬ
ನಕ್ಕು ,"ಹೀರು, ಕುಡಿ"
ನಕ್ತಂಚರ(ರಿ) ,"ರಾತ್ರಿಯಲ್ಲಿ ಚರಿಸುವುದು, ರಾಕ್ಷಸ(ಸಿ)"
ನಕ್ರ ,ಮೊಸಳೆ
ನಕ್ಷತ್ರ,ತಾರೆ
ನಕ್ಷತ್ರಜ್ಯೋತಿ ,ನಕ್ಷತ್ರದ ಬೆಳಕು
ನಕ್ಷತ್ರಪಾಠಕ ,ಜ್ಯೋತಿಷಿ
ನಕ್ಷತ್ರಮಾಲೆ ,ನಕ್ಷತ್ರಸಮೂಹ; ಇಪ್ಪತ್ತೇಳು ಎಳೆಗಳ ಮುತ್ತಿನ ಕಂಠೀಹಾರ
ನಕ್ಷತ್ರವೀಧಿ ,ಆಕಾಶ
ನಕ್ಷತ್ರೋದಯ ,ನಕ್ಷತ್ರ ಕಾಣಿಸಿಕೊಳ್ಳುವುದು
ನಖ ,ಉಗುರು
ನಖದೀಪ್ತಿ ,ಉಗುರಿನ ಕಾಂತಿ
ನಖನಿಕಾಯ ,ಉಗುರುಗಳ ಪಂಕ್ತಿ
ನಖಂಪಚ,ಉಗುರು ಬೆಚ್ಚಗಿನ
ನಖಪುಟ ,ಗೊರಸು
ನಖಪ್ರಹಾರ ,ಉಗುರು ಅಥವಾ ಪಂಜದಿಂದಾದ ಪೆಟ್ಟು
ನಖಮಯೂಖ ,ನಖದೀಪ್ತಿ
ನಖರ ,ಪ್ರಾಣಿಗಳ ಪಂಜ
page,2
ನಖರಚ್ಛಾಯೆ ,ನಖದೀಧಿತಿ
ನಖರಾಯುಧ ,"ಪಂಜವೇ ಆಯುಧವಾಗಿರುವ, ಸಿಂಹ, ಹುಂಜ"
ನಖರುಚಿ ,ನಖರದೀಪ್ತಿ
ನಖವ್ರಣ ,ಚಿವುಟುವುದರಿಂದಾದ ಗಾಯ
ನಖಹತಿ ,ನಖವ್ರಣ
ನಖಾಂಕ ,ಉಗುರಿನಿಂದಾದ ಗುರುತು
ನಖಾಕ್ಷಿಪ್ತ ,ಉಗುರಿನಿಂದ ಮಿಡಿದ
ನಖಾನಖಿ ,ಉಗುರುಗಳಿಂದ ಮಾಡುವ ಕಾದಾಟ
ನಖಾಂಶು ,ನಖರದೀಪ್ತಿ
ನಗ ,"ಚಲಿಸದಿರುವುದು, ಬೆಟ್ಟ; ಮರ"
ನಗಕುಳ ,ಬೆಟ್ಟಗಳ ಗುಂಪು
ನಗಚೂಳ ,ಬೆಟ್ಟದ ಶಿಖರ
ನಗಜೆ ,"ಪರ್ವತಪುತ್ರಿ, ಗಿರಿಜೆ"
ನಗದನಿ ,ಬೆಟ್ಟದ ಮಾರ್ದನಿ
ನಗಧರ ,"ಬೆಟ್ಟವನ್ನು ಎತ್ತಿದವನು, ಕರಷ್ಣ"
ನಗನಂದನ ,ಬೆಟ್ಟದ ಮೇಲಣ ಉದ್ಯಾನ
ನಗಪ ,"ಪರ್ವತರಾಜ, ಹಿಮವಂತ"
ನಗಪತಿ ,ನಗಪ
ನಗಯಜ್ಞ ,ಪರ್ವತಪೂಜೆ
ನಗರ ,ಪಟ್ಟಣ
page,3
ನಗರಿಪು ,"ಪರ್ವತಗಳ ಶತ್ರು, ಇಂದ್ರ"
ನಗವೃಂದಾಧಿಪ ,ನಗಪ
ನಗವೈರಿ ,ನಗರಿಪು
ನಗಶಿಖರ ,ಬೆಟ್ಟದ ತುದಿ
ನಗಸಾನು ,ಬೆಟ್ಟದ ತಪ್ಪಲು
