page,1
ಪಂಕ ,ಕೆಸರು; ಲೇಪನದ್ರವ್ಯ
ಪಂಕಜ ,"ಕೆಸರಿನಲ್ಲಿ ಹುಟ್ಟಿದುದು, ತಾವರೆ"
ಪಂಕಜನೇತ್ರೆ ,ಕಮಲದಂತೆ ಕಣ್ಣುಳ್ಳವಳು
ಪಂಕಜವಿಷ್ಟರ ,"ಕಮಲದ ಆಸನವುಳ್ಳವನು, ಬ್ರಹ್ಮ"
ಪಂಕಜಸಂಭವ ,"ಕಮಲದಲ್ಲಿ ಹುಟ್ಟಿದವನು, ಬ್ರಹ್ಮ"
ಪಂಕಜಾಕರ ,"ಕಮಲಗಳ ಆವಾಸ, ಕೊಳ"
ಪಂಕಜಾಕ್ಷ ,"ಕಮಲಾಕ್ಷ, ವಿಷ್ಣು"
ಪಂಕಜಾತ ,ಪಂಕಜ
ಪಂಕಜಾಸನ ,ಪಂಕಜವಿಷ್ಟರ
ಪಂಕಜೇಕ್ಷಣ ,ಪಂಕಜಾಕ್ಷ
ಪಂಕಪ್ರಭೆ ,"(ಜೈನ) ಒಂದು ನರಕ, ನೋಡಿ, `ಸಪ್ತನರಕ’"
ಪಂಕಭಾಗ ,(ಜೈನ) ರತ್ನಪ್ರಭೆ ಎಂಬ ನರಕದ ಮೂರು ಭಾಗಗಳಲ್ಲಿ ಒಂದು
ಪಂಕರುಹ ,ಪಂಕಜ
ಪಂಕರುಹವದನೆ ,ಕಮಲಮುಖಿ
ಪಂಕಿಲ ,ಕೆಸರಿನಿಂದ ಕೂಡಿದ
ಪಂಕಿಲತೆ ,ಕೊಳಕು
ಪಂಕೇಜವಕ್ತ್ರೆ ,ಕಮಲಮುಖಿ
ಪಕ್ಕ ,"(ಪಕ್ಷ) ಬದಿ, ಮಗ್ಗುಲು; ರೆಕ್ಕೆ"
ಪಕ್ಕ(ಕ್ಕೆ)ಸಾರಿ ,ಪಟ್ಟದಾನೆಯ ಜೊತೆಗೆ ಬರುವ ಆನೆ
ಪಕ್ಕಣ ,ಬೇಡರ ವಾಸಸ್ಥಳ; ಕೆಳವರ್ಗದವರ ವಾಸಸ್ಥಳ
page,2
ಪಕ್ಕಂಬಿಡಿ ,ಪಕ್ಕವನ್ನು ಹಿಡಿ
ಪಕ್ಕರಿಕೆ ,(ಪಕ್ಷರಕ್ಷಾ) ಕುದುರೆಯ ಮೇಳಣ ಕವಚ
ಪಕ್ಕರಿಸು ,ಪಕ್ಕರಿಕೆ ಹಾಕು
ಪಕ್ಕರೆ ,ಪಕ್ಕರಿಕೆ; ಪಾತ್ರೆ
ಪಕ್ಕರೆಯಿಕ್ಕು ,ಪಕ್ಕರಿಸು
ಪಕ್ಕವಾದಕ ,ಪಕ್ಕವಾದ್ಯ ನುಡಿಸುವವನು
ಪಕ್ಕವೆಱು ,ಅವಕಾಶ ಪಡೆ
ಪಕ್ಕಾಗಿಸು ,ಒಳಗಾಗಿಸು; ಆಸರೆಯಾಗಿಸು
