page,1
ಫಣ ,ಹಾವಿನ ಹೆಡೆ
ಫಣಮಣಿ ,ಹಾವಿನ ಹೆಡೆಯ ಮಣಿ
ಫಣಾಪತಿ ,ಆದಿಶೇಷ
ಫಣಾಮಣಿ ,ಫಣಮಣಿ
ಫಣಾರತ್ನ ,ಫಣಮಣಿ
ಫಣಿ ,"ಹೆಡಯುಳ್ಳುದು, ಹಾವು"
ಫಣಿಗೃಹ ,ಹುತ್ತ
ಫಣಿಗೇಹ ,ಫಣಿಗೃಹ
ಫಣಿಧರ ,"ಹಾವನ್ನು ಧರಿಸಿದವನು, ಶಿವ"
ಫಣಿನಾಯಕ ,ಸರ್ಪರಾಜ
ಫಣಿನಿಲಯ ,ಫಣಿಗೃಹ
ಫಣಿಪ(ತಿ) ,ಆದಿಶೇಷ
ಫಣಿಪತಿಕೇತನ ,"ಧ್ವಜದಲ್ಲಿ ಹಾವಿನ ಚಿಹ್ನೆಯುಳ್ಳವನು, ದುರ್ಯೋಧನ"
ಫಣಿರಾಜಕೇತನ ,ಫಣಿಪತಿಕೇತನ
ಫಣಿಲೋಕ ,ನಾಗಲೋಕ
ಫಣಿವೇಣಿ ,ಹಾವಿನಂತೆ ಜಡೆಯುಳ್ಳವಳು
ಫಣಿಶಯನ ,"ಹಾವನ್ನೇ ಹಾಸಿಗೆಯಾಗುಳ್ಳವನು, ವಿಷ್ಣು"
ಫಣೀಂದ್ರ ,ಆದಿಶೇಷ
ಫಣೀಂದ್ರಾಲಯ ,ಪಾತಾಳಲೋಕ
ಫಣೀಶ ,ಫಣೀಂದ್ರ
page,2
ಫಣ್ಯಾಕಲ್ಪ ,"ಹಾವಿನ ಆಭರಣವುಳ್ಳವನು, ಶಿವ"
ಫಲ(ಳ) ,ಹಣ್ಣು; ಪ್ರಯೋಜನ; ಫಲಿತಾಂಶ
ಫಲ(ಳ)ಕ ,ಹಲಗೆ; ಗುರಾಣಿ
ಫಲ(ಳ)ದಾನ ,ಹಣ್ಣುಗಳನ್ನು ದಾನ ಕೊಡುವುದು
ಫಲ(ಳ)ಭರ ,ಹಣ್ಣುಗಳ ಭಾರ; ಹಣ್ಣುಗಳಿಂದ ತುಂಬಿರುವುದು
ಫಲ(ಳ)ಭಾರ ,ಫಲ(ಳ)ಭರ
ಫಲ(ಳ)ಮಂಜರಿ ,ಹಣ್ಣುಗಳ ಗೊಂಚಲು
ಫಲ(ಳ)ವತಿ ,ಗರ್ಭಿಣಿ; ಹಣ್ಣು ಬಿಡುವ ಮರಗಿಡ
ಫಲಪೂರ ,ಮಾದಳ
ಫಲಪ್ರಾಪ್ತಿ ,ಫಲ ದೊರೆಯುವುದು
ಫಲಭರಿತ ,ಹಣ್ಣುಗಳಿಂದ ತುಂಬಿರುವ
ಫಲವಂತ ,ಹಣ್ಣುಗಳಿಂದ ಕೂಡಿದ; ಫಲವತ್ತಾದ; (ಜೈನ) ಕರ್ಮನಾಶಕವಾದ ಒಂದು ಧರ್ಮ
ಫಲಾಖ್ಯಾನ ,ಶಲಾಕಾಪುರುಷನಿಗೆ ಮುಮದೆ ಬರಲಿರುವ ಸುಖವನ್ನು ತಿಳಿಸುವುದು
ಫಲಿ(ಳಿ)ತ ,ಹಣ್ಣುಗಳನ್ನು ಬಿಟ್ಟಿರುವ
ಫಲಿನೀಫಲ ,ಪ್ರಿಯಂಗು ಬಳ್ಳಿಯ ಹಣ್ಣು
ಫಲಿಯಿಸು ,ದೊರಕಿಸಿಕೊಡು
ಫಲೋತ್ಸುಕ ,ಫಲವನ್ನು ಪಡೆಯಲು ಉತ್ಸುಕನಾದವನು
ಫಲ್ಗು ,ಚಿಕ್ಕದು
ಫಳಕಾರ ,ಉಪಕಾರ ಮಾಡುವವನು
ಫಳಪಕಾಂತತೆ ,ಫಲ ಬಿಟ್ಟ ತಕ್ಷಣ ನಾಶವಾಗುವುದು
page,3
ಫಳರಸ ,ಹಣ್ಣಿನ ರಸ
ಫಳಹೀನತೆ ,ನಿಷ್ಫಲತೆ
ಫಳೆಯಕಾಱ ,ಗುರಾಣಿ ಹಿಡಿದ ಸೈನಿಕ
ಫಾಲ ,ಹಣೆ
ಫಾಲ್ಗುನ ,ಚಾಂದ್ರಮಾನದ ಹನ್ನೆರಡನೆಯ ತಿಂಗಳು
ಫಾಳ್ಗುನನಂದೀಶ್ವರ ,(ಜೈನ) ಫಾಲ್ಗುಣದಲ್ಲಿ ಆಚರಿಸುವ ಒಂದು ವ್ರತ
ಫುಲ್ಲ ,ಅರಳಿದ
ಫುಲ್ಲವಟುಕ ,ಹೂವಾಡಿಗರ ಹುಡುಗ
ಫುಲ್ಲಶರ ,ಹೂಬಾಣ; ಮನ್ಮಥ
ಫುಲ್ಲೋತ್ಪಲ ,ಅರಳಿದ ತಾವರೆ
ಫೂತ್ಕರಿಸು ,ಶಬ್ದಸಹಿತ ಉಸಿರು ಬಿಡುವುದು
ಫೂತ್ಕಾರ ,ಶಬ್ದಸಹಿತ ಉಸಿರು ಬಿಡುವಿಕೆ
ಫೂತ್ಕೃತಿ ,ಫೂತ್ಕಾರ
ಫೇನ ,ನೊರೆ
ಫೇರವ ,ನರಿ
page,4
page,5
