page,1
ಬಂ(ಭಂ)ಡಣ ,ಯುದ್ಧ
ಬಂ(ಭಂ)ಡಿ ,ಗಾಡಿ
ಬ(ಭ)ಲ್ಲೆಯ ,ಈಟಿ
ಬ(ವ)ರಿಸ ,ವರ್ಷ
ಬಂಕ ,ಮೂಲೆ
ಬಕ ,ಬಕಪಕ್ಷಿ; ಕಪಟ; ಒಬ್ಬ ರಾಕ್ಷಸ
ಬಕವೇಸಿತನ ,ಮೋಸದ ಹಾದರ
ಬಕಾರಿ ,"ಬಕನನ್ನು ಕೊಂದವನು, ಭೀಮ"
ಬಂಕು ,"ಬಾಗು, ವಕ್ರವಾಗು"
ಬಕುಳ ,ನಾಗಕೇಸರ ಎಂಬ ಮರ
ಬಕೋಟ ,ಬಕಪಕ್ಷಿ
ಬಕ್ಕ(ಂ)ಬಯಲ್ ,ಪೂರ್ತಿ ತೆರಪಾದ ಬಯಲು
ಬಕ್ಕಣ ,(ಭಕ್ಷಣ) ತಿನಿಸು
ಬಕ್ಕಳೆ ,ಮರದ ತೊಗಟೆ
ಬಕ್ಕು ,ಒಂದು ನೀರ ಹಕ್ಕಿ
ಬಕ್ಕು(ರ್ಕು)(ಳ್ಕು)ಡಿ ,ತಲ್ಲಣ
ಬಕ್ಕು(ರ್ಕು)(ಳ್ಕು)ಡಿಗೆಯ್ ,ವಾದಿಸು; ಆಶ್ಚರ್ಯಪಡು
ಬಕ್ಕೆ(ರ್ಕೆ) ,ಒಂದು ವಿಧದ ಹಲಸಿನ ಹಣ್ಣು
ಬಕ್ಕೆ(ರ್ಕೆ)ವಲಸು ,ಬಕ್ಕೆ(ರ್ಕೆ)
ಬಗಟು ,ಅಗಲಿಸು; ಭಾಗ ಮಾಡು
page,2
ಬಗರಗೆ ,ತೋಡಿದ ಗುಂಡಿ; ಚಿಲುಮೆ; ಬೋಕಿ ಬಿಂಚು
ಬಗಸಿಗೆ ,ಬೊಗಸೆ
ಬಗಸು ,"ಬಯಸು, ಆಸೆಪಡು"
ಬಗಿ ,ತೋಡು; ಸೀಳು
ಬಗಿಯೇಱು ,ಪರಚಿ ಮಾಡಿದ ಗಾಯ
ಬಂಗು ,ಬೂಜು
ಬಗುಳ್ ,ಬೊಗಳು
ಬಗೆ ,ಯೋಚನೆ ಮಾಡು; ಪರಿಗಣಿಸು; ರೀತಿ
ಬಗೆ ,ರೀತಿ; ಮನಸ್ಸು; ಚಿಂತಿಸು
ಬಗೆಗಲ್ ,"ಬಗೆ+ಕಲ್, ಮನಸ್ಸನ್ನು ತಿಳಿದುಕೊ"
ಬಗೆಗಾಣ್ ,ಬಗೆ+ಕಾಣ್ ಮನಸ್ಸನ್ನು ಅರಿತುಕೊ
ಬಗೆಗಿಡಿಸು ,"ದಾರಿ ತಪ್ಪಿಸು, ಮನಸ್ಸನ್ನು ಕೆಡಿಸು"
ಬಗೆಗುಡು ,"ಮನಸ್ಸನ್ನು ಕೊಡು, ಗಮನ ಹರಿಸು"
ಬಗೆಗುಂದು ,ನಿರಾಶೆಗೊಳ್ಳು
ಬಗೆಗೆಡು ,ವಿವೇಕ ಕಳೆದುಕೊ
ಬಗೆಗೆಲ್ ,ಮನಸ್ಸನ್ನು ಗೆಲ್ಲು
ಬಗೆಗೊಳಿಸು ,"ಮನಸ್ಸನ್ನು ಗೆಲ್ಲು, ಆಕರ್ಷಿಸು"
ಬಗೆಗೊಳ್ ,ಲಕ್ಷ್ಯಕ್ಕೆ ತಂದುಕೊ
ಬಗೆದರ್ ,"ಬಗೆ+ತರ್, ನಿಶ್ಚಯ ಮಾಡು"
ಬಗೆದೀರ್ ,"ಬಗೆ+ತೀರ್, ತೃಪ್ತಿಹೊಂದು"
page,3
ಬಗೆದೋಱು ,ಇಂಗಿತವನ್ನು ತೋರಿಸಿಕೊ
ಬಗೆಪೋಗು ,ಮನದಟ್ಟಾಗು
ಬಗೆಮುಟ್ಟು ,"ಮನಸ್ಸನ್ನು ತಾಕು, ಮನಂಬುಗು"
ಬಗೆಯಱಿ ,ಇಂಗಿತವನ್ನು ತಿಳಿದುಕೊ
ಬಗೆಯೞಲ್ ,ಮನೋವ್ಯಥೆ
ಬಗೆಯೊಡೆಯ ,"ಮನದಾಣ್ಮ, ಮನಸ್ಸಿನ ಒಡೆಯ"
ಬಗೆವ(ಬ)ರ್ ,"ಮನಸ್ಸಿಗೆ ಬರು, ತೋಚು"
ಬಗೆವೇೞ್ ,ಮನಸ್ಸಿನಲ್ಲಿದ್ದುದನ್ನು ತಿಳಿಸು
ಬಗೆವೊ(ವು)ಗು ,"ಮನಂಬುಗು, ಮನಸ್ಸನ್ನು ಸೇರು"
ಬಗ್ಗ ,(ವ್ಯಾಘ್ರ) ಹುಲಿ; (ವರ್ಗ) ಗುಂಪು; (ಭರ್ಗ) ಶಿವ
ಬಗ್ಗ(ಂ)ದೊವಲ್ ,ಹುಲಿಯ ಧರ್ಮ
