page,1
ಭಕ್ತಿ ,ಪೂಜ್ಯಭಾವನೆ
ಭಕ್ತಿಪೂರ್ವಕ ,ಭಕ್ತಿಯಿಂದ ಕೂಡಿದ
ಭಕ್ಷ್ಯ ,ತಿಂಡಿ
ಭಂಗ ,ಮುರಿಯುವುದು; ಸೋಲು; ಮಾನಹಾನಿ; ಅಲೆ; ಚಲನೆ
ಭಗ ,"ಕೀರ್ತಿ, ಯಶಸ್ಸು; ಸೂರ್ಯ; ಸ್ತ್ರೀಯೋನಿ"
ಭಗಣ ,ನಕ್ಷತ್ರಸಮೂಹ
ಭಗಣೇಶ ,"ನಕ್ಷತ್ರಸಮೂಹದ ಒಡೆಯ, ಚಂದ್ರ"
ಭಗಂದರ ,ಒಂದು ಗುಹ್ಯರೋಗ
ಭಂಗಂಬೆಱು ,ಅಲುಗಾಡು; ಅಸ್ಥಿರಗೊಳ್ಳು
ಭಗವ ,ವೈಷ್ಣವ ಸನ್ಯಾಸಿ
ಭಗವತಿ ,ದೇವತೆ
ಭಗವತಿಯೇಱು ,ದೇವಿಯ ಯುದ್ಧ; ದೇವಿ ಮೈಮೇಲೆ ಬಂದಾಗ ಉಂಟಾಗುವ ಉರುಬು
ಭಂಗವ್ಯಾಕುಳಿತ ,ಅಲೆಗಳಿಂದ ಅಸ್ತವ್ಯಸ್ತಗೊಂಡ
ಭಂಗಿ ,ರೀತಿ; ಬಾಗು; ಒನಪು
ಭಂಗಿಭಾಷಿತ ,ವಿಶಿಷ್ಟ ರೀತಿಯ ಮಾತು
ಭಂಗಿವಡೆ ,ವಿಲಾಸವನ್ನು ಪಡೆ
ಭಂಗಿವೆಱು ,ಭಂಗಿವಡೆ
ಭಂಗಿಸು ,ಸೋಲಿಸು; ನಿಗ್ರಹಿಸು
ಭಗೀರಥ ,ಒಬ್ಬ ಚಕ್ರವರ್ತಿ
ಭಂಗುರ ,ಸುಲಭವಾಗಿ ಮುರಿದು ಹೋಗುವ; ಕ್ಷಣಿಕವಾದ
page,2
ಭಂಗುರವೇಣಿ ,ಗುಂಗುರು ಕೂದಲುಳ್ಳವಳು
ಭಗ್ನ ,ಮುರಿದುಹೋದ
ಭಗ್ನಮನೋರಥ ,ಕೈಗೂಡದ ಆಸೆಯುಳ್ಳವನು
ಭಗ್ನೋತ್ಸಾಹ ,ಉತ್ಸಾಹ ಕಳೆದುಕೊಂಡವನು
ಭಂಜನ ,ನಾಶಗೊಳಿಸುವಿಕೆ; ಪೀಡಿಸುವಿಕೆ
ಭಂಜಿತ ,ಅವಮಾನಿತಗೊಂಡ
ಭಂಜಿಸು ,ಅವಮಾನಮಾಡು
ಭಟ ,ಸೈನಿಕ
ಭಟಕಟಾಹ ,ಸೈನಿಕಸಮೂಹ
ಭಟಸಂಘ ,ಭಟಕಟಾಹ
ಭಟಾ(ಳಾ)ರ ,(ಭಟ್ಟಾರ) ಗುರು
ಭಟ್ಟ ,ಪ<ಡಿತ
ಭಟ್ಟಮಂಡಪ ,"ವಿದ್ವತ್ಸಭೆ ಸೇರುವ ಜಾಗ, ಸಭಾಮಂದಿರ"
ಭಟ್ಟಾರಕ ,ಗೌರವಸೂಚಕ ವಿಶೇಷಣ
ಭಟ್ಟಿಗೆಯ್ ,"ಭಟ್ಟಿಯಿಳಿಸು, ಬೇಯಿಸಿ ಕರಗಿಸಿ ಸೋಸು"
ಭಂಡ ,ಮಾರಾಟದ ಸರಕು
ಭಂಡಾರ ,(ಭಾಂಡಾರ) ಖಜಾನೆ
ಭಣತಿ ,ಮಾತು
ಭಣಿತೆ ,ಭಣತಿ
ಭದ್ರ ,ಉಪ್ಪರಿಗೆ; ಮಂಗಳಕರ; ಶುಭಲಕ್ಷಣದ ಆನೆ
page,3
ಭದ್ರಗಜ ,ಶುಭಲಕ್ಷಣಗಳ ಆನೆ
ಭದ್ರಬಾಹು ,(ಜೈನ) ಐದನೆಯ ಶ್ರುತಕೇವಲಿ; ಉತ್ತರಭಾರತದಿಂದ ಶ್ರವಣಬೆಳುಗೊಳಕ್ಕೆ ಚಂದ್ರಗುಪ್ತನ ಜೊತೆ ಬಂದನೆನ್ನಲಾದ ಮುನಿ
ಭದ್ರಲಕ್ಷಣ ,ಶುಭಲಕ್ಷಣ; ಭದ್ರ ಎಂಬ ಜಾತಿಯ ಆನೆಯ ಲಕ್ಷಣಗಳು
ಭದ್ರಶಾಲ ,"(ಜೈನ) ಮೇರುಪರ್ವತದ ಮೇಲಿರುವ ನಾಲ್ಕು ವನಗಳಲ್ಲಿ ಒಂದು; ಉಳಿದ ಮೂರು: ನಂದನ, ಸೌಮನಸ, ಪಾಂಡುಕ"
ಭದ್ರಹಸ್ತಿ ,ಭದ್ರಗಜ
ಭದ್ರಾಕಾರ ,ಶುಭಕರವಾದ ಆಕಾರ(ವುಳ್ಳವನು)
ಭದ್ರಾಸನ ,ಸಿಂಹಾಸನ
ಭದ್ರಿಸು ,ಕ್ಷೌರ ಮಾಡು
ಭಂಭಾ ,ಒಂದು ಚರ್ಮವಾದ್ಯ; ನಗಾರಿ
ಭಂಭಾರವ ,ನಗಾರಿಯ ಸದ್ದು
ಭಯ ,ಅಂಜಿಕೆ
ಭಯಂಗೊಳಿಸು ,ಅಂಜಿಸು
ಭಯಂಗೊಳ್ ,ಹೆದರು
ಭಯಂದೋಱು ,ಭಯಂಗೊಳಿಸು
ಭಯಂಬಡು ,ಭಯಂಗೊಳ್
ಭಯಂಬೆರಸು ,ಭಯದಿಂದ ಕೂಡಿ(ರು)
ಭಯರಸ(ಕ) ,ಹೆದರಿಕೆ
ಭಯವಿಹ್ವಲ(ಳ) ,ಭಯದಿಂದ ತತ್ತರಿಸು
ಭಯಸ್ಥೆ ,ಭೀತಳಾದವಳು
