page,1
ಮಕರ ,ಮೊಸಳೆ; ಮೀನು
ಮಕರಕುಂಡಲ ,ಕಿವಿಯ ಕಡಕು
ಮಕರಕೇತು ,"ಮೀನಧ್ವಜ, ಮನ್ಮಥ"
ಮಕರತೋರಣ ,ಮೀನಿನ ಆಕಾರದ ತೊರಣ
ಮಕರಂದ ,ಹೂವಿನ ಬಂಡು
ಮಕರಧ್ವಜ ,ಮಕರಕೇತು
ಮಕರಪತಾಕ ,ಮಕರಕೇತು
ಮಕರವ್ಯೂಹ ,ಮೊಸಳೆಯಾಕಾರದ ಸೈನ್ಯವ್ಯೂಹ
ಮಕರಾಂಕ ,ಮಕರಕೇತು
ಮಕರಿಕಾಪತ್ರ ,ಅಲಂಕಾರಕ್ಕಾಗಿ ದೇಹದ ಮೇಲೆ ಬರೆದುಕೊಳ್ಳುವ ಚಿತ್ರ
ಮಕರಿಕೆ ,ಮಕರಿಕಾಪತ್ರ
ಮಕರೇಶ ,"ಮೊಸಳಯನ್ನು ವಾಹನವಾಗಿ ಪಡೆದವನು, ವರುಣ"
ಮಕುಟ ,ಕಿರೀಟ
ಮಕುಟಬದ್ಧ ,"ಕಿರೀಟ ಧರಿಸಿದವನು, ರಾಜ"
ಮಕುಟಭಂಗ ,ಕಿರೀಟವನ್ನು ಒಡೆಯುವುದು
ಮಕುಟಮಣಿ ,ಕಿರೀಟದಲ್ಲಿ ಸೇರಿಸಿದ ರತ್ನ
ಮಕುಟಮಸಕ ,ಕಿರೀಟ ಧರಿಸಿದ ತಲೆ
ಮಕ್ಕಳ ಕರುವಾಗರ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಮಕ್ಷಿ(ಕಾ) ,ನೊಣ
ಮಖ ,ಯಜ್ಞ
page,2
ಮಖಪುರುಷ ,"ಯಜ್ಞಪುರುಷ, ವಿಷ್ನು"
ಮಖಶೀಖಿ ,ಯಜ್ಞದ ಬೆಂಕಿ
ಮಗಂಬಡೆ ,ಪುತ್ರನನ್ನು ಪಡೆ
ಮಗಮಗಿಸು ,ಪರಿಮಳ ಬೀರು
ಮಗರಿ ,ಒಂದು ವಿಧವಾದ ಬಟ್ಟೆ
ಮಂಗಲ(ಳ)ಪಾಠಕ ,ಹೊಗಳುಭಟ್ಟ
ಮಂಗಲ(ಳ)ಪ್ರಸಾಧನ ,ಶುಭಕರವಾದ ಅಲಂಕರಣ
ಮಂಗಲ(ಳ)ಂಬಾಡು ,ಶುಭಕರವಾದ ಗೀತೆಯನ್ನು ಹಾಡು
ಮಂಗಲತೊರಣ ,ಶುಭಸಮಾರಂಭದಲ್ಲಿ ಕಟ್ಟುವ ತೋರಣ
