page,1
ರಂಕು ,ಮಚ್ಚೆಗಳಿರುವ ಜಿಂಕೆ
ರಕ್ಕಸಪಾರ್ವ ,ಬ್ರಹ್ಮರಾಕ್ಷಸ
ರಕ್ಕಸವಡೆ ,"ರಕ್ಕಸ+ಪಡೆ, ರಾಕ್ಷಸ ಸೈನ್ಯ"
ರಕ್ಕಸಿ ,ರಾಕ್ಸಿ; ಕ್ರೂರ ಹೆಂಗಸು
ರಕ್ಕೆ ,(ರಕ್ಷೆ) ಭಯನಿವಾರಣೆಯ ಯಂತ್ರ
ರಕ್ಕೆವಣಿ ,ಕ್ಷೇಮಕ್ಕಾಗಿ ಕಟ್ಟುವ ಮಣಿ
ರಕ್ಕೆವೊಟ್ಟು ,ದೃಷ್ಟಿಬೊಟ್ಟು
ರಕ್ತ ,ಕೆಂಪಾದ; ನೆತ್ತರು; ಅನುರಾಗವುಳ್ಳವನು
ರಕ್ತಕಂಬಲ(ಳ) ,ಕೆಂಪು ಕಂಬಳಿ
ರಕ್ತಚಂಚು ,ಕೆಂಬಣ್ಣದ ಕೊಕ್ಕು
ರಕ್ತತುಡ ,ರಕ್ತಚಂಚು
ರಕ್ತಪ್ರಸೂನ ,ಕೆಂಪು ಹೂ
ರಕ್ತಸೇಕ ,ರಕ್ತ ಸುರಿಯುವುದು
ರಕ್ತಾಂಬು ,ಕೆಂಪು ನೀರು; ನೆತ್ತರು
ರಕ್ತಾಶೋಕ ,ಕೆಂಪು ಅಶೋಕವೃಕ್ಷ
ರಕ್ಷಾಮಣಿ ,ಕಾಪಾಡುವ ವ್ಯಕ್ತಿ
ರಕ್ಷಾಮರಿ ,"ರಕ್ಷಾ+ಅಮರಿ, ರಕ್ಷಿಸುವ ದೇವತೆ"
ರಂಗ ,ಬಣ್ಣದ ಚಿತ್ರ; ವೇದಿಕೆ
ರಂಗಕಾಱ ,ಅಗಸ
ರಂಗತ್ ,ಚಲಿಸುತ್ತಿರುವ
page,2
ರಂಗಂಬೊಗು ,ಪ್ರದರ್ಶನ ನೀಡಲು ವೇದಿಕೆಯನ್ನು ಪ್ರವೇಶಿಸು
