page,1
ಲ(ರ)ಂದಣಿಗ ,"ಅಡುಗೆಯವನು, ಬಾಣಸಿಗ"
ಲಕುಚ ,ಕಂಚಿ ಗಿಡ
ಲಕುಟ ,ಕೋಲು
ಲಕ್ಕ(ಕ್ಕೆ) ,ಲಕ್ಷ ಎಂಬ ಸಂಖ್ಯೆ
ಲಕ್ಕಚಣ ,ಒಂದು ಆಯುಧ
ಲಕ್ಕಣ ,ಲಕ್ಷಣ; ದುರ್ಯೋಧನನ ಮಗನ ಹೆಸರು
ಲಕ್ಕಂಬಡೆ ,ನೂರು ಸಾವಿರ (ಒಂದು ಲಕ್ಷ) ಬೆಲೆಬಾಳು
ಲಕ್ಕೆ ,ತಡೆ
ಲಕ್ಷ ,ನೂರು ಸಾವಿರ; ಗುರಿ
ಲಕ್ಷಣ ,ಗುರುತು; ಸೂತ್ರ; ದುರ್ಯೋಧನನ ಮಗ; (ಜೈನ) ಪರಿವ್ರಾಜಕನ ಗುರುತು
ಲಕ್ಷಿತ ,ಲಕ್ಷಣಸಹಿತವಾದ
ಲಕ್ಷಿಸು ,ಗಮನಿಸು; ಅನ್ವಯಿಸು
ಲಕ್ಷ್ಮ ,ಗುರುತು; ಚಂದ್ರನ ಕಲೆ
ಲಕ್ಷ್ಮೀನೀಡ ,ಸಂಪತ್ತಿನ ಆಗರ
ಲಕ್ಷ್ಮೀಸುತ ,ಮನ್ಮಥ
ಲಕ್ಷ್ಯ ,"ಗುರಿ; ನಿದರ್ಶನ; ಪಾತ, ಲಕ್ಷ್ಯ, ಶೀಘ್ರ, ಘಾತ, ಬಹುವೇಗ ಎಂಬ ಐದು ಬಗೆಯ ಬಾಣಪ್ರಯೋಗಗಳಲ್ಲಿ ಒಂದು"
ಲಕ್ಷ್ಯಸಿದ್ಧಿ ,ಗುರಿ ತಲುಪುವುದು
ಲಗತ ,ನೃತ್ಯ
ಲಂಗಿಗ ,ದೊಂಬರವನು
ಲಗುಡತಾಡನ ,ಕೋಲಿನಿಂದ ಕೊಡುವ ಪೆಟ್ಟು
page,2
ಲಗ್ಗಿಕ ,ಜ್ಯೋತಿಷಿ
ಲಗ್ಗೆಗೆಯ್ ,ದಾಳಿ ಮಾಡು
ಲಗ್ಗೆವಱೆ ,ದಾಳಿಯ ಕಾಲದಲ್ಲಿ ಹೊಡೆಯುವ ತಮಟೆ
ಲಗ್ನ ,ಕೂಡಿದ; ಚುಚ್ಚಿಕೊಂಡ
ಲಗ್ನಾಹ ,ಕಾರ್ಯ ನಡೆಸಲು ನಿಗದಿಯಾದ ದಿನ
ಲಂಘನ ,ನೆಗೆತ; ಉಪವಾಸ
ಲಂಘನೀಯ ,ತಿರಸ್ಕಾರಾರ್ಹ
ಲಂಘಿಸು ,ಹಾರು
ಲಘುಕರಿ ,"(ಜೈನ) ಒಂದು ವಿದ್ಯೆ, ಹಗುರಗೊಳ್ಳುವುದು"
ಲಘುವಾಗು ,ಕೀಳಾಗು
ಲಂಚಗಾಱ ,ಲಂಚಗುಳಿ
ಲಂಚಂಗುಳಿ ,ಲಂಚಕ್ಕೆ ಆಸೆಪಡುವವನು
ಲಂಚಂಗೊಳ್ ,ಲಂಚ ತೆಗದುಕೊ
ಲಂಚವಣಿಗ ,ಲಂಚಗುಳಿ
ಲಚ್ಚಣ ,(ಲಕ್ಷಣ) ಗುರುತು
ಲಚ್ಚಿಸು ,ಗುರುತು ಮಾಡು
ಲಂಜಿಕೆ ಸೂಳೆ,
ಲಜ್ಜಿಸು ,"ಸಿಗ್ಗುಗೊಳ್ಳು, ನಾಚಿಕೊ"
ಲಜ್ಜೆಗೆಡು ,ನಾಚಿಕೆಗೆಡು
ಲಟಹ ,(ರಟಭ) ಬೆಡಗು
page,3
ಲಟ್ಟೆ ,ಎಳೆಯ ಬಿದಿರು
ಲಂಡ ,ಲದ್ದಿ
ಲತಾಗೃಹ ,ಬಳ್ಳಿಮಾಡ
ಲತಾಂತ ,ಹೂ
ಲತಾಲೀಢ ,ಲತಾಗೃಹ
ಲತಿಕಾ(ಕೆ) ,ಬಳ್ಳಿ
ಲತಿಕಾಗೃಹ ,ಲತಾಗೃಹ
ಲತೆವನೆ ,ಲತಾಗೃಹ
ಲಂಪಟ(ಳ) ,ಆಸಕ್ತ
ಲಂಪಟತೆ ,ಕಾಮುಕತನ
ಲಪನ ,ಮುಖ
ಲಂಪಳಿಕೆ ,ಲಂಪಟತೆ
ಲಂಬ ,ಜೋಲುಬಿದ್ದಿರುವ
ಲಂಬಣ(ಳ) ,ಹಾರ; ಕುಚ್ಚು
ಲಂಬಣ(ಳಿ)ಗೆ ,ಲಂಬಣ
ಲಂಬೂಷ ,ಏಳು ಎಳೆಗಳ ಹಾರ
ಲಂಬೋದರ ,ಡೊಳ್ಳುಹೊಟ್ಟೆಯವನು
ಲಬ್ಧ ,ಸಿಕ್ಕಿದ; ಪ್ರಾಪ್ತಿ
ಲಬ್ಧಿ ,(ಜೈನ) ಮೋಕ್ಷಪೂರ್ವಜ್ಞಾನ
ಲಬ್ಧಿಗ್ರಹ ,ಸಮ್ಯಕ್ತ್ವ ಪಡೆಯುವುದು
page,4
ಲಬ್ಧಿತ್ರಯ ,"(ಜೈನ) ಕಾಯ, ಕರಣ, ಉಪಶಮ ಎಂಬ ಮೂರು ಲಬ್ಧಿಗಳು"
ಲಬ್ಧಿಪಂಚಕ ,"(ಜೈನ) ಕಾಲ, ಕರಣ, ಉಪಶಮ, ಕ್ಷಯೋಪಶಮ, ಪ್ರಾಯೋಗ್ಯತಾ ಎಂಬ ಐದು ಲಬ್ಧಿಗಳು"
ಲಬ್ಧಿಬಧಿರಸಮ ,(ಜೈನ) ಕಿವುಡನ ಹಾಗೆ ಬೇರೇನನ್ನೂ ಕೇಳಿಕೊಳ್ಳದೆ ಜಿನತತ್ವವನ್ನು ಕೇಳಿಸಿಕೊಳ್ಳುವವನು
ಲಬ್ಧಿಬುದ್ಧ ,(ಜೈನ) ಸಮ್ಯಕ್‌ಜ್ಞಾನಿ
ಲಬ್ಧೋಪದೇಶ ,ಉಪದೇಶ ಪಡೆದವನು
ಲಂಭ ,ಸಿದ್ಧಿ
ಲಂಭೂಷ ,ಒಂದು ಆಭರಣ
ಲಯ ,ನಾಶ; ತಾಳಗತಿ
ಲಯ ತಾಂಡವ ,ಪ್ರಳಯ ಕಾಲದ ಕುಣಿತ
