page,1
ವ(ಬ)ರಂ ,ವರೆವಿಗೂ
ವಂಕದ(ದಾ)ರ ,ಗುಪ್ತವಾದ ಬಾಗಿಲು
ವಂಕಿ ,ಚಂದ್ರಾಯುಧ
ವಕುಲ(ಳ) ,"ನಾಗಕೇಸರ, ಪಗಡೆ ಗಿಡ"
ವಕ್ಖ(ಕ್ಖಾ)ಣಿಸು ,(ವ್ಯಾಖ್ಯಾನಿಸು) ವಿವರಿಸು
ವಕ್ತ್ರ ,ಬಾಯಿ; ಮುಖ
ವಕ್ತ್ರಶ್ವಾಸ ,"ಬಾಯಿಂದ ಬಿಡುವ ಉಸಿರು, ನಿಟ್ಟುಸಿರು"
ವಕ್ರಗತಿ ,ಅಂಕುಡೊಂಕು ಚಲನೆ; ಕೆಟ್ಟ ನಡತೆ
ವಕ್ರಗ್ರೀವ ,ಒಂಟೆ
ವಕ್ರಚಾರ ,ವಕ್ರಗತಿ
ವಕ್ರಭಣಿತಿ ,ವ್ಯಂಗ್ಯವಾದ ಮಾತು
ವಕ್ರವಚನ ,ವಕ್ರೋಕ್ತಿ; ಇಂಪಾದ ಧ್ವನಿ
ವಕ್ರವಾಕ್ಯ ,ಕೊಂಕು ಮಾತು
ವಕ್ರಿಮ ,ಡೊಂಕಾದ; ಸುತ್ತುಬಳಸಿನ
ವಕ್ರೋಕ್ತಿ ,ಕೊಂಕು ಮಾತು; ಚಾತುರ್ಯದ ಮಾತು
ವಕ್ಷ(ಸ್ಥಲ) ,ಎದೆ
ವಕ್ಷೋಜ ,ಮೊಲೆ
ವಂಚ ,ವಂಶ
ವಚನಪ್ರೌಢಿ ,ನುಡಿನಿಪುಣತೆ
ವಂಚಿಸು ,ಮೋಸಮಾಡು; ಮುಚ್ಚಿಡು
page,2
ವಚೋವಲ್ಲಭ ,"ಸರಸ್ವತಿಯ ಪತಿ, ಬ್ರಹ್ಮ"
ವಚೋವಿಸ್ತರ ,ಮಾತಿನ ವಿವರಣೆ
ವಜ್ರ ,ಕಠಿಣವಾದ; ನವರತ್ನಗಳಲ್ಲಿ ಒಂದು; ಇಂದ್ರನ ಆಯುಧ; ಸಿಡಿಲು
ವಜ್ರಕವಾಟ ,ತೆಗೆಯಲಾಗದ ಬಾಗಿಲು
ವಜ್ರಕಾಂಡ ,(ಜೈನ) ಚಕ್ರವರ್ತಿಗೆ ಲಭಿಸುವ ಬಿಲ್ಲು
