page,1
ಶಕಟ ,ಬಂಡಿ; ರಥ; ಒಬ್ಬ ರಾಕ್ಷಸ
ಶಕಟಪ್ರಸಂಹಾರ ,"ಶಕಟನನ್ನು ಕೊಂದವನು, ಶ್ರೀಕೃಷ್ಣ"
ಶಕಟವ್ಯೂಹ ,ರಥದ ಆಕಾರದಲ್ಲಿ ಸೇನೆಯನ್ನು ನಿಲ್ಲಿಸುವ ಒಂದು ರಚನೆ
ಶಂಕರಸಖ ,ಕುಬೇರ
ಶಕಲ(ಳ) ,"ಚೂರು, ತುಂಡು"
ಶಂಕಾಕುಲಿ(ಳಿ)ತ ,ಸಂಶಯದಿಂದ ಪೀಡಿತವಾದ
ಶಂಕಾಂತರ ,ಸಂದೇಹ
ಶಂಕಾವಹ ,ಸಂದೇಹವುಂಟುಮಾಡುವ
ಶಂಕಿಸು ,ಸಂಶಯಪಡು
ಶಂಕು ,ಗೂಟ
ಶಕುಂತ ,ಶಕುನದ ಹಕ್ಕಿ
ಶಕುನ(ನಿ) ,ಶಕುಂತ
ಶಕುನಶಾಸ್ತ್ರ ,ಹಕ್ಕಿ; ಭವಿಷ್ಯತ್ತನ್ನು ತಿಳಿಸುವ ಜ್ಞಾನ
ಶಕುಲ(ಳ) ,ಮೀನು
ಶಕ್ತಿ ,ಬಲ; ಒಂದು ಆಯುಧ
ಶಕ್ತಿತ್ರಯ ,"ಪ್ರಭು, ಮಂತ್ರ, ಉತ್ಸಾಹ ಎಂಬ ರಾಜನ ಮೂರು ಬಗೆಯ ಶಕ್ತಿಗಳು"
ಶಕ್ತಿಧರ ,ಕುಮಾರಸ್ವಾಮಿ
ಶಕ್ಯ ,ಸಾಧ್ಯವಾದ
ಶಕ್ಯಾನುಷ್ಠಾನ ,ಅರ್ಥವನ್ನು ತಿಳಿಯುವ ಪ್ರಯತ್ನ
ಶಕ್ರ ,ಇಂದ್ರ
page,2
ಶಕ್ರಗೋಪ ,ಮಿಣುಕು ಹುಳು
ಶಕ್ರಚಾಪ ,ಕಾಮನ ಬಿಲ್ಲು
ಶಕ್ರಧನು ,ಶಕ್ರಚಾಪ
ಶಕ್ರನೃತ್ಯ ,(ಜೈನ) ಜಿನ ಜನ್ಮಾಭಿಷೇಕಕಾಲದಲ್ಲಿ ಸೌಧರ್ಮೇಂದ್ರನು ಮಾಡುವ ಆನಂದನೃತ್ಯ
ಶಕ್ರಾಸ್ತ್ರ ,"ಇಂದ್ರನ ಆಯುಧ, ವಜ್ರ"
ಶಕ್ವರ ,ಗೂಳಿ
ಶಂಖ ,ಪಂಚಮಹಾವಾದ್ಯ;ಗಳಲ್ಲಿ ಒಂದು; ಕುಬೇರನ ನವನಿಧಿಗಲ್ಲಿ ಒಂದು
ಶಂಖಧ್ವಾನ ,ಶಂಖಧ್ವನಿ
ಶಂಖಪ್ರಣಾದ ,ಶಂಖಧ್ವಾನ
ಶಚಿ ,ಇಂದ್ರನ ಪಟ್ಟದರಸಿ
ಶಣ ,ಸಣಬು
ಶತಕ್ರತು ,ನೂರು ಯಜ್ಞ; ಇಂದ್ರ
ಶತಧಾರ ,ನೂರು ಅಲಗುಗಳನ್ನುಳ್ಳುದು; ವಜ್ರಾಯುಧ; ಮೋಡ
ಶತಧೃತಿ ,ಶತಕ್ರತು; ಬ್ರಹ್ಮ
ಶತಧೃತಿಪೌತ್ರ ,"ಬ್ರಹ್ಮನ ಮೊಮ್ಮಗ, ರಾವಣ"
ಶಂತನುಜ ,"ಶಂತನುವಿನ ಮಗ, ಭೀಷ್ಮ"
ಶತಪತ್ರ ,ಕಮಲ
ಶತಪತ್ರನೇತ್ರ ,"ರಾಜೀವಲೋಚನ, ವಿಷ್ಣು"
ಶತಪತ್ರಷಂಡ ,ಕಮಲ ಸರೋವರ
ಶತಮಖ ,ಶತಕ್ರತು
page,3
ಶತಮನ್ಯು ,ಶತಕ್ರತು
ಶತಸಂಕುಲೆ ,(ಜೈನ) ಒಂದು ವಿದ್ಯೆ
ಶತಸಪ್ತತಂತು ,ಶತಕ್ರತು
ಶತಸಹಸ್ರ ,ಒಂದು ಲಕ್ಷ
ಶತಹ್ರದ ,ಮಿಂಚು
ಶತಾಂಗ ,ರಥ
ಶತಾಧ್ವರಿ ,ಶತಕ್ರತು
ಶತಾಂಬಕ ,ಇಂದ್ರ
