page,1
ಷಟ್ಕರ್ಮ ,"ಬ್ರಾಹ್ಮಣನ ಆರು ಕೆಲಸಗಳು: ಅಧ್ಯಯನ, ಅಧ್ಯಾಪನ, ಯಜನ, ಯಾಜನ, ದಾನ, ಪ್ರತಿಗ್ರಹ; (ಜೈನ) ಶ್ರಾವಕನ ಆರು ಕರ್ತವ್ಯಗಳು: ಇಜ್ಯೆ, ವಾರ್ತೆ, ದತ್ತಿ, ಸ್ವಾಧ್ಯಾಯ, ಸಂಯಮ, ತಪ"
ಷಟ್ಕಷಾಯ ,"(ಜೈನ) ಹಾಸ್ಯ, ರತಿ, ಶೋಕ, ಭಯ, ಅರತಿ, ಜುಗುಪ್ಸೆ ಎಂಬ ಆರು ದೋಷಗಳು"
ಷಟ್ಖಂಡ ,(ಜೈನ) ವಿಜಯಾರ್ಧಪರ್ವತದ ಉತ್ತರದಲ್ಲಿ ಗಂಗೆ ಸಿಂಧುಗಳಿಂದ ಬೇರ್ಪಡಿಸಲ್ಟಟ್ಟ ಮೂರು; ಅದಕ್ಕೆ ದಕ್ಷಿಣದಲ್ಲಿರುವ ಮೂರು  ಹೀಗೆ   ಒಟ್ಟು ಆರು ಭೂಭಾಗಗಳು 
ಷಟ್ಚರಣ ,ದುಂಬಿ
ಷಟ್ತರ್ಕ ,"ನ್ಯಾಯ, ವೈಶೇಷಿಕ, ಸಾಂಖ್ಯ, ಯೋಗ, ವೇದಾಂತ, ಪೂರ್ವಮೀಮಾಂಸೆ ಎಂಬ ಆರು ದರ್ಶನಗಳು"
ಷಟ್ತ್ರಿಂಶದ್ಗುಣ ,"(ಜೈನ) ಮುನಿಗಳಲ್ಲಿರಬೇಕಾದ ಮೂವತ್ತಾರು ಮೂಲೋತ್ತರಗುಣಗಳು; ದ್ವಾದಶ ತಪಸ್ಸುಗಳು, ದಶಧರ್ಮಗಳು, ಪಂಚಾಚಾರಗಳು, ತ್ರಿಗುಪ್ತಿಗಳು; ಅವುಗಳನ್ನು ಪಡೆದವನು"
ಷಟ್ಪದ ,ದುಂಬಿ
ಷಟ್ವಕ್ರ ,"ಆಧಾರ, ಸ್ವಾಧಿಷ್ಠಾನ, ಮಣಿಪೂರಕ, ಅನಾಹತ, ವಿಶುದ್ಧ, ಆಜ್ಞಾ"
ಷಂಡ ,ಗುಂಪು; ನಪುಂಸಕ
ಷಂಡಕವೇದ ,(ಜೈನ) ಒಂದು ಬಗೆಯ ನೋಕಷಾಯ
ಷಡಂಗ(ಬಲ) ,"ರಥ, ಆನೆ, ತುರಗ, ಪದಾತಿ, ದಿವಿಜ, ಖೇಚರ ಎಂಬ ಆರು ಬಗೆಯ ಸೇನೆಗಳು"
ಷಡಂಗಸೇನೆ ,ಷಡಂಗ(ಬಲ)
ಷಡಂತರಂಗತಪ ,"(ಜೈನ) ಪ್ರಾಯಶ್ಚಿತ್ತ, ವಿನಯ, ವೈಯಾಪೃತ್ಯ, ಸ್ವಾಧ್ಯಾಯ, ವ್ಯುತ್ಸರ್ಗ, ಧ್ಯಾನಗಳೆಂಬ ಆರು ಅಂತರಂಗದ ತಪಸ್ಸುಗಳು"
ಷಡಭಿಜ್ಞ ,"ದಿವ್ಯದೃಷ್ಟಿ, ದಿವ್ಯಶ್ರುತಿ, ಪೂರ್ವಾನುಸ್ಮೃತಿ, ಪರೇಂಗಿತಜ್ಞಾನ, ಪರೋಕ್ಷವಿಷಯಜ್ಞಾನ, ಗಗನಗಮನಾದಿ ವಿದ್ಯಾಬುದ್ಧಿ ಈ ಆರು         ಶಾಸ್ತ್ರಗಳನ್ನು ಬಲ್ಲವನು; ಬುದ್ಧ; ಬೌದ್ಧಮತೀಯ"
ಷಡಯನ ,ದುಂಬಿ
ಷಡಾವಶ್ಯಕ(ತೆ) ,"(ಜೈನ) ಮುನಿಗಳು ಪ್ರತಿದಿನ ಆಚರಿಸಬೇಕಾದ ಸಾಮಯಿಕ, ತೀರ್ಥಂಕರಸ್ತವ, ಪಂಚಪರಮೇಷ್ಠಿವಂದನ, ಪ್ರತಿಕ್ರಮಣ, ಪ್ರತ್ಯಾಖ್ಯಾನ, ಕಾಯೋತ್ಸರ್ಗ ಎಂಬ ಆರು ಕ್ರಿಯೆಗಳು"
ಷಡ್ಜೀವ ,"(ಜೈನ) ಏಕೇಂದ್ರಿಯ, ದ್ವೀಂದ್ರಿಯ, ತ್ರೀಂದ್ರಿಯ, ಚತುರಿಂದ್ರಿಯ,, ಪಂಚೇಂದ್ರಿಯ ಅಸೈನೀ, ಪಂಚೇಂದ್ರಿಯ ಸೈನೀ ಎಂಬ ಆರು ಬಗೆಯ ಜೀವಿಗಳು"
ಷಡ್ದರ್ಶನ ,"ನ್ಯಾಯ, ವೈಶೇಷಿಕ, ಸಾಂಖ್ಯ, ಯೋಗ, ಪೂರ್ವಮೀಮಾಂಸೆ ಮತ್ತು ಉತ್ತರ ಮೀಮಾಂಸೆಗಳೆಂಬ ಆರು ತಾತ್ವಿಕ ನಿಲವುಗಳು"
ಷಡ್ದ್ರವ್ಯ ,"(ಜೈನ) ಭೌತಿಕ ಜಗತ್ತಿನ ನಿರ್ಮಾಣಕ್ಕೆ ಕಾರಣವಾದ ಆರು ದ್ರವ್ಯಗಳು; ಜೀವ, ಪುದ್ಗಲ, ಧರ್ಮ, ಅಧರ್ಮ, ಆಕಾಶ, ಕಾಲ ಎಂಬಿವು"
ಷಡ್ಬಲ ,"ಷಡಂಗ; ಆರು ಬಗೆಯ ಸೈನ್ಯಗಳು: ಮೌಲ, ಭೃತಕ, ಶ್ರೇಣಿ, ಮಿತ್ರ, ಅಮಿತ್ರ, ಅಟವಿಕ"
page,2
ಷಣ್ಣವತಿ ,ತೊಂಬತ್ತಾರು
