page,1
ಸಃ ,ಅವನು
ಸ(ತ)ದೆ ,"ಬಡಿ, ಚೆಚ್ಚು"
ಸ(ಸಾ)ಯ್ ,ಮರಣಹೊಂದು
ಸ(ಸಾ)ಯ್ ,ಮರಣಹೊಂದು
ಸ(ಸೆ)ಣಂಬು ,ಸಣಬು ಎಂಬ ಗಿಡ
ಸಂಕ ,ಶಂಖ
ಸಕ(ಲ)ಳವಟ್ಟೆ ,ತುಂಡು ಬಟ್ಟೆಯ ಪಟ್ಟಿಗಳು
ಸಂಕಟ ,"ಇಕ್ಕಟ್ಟಾದ, ದಟ್ಟವಾದ; ವ್ಯಥೆ"
ಸಂಕಡಿ ,ಇಕ್ಕಟ್ಟು; ದುಃಖ; ರಿಕಾಪು
ಸಂಕಡಿಗೊಳ್ ,ದುಃಖಪಡು
ಸಂಕಮ ,ಇಂದ್ರ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಸಂಕರಗೊಳ್ ,ಬೆರಕೆ ಹೊಂದು
ಸಂಕರ್ಷಣ ,ಬಲರಾಮ
ಸಕಲ(ಳ) ,ಸಮಗ್ರ
ಸಕಲಂ(ಳಂ)ಕ ,ಚಂದ್ರ
ಸಕಲ(ಳ)ಜ್ಞ ,ಸರ್ವಜ್ಞ
ಸಕಲ(ಳ)ದತ್ತಿ ,(ಜೈನ) ವಂಶದ ಎಲ್ಲವನ್ನೂ ಮಗನಿಗೆ ಕೊಡುವುದು
ಸಕಲ(ಳ)ರ್ತು(ಕ) ,ಎಲ್ಲ ಋತುಗಳು; ಸರ್ವಋತು
ಸಕಲಕಲಾ(ಳಾ)ಧರ ,"ಹದಿನಾರು ಕಳೆಗಳುಳ್ಳವನು, ಹುಣ್ಣಿಮೆ ಚಂದ್ರ"
ಸಕಲಕಲಾಧರೆ ,ಎಲ್ಲ ಕಲೆಗಳನ್ನು ಬಲ್ಲವಳು
page,2
ಸಕಲವ್ಯಾಪಿ ,ಎಲ್ಲೆಡೆ ಹಬ್ಬಿರುವ
ಸಕಲೀಕರಣ ,ಮಂತ್ರದ ತಾಯಿತ ಕಟ್ಟುವುದು (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಸಂಕಲೆ ,ಬೇಡಿ
ಸಂಕಲ್ಪನವಧೆ ,ಪೂರ್ವನಿರ್ಧಾರಿತ ಕೊಲೆ
ಸಂಕಲ್ಪಹಿಂಸೆ ,ಹಿಂಸೆಗೆ ಮಾನಸಿಕ ಒಪ್ಪಿಗೆ
ಸಕಳಕ್ಷಮಾಪತಿತ್ವ ,"ಎಲ್ಲವನ್ನೂ ಕ್ಷಮಿಸುವ; ಭೂಮಿ ಎಲ್ಲದಕ್ಕೂ ಒಡೆತನ, ಚಕ್ರವರ್ತಿತ್ವ"
ಸಂಕಾಶ ,ಸಮೀಪದ; ಹೋಲಿಕೆಯಿರುವ; ಸಮಾನ
ಸಂಕಾಶಿ ,ಹೋಲಿಕೆಯಿರುವುದು
ಸಕಿಂಚನ ,ಪರಮಾವಧಿಯಾಗಿ ಹೊಂದಿದವನು
ಸಂಕೀರ್ಣ ,ಬೆರೆತುಕೊಂಡಿರುವ; ಜಟಿಲವಾದ
ಸಂಕು ,(ಶಂಕು) ಕಠಾರಿ
ಸಂಕುಲ(ಳ) ,ಸಮೂಹ
ಸಕೃತ್ ,ಒಮ್ಮೆ
ಸಂಕೆ ,(ಶಂಕೆ) ಸಂದೇಹ; ಅಂಜಿಕೆ
ಸಂಕೆವೆಱು ,ಸಂದೇಹಪಡು
ಸಂಕೇತ ,"ವ್ಯವಸ್ಥೆ, ಗೊತ್ತುಮಾಡುವಿಕೆ"
ಸಂಕೇತಂಗೊಳಿಸು ,ಸಂಕೇತಸ್ಥಳವನ್ನು ಗೊತ್ತುಮಾಡು
ಸಂಕೇತಸಮಯ ,ಪ್ರೇಮಿಗಳು ಸೇರಲು ಗೊತ್ತುಮಾಡಿದ ಹೊತ್ತು
ಸಂಕೋಚಿಸು ,ಕುಗ್ಗು; ಕುಗ್ಗಿಸು
ಸಕ್ಕ ,"ಕಟವಾಯಿ, ಬಾಯಿಯ ಕೊನೆ"
