page,1
ಹಕ್ಕರಕ್ಕೆ ,ಪಕ್ಷರಕ್ಷೆ
ಹಂಗ ,ಶಕುನದ ಹಕ್ಕಿ
ಹಟತ್ ,ಹೊಳೆಯುವ
ಹಟದ್ರತ್ನ ,"ಹಟತ್+ರತ್ನ, ಹೊಳೆಯುವ ಮಣಿ"
ಹಟದ್ರುಚಿ ,ಹೊಳೆಯುವ ಕಾಂತಿ
ಹಟನ್ನೀರೇಜ ,ಕಾಂತಿಮಯವಾದ ತಾವರೆ
ಹಡಣಿಗಿತ್ತಿ ,ಹಾದರಗಿತ್ತಿ; ಸೂಳೆ
ಹಡಹಾಳಿ ,ಸಂಪಾದಿಸುವವನು
ಹಡಹು ,ಸಂಭೋಗ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಹಣಾಹಣಿ ,ಹಣೆಯಿಂದ ಹಣೆಗೆ ಹೊಡೆದು ಮಾಡುವ ಹೋರಾಟ
ಹತ ,ಭಂಗಗೊಂಡ
ಹತಕ ,ಕೆಟ್ಟವನು
ಹತಕಲ್ಮಷ ,ದೋಷವಿಲ್ಲದ
ಹತದೇಹ ,ಹೊಡೆಯಲ್ಪಟ್ಟ ಶರೀರ
ಹತಪ್ರತಿಜ್ಞ ,ಪ್ರತಿಜ್ಞೆ ನೆರವೇರಿಸಲಾರದವನು
ಹತಪ್ರಭ ,ಪೌರುಷಹೀನ; ಕಾಂತಿಹೀನ
ಹತಭುಜದ್ವಯ ,ಏಟು ಬಿದ್ದ ಎರಡೂ ಕೈಗಳು
ಹತಮತಿ ,ಬುದ್ಧಿಯನ್ನು ಕಳೆದುಕೊಂಡವನು
ಹತವಿತತಕೋಳಾಹಳಂ ,ಏಟುಗಳಿಂದ ಕ್ಷೋಭೆಗೊಳಿಸಿ(ದವನು)
ಹತಿ ,ಹೊಡೆತ; ಕೊಲ್ಲುವಿಕೆ
page,2
ಹಂತಿದಪ್ಪು ,ಸಾಲು ತಪ್ಪು
ಹಂತುಕಾಮ ,ಕೊಲ್ಲಬಯಸುವವನು
ಹದಿ ,ಹೂಳಿರುವುದನ್ನು ಅಗೆದು ತೆಗೆ
ಹದಿಟೆ ,(ಪ್ರತಿಷ್ಠಾ) ನೆಲೆಗೊಳಿಸುವಿಕೆ
ಹಧರಯಪ್ರಿಯ ,ಮನಸ್ಸಿಗೆ ಬೇಕಾದವನು
ಹನನ ,ಕೊಲ್ಲುವಿಕೆ
ಹನಿ ,ತೊಟ್ಟುತೊಟ್ಟಾಗಿ ಬೀಳು
ಹನಿಸು ,ಸುರಿ
ಹನು ,ಕೆನ್ನೆ
ಹನ್ಯತೇ ,ಕೊಲ್ಲಲ್ಪಡುತ್ತಾನೆ
ಹಪ್ಪಳಿಕೆ(ಗೆ) ,ಚಪ್ಪಟೆ
ಹಪ್ಪಳಿಕೆಮೂಗು ,ಚಪ್ಪಟೆ ಮೂಗು
ಹಮ್ಮದ ,ಮೂರ್ಛೆ
ಹಮ್ಮದಂಬೋಗು ,ಮೂರ್ಛೆಗೊಳ್ಳು
ಹಮ್ಮಯಿಸು ,ಹಮ್ಮದಂಬೋಗು
ಹಮ್ಮಯ್ಸು ,ಹಮ್ಮದಂಬೋಗು
ಹಮ್ಮು ,ಹಗ್ಗವನ್ನು ಹೊಸೆ
ಹಯ ,ಕುದುರೆ
ಹಯಖುರ ,ಕುದುರೆಯ ಗೊರಸು
ಹಯಗ್ರೀವ ,ವಿಷ್ಣು; ಈ ಹೆಸರಿನ ಒಬ್ಬ ರಾಕ್ಷಸ
page,3
ಹಯದೞ ,ಕುದುರೆಯ ಪಡೆ
ಹಯಪರಿಕರ ,ಕುದುರೆಗೆ ಹಾಕುವ ಲಗಾಮು
ಹಯಪರ್ಯಾಣ ,ಕುದುರೆಯ ಜೀನು
ಹಯವಲ್ಲನ ,ಕುದುರೆಯ ಒಂದು ಬಗೆಯ ನಡಿಗೆ
ಹಯವೈಹಾಳಿ ,ಕುದುರೆ ಸವಾರಿ
ಹಯವ್ರಾತ ,ಕುದುರೆಗಳ ಗುಂಪು
ಹಯಶಾಸ್ತ್ರ ,ಕುದುರೆಗಳ ಬಗೆಗಿನ ವಿಜ್ಞಾನ
ಹಯಶಿಕ್ಷೆ ,ಕುದುರೆಯನ್ನು ಪಳಗಿಸುವಿಕೆ
ಹಯಶೃಂಗಚಾಪ ,ಕುದುರೆಯ ಕೊಂಬಿನಿಂದ ಮಾಡಿದ ಬಿಲ್ಲು; ಅಸಂಭವವಾದುದು
ಹಯಹೇಷಿತ ,ಕುದುರೆಯ ಕೆನೆತ
ಹಯ್ಯಂಗವೀನ ,ನವನೀತ; ಹೊಸದಾಗಿ ತೆಗೆದ ಬೆಣ್ಣೆ
ಹಯ್ಯಂಗವೀನ ,ಮೂಗಿನ ಮೂಲಕ ಸೇವಿಸುವ ತುಪ್ಪದ ಪಾಕ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಹರಕಲಿಸು ,ವ್ಯಾಪಿಸು
ಹರಗು ,ಕಳೆ ಕೀಳು
ಹರಗುವಾಳ್ ,ಕುಂಟೆಯ ಗುಳ
ಹರಡು ,ಬೆರಳಿನಿಂದ ಕೆದಕು; ಕಾಲಿನ ಹರಡು
ಹರಡೆ ,"ಪರಡೆ, ಕಂಕಪಕ್ಷಿ, ಒಂದು ಬಗೆಯ ನೀರು ಹಕ್ಕಿ"
ಹರಣಂಗೆಯ್ ,ಕೊಲ್ಲು
ಹರಣಭರಣ ,ತೆಗೆದುಕೊಳ್ಳುವುದು; ತುಂಬಿಸುವುದು
ಹರನೇತ್ರ ,ಶಿವನ (ಮೂರನೆಯ) ಕಣ್ಣು
page,4
ಹರಪ್ರಿಯ ,"ಶಿವನ ಆಪ್ತ, ಕುಬೇರ"
ಹರವರಿ ,ಕ್ಷೇತ್ರ
ಹರವಸ ,(ಪರವಶ) ಮೂರ್ಛೆ
ಹರಸಖ ,ಹರಪ್ರಿಯ
ಹರಹಸನ ,ಶಿವನ ಅಟ್ಟಹಾಸ
ಹರಹಾಸ ,ಹರಹಸನ
ಹರಹಾಸದ್ಯುತಿ ,ಶಿವ ನಗೆಯ ಕಾಂತಿ
ಹರಳಿಗ ,ಜಾರ
ಹರಳ್ಚು ,ದೃಷ್ಟಿಗೆ ಅಡ್ಡಿಯುಂಟುಮಾಡು
ಹರಿ ,"ಓಡು, ಪ್ರವಹಿಸು; ಕುದುರೆ; ಸಿಂಹ; ಕೃಷ್ಣ"
ಹರಿಗ ,ಅರಿಕೇಸರಿ; ಅರ್ಜುನ
ಹರಿಗೞ್ತಲೆ ,ಹಬ್ಬಿರುವ ಕತ್ತಲೆ
ಹರಿಚಂದನ ,ಶ್ರೀಗಂಧ
ಹರಿಣ ,ಜಿಂಕೆ
ಹರಿಣಕ್ರೀಡನ ,ಜಿಂಕೆಯಂತೆ ನೆಗೆದಾಡುವ ಒಂದು ಆಟ
ಹರಿಣಧರ ,"ಜಿಂಕೆಯ ಗುರುತನ್ನುಳ್ಳವನು, ಚಂದ್ರ"
ಹರಿಣಧರಹರಿಣ ,ಚಂದ್ರನಲ್ಲಿರುವ ಜಿಂಕೆ
ಹರಿಣನೇತ್ರೆ ,ಹರಿಣಾಕ್ಷಿ
ಹರಿಣರಿಪು ,"ಜಿಂಕೆಯ ವೈರಿ, ಸಿಂಹ"
ಹರಿಣಾಂಕ ,ಹರಿಣಧರ
page,5
ಹರಿಣಾಂಕಮಂಡಲ ,ಚಂದ್ರಮಂಡಲ
ಹರಿಣಾಕ್ಷಿ ,ಜಿಂಕೆಯದರಂತೆ (ಚಂಚಲವಾದ) ಕಣ್ಣುಳ್ಳವಳು
ಹರಿಣಾಜಿನ ,ಜಿಂಕೆಯ ಧರ್ಮ
ಹರಿಣಿ ,ಹೆಣ್ಣು ಜಿಂಕೆ; ಗಿಳಿಹಸುರು ಬಣ್ಣ
ಹರಿಣೀಯೂಥ ,ಜಿಂಕೆಗಳ ಗುಂಪು
ಹರಿಣೇಕ್ಷಣೆ ,ಹರಿಣಾಕ್ಷಿ
ಹರಿತ ,ಹಸಿರು ಬಣ್ಣ(ದ)
ಹರಿತಪರಿವೇಷ ,ಹೊಂಬಣ್ಣದ ಪ್ರಭಾವಲಯ
ಹರಿತಮಣಿ ,ಮರಕತ ಮಣಿ
ಹರಿತಶಿಲೆ ,ಪಚ್ಚೆಯ ಬಂಡೆ
ಹರಿತಾಂಕುರ ,ಎಳೆಯ ಗರಿಕೆ
ಹರಿತಾಲ ,ಹಸಿರು ಪಾರಿವಾಳ
ಹರಿತ್ಪ್ರದೇಶ ,ಹುಲ್ಲುಗಾವಲು
ಹರಿದಶ್ವ ,"ಹಸಿರು ಬಣ್ಣದ ಕುದುರೆಯವನು, ಸೂರ್ಯ"
