page,1
ಅಂಗಡ,"ಜಾನುವಾರುಗಳ ಕೊರಳಿಗೆ ಕಟ್ಟುವ ದಪ್ಪನೆಯ ಹಗ್ಗದ ಸಲಕರಣೆ. ಈ ಹಗ್ಗವು ಸುಮಾರು ಒಂದೂವರೆಯಿಂದ ಎರಡಿಂಚು ಸುತ್ತಳತೆ/ದಪ್ಪಗಿರುತ್ತದೆ. ಹಗ್ಗವನ್ನು ಚರ್ಮ, ರಕ್ಕಸಬಳ್ಳಿಯ ನಾರು, ಪುಂಡೆನಾರುಗಳಿಂದ ಹೆಣೆದು/ಹೊಸೆದು ತಯಾರಿಸಿ ಕೊಳ್ಳುತ್ತಾರೆ. ಎತ್ತುಗಳ ಕೊರಳ ಕೆಳಭಾಗಕ್ಕೆ ಸರಿಹೊಂದುವಂತೆ ಅಂಗ್‌ಡಾದ ನಿರ್ದಿಷ್ಟ ಜಾಗದಲ್ಲಿ ಹೆಗ್ಗೆಜ್ಜೆಯೊಂದನ್ನು ಕಟ್ಟುತ್ತಾರೆ. ಕೆಲವೊಂದು ಅಂಗ್‌ಡಾಗಳಲ್ಲಿ ಇಂಥ ಮೂರು ಹೆಗ್ಗೆಜ್ಜೆಗಳನ್ನು ಪೋಣಿಸಿ ಅಂಗ್‌ಡಾವನ್ನು ನಿರ್ಮಾಣ ಮಾಡುತ್ತಾರೆ. ಅಂಗ್‌ಡಾಗಳನ್ನು ವಿಶೇಷ ಕೈಚಳಕದಿಂದ ವಿಭಿನ್ನ ವಿನ್ಯಾಸಗಳಲ್ಲಿ ರಚಿಸುವುದೂ ಇದೆ. ಚರ್ಮದ ಮಿಣಿಗಳು ಇದಕ್ಕೆ ಹೆಚ್ಚು ಸೂಕ್ತವಾಗಿದೆ. ಇತ್ತೀಚೆಗೆ ನೈಲೋನ್ ಹಗ್ಗಗಳನ್ನು ಬಳಸಿಯೂ ಅಂಗ್‌ಡಾಗಳನ್ನು ರಚಿಸುತ್ತಾರೆ. ಎಮ್ಮೆ, ಕೋಣಗಳ ಚರ್ಮವು ಬಳಕೆಯಾಗುತ್ತಿದ್ದು ಅಂಥ ಅಂಗ್‌ಡಾಗಳನ್ನು ಮಾದಾರರು ನಿರ್ಮಿಸಿಕೊಡುತ್ತಾರೆ. ಚರ್ಮದ ಮಿಣಿಗಳ ದೀರ್ಘ ಬಾಳಿಕೆಗಾಗಿ ವರ್ಷಕ್ಕೆ ಒಂದು ಬಾರಿ ಎಣ್ಣೆಯಲ್ಲಿ ಮುಳುಗಿಸಿ ಸಂರಕ್ಷಿಸುತ್ತಾರೆ.
ಜಾನುವಾರುಗಳನ್ನು ನಿಯಂತ್ರಿಸುವುದಕ್ಕೆ ಅಂಗ್‌ಡಾಗಳು ಬಳಕೆಯಾಗುತ್ತವೆ. ಅವುಗಳನ್ನು ಒಂದೆಡೆಯಿಂದ ಇನ್ನೊಂದೆಡೆಗೆ ಒಯ್ಯುವಾಗ, ಗೂಟಕ್ಕೆ ಕಟ್ಟುವಾಗ, ಉಳುಮೆ ಮಾಡುವಾಗ ಅಂಗ್‌ಡಾಗಳು ಉಪಯೋಗಕ್ಕೆ ಬರುತ್ತವೆ. ಉಳುಮೆ ಮಾಡುವಾಗ ಅಂಗ್‌ಡಾಕ್ಕೆ ಒಂದು ಹಗ್ಗವನ್ನು ಕಟ್ಟಿ ಉಳುಮೆ ಮಾಡುವವನು ಅದನ್ನು ಬೇಕಾದಂತೆ ಬಳಸಿಕೊಂಡು ಎತ್ತನ್ನು ನಿಯಂತ್ರಿಸುತ್ತಾನೆ. ಅಂಗ್‌ಡಾಗಳಲ್ಲಿನ ಹೆಗ್ಗೆಜ್ಜೆಗಳ ಶಬ್ದವು ಜಾನುವಾರುಗಳಿಗೆ ಉಪಟಳ ಕೊಡುವ ಕ್ರಿಮಿಕೀಟಗಳು, ಹುಳ ಹುಪ್ಪಟೆಗಳನ್ನು ದೂರ ಮಾಡುತ್ತವೆ ಎಂಬ ನಂಬುಗೆಯಿದೆ."
ಅಂಗೂಟ,ಲಂಬಾಣಿಗರು ಉಂಗುರವನ್ನೆ ತಮ್ಮ ಭಾಷೆಯಲ್ಲಿ ಅಂಗೂಟ ಎನ್ನುತ್ತಾರೆ. ಇದನ್ನು ಲಂಬಾಣಿ ಸ್ತ್ರೀಯರು ತಮ್ಮ ಎಡಗೈಯ ಮಧ್ಯ ಬೆರಳಿಗೆ ತೊಡುತ್ತಾರೆ. ಗೌರಿ ಹುಣ್ಣಿಮೆಯಲ್ಲಿ ಇವರು ಮಾಡುವ ಸಾಂಪ್ರದಾಯಿಕ ನೃತ್ಯದಲ್ಲಿ ಇದನ್ನು ವಿಶೇಷವಾಗಿ ಧರಿಸುವ ಸಂಪ್ರದಾಯವಿದೆ. ಅಂಗೂಟ ಆಲಂಕಾರಿಕವಾಗಿ ನಿರ್ಮಿತವಾಗಿದೆ. ಅಂಗೂಟದಲ್ಲಿ ಉಂಗುರ ಭಾಗವು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಬೆರಳಿನ ಉದ್ದಕ್ಕೂ ಚಾಚಿ ಅಲ್ಲಿ ಮೂರು ಪುಟ್ಟ ಕಳಸ ಗಳ ಆಕಾರಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ. ಈ ಚಾಚು ಸುಮಾರು ಎರಡು ಇಂಚು ಉದ್ದವಿರುತ್ತದೆ. ಅಂಗೂಟವನ್ನು ಸೀಮೆಬೆಳ್ಳಿ/ಬೆಟ್ಟೆಬೆಳ್ಳಿಯಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಇದರ ಬಳಕೆ ಇತ್ತೀಚಿಗೆ ಕಡಿಮೆಯಾಗುತ್ತ ಬರುತ್ತಿದೆ.
ಅಟ್ಟ/ಮ್ಯಾಟ,"ಭತ್ತ, ರಾಗಿ, ಜೋಳ ಮುಂತಾದವನ್ನು ಒಕ್ಕಣೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಧಾನ್ಯಗಳನ್ನು ತೂರಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಮೂರು ಇಂಚು ದಪ್ಪದ ಹಲಗೆ. ಸುಮಾರು ಮೂರು ಅಡಿ ಉದ್ದವಿದ್ದು ಒಂದೂವರೆ ಅಡಿ ಅಗಲವಿರುತ್ತದೆ. ಹಲಗೆಯ ಸುಮಾರು ಮಧ್ಯಭಾಗದಲ್ಲಿ ಐದು ಇಂಚು ವ್ಯಾಸದ ಮೂರು ರಂಧಗಳಿವೆ. ಈ ರಂಧ್ರಗಳಿಗೆ ಸುಮಾರು ಹತ್ತರಿಂದ ಹನ್ನೆರಡು ಇಂಚು ವ್ಯಾಸದ ಮೂರು ಮರದ ತುಂಡುಗಳನ್ನು ಜೋಡಿಸಿ ಕಣದಲ್ಲಿ ನಿಲ್ಲಿಸುತ್ತಾರೆ. ಅಟ್ಟದ ಮೇಲೆ ನಿಂತುಕೊಂಡು ಧಾನ್ಯಗಳನ್ನು ತೂರುತ್ತಾರೆ. ಸಾಗುವಾನಿ ಮುಂತಾದ ಮರಗಳಿಂದ ಅಟ್ಟವನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ."
ಅಡಕತ್/ಅಡಕತ್ತರಿ,"ಅಡಿಕೆಯನ್ನು ತಮ್ಮ ಅನುಕೂಲಕ್ಕೆ ತಕ್ಕಂತೆ ಕತ್ತರಿಸಿಕೊಳ್ಳುವುದಕ್ಕೆ ಬಳಸುವ ಸಾಧನ. ಸಾಮಾನ್ಯವಾಗಿ ಇದರ ಮುಂಭಾಗವು ಗಿಳಿ ಕೊಕ್ಕಿನ ಆಕಾರದಲ್ಲಿರುತ್ತದೆ. ಅಡಕತ್‌ಗಳ ಗಾತ್ರದಲ್ಲಿ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸವಿದೆ. ಸುಮಾರು ಹದಿನೈದು ಇಂಚು ಉದ್ದ ನಾಲ್ಕು ಇಂಚು ಅಗಲದಿಂದ ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಉದ್ದ ಒಂದು ಇಂಚು ಅಗಲದ ಅಡಕತ್‌ಗಳಿವೆ. ದೊಡ್ಡ ಗಾತ್ರದ ಅಡಕತ್‌ಗಳನ್ನು ಅಂಗಡಿಗಳಲ್ಲಿ ವ್ಯಾಪಾರಸ್ಥರು ಹೆಚ್ಚಾಗಿ ಬಳಸುತ್ತಾರೆ. ಅಡಕತ್‌ನ ಬುಡದಲ್ಲಿನ ಸರಳವಾದ ದಪ್ಪ ತಗಡಿನ ಎರಡು ತುದಿಗಳು ಹಿಡಿಕೆಯಾಗಿ ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದೇ ತಗಡಿನಲ್ಲಿ ಹಿಡಿಯನ್ನುಳಿದಂತೆ ಉಳಿದ ಭಾಗವು ಅಲಗನ್ನು ಹೊಂದಿದೆ. ಇದು ಮತ್ತು ಬುಡದಲ್ಲಿ ಹಿಡಕೆಯಾಗಿರುವ ಇನ್ನೊಂದು ತಗಡು ಅಲಗಿನಡಿಗೆ ಸಮಾಂತರವಾಗಿ ಮುಂದುವರೆದು ಕೆಳಭಾಗದ ಅಲಗಿನ ತಗಡಿನೊಂದಿಗೆ ಮೊಳೆಯೊಂದರಿಂದ ಜೋಡಣೆಯಾಗುತ್ತದೆ.
ಅತ್ಯಂತ ಚಿಕ್ಕ ಅಡಕತ್‌ಗಳನ್ನು ವ್ಯಕ್ತಿಗಳು ತಮ್ಮ ಜೇಬಿನಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳುತ್ತಾರೆ. ಉತ್ತರ ಕರ್ನಾಟಕದ ಕುರಿಗಾರರಲ್ಲಿ ಅಡಕತ್‌ನ್ನು ಕಿಸೆಯಲ್ಲಿಟ್ಟುಕೊಂಡು ಬಳಸುವ ರೂಢಿಯಿದೆ. ಮನೆಯಲ್ಲೂ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಮನೆಯಲ್ಲಿ ಸುಮಾರು ಐದರಿಂದ ಆರು ಇಂಚು ಉದ್ದದ ಸುಮಾರು ಎರಡರಿಂದ ಮೂರು ಇಂಚು ಅಗಲದ ಅಡಕತ್‌ಗಳನ್ನು ಬಳಸುತ್ತಾರೆ. ಅಡಕತನ್ನು ಕಬ್ಬಿಣ, ಕಂಚುಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ಅಡಿಕೆ ಬುಟ್ಟಿ,"ಅಡಿಕೆ ಬೆಳೆಯುವ, ಎಲೆ ಅಡಿಕೆ ಹಾಕಿಕೊಳ್ಳುವವರು ಅಡಿಕೆಯನ್ನು ಸಂಗ್ರಹಿಸಿಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುವ ಬುಟ್ಟಿ. ಇದು ಸುಮಾರು ೧೦ ಇಂಚು ಎತ್ತರವಾಗಿದ್ದು, ಸುಮಾರು ೪ ಇಂಚು ವ್ಯಾಸವನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಇದನ್ನು ಬೆತ್ತದ ಸಣ್ಣ ಸಣ್ಣ ಅಚ್ಚೆ (ಸೀಳು)ಯಿಂದ ಹೆಣೆದಿರುತ್ತಾರೆ. ಅಡಿಕೆಯನ್ನು ಸಣ್ಣ ಸಣ್ಣ ಚೂರುಗಳಾಗಿ ಕತ್ತರಿಸಿ ತಮ್ಮ ಉಪಯೋಗಕ್ಕೆ ಎಷ್ಟು ಬೇಕೋ ಅಷ್ಟನ್ನು ಸಂಗ್ರಹಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಅಲ್ಲದೆ ಬೆತ್ತದ ಬುಟ್ಟಿಯಲ್ಲಿ ಎಲೆ, ಸುಣ್ಣದ ಡಬ್ಬಿ, ಕೊಬ್ಬರಿ ಚೂರು, ಏಲಕ್ಕಿ, ಲಾವಂಗ ಹಾಗೂ ತಂಬಾಕು ಇತ್ಯಾದಿ ತಾಂಬೂಲದ ಪರಿಕರಗಳು ಇರುತ್ತವೆ."
ಅಡಿಗಲ್ಲು/ಸೋರೆ ಬಡೆಯುವ ಕಲ್ಲು,ಕುಂಬಾರರು ತಿಗರಿ ಚಕ್ರದಲ್ಲಿ ಗಡಿಗೆಯನ್ನು ತಯಾರಿಸಿ ಹೊರತೆಗೆದ ನಂತರ ಅದನ್ನು ತೆಳುಮಾಡುವುದಕ್ಕಾಗಿ ಬಳಸುವ ಕಲ್ಲಿನ ಸಾಧನ. ಇದರ ಕೆಳಭಾಗ ಚಪ್ಪಟೆಯಾಗಿದ್ದು ನಯವಾಗಿದೆ. ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಿಡಿದುಕೊಳ್ಳಲು ಹಿಡಿಯನ್ನು ಹೊಂದಿದೆ. ತಿಗರಿಯಿಂದ ತೆಗೆದ ಗಡಿಗೆಯನ್ನು ತೆಳುಮಾಡುವಾಗ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಸೊಳದಿಂದ ಗಡಿಗೆಯನ್ನು ಬಡಿದರೆ ಅಲ್ಲೇ ಒಳಭಾಗದಲ್ಲಿ ಎಡಗೈಯಲ್ಲಿ ಈ ಕಲ್ಲನ್ನು ಉಪಯೋಗಿಸುತ್ತಾರೆ. ಇದರ ಸ್ವರೂಪಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸ ಕಂಡು ಬರುತ್ತದೆ.
ಅಡ್ಡಣಿಗೆ,ಊಟ ಮಾಡುವಾಗ ತಟ್ಟೆಯನ್ನು ಅಗತ್ಯ ಎತ್ತರದಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳುವುದಕ್ಕೆ ಅನುಕೂಲವಾಗುವಂತೆ ಬಳಸಿಕೊಳ್ಳುವ ಸಾಧನ. ಮರದಿಂದ ನಿರ್ಮಾಣಗೊಂಡ ಅಡ್ಡಣೆಗೆಯು ತಟ್ಟೆ ಇಟ್ಟುಕೊಳ್ಳುವ ಭಾಗದಲ್ಲಿ ವೃತ್ತಾಕಾರದ/ಚೌಕಾಕಾರದ ಹಲಿಗೆಯನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಕಬ್ಬಿಣದ್ದಾದರೆ ವೃತ್ತಾಕಾರದ ಪಟ್ಟಿಯನ್ನಷ್ಟೇ ಹೊಂದಿರುತ್ತದ. ಎರಡರಲ್ಲೂ ಮೂರು ಮೂರು ಕಾಲುಗಳಿರುತ್ತವೆ. ಅಡ್ಡಣಿಗೆಯನ್ನು ಮನೆಯ ಯಜಮಾನನಿಗಷ್ಟೆ ಬಳಸಿಕೊಳ್ಳುವ ಆದ್ಯತೆ ಇತ್ತು. ಈಗ ಅಡ್ಡಣಿಗೆಯ ಬಳಕೆ ಅಪರೂಪವಾಗಿದೆ.
ಅರ,"ಇದು ಮೊಂಡಾಗಿರುವ ಹಾಗೂ ಹೊಸದಾಗಿ ತಯಾರಿಸಿರುವ ಆಯುಧಗಳನ್ನು ಚೂಪುಗೊಳಿಸುವ/ಹರಿತಗೊಳಿಸುವ ಕಬ್ಬಿಣದ ಸಲಕರಣೆ. ಸುಮಾರು ನಾಲ್ಕರಿಂದ ಐದು ಇಂಚು ಉದ್ದದ, ಉಕ್ಕಿನಿಂದ ತಯಾರಿಸಲಾದ ಅರವು ಸುತ್ತಲೂ ಒಂದು ಇಂಚು ಅಗಲವಾಗಿದ್ದು ತ್ರಿಭುಜಾಕೃತಿಯಲ್ಲಿರುತ್ತದೆ. ಇದಕ್ಕೆ ಅರ್ಧ ಅಡಿ ಉದ್ದದ ಹಿಡಿಕೆ ಇರುತ್ತದೆ. ಕೃಷಿ, ಕಮ್ಮಾರಿಕೆ ಮತ್ತು ಇತರ ವೃತ್ತಿಗಳವರ ಸಲಕರಣೆಗಳಾದ ಕುಡುಗೋಲು, ಚಾಕು, ಕೊಡಲಿ, ಬಾಚಿ, ಗರಗಸ ಇತ್ಯಾದಿ ವಸ್ತುಗಳ ಅಲಗನ್ನು ಹರಿತಗೊಳಿಸಲು ಇದನ್ನು ಬಳಸಲಾಗುತ್ತದೆ. ಸಲಕರಣೆಗಳನ್ನು ಸಾಣೆ ಹಿಡಿಯುವ ಯಂತ್ರಗಳು ಬಂದಿವೆಯಾದರೂ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿಲ್ಲ. ಗರಗಸದ ಹಲ್ಲುಗಳನ್ನು ಹರಿತಗೊಳಿಸಲು ಅರ ಅಗತ್ಯ."
ಅರನಾಳಿಗೆ/ಹೊರನಳಿಗೆ,"ಮಾಳಿಗೆ ಮನೆಗಳ ಮಾಡಿನ ಮಳೆ ನೀರು ಎಲ್ಲಾ ಕಡೆ ಕೆಳಗಿಳಿಯದೆ ನಿರ್ದಿಷ್ಟವಾದ ಸ್ಥಳದಲ್ಲಷ್ಟೇ ಕೆಳಬೀಳುವಂತೆ ಜೋಡಿಸುವ ನಳಿಗೆ. ಇದು ಸುಮಾರು ಎರಡು ಅಡಿಯಿಂದ ನಾಲ್ಕು ಅಡಿ ಉದ್ದ ಮತ್ತು ಸುಮಾರು ಐದು ಇಂಚು ಸುತ್ತಳತೆ ಇರುತ್ತದೆ.. ಇದು ಹೆಸರೇ ಹೇಳುವಂತೆ ಒಳಗೆ ಟೊಳ್ಳಾದ ಕೊಳವೆ/ನಳಿಗೆ. ಇದನ್ನು ಆವೆಮಣ್ಣಿನಿಂದ ನಿರ್ಮಿಸಿ, ಸುಟ್ಟು ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಪ್ಲಾಸ್ಟಿಕ್‌ಪೈಪುಗಳು ಬಂದ ಬಳಿಕ ಇವು ಕಣ್ಮರೆಯಾಗುತ್ತಿವೆ. ಈಗಿನ ಕಾಂಕ್ರೀಟ್ ಮನೆಗಳಲ್ಲಿ ಇದರ ಬಳಕೆ ಇಲ್ಲದ್ದು ಮರೆಯಾಗಲು ಇನ್ನೊಂದು ಕಾರಣವಾಗಿದೆ."
