page,1
ಕಡಬತ್ ಕಲ್ಲು,"ಕಾರ, ಹಿಂಡಿ (ಒಂದು ತೆರನ ಚಟ್ನಿ) ಮಸಾಲೆ, ಕಷಾಯಹುಡಿ, ಚಟ್ನಿ ಮುಂತಾದವುಗಳನ್ನು ಅರೆಯಲು, ಕುಟ್ಟಲು ಬಳಸುವ ಪರಿಕರ. ಇದು ಒಂದು ಚಿಕ್ಕ ದೋಣಿಯಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಒಂದು ಅಡಿ ಉದ್ದ ಅರ್ಧ ಅಡಿ ಎತ್ತರವಿರುತ್ತದೆ. ಕಡಬತ್ ಕಲ್ಲುಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಈ ಕಲ್ಲಿನಿಂದ ಮಸಾಲೆ ಅರೆದು ಸಾಂಬಾರು ಮಾಡಿದರೆ ಬಹಳ ರುಚಿಯಾಗಿರುತ್ತದೆ ಹಾಗೂ ಹೆಚ್ಚುಕಾಲ ಕೆಡದಂತೆ ಇರತುತದೆ ಎನ್ನವುದು ಜನಪದರ ಅನುಭವ. ಗ್ರಾಮೀಣ ಪ್ರದೇಶದ ಜನರು ಇಂದಿಗೂ ಈ ಕಲ್ಲಿನಲ್ಲೇ ಕಾರ, ಮಸಾಲೆ ಅರೆಯುತ್ತಾರೆ. ಬಳಪದ ಕಲ್ಲಿನಿಂದ ಇದನ್ನು ತಯಾರಿಸುತ್ತಾರೆ."
ಕಡೆಗೋಲು/ ಮಂತು,"ಮೊಸರು ಕಡೆಯಲು ಸಾರ್ವತ್ರಿಕವಾಗಿ ಬಳಸುವ ಸಾಧನ. ಕಡೆಯುವ (ಮೊಸರನ್ನು) ಕೋಲು ಎಂಬುದೇ ಕಡೆಗೋಲು ಎಂದು ಸ್ವರೂಪ ಪಡೆಯಿತು. ಇದರಲ್ಲಿ ಮೊಸರನ್ನು ಕಡೆಯುವ ಮುದ್ದೆ/ಗಡ್ಡೆಯು ಮೂರು ಕಿರು ಹಂತಗಳಲ್ಲಿ ಎಸಳೆಸಳಾಗಿ ವಿನ್ಯಾಸಗೊಂಡಿರುತ್ತದೆ. ಮರದ ಒಂದೇ ತುಂಡಿನಿಂದ ಕಡೆಗೋಲನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಕಡೆಗೋಲು ಮುದ್ದೆಯನ್ನು ತಯಾರಿಸಿ ಹಿಡಿಕೆಯನ್ನು ಜೋಡಿಸುವ ಕ್ರಮವೂ ಇದೆ. ಈ ಹಿಡಿಕೆ ಕೂಡ ಎರಡು ಅಂಗೈಗಳ ನಡುವೆ ಇರಿಸಿ ಅತ್ತಿತ್ತ ತಿರುಗಿಸುವಾಗ ಜಾರದಂತೆ ಹಿಡಿತಯನ್ನು ಉಳಿಸಿಕೊಳ್ಳುವ ತೆರನ ವಿನ್ಯಾಸವುಳ್ಳದ್ದು. ಕಡೆಗೋಲುಗಳು ವಿಭಿನ್ನ ಗಾತ್ರಗಳಲ್ಲಿರುತ್ತವೆ. ಸಣ್ಣ ಪ್ರಮಾಣದ ಅಂದರೆ ಸುಮಾರು ಎರಡು ಲೀಟರ್‌ನಷ್ಟು ಮೊಸರನ್ನು ಸಣ್ಣ ಕಡೆಗೋಲಿನಿಂದ ಕಡೆಯಬಹುದು. ಇಂಥ ಕಡೆಗೋಲಿನ ಬೊಡ್ಡೆಯು ಸುಮಾರು ಎಂಟರಿಂದ ಹತ್ತು ಇಂಚುಗಳ ಸುತ್ತಳತೆಯದಾಗಿದ್ದು ಹಿಡಿಕೆಯು ಸುಮಾರು ಒಂದರಿಂದ ಒಂದೂವರೆ ಅಡಿ ಎತ್ತರವಿರುತ್ತದೆ. ಇನ್ನೂ ಹೆಚ್ಚು ಪ್ರಮಾಣದ ಮೊಸರನ್ನು ಕಡೆಯಲು ಮಧ್ಯಮ ಗಾತ್ರದ ಕಡೆಗೋಲು ಬಳಕೆಯಾಗುತ್ತದೆ. ಮೊಸರಿನ ಪ್ರಮಾಣವೂ ತುಂಬ ಹೆಚ್ಚಾಗಿದ್ದಾಗ ಅದನ್ನು ಸುಮಾರು ನಾಲ್ಕು ಅಡಿ ಎತ್ತರದ ಬಿದಿರ ಅಂಡೆ/ಮರ ಅಥವಾ ಲೋಹದ ಪಾತ್ರೆಗಳಲ್ಲಿ ಹಾಕಿ ಬೃಹತ್ ಗಾತ್ರದ ಕಡೆಗೋಲಿನಿಂದ ನಿಂತುಕೊಂಡು ಕಡೆಯಲಾಗುತ್ತದೆ. ಇಂಥ ಕಡೆಗೋಲುಗಳ ಬೊಡ್ಡೆಯು ಸುಮಾರು ಒಂದರಿಂದ ಒಂದೂವರೆ ಅಡಿಗಳಷ್ಟು ಸುತ್ತಳತೆಯದಾಗಿದ್ದು ಅದರ ಹಿಡಿಕೆಯು ಸುಮಾರು ಐದು ಅಡಿಗಳಷ್ಟು ಉದ್ದವಿರುತ್ತದೆ.
ಕಡೆಗೋಲನ್ನು ವಿಶಿಷ್ಟ ಜಾತಿಯ ಮರಗಳಿಂದ ನಿರ್ಮಿಸುತ್ತಾರೆ. ಸಾಮಾನ್ಯವಾಗಿ ತೇಗ, ಹಲಸು ಮುಂತಾದ ಮರಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ. ಮಂತಿನ ರಚನೆಯಲ್ಲೂ ಬಡಗಿಗಳು ಕಾಷ್ಟ ಕೌಶಲವನ್ನು ತೋರುವುದಿದೆ. ಇದರ ಗಡ್ಡೆಯ ಎಸಳುಗಳು ಸಮ ಸಂಖ್ಯೆಯಲ್ಲೆ ಇರುತ್ತವೆ. ಮೊಸರು ಕಡೆಯಲು ಯಂತ್ರಗಳು ಬಂದ ಬಳಿಕ ಪಾರಂಪರಿಕ ಕಡೆಗೋಲುಗಳು ವಸ್ತು ಸಂಗ್ರಹಾಲಯದ ಸಾಧನಗಳಾಗಿ ತಮ್ಮ ಜಾಗವನ್ನು ತೆರವು ಮಾಡುತ್ತಿವೆ. ಜತೆಗೆ, ಮುಂಜಾನೆಯ ತಂಪು ಹೊತ್ತಿನಲ್ಲಿ ಮೊಸರು ಕಡೆಯುತ್ತ ಜನಪದ ಮಹಿಳೆಯರು ಹಾಡಿಕೊಳ್ಳುತ್ತಿದ್ದ ಉದಯರಾಗ/ಜನಪದ ಹಾಡುಗಳೂ ಮರೆಯಾಗುತ್ತಿವೆ."
ಕತ್ತಿ,"ಎಮ್ಮೆ ಕೋಣಗಳ ಮೈಯ ಕೂದಲನ್ನು ಹೆರೆಯಲು ಬಳಸುವ ಕಿರುಗತ್ತಿ. ಇದರಲ್ಲಿ ಹಿಡಿಕೆಯು ಮರದ್ದಾಗಿದ್ದು ಕತ್ತಿಯು ಕಬ್ಬಿಣದಿಂದ ನಿರ್ಮಿತವಾಗಿದೆ. ಒಟ್ಟು ಉದ್ದ ಸುಮಾರು ಹತ್ತು ಇಂಚು. ಕತ್ತಿಯ ಅಲಗು ಕಬ್ಬಿಣದ ತೆಳುತಗಡಿನಿಂದ ರಚಿತವಾಗಿದೆ. ಎಮ್ಮೆ ಕೋಣಗಳ ಕೂದಲುಗಳನ್ನು ಹೆರೆಯದಿದ್ದರೆ. ಅದರಲ್ಲಿ ಕ್ರಿಮಿ-ಕೀಟ-ಹೇನುಗಳು ತುಂಬುವುದಲ್ಲದೆ ಕೊಳೆ, ಕೆಸರು ಕೂಡ ತುಂಬುತ್ತದೆ. ಇದರಿಂದ ಅವಕ್ಕೆ ಅಸ್ವಸ್ಥತೆಯುಂಟಾಗುತ್ತದೆ ಮತ್ತು ಕೊಳಕಾಗಿರುತ್ತವೆ. ಇದನ್ನು ನಿವಾರಿಸಲು ಕತ್ತಿಯ ಬಳಕೆ ಪಶುಪಾಲಕರಿಗೆ ತುಂಬ ಅಗತ್ಯ."
ಕದರು,ನೆಲಬಾವಿಯಿಂದ ಎತ್ತುಗಳ ಮೂಲಕ ಕಪ್ಲಿ ಹೊಡೆದು ನೀರನ್ನು ಮೇಲೆತ್ತಲು ಬಳಸುವ ಮತ್ತೊಂದು ಸಾಧನ. ಇದು ಸುಮಾರು ಮೂರು ಅಡಿ ಉದ್ದದ ಕಂಭಾಕಾರದಲ್ಲಿದ್ದು ಒಂದು ಅಡಿ ಸುತ್ತಳತೆ ಇರುತ್ತದೆ. ಇದರ ಎರಡು ತುದಿಗಳಲ್ಲಿ ಸುಮಾರು ಅರ್ಧ ಅಡಿ ಉದ್ದದ ಕಬ್ಬಿಣದ ಸರಳನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಕಂಭಾಕಾರದ ಮಧ್ಯಭಾಗದಲ್ಲಿ ಸುತ್ತಲೂ ತಿರುಪಿನಾಕಾರದಲ್ಲಿ ಕೊರೆದು ಅದರ ಮೂಲಕ ಹೂಟೆ ಹಗ್ಗವು ಸಲೀಸಾಗಿ ತಿರುಗಲು ಅನುವಾಗುವಂತೆ ರಚನೆ ಇರುತ್ತದೆ. ಕದರನ್ನು ಹುಣಸೆ ಮರದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಕಪ್ಲಿಬಾವಿಗಳು ವಿರಳವಾಗಿರುವುದರಿಂದ ಈಗ ಇವುಗಳ ಬಳಕೆ ನಿಂತು ಹೋಗುವ ಸ್ಥಿತಿಯಲ್ಲಿದೆ.
ಕಂದ್ಲಿ,"ಹೊಲಗದ್ದೆಗಳ ಬದುಗಳಲ್ಲಿ ಬೆಳೆದ ಮರಗಿಡಗಳ ರೆಂಬೆ ಕೊಂಬೆಗಳನ್ನು ಕಡಿಯಲು, ಸೌದೆ ಕಡಿಯಲು, ಮನೆಗಳಲ್ಲಿ ಮಾಂಸ ತುಂಡರಿಸಲು ಬಳಕೆ ಮಾಡುತ್ತಾರೆ. ಒಂದು ಅಡಿ ಉದ್ದವಿದ್ದು ಮುಂಭಾಗ ಸ್ವಲ್ಪ ಬಾಗಿರುತ್ತದೆ. ಇದನ್ನು ಕಬ್ಬಿಣದಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ. ಕೊಡ್ಲಿ ಮತ್ತು ಮಚ್ಚುಗಳಿಂದ ಮಾಡುವ ಕೆಲಸಗಳನ್ನೂ ಈ ಆಯುಧದಿಂದ ಮಾಡುತ್ತಾರೆ."
ಕನ್ನಡಿ ಪೆಟ್ಟಿಗೆ,"ಮನೆಗಳಲ್ಲಿ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸುತ್ತಿದ್ದ ವಿಶೇಷ ವಸ್ತು/ಸಾಧನ. ಸಾಮಾನ್ಯವಾಗಿ ಒಂದರಿಂದ ಒಂದೂವರೆ ಅಡಿ ಅಗಲ, ಎರಡರಿಂದ ಎರಡೂವರೆ ಅಡಿ ಎತ್ತರದಲ್ಲಿರುತ್ತದೆ. ಹಗುರವಾದ ಮರದಿಂದ ತಯಾರಿಸಿದ ಈ ಪೆಟ್ಟಿಗೆಗೆ ಕನ್ನಡಿ ಗಾಜನ್ನು ಅಳವಡಿಸಿದ್ದಾರೆ. ಕೆಳಭಾಗದಲ್ಲಿ ಒಂದು ಪೆಟ್ಟಿಗೆಯನ್ನು ತಯಾರಿಸಿ ಅದರಲ್ಲಿ ಕುಂಕುಮ, ತಲೆಗೆ ಹಾಕುವ ಎಣ್ಣೆ, ಬಾಚಣಿಗೆ, ಸುಗಂಧ ದ್ರವ್ಯಗಳು ಮುಂತಾದವನ್ನು ಇಟ್ಟಿರುತ್ತಾರೆ. ತಲೆಬಾಚಿಕೊಳ್ಳಲು ಕೂಡ ಬಳಕೆಯಾಗುತ್ತದೆ. ಹೆಣ್ಣುಮಕ್ಕಳು ಅಲಂಕಾರ ಮಾಡಿಕೊಳ್ಳಲು ಈ ಕನ್ನಡಿ ಪಟ್ಟಿಗೆಯನ್ನು ಉಪಯೋಗಿಸುತ್ತಾರೆ."
ಕರ್ಜಿಕಾಯಿ ಒತ್ತೊಳ್ಳು,"ಹಬ್ಬ ಹರಿದಿನ, ಜಾತ್ರೆ, ಉತ್ಸವ, ಮದುವೆ, ಮುಂಜಿಗಳಲ್ಲಿ ಕರ್ಜಿಕಾಯಿ ಮಾಡಲು ಬಳಸುವ ಪರಿಕರ. ಈ ಸಾಧನವು ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಇದರ ಮಧ್ಯಭಾಗದಲ್ಲಿ ಸುಮಾರು ಐದು ಇಂಚಿನ ಸುಮಾರು ಅರ್ಧಚಂದ್ರಾಕಾರದ ಎರಡು ಒರಳುಗಳಿವೆ. ಇದರ ಎರಡು ಕಡೆಗೂ ಕಬ್ಬಿಣದ ಕೊಂಡಿಗಳನ್ನು ಹಾಕಿದ್ದಾರೆ. ಒರಳಿನ ಅರ್ಧವೃತ್ತಾಕಾರ ಭಾಗದಲ್ಲಿ ಗರಗಸದ ಪುಟ್ಟ ಹಲ್ಲುಗಳಂತೆ ಕಬ್ಬಿಣದ ತಗಡನ್ನು ಜೋಡಿಸಿರುತ್ತಾರೆ. ಹೆಚ್ಚಾಗಿ ವಿಶೇಷ ದಿನಗಳಲ್ಲಿ ವಿಶೇಷ ಅಡುಗೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಈ ಸಲಕರಣೆಯನ್ನು ಬಳಸುತ್ತಾರೆ. ಮರ, ಲೋಹ, ಪ್ಲಾಸ್ಷಿಕ್‌ನಿಂದ ಇದನ್ನು ತಯಾರಿಸುತ್ತಾರೆ."
ಕಲೆ,"ಜನಪದ ಬದುಕಲ್ಲಿ ಹಾಡು ಕುಣಿತಗಳದು ಸಿಂಹಪಾಲು. ಬದುಕಿನ ಕಷ್ಟಕಾರ್ಪಣ್ಯಗಳನ್ನು ಸಹ್ಯವಾಗಿಸಿಕೊಳ್ಳಲು, ಸುಖ ಸಂತೋಷಗಳನ್ನು ಇತರರಿಗೆ ಹಂಚಲು, ಕಲೆ ಮನುಷ್ಯಮನಸ್ಸಿಗೆ ಸೂಕ್ತ ಮಾಧ್ಯಮ. ಈ ವಿಭಾಗದಲ್ಲಿ ಕೆಲವು ಕಲಾ ಪರಿಕರಗಳನ್ನು ಪರಿಚಯ ಮಾಡಿಸಲು ಪ್ರಾರಂಭಿಸಿದೆ. ಇದರಲ್ಲಿ ಧಾರ್ಮಿಕ ಕಲಾಪರಿಕರಗಳು, ಮನೋರಂಜನೆ ಕಲಾಪರಿಕರಗಳು, ಮತ್ತು ಉಭಯೋದ್ದೇಶೀ ಪರಿಕರಗಳು ಒಳಗೊಳ್ಳುತ್ತವೆ. ದೃಶ್ಯ ಮತ್ತು ಶ್ರವ್ಯಕಲೆಗಳ ಪರಿಕರಗಳು ಜನಪದರ ಕಲಾಸಕ್ತಿಯ ದ್ಯೋತಕಗಳಾಗಿ ತಮ್ಮದೇ ವೈಶಿಷ್ಟಗಳನ್ನುಳ್ಳವು. ಈ ವಿಭಾಗದಲ್ಲಿ ಕೆಲವು ವಸ್ತುಗಳು ಮಾತ್ರ ಈ ಪ್ರಾಥಮಿಕ ಹಂತದಲ್ಲಿ ಅಡಕವಾಗಿವೆ. ಮುಂದಿನ ಸಂಪುಟಗಳು ಇನ್ನಷ್ಟು ಇಂಥ ಸಾಮಗ್ರಿಗಳಿಂದ ಸಂಪನ್ನವಾಗಲಿವೆ."
ಕಲ್ಪಟ್ಟಿ,"ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಮಕ್ಕಳು ಅಡುಗೆ ಮಾಡುವ ಆಟಕ್ಕಾಗಿ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಇದು ಸುಮಾರು೨ ಇಂಚು ವ್ಯಾಸ ಇದೆ. ಆಟ ಆಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಚಟ್ನಿ, ಹಿಂಡಿ, ಮೊಸರು ಇಡುವ ಪಾತ್ರವನ್ನಾಗಿ ಇದನ್ನು ಬಳಕೆ ಮಾಡುತ್ತಾರೆ. ಬಳಪದ ಕಲ್ಲಿನಿಂದ ತಯಾರಿಸಲಾಗಿದೆ."
