page,1
ಚಕ್ಕಡಿ ಗಾಲಿ,"ಚಕ್ಕಡಿಗಾಲಿಯು ಚಕ್ಕಡಿಯ ಒಂದು ಬಹುಮುಖ್ಯ ಭಾಗ. ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಚಕ್ಕಡಿಯ ಎರಡು ಪಾರ್ಶ್ವಗಳಲ್ಲಿ ಮಧ್ಯದ ಬಟ್ಟಿ ಮರಕ್ಕೆ ಜೋಡಿಸಲಾಗಿರುತ್ತದೆ. ಗಾಲಿಯ ವ್ಯಾಸ ಐದು ಅಡಿ. ಮಧ್ಯಗುಂಬದ ವ್ಯಾಸ ಒಂದು ಅಡಿ, ಅಗಲ ಒಂದು ಅಡಿ, ಎಲೆ ಪಟ್ಟಿಯ ಅಗಲ ಮೂರು ಇಂಚು. ಹೊರಸುತ್ತಿನ ಅಗಲ ಏಳು ಇಂಚು ಹೊರ ಸುತ್ತಿನಲ್ಲಿ ಕಬ್ಬಿಣದ ಪಟ್ಟೆ ಇದೆ ಮಧ್ಯದ ಗುಂಬದಲ್ಲಿಯೂ ಎರಡೂ ಬದಿಗೆ ಎರಡೆರಡು ಬಳೆಗಳಿರುತ್ತವೆ. ಜಾಲಿಮರದಿಂದ ತಯಾರಿಸಲಾದ ಪಟ್ಟಿಗಳಿಂದ ಚಕ್ಕಡಿಯ ಗಾಲಿ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಚಕ್ಕಡಿಯು ಕೃಷಿ ಸಮುದಾಯದವರ ಅತ್ಯಗತ್ಯ ಸಲಕರಣೆಯಾಗಿದೆ."
ಚಕ್ಕಡಿ ಗುಂಭ/ಬಂಡಿಗುಂಭ,"ಚಕ್ಕಡಿ ಗಾಲಿ ತಯಾರಿಕೆಗೆ ಪೂರಕವಾಗುವ ವಸ್ತು. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಎತ್ತರ ಅರ್ಧ ಅಡಿ ಅಗಲವಿದ್ದು, ವೃತ್ತಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಇದರ ಹೊರಬದಿಗೆ ಕಬ್ಬಿಣದ ಪಟ್ಟಿಯನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಮಧ್ಯಭಾಗದಲ್ಲಿ ಹನ್ನೆರಡು ರಂಧ್ರಗಳಿರುತ್ತವೆ. ಅವುಗಳಿಗೆ ಸುಮಾರು ಎರಡೂವರೆ ಅಡಿಗಳಷ್ಟು ಉದ್ದದ ಮರದ ಎಲೆ/ಪಟ್ಟಿಗಳನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಗುಂಭದ ಇಬ್ಬದಿಗಳಿಗೆ ಕೀಲುಎಣೆ ಹಾಕಿರುತ್ತಾರೆ. ಗುಂಭವನ್ನು ಹೆಚ್ಚಾಗಿ ಜಾಲಿಮರದಿಂದ"
ಚಕ್ಕುಲಿ ಒತ್ತೊಳ್ಳು/ಒತ್ತೊರಳು,"ಚಕ್ಕುಲಿ, ಕಾರಕಡ್ಡಿ ಮುಂತಾದ ತಿಂಡಿಗಳಿಗೆ ರೂಪುಕೊಡುವ ಸಾಧನ. ಸುಮಾರು ಮೂರು ಇಂಚು ಚೌಕಾಕಾರದ ಒರಳು ಮತ್ತು ಅದೇ ಅಳತೆಯ/ ಆಕಾರದ ಒತ್ತು ಇದರ ಅವಿಭಾಜ್ಯ ಅಂಗಗಳು. ಅವಕ್ಕೆ ಇಬ್ಬದಿಗಳಲ್ಲೂ ಹಿಡಿಕೆಗಳು. ಒರಳಲ್ಲಿ ಸುಮಾರು ಎರಡು ಇಂಚು ವ್ಯಾಸ ಮೂರು ಇಂಚು ಆಳದ ರಂಧ್ರ. ರಂಧ್ರದ ಕೆಳಗಿನ ಭಾಗದಲ್ಲಿ ಚಕ್ಕುಲಿ, ಕಾರಕಡ್ಡಿಯಂಥ ತಿಂಡಿಗಳಿಗೆ ಅನುಸಾರವಾಗಿ ಹಿಟ್ಟನ್ನು ಹೊರಹಾಕುವ ಲೋಹದ ಬಿಲ್ಲೆಗಳನ್ನು ಅಳವಡಿಸುವ ಅನುಕೂಲತೆ. ಚಕ್ಕುಲಿ ಹುರಿಯ ಗಾತ್ರವೈವಿಧ್ಯವನ್ನು ಆಗುಮಾಡುವಂತೆ ಬಿಲ್ಲೆಗಳಲ್ಲಿ ರಂಧ್ರವ್ಯತ್ಯಾಸವಿರುತ್ತದೆ. ಕಡಿಮೆ ಸುತ್ತಳತೆಯ, ರಂಧ್ರದ ಆಳದಷ್ಟೇ ಉದ್ದದ ಒತ್ತನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಒತ್ತೊಳ್ಳನ್ನು ಬಳಸಲು ಕಡಿಮೆ ಬಲ ಸಾಕು. ಒತ್ತೊರಳುಗಳು ಸಾಗುವಾನಿ, ಹಲಸು ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ."
ಚಂಚಿ/ಸಂಚಿ,"ತಾಂಬೂಲದ ವಸ್ತುಗಳನ್ನು, ಹಣವನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು ಗ್ರಾಮೀಣರು ಬಳಸಿಟ್ಟಕೊಳ್ಳುವ ಕಿರುಚೀಲಗಳು. ಸಾಮಾನ್ಯವಾಗಿ ಮನೆಯಿಂದ ಹೊರಗೆ ಹೋಗುವಾಗ ಗ್ರಾಮೀಣ ಮಹಿಳೆಯರು ಸೊಂಟದ ಪಟ್ಟಿ(ವಂಕಿ)ಗೆ ಚಂಚಿಯ ಕಸಿಯ ಮೂಲಕ ಕಟ್ಟಿಕೊಳ್ಳುತ್ತಾರೆ. ಎಲೆ, ಅಡಿಕೆ, ಸುಣ್ಣದ ಡಬ್ಬಿ, ತಂಬಾಕು ಮುಂತಾದವನ್ನು ಪ್ರತ್ಯೇಕವಾಗಿ ಇಟ್ಟುಕೊಳ್ಳಲು ಅನುಕೂಲವಾಗುವಂತೆ ಸಂಚಿಗಳ ಒಳಗೆ ಸಣ್ಣ ಸಣ್ಣ ಅರೆಗಳಿರುತ್ತವೆ."
ಚಟಾಕು,ದವಸ ಧಾನ್ಯಗಳನ್ನು ಅಳತೆ ಮಾಡಲು ಬಳಸುತ್ತಿದ್ದ ಪರಿಕರ. ಇದು ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಉದ್ದ ಎರಡು ಇಂಚು ವ್ಯಾಸ ಇದೆ. ಮೇಲ್ಭಾಗ ಮತ್ತು ತಳಭಾಗದಲ್ಲಿ ಅರ್ಧ ಇಂಚು ಅಗಲದ ಒಂದೊಂದು ಪಟ್ಟಿ ಇದೆ. ಚಟಾಕು ಪಾವಿನ ಅರ್ಧ ಭಾಗವಾಗಿರುತ್ತದೆ. ಇದನ್ನು ಕಬ್ಬಿಣದ ತಗಡಿನಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ. ಅಡುಗೆ ಮೆನಗಳಲ್ಲಿ ಹಾಗೂ ವ್ಯಾಪಾರ ಕೇಂದ್ರಗಳಲ್ಲಿ ಬಳಕೆ ಮಾಡುತ್ತಿದ್ದರು.
ಚಟಿಗೆ / ಕಾಲುಂಗುರ,"ಲಂಬಾಣಿ ಮಹಿಳೆಯರು ಕಾಲಿನ ಬೆರಳಿಗೆ ಧರಿಸುವ/ಹಾಕಿಕೊಳ್ಳುವ ಉಂಗುರ. ಲಂಬಾಣಿಗರು ತಮ್ಮ ಭಾಷೆಯಲ್ಲಿ ಚಟಿಗೆ ಎಂದು ಕರೆಯುತ್ತಾರೆ. ಇದನ್ನು ಮದುವೆ ಸಂದರ್ಭದಲ್ಲಿ ಗಂಡನ ಮನೆಯವರು ಮದುಮಗಳ ಕಾಲಿಗೆ ಹಾಕುವ ಸಂಪ್ರದಾಯವಿದೆ. ಬೆರಳಿಗೆ ತಕ್ಕಂತೆ ವಿವಿಧ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸದ ಕಾಲುಂಗುರಗಳಿವೆ. ಇದನ್ನು ಧರಿಸುವುದು ಮುತ್ತೈದೆತನದ ಸಂಕೇತವಾಗಿದೆ. ಸಿಲ್ವರ್, ಕಾಡುಬೆಳ್ಳಿ ಮುಂತಾದ ಲೋಹಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಗಂಡ ಸತ್ತವರು ಕಾಲುಂಗುರವನ್ನು ತೊಡಬಾರದೆಂಬ ನಿಷೇಧವು ಇವರಲ್ಲಿದೆ."
ಚಂದಾಳದ ಗೊಂಬೆ/ ಚಂದನದ ಗೊಂಬೆ,"ಬಾಲಿಕೆಯರು ಋತುಮತಿಯದಾಗ ಈ ಗೊಂಬೆಗಳನ್ನು ಅವರಿಗೆ ಕೊಟ್ಟು ಅವರನ್ನು ಆರತಿ ಬೆಳಗಿ ಪೂಜಿಸುವ ಸಂಪ್ರದಾಯ ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿದೆ. ಈ ಗೊಂಬೆಗಳನ್ನು ತೇದು ಅದರ ರಸವನ್ನು ಕುಡಿದರೆ ಮಕ್ಕಳಾಗದವರಿಗೆ ಮಕ್ಕಳಾಗುತ್ತವೆ. ಮೈಮೇಲೆ ಕೆಂಪುಬಿದ್ದಾಗಲೂ ಹುಳಕೀಟಗಳು ಹರಿದು ಚರ್ಮಕ್ಕೆ ಬಾಧೆಯಾದಾಗಲೂ ಇವನ್ನು ತೇದು ಹಚ್ಚಿದರೆ ಶಮನವಾಗುತ್ತದೆ ಎಂಬ ನಂಬಿಕೆಇದೆ. ಗರ್ಭಧರಿಸಿದ ಹಸುಗಳಿಗೆ ದೃಷ್ಟಿತಾಗದಂತೆಯೂ ಇದನ್ನು ಹಸುಗಳ ಕೊರಳಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ಎತ್ತುಗಳು ಕುಂಟುಬಿದ್ದಾಗ ಅದನ್ನು ನಿವಾರಿಸಲು ಇದರಿಂದ ಮೂರುಬಾರಿ ನಿವಾಳಿಸುತ್ತಾರೆ. ಆ ಸಂದರ್ಭದಲ್ಲಿ ಕುಂಟೆತ್ತು ನೆಟ್ಟಗಾಗಲಿ ಎಂಬ ಮಂತ್ರವನ್ನು ಉಚ್ಛರಿಸುತ್ತಾರೆ.
ಚಂದನದ ಗೊಂಬೆಗಳು ನೆಟ್ಟಗೆ ನಿಲ್ಲಲು ತಳದಲ್ಲಿ ಪೀಠಗಳಿರುತ್ತವೆ. ಇವುಗಳ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿದ್ದರೂ, ಸಾಮಾನ್ಯವಾಗಿ ಇವು ಸುಮಾರು ನಾಲ್ಕು ಇಂಚಿನಿಂದ ಒಂದಡಿ ಎತ್ತರದ ಗೊಂಬೆಗಳಿರುತ್ತವೆ. ಎಲ್ಲವೂ ಸ್ತ್ರೀ ವಿಗ್ರಹಗಳೆಂಬುದು ವಿಶೇಷ. ಇವು ಸಾಮಾನ್ಯ ಅರೆನಗ್ನವಾಗಿರುತ್ತವೆ. ಕೆಲವಕ್ಕೆ ಒಡ್ಯಾಣ ಮತ್ತು ಶಿರೋಭೂಷಣ ಧರಿಸಿದಂತೆ ಕೆತ್ತನೆ ಮಾಡುತ್ತಾರೆ. ಕೆಲವು ಗೊಂಬೆಗಳು ಎರಡು ಮಕ್ಕಳನ್ನು ಎತ್ತಿಕೊಂಡಂತೆ ರಚನೆಯಾಗಿರುವುದು, ಬಾಲಿಕೆಯರು ಮೊದಲಬಾರಿ ಋತುಮತಿಯಾದಾಗ ಅವರಿಗೆ ತಾಯ್ತನದ ಅನುಭವಕ್ಕೆ ತರಬೇತಿ ನೀಡುವ ರೀತಿಯ ಜನಪದ ಆರಚಣೆಗಳ ಅರ್ಥವನ್ನು ಸೂಚಿಸುವಂತೆ ಕಾಣುತ್ತದೆ."
ಚಿನಿವಾರ ತಕ್ಕಡಿ,"ಚಿನ್ನ ಬೆಳ್ಳಿಯಂಥ ಅಮೂಲ್ಯ ಲೋಹಗಳನ್ನು ತೂಕ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುವ ಸಾಧನ. ತಕ್ಕಡಿದಿಂಡು ಸುಮಾರು ಏಳು ಇಂಚು ಉದ್ದವಿದ್ದು, ಮಧ್ಯಭಾಗದಲ್ಲಿ ಒಂದು ಹಿಡಿಕೆ ಇದೆ. ದಿಂಡಿನ ಕೆಳಭಾಗದಲ್ಲಿ ಒಂದು ಮುಳ್ಳು ಇದೆ. ತಕ್ಕಡಿ ದಿಂಡಿನ ಎರಡು ತುದಿಗೂ ಒಂದು ಅಡಿ ಉದದ ಮೂರು ದಾರಗಳಿಂದ ತಕ್ಕಡಿಯ ತಟ್ಟೆಗಳನ್ನು ಕಟ್ಟಿದ್ದಾರೆ. ತಕ್ಕಡಿಯ ಮಧ್ಯಭಾಗದ ಹಿಡಿಕೆಯನ್ನು ಕೈಯಿಂದ ಎತ್ತಿಹಿಡಿದು ತೂಕ ಮಾಡುತ್ತಾರೆ. ಎಡಭಾಗದ ತಕ್ಕಡಿ ತಟ್ಟೆಯಲ್ಲಿ ತೂಕದ ಕಲ್ಲನ್ನೂ ಬಲಭಾಗದ ತಕ್ಕಡಿ ತಟ್ಟೆಯಲ್ಲಿ ಚಿನ್ನ ಬೆಳ್ಳಿ(ಆಭರಣ)ಗಳನ್ನೂ ಇಟ್ಟು ತೂಕಮಾಡುವುದು ಸಂಪ್ರದಾಯ ಹಾಗೂ ನಿಯಮ."
ಚಿಬ್ಲು/ಚಿಬ್ಲಿ,"ಗಡಿಗೆಯಿಂದ ಅನ್ನ ಬಸಿಯುವ ಸಾಧನವಾದರೂ ಅದು ಹೋಳಿಗೆ ಒಬ್ಬಟ್ಟು ಮುಂತಾದ ಕರಿದ ತಿಂಡಿಗಳನ್ನು ಬಿಸಿಯಿದ್ದಾಗ ಹಾಕಲು, ರೊಟ್ಟಿ ಚಪಾತಿ ಮುಂತಾದುವನ್ನು ಸುಡುವ/ಬೇಯಿಸುವ ಮುನ್ನ ಮತ್ತು ಬಳಿಕ ಅವನ್ನು ಹಾಕಲು, ಪಾತ್ರೆಗಳಿಗೆ ಮುಚ್ಚಲು ಬಳಸುತ್ತಾರೆ. ಇದು ಬಿದಿರಿನ ಚಿಕ್ಕ ಚಿಕ್ಕ ಸೀಳುಗಳಿಂದ ಹೆಣೆದ ವೃತ್ತಾಕಾರದ ವಸ್ತು. ಸುಮಾರು ಒಂದು ಅಡಿಯಿಂದ ಒಂದೂವರೆ ಅಡಿಗಳಷ್ಟು ವ್ಯಾಸವುಳ್ಳದ್ದಾಗಿದೆ. ಇದರ ಮೂಲಕ ಗಾಳಿಯು ಚೆನ್ನಾಗಿ ಆಡುವುದರಿಂದ ವಸ್ತುಗಳು ಬೇಗನೆ ಒಣಗಲು ಅನುಕೂಲ. ಸಾಕಷ್ಟು ಸಂದು/ಎಡೆಗಳಿರುವುದರಿಂದ ಗಂಜಿ, ಎಣ್ಣೆ, ನೀರು ಕೆಳಗೆ ಸುರಿಯುತ್ತದೆ ಮತ್ತು ಇದರ ಮೇಲೆ ಉಳಿದ ವಸ್ತುಗಳು ಗರಿಗರಿಯಾಗಿರಲು ಅನುಕೂಲವಾಗುತ್ತದೆ. ತುಂಬ ಹಗುರವಾಗಿರುವುದರಿಂದ ಬಳಸಲು ಯೋಗ್ಯವಾಗಿದೆ. ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಇದು ಮಹಿಳೆಯರಿಗೆ ಪ್ರಿಯವೂ, ಪೂಜನೀಯವೂ, ಬಹೂಪಯೋಗಿಯೂ ಆದ ವಸ್ತುಗಳಲ್ಲೊಂದಾಗಿದೆ."
