page,1
ದಂಡ/ಯೋಗದಂಡ,"ಋಷಿಮುನಿಗಳು ಮತ್ತು ಜಂಗಮರು ಧ್ಯಾನಮಾಡುವಾಗ ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದವಿದ್ದು, ಸುಮಾರು ಹತ್ತು ಇಂಚು ಅಗಲವಿರುವ ದೋಣಿಯಾಕಾರದ ಮೇಲ್ತುದಿಯನ್ನು ಹೊಂದಿದೆ. ಇದರ ಮೇಲೆ ಎಡತೋಳನ್ನು ಇಟ್ಟುಕೊಂಡು ಧ್ಯಾನ ಮಾಡುತ್ತಿದ್ದರು. ಜಂಗಮರು ಕೂಡ ದಂಡವನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿದುಕೊಂಡು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದರು. ದಂಡಕ್ಕೆ ಜನಪದರು ಬಹಳ ಭಕ್ತಿಭಾವದಿಂದ ನಮಸ್ಕರಿಸುತ್ತಾರೆ. ಋಷಿಮುನಿಗಳಿಗೆ ಮತ್ತು ಜಂಗಮರಿಗೆ ಎಷ್ಟು ಬೆಲೆ ಇದೆಯೋ ಅಷ್ಟೇ ಬೆಲೆ ಈ ದಂಡಕ್ಕೂ ಕೊಡುತ್ತಾರೆ. ದಂಡವನ್ನು ಸಾಗುವಾನಿ, ಮತ್ತಿ ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ದಂಡಿಗೆ/ತಕ್ಕಡಿ,"ತೂಕಮಾಡಲು ಕಬ್ಬಿಣದ ಮಾಪಕಗಳು ಬರುವ ಮುನ್ನ ಹಳ್ಳಿಗಳಲ್ಲಿ ಬೆಳೆದ ಬೆಳೆಗಳನ್ನು ಮತ್ತು ಇತರ ವಸ್ತುಗಳನ್ನು ತೂಕ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ. ಇದರಲ್ಲಿ ದಿಂಡು, ಪಲ್ಟಿ ಎಂಬ ಭಾಗಗಳಿವೆ. ದಿಂಡನ್ನು ಸು. ನಾಲ್ಕರಿಂದ ಐದು ಅಡಿಗಳಷ್ಟು ಉದ್ದದ ಬಲವಾದ ಮರದ ದಂಡವೊಂದರಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಎರಡು ತುದಿಗಳಲ್ಲಿ ಕೊರೆದ ರಂಧ್ರಗಳ ಮೂಲಕ ನೂಲು/ಹಗ್ಗದಿಂದ ಜೋತಾಡಿಸಲಾಗುವ ತಟ್ಟೆಯಾಕಾರದ ಪಲ್ಟಿಗಳಿರುತ್ತವೆ. ಇವು ಮಧ್ಯದಲ್ಲಿ ಒಂದೆರಡಿಂಚು ತಗ್ಗಾಗಿ ವೃತ್ತಾಕಾರದ ರಚನೆಗಳು. ಇವನ್ನು ಬಿದಿರಿನ ಸೀಳುಗಳಿಂದ ಹೆಣೆದು ಅದರ ರಂಧ್ರಗಳು ಮುಚ್ಚುಹೋಗುವಂತೆ ಗೇರಣ್ಣೆ, ಸುಟ್ಟಬಟ್ಟೆಯ ಬೂದಿಯನ್ನು ಚೆನ್ನಾಗಿ ಮಿಶ್ರಮಾಡಿಕೊಂಡು ಲೇಪಿಸುತ್ತಾರೆ. ಪಲ್ಟಿಗಳ ವ್ಯಾಸವು ಸುಮಾರು ಹನ್ನೆರಡರಿಂದ ಇಪ್ಪತ್ತು ಇಂಚು ಇರುತ್ತವೆ. ದಂಡಿಗೆಯಲ್ಲಿ ಗಾತ್ರ, ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಸಾಕಷ್ಟು ವ್ಯತ್ಯಾಸಗಳಿವೆ."
ದಿಕಾಂಬ್ಲಿ ಬೀಜ,"ಎತ್ತು ಮತ್ತು ಎಮ್ಮೆಗಳಿಗೆ ದೃಷ್ಟಿಯಾಗದಂತೆ ಕೊರಳಿಗೆ ಕಟ್ಟುವ ಒಂದು ಸಾಧನ. ದಿಕಾಂಬ್ಲಿ ಎನ್ನುವುದು ಲಂಬಾಣಿಗರ ಭಾಷೆ. ಇದು ಸು. ಎರಡು ಇಂಚು ವ್ಯಾಸವಿರುವ ಬೀಜ. ಕಂದು ಬಣ್ಣದ್ದಾಗಿದ್ದು ನಯವಾಗಿ ಚಪ್ಪಟೆಯಾಗಿದೆ. ಸಾಮಾನ್ಯವಾಗಿ ಆಕಳು ಮತ್ತು ಎಮ್ಮೆಗಳು ಗರ್ಭಧರಿಸಿದಾಗ ಪೀಡೆ, ಪಿಶಾಚಿಗಳ ಕೆಟ್ಟ ದೃಷ್ಟಿ ಬೀಳಬಾರದೆಂಬ ಕಾರಣಕ್ಕೆ ಜಾನುವಾರುಗಳ ಕೊರಳಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ಇದರಿಂದ ಪೀಡೆ ಪಿಶಾಚಿಗಳ ಕಾಟ ಬರುವುದಿಲ್ಲ ಎನ್ನುವುದು ಲಂಬಾಣಿಗರ ನಂಬಿಕೆ."
ದಿನಸಿ ಬಟ್ಟಲು,"ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಸಂಬಾರ ಪದಾರ್ಥಗಳನ್ನು ಇಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ೨೦ ಇಂಚು ವ್ಯಾಸವನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಇದರಲ್ಲಿ ಸುಮಾರು ಐದು ಇಂಚು ವ್ಯಾಸದ ಐದು ಗುಳಿಗಳಿವೆ. ದಿನಸಿಬಟ್ಟಲು ದುಂಡಾಗಿದ್ದು, ಹಿಡಿದುಕೊಳ್ಳಲು ಹಿಡಿಕೆ ಇರುತ್ತದೆ. ಸಾಗುವಾನಿ, ಬೇವು ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಈ ಸಾಧನದಲ್ಲಿ ಸಂಬಾರ ಪದಾರ್ಥಗಳನ್ನು ಇಡುವುದರಿಂದ ಅವು ಬಹಳ ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತವೆ ಎನ್ನುವುದು ಬಳಕೆದಾರರ ಅನುಭವ. ಪ್ಲಾಸ್ಟಿಕ್, ಸ್ಟೀಲ್, ಸಿಲ್ವರ್, ತಾಮ್ರ, ಕಂಚಿನ ಬಟ್ಟಲು ಬಂದಮೇಲೆ ಈ ವಸ್ತುವಿನ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ."
ದೀಪದ ಗೊಗ್ಗೆ,ಸೀಮೆಎಣ್ಣೆಬುಡ್ಡಿ/ ದೀಪವನ್ನು ಇರಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಇಂಗ್ಲಿಷನ ಐ ಅಕಾರದಲ್ಲಿದೆ. ತಮ್ಮ ಅನುಕೂಲಕ್ಕೆ ತಕ್ಕ ಎತ್ತರದಲ್ಲಿ ಗೊಗ್ಗೆಯನ್ನು ಗೋಡೆಗೆ ನೇತುಹಾಕಿ ಗೊಗ್ಗೆಯ ಕೆಳಭಾಗದಲ್ಲಿರುವ ಅಡ್ಡಪಟ್ಟಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ದೀಪವನ್ನು ಇರಿಸಲಾಗುತ್ತದೆ. ವಿದ್ಯುತ್ ದೀಪಗಳು ಹಾಗೂ ಕ್ಯಾಂಡ್‌ಲ್‌ಗಳ ಬಳಕೆ ಬಂದ ನಂತರ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ.
ದೂಡುಬಂಡಿ,"ಸುಮಾರು ಒಂದು ವರ್ಷದ ಆಸುಪಾಸಿನ ಮಕ್ಕಳು ನಡಿಗೆಯನ್ನು ಕಲಿಯುವ ಹಂತದಲ್ಲಿ ನಡೆಯಲು ಆಸರೆಯಾಗಿ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಈ ಬಂಡಿಯಲ್ಲಿ ಐದು ಪಟ್ಟಿಗಳು ಮೂರು ಚಕ್ರಗಳು ಇವೆ. ಮೇಲ್ಭಾಗದಲ್ಲಿ ಎರಡು ಕಡೆ ಹಿಡಿಕೆ ಇದೆ. ಒಂದೂವರೆ ಅಡಿ ಉದ್ದದ ಪಟ್ಟಿಗಳು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದದ ಹಿಡಿಕೆ ಸಮೇತ ಪಟ್ಟಿ, ಮೂರು ಇಂಚು ವ್ಯಾಸ ಇರುವ ಮೂರು ಚಕ್ರಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ. ಮಕ್ಕಳು ಈ ಬಂಡಿಯನ್ನು ಹಿಡಿದುಕೊಂಡು ಸರಾಗವಾಗಿ ನಡೆಯುವುದನ್ನು ಕಲಿಯುತ್ತಾರೆ. ಪ್ಲಾಸ್ಟಿಕ್ ಬಂಡಿ ಬಳಕೆಗೆ ಬಂದ ನಂತರ ಈ ಬಂಡಿಗಳ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ."
ದೃಷ್ಟಿಗೊಂಬೆ,ಹೊಸ ಮನೆಗೆ ದೃಷ್ಟಿತಾಗದಂತೆ ಹಾಗೂ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸುವಂತಹ ಬಿದಿರಿನ ವಸ್ತು. ಇದು ಸುಮಾರು ಮುಕ್ಕಾಲು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಇದರ ಮೈಮೇಲೆಲ್ಲಾ ಚಿಕ್ಕ ಚಿಕ್ಕ ಚುಕ್ಕೆಗಳ ಆಕಾರದಿಂದ ಕೂಡಿದ್ದು (ಇವು ಬೇರುಗಳನ್ನು ಕತ್ತಿರಿಸಿದ ಬುಡ)ಬಿದಿರಿನ ಗಡ್ಡೆಯಿಂದ ನಿರ್ಮಿತವಾಗಿದೆ. ಇದನ್ನು ಮನೆಯ ಮುಂಭಾಗದಲ್ಲಿ ಜೋತಾಡಿಸಿ ಕಣ್ಣಿಗೆ ಕಾಣುವಂತೆ ಕಟ್ಟಿರುತ್ತಾರೆ. ಕಟ್ಟಿರುವ ಮನೆಗೆ ದೃಷ್ಟಿ ತಗಲಬಾರದು ಎಂಬ ನಂಬಿಕೆಯಿಂದ ಇದನ್ನು ಕಟ್ಟುತ್ತಾರೆ. ಅಲ್ಲದೆ ರಾತ್ರಿ ಸಂದರ್ಭದಲ್ಲಿ ಪ್ರಾಣಿ ಪಕ್ಷಿಗಳು ಮನೆಯೊಳಗೆ ನುಸುಳಬಾರದು ಎನ್ನುವ ಕಾರಣಕ್ಕೂ ಈ ಗೊಂಬೆಯನ್ನು ಕಟ್ಟುತ್ತಾರೆ.
ದೇವರ ಚೌಕಿ,"ದೇವರ ಕೋಣೆಯಲ್ಲಿ ದೇವರ ಮೂರ್ತಿಯನ್ನು ಕೂರಿಸಲು ಬಳಸುವ ಪೀಠ. ಪೀಠದ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸದಲ್ಲಿ ಹಲವು ವ್ಯತ್ಯಾಸಗಳಿರುತ್ತವೆ. ಸಾಮಾನ್ಯವಾಗಿ ಇದರ ಮುಂಭಾಗದ ಎತ್ತರ ಏಳೂವರೆ ಇಂಚು, ಹಿಂಭಾಗದ ಎತ್ತರ ಒಂಭತ್ತು ಇಂಚು, ಉದ್ದ ಏಳು ಇಂಚು, ಅಗಲ ಹತ್ತೂವರೆ ಇಂಚು. ನಾಲ್ಕು ಕಾಲುಗಳಿದ್ದು ಅವುಗಳಿಗೆ ಮರದ ಹಲಗೆ ಜೋಡಿಸಲಾಗಿದೆ. ಹಿಂಭಾಗದ ಪಟ್ಟಿಗೂ ಸಹ ಹಲಗೆ ಜೋಡಿಸಲಾಗಿದೆ. ಮನೆಯ ಪಡಸಾಲೆ, ಕಟ್ಟೆ ಹಾಗೂ ಅಂಗಳದಲ್ಲಿ ಆಚರಿಸುವ ದೈವಿಕ ಆಚರಣೆಗಳಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಬಳಕೆಯಾಗುತ್ತವೆ."
ದೇವರ ಪೀಠ,ದೇವತಾ ಮೂರ್ತಿಗಳನ್ನು ಇರಿಸಿ ಪೂಜಿಸಿಕೊಳ್ಳಲು ಬಳಸುವ ಪೀಠ. ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದಗಲಗಳ ಚೌಕಾಕಾರದಲ್ಲಿದೆ. ಕಡೆದ ನಾಲ್ಕು ಕಾಲುಗಳು ಸುಮಾರು ಐದು ಇಂಚು ಎತ್ತರ ಇವೆ. ಅವುಗಳ ಮೇಲ್ತುದಿ ಎಂಬಂತೆ ನಾಲ್ಕು ಕಡೆಗೂ ಗುಮ್ಮಟಾಕಾರವಿದೆ. ಚೌಕದ ಮಧ್ಯೆ ಹಲಗೆಗಳನ್ನು ಜೋಡಿಸಿದೆ. ಅಲ್ಲಿ ನಾಗಬಂಧದಂತೆ ಕಾಣುವ ಮತ್ತು ಬಳ್ಳಿಗಳು ಹೆಣೆದಂತಿರುವ ಹಾಗೂ ಮಧ್ಯದಲ್ಲಿ ದೊಡ್ಡ ಹೂವೊಂದರ ಚಿತ್ತಾರ ಬಿಡಿಸಿದೆ. ಈ ಪೀಠವು ತುಂಬ ಭಾರವಿದ್ದು ಚೌಕದ ಸುತ್ತುಪಟ್ಟಿಯಲ್ಲಿ ಕೂಡ ಅಲಂಕಾರಕ್ಕಾಗಿ ಸಣ್ಣ ಪ್ರಮಾಣದ ಕೆತ್ತನೆ ಮಾಡಿದೆ. ಒಟ್ಟು ರಚನೆಯಲ್ಲಿ ಎಲ್ಲೂ ಕಬ್ಬಿಣವನ್ನು ಬಳಸಿಕೊಂಡಿಲ್ಲ.
